,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,98.74,98.75,1.0000000000005116,98.745,101.99,98.74,101.99,98.75,98.77,98.77,98.77,98.75,98.75,98.77,Avg,1667221.0,37.0,1688.0,8.2,2024-07-01,8.949151813820599,8.9634627895406,8.9586917493785,8.9586917493785,8.9586917493785,40.89,810.63258131054,2.038484141178,,,,,,,,,58.182996058148,,
1,2021-12-29,Moscow Exchange T+,98.4,98.5,9.999999999999432,98.45,101.74,98.26,101.75,98.5,98.5,98.5,98.5,98.5,98.5,98.5,Avg,14681693.5,43.0,14905.0,8.2,2024-07-01,9.0775033175523,9.1253767751105,9.0775033175523,9.0775033175523,9.0775033175523,40.66,811.43959740905,2.0381124586344,,,,,,,,,62.869090359971,,
2,2021-12-28,Moscow Exchange T+,98.1,98.5,40.00000000000057,98.3,98.5,97.81,98.5,98.5,98.47,98.47,98.47,98.5,98.5,98.47,Avg,4526575.7,47.0,4597.0,8.2,2024-07-01,9.0906898756397,9.2680792988248,9.0763501679345,9.0763501679345,9.0763501679345,40.44,812.41976373216,2.0403277075306,,,,,,,,,68.642182668572,,
3,2021-12-27,Moscow Exchange T+,98.05,98.5,45.00000000000029,98.275,101.74,98.5,101.74,98.5,98.51,98.51,98.51,98.5,98.5,98.51,Avg,1076669.8,22.0,1093.0,8.2,2024-07-01,9.0709058878559,9.2912374013101,9.0756795159845,9.0756795159845,9.0756795159845,40.21,813.44952000643,2.0432844155772,,,,,,,,,64.022731948105,,
4,2021-12-24,Moscow Exchange T+,98.15,98.2,4.999999999999716,98.175,97.8,97.8,98.2,98.2,98.19,98.19,98.19,98.2,98.2,98.19,Avg,1633883.8,38.0,1664.0,8.2,2024-07-01,9.2206256711603,9.2397579147329,9.2158444097846,9.2158444097846,9.2158444097846,39.54,816.22426061178,2.0474437289198,,,,,,,,,84.171782208448,,
5,2021-12-23,Moscow Exchange T+,97.8,97.85,4.999999999999716,97.825,97.69,97.45,97.99,97.85,97.56,97.56,97.56,97.85,97.85,97.56,Avg,12616581.4,69.0,12932.0,8.2,2024-07-01,9.5217137901455,9.4061866798914,9.3821712458314,9.3821712458314,9.3821712458314,39.32,816.77075960223,2.0431821517941,,,,,,,,,110.48343532785,,
6,2021-12-22,Moscow Exchange T+,97.54,97.7,15.99999999999966,97.62,102.3,96.85,102.3,97.7,97.0,97.68,97.68,97.7,97.7,97.0,Avg,2419423.6,43.0,2477.0,8.2,2024-07-01,9.7915419741145,9.5302484108085,9.4532381468949,9.4532381468949,9.4532381468949,39.09,817.36377489165,2.0396405475845,,,,,,,,,133.34873397691,,
7,2021-12-21,Moscow Exchange T+,97.72,98.4,68.00000000000068,98.06,100.98,96.72,101.0,98.4,96.73,96.73,96.73,98.4,98.4,96.73,Avg,412719299.6,34.0,426654.0,8.2,2024-07-01,9.9210062877008,9.4421257063503,9.1173283148129,9.1173283148129,9.1173283148129,38.87,818.16831266992,2.0392435410813,,,,,,,,,134.94315395669,,
8,2021-12-20,Moscow Exchange T+,98.41,98.49,7.999999999999829,98.45,98.75,98.37,98.75,98.49,98.49,98.4,98.36,98.49,98.49,98.49,Avg,452057.5,8.0,459.0,8.2,2024-07-01,9.0739437116541,9.1118935583874,9.0739437116541,9.0739437116541,9.0739437116541,38.64,820.44495113048,2.0607986748889,,,,,,,,,43.402659308328,,
9,2021-12-17,Moscow Exchange T+,97.32,97.97,65.00000000000057,97.645,97.35,97.3,97.92,97.88,97.56,97.03,,97.9,97.9,97.56,Avg,74142.2,20.0,76.0,8.2,2024-07-01,9.5137424599285,9.6289876292575,9.3178296561369,9.360731188802,9.351192487734,37.97,822.78277469623,2.0583712437316,,,,,,,,,79.576252095509,,
