,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,99.58,99.78,20.000000000000284,99.68,99.98,99.2,99.98,99.58,99.63,99.63,99.63,99.58,99.58,99.63,Avg,800050.4,53.0,803.0,8.6,2029-06-28,,,,,,36.99,,,2023-01-25,9.1613125615929,9.213901743001,9.003856301888,9.213901743001,9.213901743001,366.79851285501,0.9205893634821,98.355531668489,,
1,2021-12-29,Moscow Exchange T+,99.33,99.49,15.99999999999966,99.41,102.2,99.28,102.22,99.3,99.52,99.52,99.52,99.3,99.3,99.52,Avg,3169713.3,54.0,3185.0,8.6,2029-06-28,,,,,,36.76,,,2023-01-25,9.2748859983374,9.474932545516,9.306422354009,9.5065876418069,9.5065876418069,367.78061254085,0.92209486868336,104.08826663484,,
2,2021-12-28,Moscow Exchange T+,99.4,99.49,8.99999999999892,99.445,99.98,99.4,99.98,99.4,99.92,99.75,,99.4,99.4,99.92,Avg,463606.2,19.0,464.0,8.6,2029-06-28,,,,,,36.52,,,2023-01-25,8.8560952564191,9.3997032496865,9.305217957569202,9.3997032496865,9.3997032496865,368.84663806627,0.92832535656155,68.114095936282,,
3,2021-12-27,Moscow Exchange T+,99.12,99.67,54.99999999999971,99.395,99.98,99.0,99.98,99.67,99.37,99.37,99.37,99.53,99.53,99.37,Avg,688636.7,42.0,693.0,8.6,2029-06-28,,,,,,36.28,,,2023-01-25,9.4297305085401,9.6925737887221,9.1160257086196,9.1160257086196,9.2621904693623,369.75621395142,0.92573628615079,127.51401805292,,
4,2021-12-24,Moscow Exchange T+,98.6,98.7,10.000000000000853,98.65,98.2,98.2,99.03,98.7,98.73,98.73,98.73,98.7,98.7,98.73,Avg,1105771.8,46.0,1120.0,8.6,2029-06-28,,,,,,35.58,,,2023-01-25,10.093664218243,10.230888187316,10.125299932609,10.125299932609,10.125299932609,372.65168332434,0.92735901126263,197.13060837518,,
5,2021-12-23,Moscow Exchange T+,99.07,99.5,43.00000000000068,99.285,102.27,99.5,102.27,99.5,100.25,98.78,,99.5,99.5,100.25,Avg,163409.3,15.0,163.0,8.6,2029-06-28,,,,,,35.34,,,2023-01-25,8.5157897966733,9.7342194593765,9.2869488021393,9.2869488021393,9.2869488021393,373.90033009697,0.94399577051274,44.364481625391,,
6,2021-12-22,Moscow Exchange T+,99.4,99.41,0.9999999999990904,99.405,102.23,98.2,102.23,99.4,98.73,98.73,98.73,99.4,99.4,98.73,Avg,10038897.6,44.0,10168.0,8.6,2029-06-28,,,,,,35.11,,,2023-01-25,10.086444029455,9.388237926973,9.3778864416333,9.388237926973,9.388237926973,374.65281934209,0.9324000692716,202.3263505414,,
7,2021-12-21,Moscow Exchange T+,98.58,98.9,32.00000000000074,98.74,101.83,95.86,101.83,98.9,98.71,98.71,98.71,98.9,98.9,98.71,Avg,5136107.0,27.0,5203.0,8.6,2029-06-28,,,,,,34.87,,,2023-01-25,10.104327077074,10.240589592829,9.9058017093172,9.9058017093172,9.9058017093172,375.65000565422,0.93472992842721,191.45940756103,,
8,2021-12-20,Moscow Exchange T+,97.88,98.2,32.00000000000074,98.04,98.69,95.51,98.69,98.2,98.22,98.22,98.22,98.2,98.2,98.22,Avg,5286395.0,56.0,5382.0,8.6,2029-06-28,,,,,,34.64,,,2023-01-25,10.614366444706,10.974074407372,10.635458665313,10.635458665313,10.635458665313,376.56979851182,0.93269808549715,236.6293627768,,
9,2021-12-17,Moscow Exchange T+,97.73,97.78,4.999999999999716,97.755,98.51,96.83,98.51,97.76,97.32,97.32,97.32,97.76,97.76,97.32,Avg,10236800.6,45.0,10519.0,8.6,2029-06-28,,,,,,33.93,,,2023-01-25,11.55090743529,11.115825536794,11.06300874746,11.084129178581,11.084129178581,379.42272902441,0.93187437914593,319.52201318847,,
10,2021-12-16,Moscow Exchange T+,97.29,97.3,0.9999999999990904,97.295,95.31,95.31,98.97,97.3,97.42,97.42,97.42,97.3,97.3,97.42,Avg,1268362.0,34.0,1302.0,8.6,2029-06-28,,,,,,33.69,,,2023-01-25,11.438178607821,11.576258978113,11.565624727317,11.565624727317,11.565624727317,380.44041716485,0.93531904936148,297.77566095237,,
11,2021-12-15,Moscow Exchange T+,97.22,97.4,18.000000000000682,97.31,101.61,97.22,101.61,97.4,97.86,97.26,,97.31,97.31,97.86,Avg,110580.6,19.0,113.0,8.6,2029-06-28,,,,,,33.46,,,2023-01-25,10.967304903778,11.642931329985,11.4520434717,11.4520434717,11.547402024903,381.51434335959,0.94193940930078,246.2190438111,,
12,2021-12-14,Moscow Exchange T+,96.92,97.28,35.99999999999994,97.1,96.85,95.0,102.31,97.28,97.13,97.13,97.13,97.18,97.18,97.13,Avg,5697771.8,90.0,5866.0,8.6,2029-06-28,,,,,,33.22,,,2023-01-25,11.731678419545,11.955100812866,11.572661658026,11.572661658026,11.678620138996,382.3943725373,0.93765334056544,315.92819888949,,
13,2021-12-13,Moscow Exchange T+,97.5,97.78,28.000000000000114,97.64,101.81,97.01,101.81,97.5,97.62,97.62,97.62,97.5,97.5,97.62,Avg,3797306.3,74.0,3890.0,8.6,2029-06-28,,,,,,32.99,,,2023-01-25,11.20726967131,11.33328137163,11.039718363833,11.33328137163,11.33328137163,383.47666090763,0.94474128525346,271.47675216212,,
14,2021-12-10,Moscow Exchange T+,97.75,97.8,4.999999999999716,97.775,97.8,97.75,98.01,97.8,97.83,97.79,,97.96,97.96,97.83,Avg,382498.8,15.0,391.0,8.6,2029-06-28,,,,,,32.28,,,2023-01-25,10.971274500545,11.054297704744,11.00239289419,11.00239289419,10.836639953868,386.51371983974,0.95424847822746,241.9069706287,,
15,2021-12-09,Moscow Exchange T+,97.9,98.05,14.999999999999147,97.975,101.49,97.75,101.49,97.99,97.78,97.78,97.78,97.76,97.76,97.78,Avg,746061.6,18.0,763.0,8.6,2029-06-28,,,,,,32.04,,,2023-01-25,11.018039695707,10.893924624513,10.739191223382,10.801029973178,11.038753998957,387.50637481977,0.95629620536089,248.18532781541,,
16,2021-12-08,Moscow Exchange T+,97.9,98.4,50.0,98.15,98.2,97.83,98.57,98.0,98.0,98.0,,98.0,98.0,98.0,Avg,486071.6,14.0,496.0,8.6,2029-06-28,,,,,,31.81,,,2023-01-25,10.785154832105,10.888113255152,10.375329483098,10.785154832105,10.785154832105,388.54295872885,0.96086994544047,218.37633597417,,
