,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,96.45,96.69,23.99999999999949,96.57,96.84,96.69,96.85,96.69,96.81,96.85,96.82,96.69,96.69,96.81,Avg,60989.2,7,63,8.5,2025-08-28,9.7725955220311,9.8997713021026,9.8149142756861,9.8149142756861,9.8149142756861,27.71,1141.9134314577,2.8500099996008,,,,,,,,,137.05878299349,,
1,2021-12-29,Moscow Exchange T+,96.5,96.79,29.000000000000625,96.645,96.5,96.5,96.85,96.85,96.82,96.82,96.82,96.85,96.85,96.82,Avg,915927.8,14,946,8.5,2025-08-28,9.7682170847276,9.8811393903075,9.7787814930594,9.7576572266231,9.7576572266231,27.48,1142.9292004163,2.8526589581352,,,,,,,,,129.72654855652,,
2,2021-12-28,Moscow Exchange T+,96.52,96.54,2.000000000001023,96.53,96.59,96.5,96.6,96.52,96.57,96.58,,96.54,96.54,96.57,Avg,367932.2,23,381,8.5,2025-08-28,9.8554837275975,9.8731454811876,9.8660792535017,9.8731454811876,9.8660792535017,27.25,1143.6148093708,2.8521027373739,,,,,,,,,142.10312470596,,
3,2021-12-27,Moscow Exchange T+,96.58,96.74,15.99999999999966,96.66,96.5,96.47,96.75,96.68,96.65,95.8,,96.68,96.68,96.65,Avg,75385.8,26,78,8.5,2025-08-28,9.826716289639,9.8514020601527,9.7950139402022,9.816144281381,9.816144281381,27.01,1144.7184715741,2.8556029867479,,,,,,,,,135.98467688449,,
4,2021-12-24,Moscow Exchange T+,96.01,96.38,36.999999999999034,96.195,96.41,95.93,96.75,96.4,96.56,95.54,,96.41,96.41,96.56,Avg,104289.1,28,108,8.5,2025-08-28,9.8557549791537,10.050259474159,9.9192411108681,9.9121789605447,9.9086486490719,26.32,1147.613831819,2.8620689785731,,,,,,,,,144.8049850652,,
5,2021-12-23,Moscow Exchange T+,95.81,96.19,37.999999999999545,96.0,96.38,96.2,96.4,96.2,96.38,95.04,,96.2,96.2,96.38,Avg,53011.5,8,55,8.5,2025-08-28,9.9186581151151,10.120661302586,9.9858075828532,9.9822688051973,9.9822688051973,26.08,1148.3870831138,2.8623584340327,,,,,,,,,143.9197527495,,
6,2021-12-22,Moscow Exchange T+,96.03,96.27,23.99999999999949,96.15,95.78,95.78,96.22,96.04,96.07,94.82,,96.04,96.04,96.07,Avg,15371.6,8,16,8.5,2025-08-28,10.027308996607,10.041484606208,9.9565538104568,10.037939934421,10.037939934421,25.85,1148.9951694417,2.861046043733,,,,,,,,,148.42430404555,,
7,2021-12-21,Moscow Exchange T+,95.77,96.05,28.000000000000114,95.91,95.23,94.73,96.22,95.77,95.5,94.7,,95.55,95.55,95.5,Avg,157573.5,41,165,8.5,2025-08-28,10.228957941079,10.132757246644,10.033390986289,10.132757246644,10.211114489142,25.62,1149.2669432627,2.8564876378194,,,,,,,,,158.83134735922,,
8,2021-12-20,Moscow Exchange T+,94.71,95.29,58.00000000000125,95.0,91.53,91.53,96.14,94.8,94.46,94.34,,94.8,94.8,94.46,Avg,94462.8,31,100,8.5,2025-08-28,10.602064216637,10.511668820966,10.30322373999,10.479207689009,10.479207689009,25.38,1148.9165889172,2.8459836660911,,,,,,,,,192.67023921267,,
9,2021-12-17,Moscow Exchange T+,94.32,95.08,76.00000000000051,94.7,94.97,94.11,96.06,96.06,94.65,94.26,,96.06,96.06,94.65,Avg,118307.5,37,125,8.5,2025-08-28,10.529740379905,10.64900755936,10.375196441616,10.026582509539,10.026582509539,24.68,1152.1786416709,2.8559316270418,,,,,,,,,181.95857823945,,
10,2021-12-16,Moscow Exchange T+,94.03,94.79,76.00000000000051,94.41,94.81,94.6,94.81,94.6,94.8,93.82,,94.6,94.6,94.8,Avg,29389.0,16,31,8.5,2025-08-28,10.474444378657,10.752843434159,10.478039779005,10.54645274844,10.54645274844,24.45,1153.3789009303,2.8603377116781,,,,,,,,,169.58403521827,,
11,2021-12-15,Moscow Exchange T+,94.3,96.24,193.99999999999977,95.27,94.25,94.25,94.3,94.3,94.29,93.8,,94.3,94.3,94.29,Avg,13200.5,5,14,8.5,2025-08-28,10.657095793608,10.653476194984,9.9612042078958,10.653476194984,10.653476194984,24.22,1153.717096292,2.8564537450538,,,,,,,,,185.96796643806,,
12,2021-12-14,Moscow Exchange T+,94.02,94.63,60.99999999999994,94.325,94.03,94.02,94.34,94.02,94.03,93.81,,94.02,94.02,94.03,Avg,193698.7,17,206,8.5,2025-08-28,10.749947413896,10.75357913037,10.533022339451,10.75357913037,10.75357913037,23.99,1154.3803173004,2.8556995959586,,,,,,,,,193.25718666062,,
13,2021-12-13,Moscow Exchange T+,94.11,94.5,39.00000000000006,94.305,90.02,90.02,94.96,94.17,93.41,94.01,,94.18,94.18,93.41,Avg,229795.9,40,246,8.5,2025-08-28,10.974914208978,10.719852980206,10.578888973657,10.698113390039,10.694491997562,23.75,1154.5633798387,2.8503625027069,,,,,,,,,220.50148436199,,
14,2021-12-10,Moscow Exchange T+,94.41,94.57,15.99999999999966,94.49,94.5,94.4,94.57,94.4,94.43,94.43,,94.41,94.41,94.43,Avg,217199.5,36,230,8.5,2025-08-28,10.600472175215,10.607675048844,10.550111361882,10.61127728105,10.607675048844,23.05,1158.922358933,2.8708103031162,,,,,,,,,184.86430749853,,
15,2021-12-09,Moscow Exchange T+,94.4,94.71,30.999999999998806,94.555,94.41,94.4,94.89,94.68,94.44,94.42,,94.68,94.68,94.44,Avg,257817.3,17,273,8.5,2025-08-28,10.595542707049,10.60993922468,10.498587372857,10.509341209201,10.509341209201,22.82,1159.9402243051,2.87345976607,,,,,,,,,183.63596558739,,
16,2021-12-08,Moscow Exchange T+,94.42,94.83,40.99999999999966,94.625,96.47,94.42,96.47,94.42,94.42,94.42,94.42,94.42,94.42,94.42,Avg,26182696.3,15,27730,8.5,2025-08-28,10.601410751598,10.601410751598,10.454384256457,10.601410751598,10.601410751598,22.59,1160.9189572707,2.8757317481934,,,,,,,,,180.01844296338,,
17,2021-12-07,Moscow Exchange T+,94.51,95.1,58.99999999999892,94.805,94.44,94.43,94.91,94.89,94.44,94.44,94.44,94.89,94.89,94.44,Avg,1279599.0,13,1355,8.5,2025-08-28,10.592897874275,10.567756528418,10.356873899078,10.431724985551,10.431724985551,22.36,1161.9498094322,2.8785068450323,,,,,,,,,179.72448615395,,
