,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,99.49,99.5,1.0000000000005116,99.495,99.97,99.0,99.98,99.5,99.64,99.64,99.64,99.5,99.5,99.64,Avg,38266965.1,355,38407,7.9,2022-08-11,8.6708856373579,8.938343136527099,8.9204796781293,8.9204796781293,8.9204796781293,30.73,217.00844199302,0.54710484156468,,,,,,,,,75.414182670686,,
1,2021-12-29,Moscow Exchange T+,99.86,99.91,4.999999999999716,99.885,99.82,99.69,99.91,99.86,99.85,99.85,99.85,99.86,99.86,99.85,Avg,3776269.5,128,3782,7.9,2022-08-11,8.2956156218099,8.277998846206799,8.189984254707799,8.277998846206799,8.277998846206799,30.52,218.02009527625,0.55156002954904,,,,,,,,,32.933838908367,,
2,2021-12-28,Moscow Exchange T+,99.7,99.75,4.999999999999716,99.725,99.75,99.48,99.83,99.75,99.62,99.62,99.62,99.75,99.75,99.62,Avg,7516997.7,169,7546,7.9,2022-08-11,8.6994888775092,8.5584506372106,8.470451790166301,8.470451790166301,8.470451790166301,30.3,219.00755466148,0.55199955758654,,,,,,,,,79.826126450868,,
3,2021-12-27,Moscow Exchange T+,99.62,99.77,14.999999999999147,99.695,99.8,99.56,99.87,99.75,99.69,99.69,99.69,99.7,99.7,99.69,Avg,5695260.6,192,5713,7.9,2022-08-11,8.5740415259224,8.6969288578454,8.4338739027009,8.468888347324501,8.5565045443581,30.08,220.01144722782,0.55517053599916,,,,,,,,,71.721097389745,,
4,2021-12-24,Moscow Exchange T+,99.51,99.55,3.999999999999204,99.53,99.74,99.28,99.85,99.55,99.56,99.56,99.56,99.55,99.55,99.56,Avg,7197352.2,154,7229,7.9,2022-08-11,8.7901125516402,8.8770244754313,8.807485909175899,8.807485909175899,8.807485909175899,29.44,223.00474415585,0.56160609403436,,,,,,,,,97.178126417391,,
5,2021-12-23,Moscow Exchange T+,99.59,99.62,3.0000000000001137,99.605,99.65,99.5,99.71,99.62,99.56,99.63,99.63,99.59,99.59,99.56,Avg,26334504.9,139,26433,7.9,2022-08-11,8.787245520077,8.7353752581813,8.6835452669379,8.6835452669379,8.7353752581813,29.22,224.00483305153,0.56413954452114,,,,,,,,,101.52569325941,,
6,2021-12-22,Moscow Exchange T+,99.58,99.65,7.000000000000739,99.615,99.69,99.5,99.7,99.65,99.55,99.65,99.65,99.65,99.65,99.55,Avg,5273677.4,99,5292,7.9,2022-08-11,8.801637578329501,8.7499747300345,8.629583602272,8.629583602272,8.629583602272,29.0,225.00438682098,0.56658189028469,,,,,,,,,102.12923176044,,
7,2021-12-21,Moscow Exchange T+,99.56,99.68,12.000000000000457,99.62,99.38,99.36,99.76,99.67,99.42,99.42,99.42,99.67,99.67,99.42,Avg,24275782.8,180,24417,7.9,2022-08-11,9.0204274222683,8.779897090288,8.5744176471338,8.591516700141199,8.591516700141199,28.79,225.99760707011,0.56794083536403,,,,,,,,,110.73171863764,,
8,2021-12-20,Moscow Exchange T+,99.38,99.4,2.000000000001023,99.39,99.58,99.05,99.69,99.38,99.39,99.38,99.38,99.38,99.38,99.39,Avg,13546419.2,173,13631,7.9,2022-08-11,9.0680888957168,9.0852433707842,9.0509388357117,9.0852433707842,9.0852433707842,28.57,226.99613112943,0.57020088540141,,,,,,,,,113.17828325064,,
9,2021-12-17,Moscow Exchange T+,99.35,99.4,5.000000000001137,99.375,99.28,98.36,99.4,99.4,99.16,99.16,99.16,99.4,99.4,99.16,Avg,35298988.7,212,35598,7.9,2022-08-11,9.4453739702709,9.1224544137029,9.0377359852275,9.0377359852275,9.0377359852275,27.92,229.9844598839,0.57571589166662,,,,,,,,,142.35493250311,,
10,2021-12-16,Moscow Exchange T+,99.21,99.27,6.000000000000227,99.24,99.25,99.0,99.34,99.28,99.23,99.1,99.1,99.28,99.28,99.23,Avg,12782618.3,150,12899,7.9,2022-08-11,9.3212755442878,9.3551559228731,9.2535666442853,9.2366502139094,9.2366502139094,27.7,230.98829645783,0.57888516638585,,,,,,,,,113.99356745454,,
11,2021-12-15,Moscow Exchange T+,99.1,99.25,15.000000000000568,99.175,99.06,98.13,99.25,99.25,99.06,99.06,99.06,99.25,99.25,99.06,Avg,8110384.8,151,8187,7.9,2022-08-11,9.6020263187029,9.5343067834923,9.2809724141813,9.2809724141813,9.2809724141813,27.49,231.97962022101,0.57988034043928,,,,,,,,,137.64362386041,,
12,2021-12-14,Moscow Exchange T+,99.0,99.05,4.999999999999716,99.025,98.6,98.6,99.39,99.05,98.98,98.98,98.98,99.05,99.05,98.98,Avg,16815629.5,202,16989,7.9,2022-08-11,9.7310886489618,9.6972914556835,9.6128737032454,9.6128737032454,9.6128737032454,27.27,232.97563572291,0.58168511840925,,,,,,,,,138.18511588273,,
13,2021-12-13,Moscow Exchange T+,99.15,99.2,4.999999999999716,99.175,99.31,98.8,99.39,99.3,99.31,99.31,99.31,99.3,99.3,99.31,Avg,9043376.8,164,9106,7.9,2022-08-11,9.1713896339911,9.4390198651912,9.3552688421886,9.18808476748,9.18808476748,27.05,233.99293338633,0.58722027078233,,,,,,,,,93.317585992007,,
14,2021-12-10,Moscow Exchange T+,99.31,99.32,0.9999999999990904,99.315,99.24,99.2,99.38,99.31,99.31,99.31,99.31,99.32,99.32,99.31,Avg,14627782.7,73,14730,7.9,2022-08-11,9.1556416585171,9.1556416585171,9.139154086635,9.1556416585171,9.139154086635,26.41,236.99342076989,0.59483599137867,,,,,,,,,82.166905950676,,
15,2021-12-09,Moscow Exchange T+,99.21,99.24,3.0000000000001137,99.225,99.2,98.59,99.33,99.21,99.15,99.15,99.15,99.21,99.21,99.15,Avg,12203118.4,140,12308,7.9,2022-08-11,9.4148911448572,9.3160295389157,9.2666545361311,9.3160295389157,9.3160295389157,26.19,237.98540206026,0.59591047739733,,,,,,,,,109.52852322676,,
16,2021-12-08,Moscow Exchange T+,99.26,99.27,0.9999999999990904,99.265,99.39,99.15,99.39,99.25,99.21,99.21,99.21,99.26,99.26,99.21,Avg,9998668.4,129,10078,7.9,2022-08-11,9.31136100636,9.2294199455109,9.2130440342498,9.2457999551595,9.2294199455109,25.97,238.98860307128,0.59898924508643,,,,,,,,,89.244455319512,,
17,2021-12-07,Moscow Exchange T+,99.3,99.39,9.000000000000341,99.345,99.76,99.15,99.8,99.39,99.22,99.22,99.22,99.38,99.38,99.22,Avg,10546965.2,101,10630,7.9,2022-08-11,9.2887755446,9.1582780579224,9.0117794438634,9.0117794438634,9.0280408334503,25.76,239.98930159925,0.60162165109081,,,,,,,,,80.715866750805,,
18,2021-12-06,Moscow Exchange T+,99.3,99.35,4.999999999999716,99.325,99.89,98.59,99.89,99.35,99.22,99.22,99.22,99.35,99.35,99.22,Avg,10487320.2,116,10570,7.9,2022-08-11,9.2842715950232,9.1542926524387,9.073187191017,9.073187191017,9.073187191017,25.54,240.98944090753,0.60415376700222,,,,,,,,,84.41579287671,,
19,2021-12-03,Moscow Exchange T+,99.37,99.4,3.0000000000001137,99.385,99.44,99.04,99.99,99.37,99.4,99.4,99.4,99.37,99.37,99.4,Avg,16045866.6,166,16142,7.9,2022-08-11,8.980774343365699,9.0287929862927,8.980774343365699,9.0287929862927,9.0287929862927,24.89,243.99883527554,0.6134017341011,,,,,,,,,65.507752841489,,
20,2021-12-02,Moscow Exchange T+,99.3,99.4,10.000000000000853,99.35,99.4,99.19,99.4,99.4,99.31,99.31,99.31,99.4,99.4,99.31,Avg,7726970.3,103,7781,7.9,2022-08-11,9.121180624365198,9.1371559427991,8.9775798897671,8.9775798897671,8.9775798897671,24.67,244.99448743488,0.61511227238712,,,,,,,,,75.497980671597,,
21,2021-12-01,Moscow Exchange T+,99.33,99.4,7.000000000000739,99.365,99.38,99.01,99.44,99.4,99.34,99.34,99.34,99.4,99.4,99.34,Avg,5253034.2,126,5288,7.9,2022-08-11,9.0681561252433,9.0840572534024,8.972831450532,8.972831450532,8.972831450532,24.46,245.99612904558,0.61792737800686,,,,,,,,,86.267298870164,,
22,2021-11-30,Moscow Exchange T+,99.27,99.38,10.999999999999943,99.325,99.39,98.51,99.39,99.38,99.18,99.18,99.18,99.38,99.38,99.18,Avg,8895630.9,182,8969,7.9,2022-08-11,9.3185681959336,9.1756255810839,9.0013465163675,9.0013465163675,9.0013465163675,24.24,246.98838018099,0.61899867955982,,,,,,,,,105.0531544431,,
23,2021-11-29,Moscow Exchange T+,99.38,99.39,1.0000000000005116,99.385,99.36,99.21,99.39,99.38,99.35,99.35,99.35,99.38,99.38,99.35,Avg,2856451.5,92,2875,7.9,2022-08-11,9.0454373638679,8.9981360700582,8.982376691241999,8.9981360700582,8.9981360700582,24.02,247.9968325375,0.62308281138611,,,,,,,,,80.910237522488,,
24,2021-11-26,Moscow Exchange T+,99.23,99.31,7.999999999999829,99.27,99.44,98.91,99.44,99.31,99.2,99.2,99.2,99.3,99.3,99.2,Avg,8053150.8,125,8118,7.9,2022-08-11,9.266658367616,9.2197275531535,9.094746205805,9.094746205805,9.1103555663111,23.38,250.98998571784,0.62932628009335,,,,,,,,,86.848979624699,,
25,2021-11-25,Moscow Exchange T+,99.3,99.36,6.000000000000227,99.33,99.22,98.82,99.37,99.36,99.22,99.22,99.22,99.36,99.36,99.22,Avg,8172805.3,144,8237,7.9,2022-08-11,9.2313541712139,9.1068158798973,9.0135708323659,9.0135708323659,9.0135708323659,23.16,251.9910778877,0.63204060775324,,,,,,,,,85.157202383388,,
26,2021-11-24,Moscow Exchange T+,99.3,99.38,7.999999999999829,99.34,99.47,99.15,99.47,99.3,99.34,99.21,99.21,99.3,99.3,99.34,Avg,3626043.0,102,3655,7.9,2022-08-11,9.041367522042,9.1033116687705,8.9794833671252,9.1033116687705,9.1033116687705,22.94,252.99695856891,0.63566916666144,,,,,,,,,49.388608589506,,
27,2021-11-23,Moscow Exchange T+,99.13,99.22,9.000000000000341,99.175,98.81,98.52,99.23,99.22,99.04,99.04,99.04,99.22,99.22,99.04,Avg,13101243.6,177,13228,7.9,2022-08-11,9.5008746726341,9.3612346241427,9.2218986602941,9.2218986602941,9.2218986602941,22.73,253.98274480039,0.63546810792127,,,,,,,,,80.726647015308,,
28,2021-11-22,Moscow Exchange T+,98.94,99.0,6.000000000000227,98.97,99.49,98.53,99.5,99.0,99.04,99.04,99.04,99.0,99.0,99.04,Avg,12920250.6,303,13046,7.9,2022-08-11,9.4959385732121,9.6508682352097,9.5578654433195,9.5578654433195,9.5578654433195,22.51,254.98289731643,0.63799926227574,,,,,,,,,96.573627266255,,
29,2021-11-19,Moscow Exchange T+,99.45,99.46,0.9999999999990904,99.455,99.46,99.2,99.46,99.45,99.25,99.25,99.25,99.45,99.45,99.25,Avg,10936756.0,215,11019,7.9,2022-08-11,9.159345608498,8.8555772497044,8.840427002312099,8.8555772497044,8.8555772497044,21.86,257.99330613041,0.64752218122929,,,,,,,,,83.0126363904,,
30,2021-11-18,Moscow Exchange T+,99.37,99.47,9.999999999999432,99.42,99.49,99.25,99.5,99.36,99.33,99.33,99.33,99.36,99.36,99.33,Avg,7428955.4,133,7479,7.9,2022-08-11,9.0345423654627,8.9740119218751,8.8229387908482,8.989139105073999,8.989139105073999,21.64,258.99716993053,0.65078577126736,,,,,,,,,73.700993357084,,
31,2021-11-17,Moscow Exchange T+,99.41,99.48,7.000000000000739,99.445,99.5,99.36,99.5,99.48,99.42,99.42,99.42,99.48,99.48,99.42,Avg,610430.9,75,614,7.9,2022-08-11,8.8943328849089,8.9093864211502,8.8040870047959,8.8040870047959,8.8040870047959,21.43,260.00151352835,0.65415058332665,,,,,,,,,70.305796691467,,
32,2021-11-16,Moscow Exchange T+,99.35,99.36,1.0000000000005116,99.355,99.49,99.35,99.5,99.36,99.45,99.45,99.45,99.36,99.36,99.45,Avg,7503717.3,117,7545,7.9,2022-08-11,8.8467984469174,8.9968395395792,8.9818193513532,8.9818193513532,8.9818193513532,21.21,261.00298679564,0.65695701330265,,,,,,,,,65.041143598505,,
33,2021-11-15,Moscow Exchange T+,99.46,99.47,1.0000000000005116,99.465,99.4,99.35,99.5,99.49,99.44,99.44,99.44,99.49,99.49,99.44,Avg,10901932.1,146,10963,7.9,2022-08-11,8.8593622778041,8.8294983413384,8.8145716898004,8.7847290141369,8.7847290141369,20.99,262.00259736253,0.6593969689148,,,,,,,,,70.013189092317,,
34,2021-11-12,Moscow Exchange T+,99.49,99.5,1.0000000000005116,99.495,99.59,99.35,99.75,99.5,99.55,99.55,99.55,99.5,99.5,99.55,Avg,6389279.4,164,6418,7.9,2022-08-11,8.6869797368559,8.7754587780195,8.7607035754783,8.7607035754783,8.7607035754783,20.35,265.00794270114,0.66801852424564,,,,,,,,,63.220294536148,,
35,2021-11-11,Moscow Exchange T+,99.56,99.59,3.0000000000001137,99.575,99.51,99.51,99.81,99.59,99.55,99.55,99.55,99.59,99.59,99.55,Avg,1635579.1,95,1643,7.9,2022-08-11,8.6852448336543,8.6705629373788,8.626537965177999,8.626537965177999,8.626537965177999,20.13,266.00799652107,0.67055011255668,,,,,,,,,64.940885288321,,
36,2021-11-10,Moscow Exchange T+,99.59,99.6,0.9999999999990904,99.595,99.79,99.58,99.85,99.6,99.76,99.76,99.76,99.6,99.6,99.76,Avg,2845202.5,63,2852,7.9,2022-08-11,8.3770228203416,8.625031133455199,8.6104150160864,8.6104150160864,8.6104150160864,19.91,267.01756549048,0.67500929155364,,,,,,,,,27.5835443495,,
37,2021-11-09,Moscow Exchange T+,99.77,99.79,2.000000000001023,99.78,99.85,99.77,99.85,99.79,99.78,99.78,99.78,99.79,99.79,99.78,Avg,1412850.7,43,1416,7.9,2022-08-11,8.3459483321148,8.3604513061934,8.3314487484895,8.3314487484895,8.3314487484895,19.7,268.01853103015,0.67773401460038,,,,,,,,,23.341413433349,,
38,2021-11-08,Moscow Exchange T+,99.77,99.83,6.000000000000227,99.8,99.8,99.39,99.89,99.85,99.79,99.79,99.79,99.8,99.8,99.79,Avg,1977770.3,107,1982,7.9,2022-08-11,8.3310035279592,8.3599043917764,8.273242240966,8.2443817998442,8.316558152814,19.48,269.01899544474,0.6803577181799,,,,,,,,,19.610590776407,,
39,2021-11-05,Moscow Exchange T+,99.73,99.8,6.999999999999318,99.765,99.95,99.73,99.95,99.8,99.87,99.87,99.87,99.79,99.79,99.87,Avg,612225.5,69,613,7.9,2022-08-11,8.2140326572744,8.4141373874967,8.3140038013942,8.3140038013942,8.328298645184299,18.83,272.02263154125,0.68869763502391,,,,,,,,,4.8861221385581,,
40,2021-11-03,Moscow Exchange T+,99.7,99.76,6.000000000000227,99.73,99.99,99.5,99.99,99.72,99.73,99.73,99.73,99.75,99.75,99.73,Avg,2366515.0,98,2373,7.9,2022-08-11,8.411334116294,8.454001624893,8.3686961929912,8.4255533304542,8.382905548650301,18.4,274.01649954946,0.69248307095515,,,,,,,,,29.765073121029,,
41,2021-11-02,Moscow Exchange T+,99.63,99.88,25.0,99.755,99.64,99.36,99.99,99.9,99.68,99.68,99.68,99.83,99.83,99.68,Avg,2751174.2,198,2760,7.9,2022-08-11,8.481551068653,8.5525181120017,8.1985003411158,8.1702669899548,8.2691406760752,18.18,275.01431870129,0.69455486156905,,,,,,,,,32.805233157682,,
42,2021-11-01,Moscow Exchange T+,99.64,99.68,4.000000000000625,99.66,99.66,99.35,99.98,99.65,99.52,99.52,99.52,99.65,99.65,99.52,Avg,4717174.2,193,4740,7.9,2022-08-11,8.7072584530755,8.5372255612791,8.480652411761499,8.523077383361501,8.523077383361501,17.96,276.00731364965,0.69561539102227,,,,,,,,,50.951669039701,,
43,2021-10-29,Moscow Exchange T+,99.63,99.68,5.000000000001137,99.655,99.9,99.01,100.04,99.66,99.42,99.47,99.47,99.66,99.66,99.42,Avg,5528459.9,168,5558,7.9,2022-08-11,8.8401385251059,8.5452410647261,8.4752365252115,8.503228713746399,8.503228713746399,17.32,279.00319323696,0.70230736619461,,,,,,,,,90.982563686308,,
44,2021-10-28,Moscow Exchange T+,99.72,99.89,17.00000000000017,99.805,99.98,99.6,100.1,99.9,100.03,100.03,100.03,99.9,99.9,100.03,Avg,10260994.4,97,10258,7.9,2022-08-11,7.988241589253301,8.418641486673401,8.1822386152432,8.168361126287401,8.168361126287401,17.1,280.02965633908,0.71045192200967,,,,,,,,,-1.1762066006535,,
45,2021-10-27,Moscow Exchange T+,99.93,99.95,1.999999999999602,99.94,99.83,99.63,99.95,99.93,99.55,99.92,99.92,99.93,99.93,99.55,Avg,1399924.0,61,1401,7.9,2022-08-11,8.6545316964087,8.1270858362765,8.0994519262814,8.1270858362765,8.1270858362765,16.88,281.00894937656,0.70856458586529,,,,,,,,,82.125883343608,,
46,2021-10-26,Moscow Exchange T+,99.93,99.95,1.999999999999602,99.94,99.8,99.61,100.01,99.93,99.89,99.89,99.89,99.93,99.93,99.89,Avg,3799778.1,127,3804,7.9,2022-08-11,8.1811710887748,8.126050780398101,8.0985094178426,8.126050780398101,8.126050780398101,16.67,282.02365343816,0.71423477476699,,,,,,,,,33.905220188565,,
47,2021-10-25,Moscow Exchange T+,99.91,100.01,10.000000000000853,99.96,100.05,99.81,100.05,99.91,99.95,99.95,99.95,99.92,99.92,99.95,Avg,3661340.1,119,3663,7.9,2022-08-11,8.098951709488,8.1538643654404,8.0166761010379,8.1538643654404,8.140131528102899,16.45,283.02621094791,0.71731896036654,,,,,,,,,43.50782300969,,
