,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,99.1,99.15,5.000000000001137,99.125,99.61,99.09,99.61,99.15,99.28,99.28,99.28,99.15,99.15,99.28,Avg,17042910.9,59.0,17166.0,8.25,2029-08-30,,,,,,25.32,,,2022-09-12,9.5346977707705,9.824111960777,9.7435900118239,9.7435900118239,9.7435900118239,244.7731099887,0.61223637248394,154.99621249536,,
1,2021-12-29,Moscow Exchange T+,99.49,99.59,10.000000000000853,99.54,99.23,99.0,99.63,99.49,99.47,99.47,99.47,99.49,99.49,99.47,Avg,33479017.9,46.0,33656.0,8.25,2029-08-30,,,,,,25.09,,,2022-09-12,9.2279389814149,9.1961345498909,9.0373465314744,9.1961345498909,9.1961345498909,245.78280855825,0.61648838563951,119.58704597804,,
2,2021-12-28,Moscow Exchange T+,98.9,99.19,28.999999999999204,99.045,99.25,98.9,99.25,99.19,99.08,99.07,,99.12,99.12,99.08,Avg,443862.5,53.0,448.0,8.25,2029-08-30,,,,,,24.86,,,2022-09-12,9.8462285853813,10.134820820673,9.670495213746,9.670495213746,9.7822705107023,246.76327557186,0.61546379643296,187.83191886211,,
3,2021-12-27,Moscow Exchange T+,98.91,99.08,17.00000000000017,98.995,99.25,98.46,99.25,99.08,98.99,98.99,98.99,99.06,99.06,98.99,Avg,1068152.5,45.0,1079.0,8.25,2029-08-30,,,,,,24.64,,,2022-09-12,9.9832255063617,10.111115910801,9.8396490828282,9.8396490828282,9.8715275255091,247.75895562489,0.61717744330658,205.56973322281,,
4,2021-12-24,Moscow Exchange T+,98.89,99.1,20.999999999999375,98.995,98.58,98.58,99.2,99.14,99.02,98.84,,99.13,99.13,99.02,Avg,246556.4,43.0,249.0,8.25,2029-08-30,,,,,,23.96,,,2022-09-12,9.9180096509747,10.12342276605,9.7919252586382,9.72897527694,9.7447070162309,250.76101172343,0.62502630156482,202.58472871048,,
5,2021-12-23,Moscow Exchange T+,98.81,99.15,34.00000000000034,98.98,98.33,98.33,99.23,99.15,98.63,98.63,98.63,99.15,99.15,98.63,Avg,7379762.2,32.0,7482.0,8.25,2029-08-30,,,,,,23.73,,,2022-09-12,10.528719976335,10.243752011547,9.708881600674,9.708881600674,9.708881600674,251.74178326895,0.62400389324422,268.90604870415,,
6,2021-12-22,Moscow Exchange T+,98.65,98.87,21.999999999999886,98.76,99.29,98.29,99.29,98.7,98.75,98.75,98.75,98.7,98.7,98.75,Avg,1236310.2,30.0,1252.0,8.25,2029-08-30,,,,,,23.51,,,2022-09-12,10.330322391109,10.488110412431,10.141483637431,10.409168308827,10.409168308827,252.74802357565,0.62762468517833,248.89801749103,,
7,2021-12-21,Moscow Exchange T+,98.51,98.69,17.99999999999926,98.6,98.3,98.19,98.76,98.71,98.38,98.38,98.38,98.63,98.63,98.38,Avg,3920533.5,70.0,3985.0,8.25,2029-08-30,,,,,,23.28,,,2022-09-12,10.90721373471,10.70159067838,10.417955304931,10.386516923873,10.512362313961,253.72989508967,0.62678555713134,293.4622590318,,
8,2021-12-20,Moscow Exchange T+,98.22,98.29,7.000000000000739,98.255,97.74,97.74,98.5,98.39,98.41,98.41,98.41,98.4,98.4,98.41,Avg,1947566.8,35.0,1979.0,8.25,2029-08-30,,,,,,23.05,,,2022-09-12,10.851109108668,11.151450444669,11.040636506354,10.882658543723,10.866881905397,254.73165590201,0.62957867836271,284.71144619267,,
9,2021-12-17,Moscow Exchange T+,98.25,98.4,15.000000000000568,98.325,98.44,98.03,98.5,98.4,98.42,98.42,98.42,98.4,98.4,98.42,Avg,3204710.5,33.0,3256.0,8.25,2029-08-30,,,,,,22.38,,,2022-09-12,10.807066082007,11.072639610414,10.838253326536,10.838253326536,10.838253326536,257.73303850507,0.63724989631069,271.11811483992,,
