,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,99.79,99.8,0.9999999999990904,99.795,99.97,99.32,99.97,99.79,99.84,99.84,99.84,99.79,99.79,99.84,Avg,774749.7,17.0,776.0,8.65,2024-09-13,,,,,,3.08,,,2022-09-21,9.1824860284619,9.2607824734704,9.2451155243605,9.2607824734704,9.2607824734704,254.27112086944,0.63804483045008,117.7066428533,,
1,2021-12-29,Moscow Exchange T+,99.7,99.85,14.999999999999147,99.775,99.9,99.84,99.9,99.85,99.85,99.69,99.69,99.85,99.85,99.85,Avg,6989.6,6.0,7.0,8.65,2024-09-13,,,,,,2.84,,,2022-09-21,9.1667377847935,9.4009911639187,9.1667377847935,9.1667377847935,9.1667377847935,255.27145226976,0.64064737668875,111.41917971582,,
2,2021-12-28,Moscow Exchange T+,99.13,99.58,45.00000000000029,99.355,99.16,99.08,99.72,99.58,99.72,99.69,99.69,99.58,99.58,99.72,Avg,5203774.9,22.0,5220.0,8.65,2024-09-13,,,,,,2.61,,,2022-09-21,9.3673146540893,10.293194762286,9.5858086350704,9.5858086350704,9.5858086350704,256.26723347389,0.64196694573524,137.85512422215,,
3,2021-12-27,Moscow Exchange T+,99.09,99.63,53.9999999999992,99.36,98.9,98.9,99.78,99.16,99.23,99.04,,99.16,99.16,99.23,Avg,274865.0,57.0,277.0,8.65,2024-09-13,,,,,,2.37,,,2022-09-21,10.131693042582,10.352006246652,9.5063619938834,10.241755326686,10.241755326686,257.25119710359,0.63995910787579,218.18674606642,,
4,2021-12-24,Moscow Exchange T+,98.9,98.91,0.9999999999990904,98.905,98.69,98.69,99.88,98.91,99.0,99.0,99.0,98.91,98.91,99.0,Avg,2573009.2,40.0,2599.0,8.65,2024-09-13,,,,,,1.66,,,2022-09-21,10.477843905046,10.634286030057,10.618624656769,10.618624656769,10.618624656769,260.24395624301,0.64537568365711,256.26132319362,,
5,2021-12-23,Moscow Exchange T+,99.25,99.3,4.999999999999716,99.275,98.68,98.68,99.68,99.3,99.37,99.28,,99.3,99.3,99.37,Avg,378584.5,19.0,381.0,8.65,2024-09-13,,,,,,1.42,,,2022-09-21,9.8996130190488,10.085034383142,10.007709962418,10.007709962418,10.007709962418,261.25605920514,0.65129440000439,203.81659636939,,
6,2021-12-22,Moscow Exchange T+,98.82,99.03,21.000000000000796,98.925,98.62,98.61,99.2,99.02,98.85,98.85,98.85,99.02,99.02,98.85,Avg,1527162.2,68.0,1545.0,8.65,2024-09-13,,,,,,1.18,,,2022-09-21,10.701441057061,10.748164314955,10.421815067427,10.43731782708,10.43731782708,262.23928598711,0.64901033840618,284.02020581523,,
7,2021-12-21,Moscow Exchange T+,98.99,99.0,1.0000000000005116,98.995,98.7,98.7,99.13,99.0,99.01,99.01,99.01,99.0,99.0,99.01,Avg,578227.5,24.0,584.0,8.65,2024-09-13,,,,,,0.95,,,2022-09-21,10.446648261821,10.477560145823,10.462102333181,10.462102333181,10.462102333181,263.2446082594,0.65300135058022,245.45817912289,,
8,2021-12-20,Moscow Exchange T+,98.59,98.6,0.9999999999990904,98.595,98.6,98.59,99.52,98.6,98.63,98.63,98.63,98.6,98.6,98.63,Avg,4687920.4,76.0,4753.0,8.65,2024-09-13,,,,,,0.71,,,2022-09-21,11.029842870718,11.092029292926,11.076477030593,11.076477030593,11.076477030593,264.23243660166,0.65200892401794,300.37835505334,,
9,2021-12-17,Moscow Exchange T+,98.47,98.84,37.000000000000455,98.655,99.52,97.6,99.52,98.65,98.76,98.76,98.76,98.65,98.65,98.76,Avg,11637132.2,71.0,11783.0,8.65,2024-09-13,,,,,,,,,2022-09-21,10.809026771223,11.254997871647,10.686547607934,10.977821295965,10.977821295965,267.23704080327,0.66073703335104,268.91663069079,,
