,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,99.39,99.4,1.0000000000005116,99.395,99.66,99.39,99.81,99.4,99.4,99.4,99.4,99.4,99.4,99.4,Avg,19079954.5,152,19195,8.35,2022-09-30,9.3740080096396,9.3887633374367,9.3740080096396,9.3740080096396,9.3740080096396,20.59,266.6973070921,0.6680541080771,,,,,,,,,134.3300444586,,
1,2021-12-29,Moscow Exchange T+,99.39,99.4,1.0000000000005116,99.395,99.21,99.21,99.4,99.4,99.39,99.39,99.39,99.4,99.4,99.39,Avg,10262617.3,119,10326,8.35,2022-09-30,9.3859120965192,9.3859120965192,9.3712089395982,9.3712089395982,9.3712089395982,20.36,267.69692668762,0.67048509578928,,,,,,,,,130.79747767012,,
2,2021-12-28,Moscow Exchange T+,99.19,99.2,1.0000000000005116,99.195,99.34,99.15,99.34,99.2,99.2,99.2,99.2,99.2,99.2,99.2,Avg,48143535.3,169,48532,8.35,2022-09-30,9.6621196867505,9.6768399555247,9.6621196867505,9.6621196867505,9.6621196867505,20.13,268.68810654508,0.67127263348219,,,,,,,,,164.75061310708,,
3,2021-12-27,Moscow Exchange T+,99.18,99.19,0.9999999999990904,99.185,99.06,99.06,99.33,99.2,99.14,99.2,99.2,99.2,99.2,99.14,Avg,24150674.7,150,24346,8.35,2022-09-30,9.7464086823819,9.6876865114997,9.6730145688212,9.6583460638575,9.6583460638575,19.9,269.68541733864,0.67324677496328,,,,,,,,,176.87304245248,,
4,2021-12-24,Moscow Exchange T+,99.19,99.2,1.0000000000005116,99.195,99.31,99.05,99.35,99.2,99.19,99.19,99.19,99.2,99.2,99.19,Avg,7760358.9,113,7824,8.35,2022-09-30,9.6603013582933,9.6603013582933,9.6457861684642,9.6457861684642,9.6457861684642,19.22,272.68816456974,0.68127741085987,,,,,,,,,171.63361037263,,
5,2021-12-23,Moscow Exchange T+,99.04,99.05,0.9999999999990904,99.045,99.33,99.0,99.34,99.05,99.05,99.05,99.05,99.05,99.05,99.05,Avg,9292982.8,260,9382,8.35,2022-09-30,9.8594859195767,9.8740014542141,9.8594859195767,9.8594859195767,9.8594859195767,18.99,273.68181141031,0.68252019902492,,,,,,,,,197.06231143344,,
6,2021-12-22,Moscow Exchange T+,99.04,99.05,0.9999999999990904,99.045,99.3,98.88,99.3,99.05,98.9,98.9,98.9,99.05,99.05,98.9,Avg,10956201.4,111,11078,8.35,2022-09-30,10.072476510261,9.8696072599456,9.8551418568072,9.8551418568072,9.8551418568072,18.76,274.67502479277,0.68367164831674,,,,,,,,,218.58900913581,,
7,2021-12-21,Moscow Exchange T+,98.89,98.9,1.0000000000005116,98.895,98.89,98.75,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,Avg,20628543.8,90,20858,8.35,2022-09-30,10.067423389011,10.081889322168,10.067423389011,10.067423389011,10.067423389011,18.53,275.6751857201,0.68619257012636,,,,,,,,,205.06055594829,,
8,2021-12-20,Moscow Exchange T+,98.87,98.9,3.0000000000001137,98.885,99.33,98.75,99.33,98.9,98.81,98.81,98.81,98.9,98.9,98.81,Avg,16863748.1,149,17066,8.35,2022-09-30,10.192281514478,10.105673442592,10.062414594211,10.062414594211,10.062414594211,18.3,276.67121051495,0.68789148029368,,,,,,,,,213.81674360212,,
9,2021-12-17,Moscow Exchange T+,98.79,98.8,0.9999999999990904,98.795,99.08,98.7,99.09,98.8,98.73,98.73,98.73,98.8,98.8,98.73,Avg,42306280.0,93,42851,8.35,2022-09-30,10.28924626101,10.203364303664,10.189062208713,10.189062208713,10.189062208713,17.62,279.66812505485,0.69473141509448,,,,,,,,,213.90499667799,,
10,2021-12-16,Moscow Exchange T+,98.68,98.7,1.999999999999602,98.69,98.9,98.66,98.9,98.7,98.7,98.7,98.7,98.7,98.7,98.7,Avg,33206633.5,83,33644,8.35,2022-09-30,10.326432763192,10.355009259262,10.326432763192,10.326432763192,10.326432763192,17.39,280.66694215405,0.69697760291041,,,,,,,,,203.71405318315,,
11,2021-12-15,Moscow Exchange T+,98.67,98.69,1.999999999999602,98.68,98.6,98.6,98.7,98.69,98.69,98.69,98.69,98.69,98.69,98.69,Avg,2800859.8,57,2838,8.35,2022-09-30,10.334920994884,10.363407602365,10.334920994884,10.334920994884,10.334920994884,17.16,281.6666721739,0.69940641262706,,,,,,,,,199.98812724241,,
12,2021-12-14,Moscow Exchange T+,98.6,98.65,5.000000000001137,98.625,98.57,98.57,98.92,98.65,98.69,98.69,98.69,98.65,98.65,98.69,Avg,4000695.7,76,4054,8.35,2022-09-30,10.329171433572,10.457033019292,10.385966137539,10.385966137539,10.385966137539,16.93,282.66685504515,0.70192654380261,,,,,,,,,189.32695521023,,
13,2021-12-13,Moscow Exchange T+,98.65,98.7,4.999999999999716,98.675,98.72,98.61,98.74,98.7,98.69,98.69,98.69,98.7,98.7,98.69,Avg,13569309.3,101,13749,8.35,2022-09-30,10.323470162053,10.380074611785,10.309327165575,10.309327165575,10.309327165575,16.7,283.66703638558,0.70444662550829,,,,,,,,,198.66069336461,,
14,2021-12-10,Moscow Exchange T+,98.69,98.7,1.0000000000005116,98.695,99.11,98.69,99.11,98.7,98.77,98.77,98.77,98.7,98.7,98.77,Avg,3913280.4,88,3962,8.35,2022-09-30,10.194720707632,10.306651023481,10.292648559036,10.292648559036,10.292648559036,16.01,286.67113287849,0.71273864937185,,,,,,,,,177.59961949668,,
15,2021-12-09,Moscow Exchange T+,98.79,98.8,0.9999999999990904,98.795,99.47,98.79,99.47,98.8,98.85,98.85,98.85,98.8,98.8,98.85,Avg,101677646.6,64,102865,8.35,2022-09-30,10.078218181763,10.16171794503,10.14779340028,10.14779340028,10.14779340028,15.78,287.67484193894,0.71599110605706,,,,,,,,,167.49471345175,,
16,2021-12-08,Moscow Exchange T+,98.87,98.9,3.0000000000001137,98.885,98.88,98.64,98.9,98.9,98.86,98.86,98.86,98.9,98.9,98.86,Avg,12685363.6,75,12832,8.35,2022-09-30,10.058236787909,10.04438029558,10.002829685494,10.002829685494,10.002829685494,15.56,288.67547829471,0.71861202254174,,,,,,,,,156.94464723553,,
17,2021-12-07,Moscow Exchange T+,98.99,99.0,1.0000000000005116,98.995,99.49,98.89,99.49,98.9,99.15,99.15,99.15,98.9,98.9,99.15,Avg,7926208.6,103,7994,8.35,2022-09-30,9.654332193355,9.8742889131789,9.8605182824425,9.9983649862872,9.9983649862872,15.33,289.68835505478,0.72378966731384,,,,,,,,,111.67421566182,,
18,2021-12-06,Moscow Exchange T+,99.01,99.14,12.999999999999543,99.075,98.78,98.77,99.24,99.14,99.09,99.09,99.09,99.14,99.14,99.09,Avg,854143.5,41,862,8.35,2022-09-30,9.7331461992752,9.8428170237338,9.664702444077,9.664702444077,9.664702444077,15.1,290.6858403949,0.7257602559572,,,,,,,,,123.30779730735,,
19,2021-12-03,Moscow Exchange T+,98.99,99.0,1.0000000000005116,98.995,99.58,98.42,99.58,99.0,99.01,99.01,99.01,99.0,99.0,99.01,Avg,8921859.5,106,9011,8.35,2022-09-30,9.8312202528208,9.8584042701904,9.8448107339353,9.8448107339353,9.8448107339353,14.41,293.68271258387,0.73258784670745,,,,,,,,,141.62539362349,,
20,2021-12-02,Moscow Exchange T+,98.84,98.85,0.9999999999990904,98.845,99.8,98.78,99.8,98.85,98.85,98.85,98.85,98.85,98.85,98.85,Avg,23860524.1,75,24138,8.35,2022-09-30,10.044538843355,10.058134593312,10.044538843355,10.044538843355,10.044538843355,14.18,294.67591457393,0.73364047075021,,,,,,,,,160.11506174164,,
21,2021-12-01,Moscow Exchange T+,98.87,98.98,10.999999999999943,98.925,99.55,98.73,99.55,98.98,98.83,98.83,98.83,98.98,98.98,98.83,Avg,53019315.9,132,53649,8.35,2022-09-30,10.067187985117,10.012984788876,9.864176466861,9.864176466861,9.864176466861,13.95,295.67519321295,0.7359768495319,,,,,,,,,176.31825277223,,
22,2021-11-30,Moscow Exchange T+,98.73,98.75,1.999999999999602,98.74,98.7,98.69,98.8,98.75,98.79,98.79,98.79,98.75,98.75,98.79,Avg,17938563.5,77,18158,8.35,2022-09-30,10.115407098246,10.196614943221,10.169533523063,10.169533523063,10.169533523063,13.73,296.67365773229,0.73813879742288,,,,,,,,,175.55314338963,,
23,2021-11-29,Moscow Exchange T+,98.76,98.8,3.999999999999204,98.78,98.8,98.64,98.8,98.8,98.79,98.79,98.79,98.8,98.8,98.79,Avg,19139108.4,66,19373,8.35,2022-09-30,10.110769963993,10.151231418698,10.097288847162,10.097288847162,10.097288847162,13.5,297.6738053803,0.7406584047514,,,,,,,,,177.7799694669,,
24,2021-11-26,Moscow Exchange T+,98.79,98.8,0.9999999999990904,98.795,99.2,98.5,99.2,98.8,98.74,98.74,98.74,98.85,98.85,98.74,Avg,3058069.8,86,3097,8.35,2022-09-30,10.163902421659,10.097087104099,10.083732965376,10.083732965376,10.017006842779,12.81,300.67211382261,0.7477578388603,,,,,,,,,169.16515467819,,
25,2021-11-25,Moscow Exchange T+,98.78,98.8,1.999999999999602,98.79,98.69,98.69,98.8,98.8,98.78,98.78,98.78,98.8,98.8,98.78,Avg,23013684.8,55,23298,8.35,2022-09-30,10.105916415472,10.105916415472,10.079288685088,10.079288685088,10.079288685088,12.58,301.67395992203,0.75064449458616,,,,,,,,,164.63953392699,,
26,2021-11-24,Moscow Exchange T+,98.52,98.69,17.00000000000017,98.605,98.51,98.5,98.97,98.7,98.74,98.74,98.74,98.66,98.66,98.74,Avg,44999232.6,89,45573,8.35,2022-09-30,10.154550649851,10.44758310272,10.221023179497,10.207722767161,10.26094215101,12.35,302.67241151883,0.75279639263305,,,,,,,,,154.63239359016,,
27,2021-11-23,Moscow Exchange T+,98.65,98.8,14.999999999999147,98.725,98.8,98.7,99.0,98.8,98.8,98.8,98.8,98.8,98.8,98.8,Avg,6765577.8,81,6848,8.35,2022-09-30,10.070509444703,10.269263518014,10.070509444703,10.070509444703,10.070509444703,12.12,303.67508743174,0.75586689396297,,,,,,,,,132.33188952445,,
28,2021-11-22,Moscow Exchange T+,98.81,98.89,7.999999999999829,98.85,98.99,98.81,99.0,98.9,98.96,98.96,98.96,98.9,98.9,98.96,Avg,10100010.8,74,10206,8.35,2022-09-30,9.8542349286575,10.051669453343,9.9462895924885,9.9331302081183,9.9331302081183,11.9,304.6819788093,0.75986615169169,,,,,,,,,125.09010695082,,
29,2021-11-19,Moscow Exchange T+,98.99,99.0,1.0000000000005116,98.995,98.99,98.95,99.0,98.99,99.0,99.0,99.0,98.99,98.99,99.0,Avg,6088441.6,79,6150,8.35,2022-09-30,9.7913266886536,9.8043367258728,9.7913266886536,9.8043367258728,9.8043367258728,11.21,307.68398469785,0.76779272690683,,,,,,,,,140.76076493968,,
30,2021-11-18,Moscow Exchange T+,98.99,99.0,1.0000000000005116,98.995,99.24,98.99,99.24,99.0,99.03,99.03,99.03,99.0,99.0,99.03,Avg,31175090.2,83,31480,8.35,2022-09-30,9.7490345933177,9.8008993746113,9.7879289126703,9.7879289126703,9.7879289126703,10.98,308.68533357122,0.77058832070343,,,,,,,,,139.51110723406,,
31,2021-11-17,Moscow Exchange T+,99.1,99.21,10.999999999999943,99.155,99.24,99.06,99.24,99.21,99.17,99.17,99.17,99.21,99.21,99.17,Avg,1885216.9,56,1901,8.35,2022-09-30,9.5651630777006,9.6554041586912,9.5136587318339,9.5136587318339,9.5136587318339,10.75,309.69120128447,0.77439673412731,,,,,,,,,131.0084754192,,
32,2021-11-16,Moscow Exchange T+,99.21,99.24,3.0000000000001137,99.225,99.25,99.2,99.25,99.21,99.22,99.22,99.22,99.22,99.22,99.22,Avg,3350763.0,76,3377,8.35,2022-09-30,9.4983053931832,9.5111356701509,9.4726532364442,9.5111356701509,9.4983053931832,10.52,310.69333617042,0.77737698002584,,,,,,,,,123.77841381155,,
33,2021-11-15,Moscow Exchange T+,99.22,99.25,3.0000000000001137,99.235,99.75,99.21,99.75,99.22,99.28,99.28,99.28,99.22,99.22,99.28,Avg,1859458.6,57,1873,8.35,2022-09-30,9.4191518081006,9.4958438493499,9.4574853006377,9.4958438493499,9.4958438493499,10.29,311.69586459918,0.78044954540697,,,,,,,,,118.02496030962,,
34,2021-11-12,Moscow Exchange T+,99.28,99.29,1.0000000000005116,99.285,99.35,99.25,99.38,99.29,99.28,99.28,99.28,99.29,99.29,99.28,Avg,734700.5,41,740,8.35,2022-09-30,9.4113191764831,9.4113191764831,9.3986609960495,9.3986609960495,9.3986609960495,9.61,314.69611485295,0.78801822615146,,,,,,,,,128.44369936105,,
35,2021-11-11,Moscow Exchange T+,99.21,99.3,9.000000000000341,99.255,99.39,99.2,99.4,99.21,99.22,99.22,99.22,99.21,99.21,99.22,Avg,28033471.8,100,28254,8.35,2022-09-30,9.4849569612315,9.4975968338726,9.3839364375732,9.4975968338726,9.4975968338726,9.38,315.69376249371,0.78998470821635,,,,,,,,,139.99558304511,,
36,2021-11-10,Moscow Exchange T+,99.39,99.4,1.0000000000005116,99.395,99.16,99.16,99.6,99.4,99.31,99.31,99.31,99.4,99.4,99.31,Avg,5963831.0,68,6005,8.35,2022-09-30,9.3693089724052,9.2687820154441,9.2562283506232,9.2562283506232,9.2562283506232,9.15,316.69745725273,0.79333432257924,,,,,,,,,120.38351277776,,
37,2021-11-09,Moscow Exchange T+,99.35,99.44,9.000000000000341,99.395,99.98,99.2,99.98,99.3,99.43,99.43,99.43,99.3,99.3,99.43,Avg,19165808.1,84,19276,8.35,2022-09-30,9.2170331585799,9.3171785784172,9.2045271166594,9.3798572409949,9.3798572409949,8.92,317.70232543684,0.79696115595827,,,,,,,,,102.02913000885,,
38,2021-11-08,Moscow Exchange T+,99.22,99.3,7.999999999999829,99.26,99.96,99.27,100.0,99.3,99.42,99.42,99.42,99.3,99.3,99.42,Avg,22172117.9,123,22301,8.35,2022-09-30,9.2279712028199,9.4779792938503,9.3778467995916,9.3778467995916,9.3778467995916,8.69,318.70197563029,0.79938873532305,,,,,,,,,99.381924523569,,
39,2021-11-05,Moscow Exchange T+,99.72,99.73,1.0000000000005116,99.725,99.54,99.54,99.82,99.78,99.69,99.69,99.69,99.78,99.78,99.69,Avg,2204054.3,48,2211,8.35,2022-09-30,8.8892308017961,8.852361546452201,8.840077043582301,8.778693859005699,8.778693859005699,8.01,321.7128176032,0.80945101112813,,,,,,,,,61.209560721965,,
40,2021-11-03,Moscow Exchange T+,99.52,99.55,3.0000000000001137,99.535,99.83,99.51,99.83,99.55,99.55,99.55,99.55,99.55,99.55,99.55,Avg,2631131.8,44,2643,8.35,2022-09-30,9.0595335262928,9.0963245252622,9.0595335262928,9.0595335262928,9.0595335262928,7.55,323.7073644907,0.81319758399804,,,,,,,,,84.093815840302,,
41,2021-11-02,Moscow Exchange T+,99.52,99.55,3.0000000000001137,99.535,99.99,99.43,99.99,99.55,99.48,99.48,99.48,99.55,99.55,99.48,Avg,3290944.8,74,3308,8.35,2022-09-30,9.1441559705266,9.095205149639,9.0585194051976,9.0585194051976,9.0585194051976,7.32,324.70465658473,0.81507048265827,,,,,,,,,89.755964410674,,
42,2021-11-01,Moscow Exchange T+,99.61,99.64,3.0000000000001137,99.625,99.78,99.55,99.78,99.55,99.58,99.58,99.58,99.55,99.55,99.58,Avg,1605203.9,49,1612,8.35,2022-09-30,9.0209601417045,8.9844256484351,8.9479144478378,9.0575179495454,9.0575179495454,7.09,325.70859921059,0.81851446313121,,,,,,,,,74.268939058219,,
43,2021-10-29,Moscow Exchange T+,99.6,99.63,3.0000000000001137,99.615,99.65,99.43,99.65,99.63,99.71,99.5,99.5,99.63,99.63,99.71,Avg,6013932.2,44,6044,8.35,2022-09-30,8.8603260486596,8.9929802563521,8.9567712078837,8.9567712078837,8.9567712078837,6.41,328.71374359419,0.82728541386662,,,,,,,,,83.74456688408,,
44,2021-10-28,Moscow Exchange T+,99.6,99.65,5.000000000001137,99.625,99.55,99.4,99.71,99.64,99.4,99.4,99.4,99.65,99.65,99.4,Avg,281510530.3,89,283202,8.35,2022-09-30,9.2335031710191,8.9922015895679,8.9320355266262,8.9440636533019,8.9320355266262,6.18,329.70179872006,0.8269373159431,,,,,,,,,114.10481827171,,
45,2021-10-27,Moscow Exchange T+,99.58,99.6,1.999999999999602,99.59,100.2,99.4,100.2,99.75,99.84,99.54,99.54,99.75,99.75,99.84,Avg,30037879.8,52,30176,8.35,2022-09-30,8.7040220540392,9.0154507181838,8.9914339732403,8.8116311234412,8.8116311234412,5.95,330.7187532503,0.83352828985278,,,,,,,,,78.177088274485,,
46,2021-10-26,Moscow Exchange T+,99.73,99.74,0.9999999999990904,99.735,99.89,99.4,99.89,99.74,99.57,99.57,99.57,99.74,99.74,99.57,Avg,775039799.5,96,778389,8.35,2022-09-30,9.0266055954638,8.835250311390901,8.8233120079032,8.8233120079032,8.8233120079032,5.72,331.70841848634,0.83354900638273,,,,,,,,,111.51955029174,,
47,2021-10-25,Moscow Exchange T+,99.8,99.81,1.0000000000005116,99.805,100.24,99.39,100.24,99.81,99.86,99.86,99.86,99.81,99.81,99.86,Avg,940681.5,42,942,8.35,2022-09-30,8.6803652985145,8.7516535513866,8.7397659352446,8.7397659352446,8.7397659352446,5.49,332.71951180595,0.83875344347055,,,,,,,,,94.430555729179,,
48,2021-10-22,Moscow Exchange T+,99.88,99.9,2.000000000001023,99.89,99.9,99.83,99.9,99.9,99.88,99.88,99.88,99.9,99.9,99.88,Avg,1697026.6,37,1699,8.35,2022-09-30,8.6572027975988,8.6572027975988,8.6336657284351,8.6336657284351,8.6336657284351,4.8,335.72025459981,0.8464984333941,,,,,,,,,112.50275843414,,
49,2021-10-21,Moscow Exchange T+,99.84,99.85,0.9999999999990904,99.845,100.17,99.82,100.19,99.85,99.87,99.87,99.87,99.85,99.85,99.87,Avg,3900978.2,55,3906,8.35,2022-09-30,8.6679721681974,8.7032060745941,8.6914589859344,8.6914589859344,8.6914589859344,4.58,336.71990922807,0.84893486171537,,,,,,,,,127.74304779977,,
50,2021-10-20,Moscow Exchange T+,100.0,100.01,1.0000000000005116,100.005,99.87,99.87,100.07,100.01,100.0,100.0,100.0,100.01,100.01,100.0,Avg,583971.7,21,584,8.35,2022-09-30,8.5161422227443,8.5161422227443,8.5044662257994,8.5044662257994,8.5044662257994,4.35,337.72478009729,0.85265966074459,,,,,,,,,116.40601925393,,
51,2021-10-19,Moscow Exchange T+,99.92,100.05,12.999999999999543,99.985,99.82,99.81,100.08,100.07,99.84,99.84,99.84,100.07,100.07,99.84,Avg,5467418.2,47,5476,8.35,2022-09-30,8.7033785202406,8.609981762899501,8.4585433303222,8.4352814302828,8.4352814302828,4.12,338.7187738835,0.85369622674969,,,,,,,,,140.2951129626,,
52,2021-10-18,Moscow Exchange T+,99.84,99.85,0.9999999999990904,99.845,100.08,99.82,100.22,99.85,99.85,99.85,99.85,99.85,99.85,99.85,Avg,1639533.0,45,1642,8.35,2022-09-30,8.6918217999278,8.7034732013269,8.6918217999278,8.6918217999278,8.6918217999278,3.89,339.71914444064,0.85630856730176,,,,,,,,,136.82108311114,,
53,2021-10-15,Moscow Exchange T+,99.84,99.85,0.9999999999990904,99.845,100.38,99.71,100.38,99.85,99.84,99.84,99.84,99.85,99.85,99.84,Avg,19289988.6,78,19321,8.35,2022-09-30,8.7037905190765,8.7037905190765,8.692233113449301,8.692233113449301,8.692233113449301,3.2,342.7187606732,0.86377439481186,,,,,,,,,145.44831594497,,
54,2021-10-14,Moscow Exchange T+,99.87,99.89,1.999999999999602,99.88,100.1,99.85,100.1,99.89,99.9,99.9,99.9,99.89,99.89,99.9,Avg,3899272.7,50,3903,8.35,2022-09-30,8.6347843446553,8.6693350606206,8.6462988673554,8.6462988673554,8.6462988673554,2.97,343.72097361423,0.86685061626817,,,,,,,,,138.74295450875,,
55,2021-10-13,Moscow Exchange T+,99.86,100.1,23.99999999999949,99.98,100.22,99.85,100.23,99.85,99.89,99.89,99.89,99.85,99.85,99.89,Avg,11478683.2,90,11491,8.35,2022-09-30,8.6454263061416,8.6798911972446,8.4047689359721,8.6913842434571,8.6913842434571,2.75,344.72063229026,0.86928655956967,,,,,,,,,138.31142524236,,
56,2021-10-12,Moscow Exchange T+,99.92,99.95,3.0000000000001137,99.935,100.0,99.91,100.09,99.95,99.96,99.96,99.96,99.95,99.95,99.96,Avg,13164961.6,62,13170,8.35,2022-09-30,8.565588363906999,8.611357840055101,8.5770271934283,8.5770271934283,8.5770271934283,2.52,345.72319340617,0.87245585412834,,,,,,,,,125.75601092094,,
57,2021-10-11,Moscow Exchange T+,99.9,99.91,0.9999999999990904,99.905,100.1,99.9,100.1,99.9,99.92,99.92,99.92,99.9,99.9,99.92,Avg,26174783.6,105,26197,8.35,2022-09-30,8.6117367745665,8.6345749521303,8.6231546869348,8.6345749521303,8.6345749521303,2.29,346.72171289008,0.87460391416109,,,,,,,,,129.41184865681,,
58,2021-10-08,Moscow Exchange T+,100.08,100.1,1.999999999999602,100.09,100.68,100.08,100.83,100.1,100.13,100.13,100.13,100.1,100.1,100.13,Avg,2050590.9,44,2048,8.35,2022-09-30,8.3755467226541,8.4319659266916,8.4093913098121,8.4093913098121,8.4093913098121,1.6,349.72929384308,0.8841131397816,,,,,,,,,112.51069698723,,
59,2021-10-07,Moscow Exchange T+,100.21,100.31,10.000000000000853,100.26,100.4,100.31,100.4,100.31,100.32,100.27,,100.31,100.31,100.32,Avg,127406.7,6,127,8.35,2022-09-30,8.1632529084887,8.2866464820689,8.1744590537615,8.1744590537615,8.1744590537615,1.37,350.73611543674,0.88839863666382,,,,,,,,,85.598250657882,,
60,2021-10-06,Moscow Exchange T+,100.24,100.25,1.0000000000005116,100.245,100.5,100.18,100.67,100.25,100.24,100.27,,100.25,100.25,100.24,Avg,332810.3,20,332,8.35,2022-09-30,8.2543030530354,8.2543030530354,8.2431100741806,8.2431100741806,8.2431100741806,1.14,351.7331888544,0.89017484296374,,,,,,,,,90.557276858202,,
61,2021-10-05,Moscow Exchange T+,100.21,100.4,19.000000000001194,100.305,100.06,100.06,100.4,100.32,100.26,100.26,100.26,100.32,100.32,100.26,Avg,1292353.3,60,1289,8.35,2022-09-30,8.2321965839942,8.288026556936599,8.076174859898199,8.165275659240399,8.165275659240399,0.92,352.73389928978,0.8928898009379,,,,,,,,,89.03672890867,,
62,2021-10-04,Moscow Exchange T+,100.36,100.37,1.0000000000005116,100.365,100.22,100.22,100.45,100.37,100.4,100.3,,100.37,100.37,100.4,Avg,218864.3,22,218,8.35,2022-09-30,8.0779721072823,8.1223893673917,8.1112816660107,8.1112816660107,8.1112816660107,0.69,353.73885778701,0.89671145441073,,,,,,,,,83.67048414125,,
