,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,97.91,98.0,9.000000000000341,97.955,97.95,97.5,98.0,98.0,97.84,97.71,,98.0,98.0,97.84,Avg,353187.0,48,361,7.4,2029-10-01,,,,,,16.22,,,2024-10-10,8.4524198536665,8.422089772386899,8.3831397675689,8.3831397675689,8.3831397675689,918.0702707771,2.3192299620621,7.0922279123382,,
1,2021-12-29,Moscow Exchange T+,97.25,97.5,25.0,97.375,96.09,96.09,97.56,97.5,97.39,97.4,,97.5,97.5,97.39,Avg,197708.3,57,203,7.4,2029-10-01,,,,,,16.02,,,2024-10-10,8.6470583556314,8.7081620095233,8.599136934589199,8.599136934589199,8.599136934589199,918.8000947216,2.3169154982955,18.715590749685,,
2,2021-12-28,Moscow Exchange T+,97.35,97.43,8.00000000000125,97.39,96.33,96.33,97.95,97.45,97.55,97.34,,97.45,97.45,97.55,Avg,220452.8,50,226,7.4,2029-10-01,,,,,,15.81,,,2024-10-10,8.576792477079,8.6638390939746,8.6289896028225,8.6202836613858,8.6202836613858,919.89766248238,2.3211843994903,15.883023014559,,
3,2021-12-27,Moscow Exchange T+,97.09,97.47,37.999999999999545,97.28,97.99,96.15,97.99,97.0,97.06,97.27,,96.91,96.91,97.06,Avg,222278.0,64,229,7.4,2029-10-01,,,,,,15.61,,,2024-10-10,8.7893045111415,8.7761866734192,8.6105304483786,8.815557691929001,8.854981293466201,920.60246707383,2.318425098186,34.126013173239,,
4,2021-12-24,Moscow Exchange T+,97.35,97.5,15.000000000000568,97.425,96.8,96.8,97.61,97.5,97.1,97.43,97.43,97.5,97.5,97.1,Avg,569007.0,42,584,7.4,2029-10-01,,,,,,15.0,,,2024-10-10,8.7686940624337,8.6599116909376,8.5948348353949,8.5948348353949,8.5948348353949,923.63111112839,2.3264931299256,37.621168964585,,
5,2021-12-23,Moscow Exchange T+,97.01,97.2,18.999999999999773,97.105,96.06,96.06,97.46,97.2,97.1,97.19,97.19,97.2,97.2,97.1,Avg,1059355.8,64,1090,7.4,2029-10-01,,,,,,14.8,,,2024-10-10,8.767516623619601,8.806741892494,8.723994236701001,8.723994236701001,8.723994236701001,924.63274741351,2.3290413190536,32.184828408123,,
6,2021-12-22,Moscow Exchange T+,97.08,97.35,26.9999999999996,97.215,97.43,97.04,97.43,97.08,97.05,96.84,,97.08,97.08,97.05,Avg,176902.9,35,182,7.4,2029-10-01,,,,,,14.6,,,2024-10-10,8.7881094756871,8.775047962388701,8.6577547839767,8.775047962388701,8.775047962388701,925.60412796995,2.3310467777109,29.03850080905,,
7,2021-12-21,Moscow Exchange T+,96.81,96.97,15.99999999999966,96.89,97.47,96.71,97.47,96.97,96.91,96.73,,96.97,96.97,96.91,Avg,80433.2,31,83,7.4,2029-10-01,,,,,,14.39,,,2024-10-10,8.8483335906181,8.891966266304099,8.8221850274638,8.8221850274638,8.8221850274638,926.52041204118,2.332063343598,24.184649692998,,
8,2021-12-20,Moscow Exchange T+,96.5,96.67,17.00000000000017,96.585,97.0,96.06,97.72,96.7,96.73,96.73,96.73,96.69,96.69,96.73,Avg,613267.5,39,634,7.4,2029-10-01,,,,,,14.19,,,2024-10-10,8.9256109023997,9.0262424927104,8.9518294521822,8.938717255565,8.943087338277,927.41295179467,2.3326538002655,26.132593258717,,
9,2021-12-17,Moscow Exchange T+,96.11,96.49,37.999999999999545,96.3,96.96,95.69,96.96,96.49,96.17,96.17,96.17,96.37,96.37,96.17,Avg,536624.1,29,558,7.4,2029-10-01,,,,,,13.58,,,2024-10-10,9.1671199232849,9.1934882437848,9.0268868798917,9.0268868798917,9.0793958933154,930.07683124798,2.3341787379203,43.973671448874,,
10,2021-12-16,Moscow Exchange T+,96.4,96.41,0.9999999999990904,96.405,96.79,94.75,96.8,96.42,96.24,96.29,,96.42,96.42,96.24,Avg,138579.9,34,144,7.4,2029-10-01,,,,,,13.38,,,2024-10-10,9.1349070987345,9.0648422539704,9.0604687460669,9.0560958895005,9.0560958895005,931.12168824636,2.3374907183957,35.397093009617,,
11,2021-12-15,Moscow Exchange T+,95.91,96.3,39.00000000000006,96.105,95.52,95.52,96.39,96.3,96.3,96.3,96.3,96.3,96.3,96.3,Avg,773252.6,53,803,7.4,2029-10-01,,,,,,13.18,,,2024-10-10,9.1071617891837,9.2783426433419,9.1071617891837,9.1071617891837,9.1071617891837,932.16031803662,2.3406931709638,30.54587051512,,
12,2021-12-14,Moscow Exchange T+,96.3,96.39,9.000000000000341,96.345,95.99,94.73,96.39,96.39,95.57,95.51,,96.39,96.39,95.57,Avg,132843.6,36,139,7.4,2029-10-01,,,,,,12.98,,,2024-10-10,9.426664558919,9.1057153095153,9.0663880602531,9.0663880602531,9.0663880602531,932.71513265662,2.3352479355804,60.433353229274,,
13,2021-12-13,Moscow Exchange T+,95.5,95.9,40.00000000000057,95.7,96.93,94.53,96.93,95.8,94.9,95.39,95.39,95.5,95.5,94.9,Avg,1396563.0,69,1464,7.4,2029-10-01,,,,,,12.77,,,2024-10-10,9.7228062270651,9.4563155658641,9.2799868072091,9.3239698941337,9.4563155658641,933.30183132458,2.3304100638895,94.944208650177,,
14,2021-12-10,Moscow Exchange T+,95.06,95.29,23.0000000000004,95.175,95.72,95.29,95.94,95.29,95.1,95.9,,95.29,95.29,95.1,Avg,240869.6,36,252,7.4,2029-10-01,,,,,,12.16,,,2024-10-10,9.6284592945727,9.6462106637435,9.5442863871397,9.5442863871397,9.5442863871397,936.43357326901,2.3402421689791,85.710223522111,,
15,2021-12-09,Moscow Exchange T+,95.79,96.01,21.999999999999886,95.9,95.11,95.11,96.53,95.79,96.14,96.11,,95.79,95.79,96.14,Avg,372071.3,32,387,7.4,2029-10-01,,,,,,11.96,,,2024-10-10,9.169167332058,9.3223064404967,9.2259540864016,9.3223064404967,9.3223064404967,938.07397990142,2.3542047275516,39.825621216985,,
16,2021-12-08,Moscow Exchange T+,95.28,96.35,106.99999999999932,95.815,96.99,95.11,96.99,96.35,96.24,96.25,,96.35,96.35,96.24,Avg,480214.7,49,499,7.4,2029-10-01,,,,,,11.76,,,2024-10-10,9.1241192264497,9.5450846108237,9.0762681767111,9.0762681767111,9.0762681767111,939.13670884093,2.357844720979,31.527789889741,,
17,2021-12-07,Moscow Exchange T+,96.24,96.49,25.0,96.365,95.23,95.22,96.57,96.26,96.34,96.34,96.34,96.26,96.26,96.34,Avg,511563.3,51,531,7.4,2029-10-01,,,,,,11.56,,,2024-10-10,9.0792170383205,9.1226832211689,9.0141389070245,9.1139848056657,9.1139848056657,940.19921976959,2.361484014353,27.625112280464,,
18,2021-12-06,Moscow Exchange T+,95.54,96.17,62.999999999999545,95.855,95.06,95.06,96.51,96.18,96.42,96.29,,96.27,96.27,96.42,Avg,352913.9,55,366,7.4,2029-10-01,,,,,,11.35,,,2024-10-10,9.0435611502584,9.4275110334289,9.1521254266143,9.1477750904202,9.108651221301,941.24884784253,2.3648933870918,26.459154885575,,
19,2021-12-03,Moscow Exchange T+,96.22,96.54,32.00000000000074,96.38,96.58,95.26,96.58,96.52,96.06,96.42,,96.52,96.52,96.06,Avg,228613.6,43,238,7.4,2029-10-01,,,,,,10.75,,,2024-10-10,9.1955520242179,9.1260919772087,8.987667091754501,8.9962993789169,8.9962993789169,944.03723260407,2.3685977396074,44.234924187282,,
20,2021-12-02,Moscow Exchange T+,96.35,96.59,24.00000000000091,96.47,95.1,95.05,96.7,96.59,96.58,96.58,96.58,96.59,96.59,96.58,Avg,1703633.5,47,1764,7.4,2029-10-01,,,,,,10.54,,,2024-10-10,8.969556384357299,9.0688389240452,8.9652474359201,8.9652474359201,8.9652474359201,945.35182243442,2.3768152123475,22.473808869756,,
21,2021-12-01,Moscow Exchange T+,96.19,96.2,1.0000000000005116,96.195,96.96,95.21,96.96,96.2,96.07,96.07,96.07,96.2,96.2,96.07,Avg,1276751.5,30,1329,7.4,2029-10-01,,,,,,10.34,,,2024-10-10,9.1886921166412,9.1366788964743,9.1323486569906,9.1323486569906,9.1323486569906,946.04678722553,2.3737888565681,45.267461445052,,
22,2021-11-30,Moscow Exchange T+,95.8,95.9,10.000000000000853,95.85,96.97,95.11,97.5,95.11,96.21,96.21,96.21,95.13,95.13,96.21,Avg,820655.6,72,853,7.4,2029-10-01,,,,,,10.14,,,2024-10-10,9.1266047677268,9.3044944108847,9.2610062767574,9.6063450315176,9.5975516279629,947.13324811823,2.3778670809066,39.396188947596,,
23,2021-11-29,Moscow Exchange T+,96.4,96.49,8.99999999999892,96.445,95.95,94.42,96.5,96.49,94.95,94.95,94.95,96.48,96.48,94.95,Avg,1635034.0,88,1722,7.4,2029-10-01,,,,,,9.93,,,2024-10-10,9.6753423684209,9.0436281499724,9.0048671024946,9.0048671024946,9.0091713289,947.36811587194,2.3665566284368,95.155269224921,,
24,2021-11-26,Moscow Exchange T+,94.72,95.52,79.99999999999972,95.12,95.11,94.7,95.91,94.7,95.65,95.65,95.65,94.74,94.74,95.65,Avg,10876540.7,85,11371,7.4,2029-10-01,,,,,,9.33,,,2024-10-10,9.3638352366703,9.7709290315813,9.4203994270034,9.7797465510027,9.7621141778678,950.80273611361,2.3819016564422,51.767603795069,,
25,2021-11-25,Moscow Exchange T+,95.17,95.47,29.999999999999716,95.32,95.99,95.01,95.99,95.2,95.26,95.26,95.26,95.21,95.21,95.26,Avg,690660.0,67,725,7.4,2029-10-01,,,,,,9.12,,,2024-10-10,9.5325501853656,9.5718946975111,9.4409529015099,9.558773944132,9.5544016749066,951.56743000505,2.3801454913598,67.568205756203,,
26,2021-11-24,Moscow Exchange T+,95.03,95.58,54.99999999999971,95.305,96.75,95.0,96.75,95.93,95.4,95.4,95.4,95.11,95.11,95.4,Avg,564793.9,143,592,7.4,2029-10-01,,,,,,8.92,,,2024-10-10,9.469765164316,9.6313759706576,9.3914676749648,9.2398249274606,9.5963568614416,952.65502034275,2.3842325325591,52.836754944921,,
