,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,97.8,97.98,18.000000000000682,97.89,97.43,97.43,98.01,97.98,97.99,97.99,97.99,97.98,97.98,97.99,Avg,2537860.7,69,2590,8.65,2024-10-11,9.7032086112534,9.787306534405,9.7076288774772,9.7076288774772,9.7076288774772,18.01,907.8209471006,2.2671904573015,,,,,,,,,132.29002460517,,
1,2021-12-29,Moscow Exchange T+,97.99,98.0,1.0000000000005116,97.995,98.0,97.75,98.0,98.0,97.95,97.98,,98.0,98.0,97.95,Avg,266412.8,32,272,8.65,2024-10-11,9.7202972735318,9.7026274262461,9.6982115987995,9.6982115987995,9.6982115987995,17.77,908.79453890361,2.269268415837,,,,,,,,,126.1203194689,,
2,2021-12-28,Moscow Exchange T+,97.8,98.0,20.000000000000284,97.9,97.37,97.37,98.0,98.0,98.0,98.0,,98.0,98.0,98.0,Avg,497833.7,19,508,8.65,2024-10-11,9.6971969407081,9.7855600299107,9.6971969407081,9.6971969407081,9.6971969407081,17.54,909.83023799839,2.2723329793965,,,,,,,,,128.02875408651,,
3,2021-12-27,Moscow Exchange T+,97.99,98.0,1.0000000000005116,97.995,97.79,97.15,98.0,98.0,97.77,97.77,97.77,98.0,98.0,97.77,Avg,1510547.2,57,1545,8.65,2024-10-11,9.798179977399,9.7010357679588,9.696627635923,9.696627635923,9.696627635923,17.3,910.67415121933,2.2723488450237,,,,,,,,,135.14330851254,,
4,2021-12-24,Moscow Exchange T+,97.69,98.0,31.000000000000227,97.845,97.96,97.15,98.0,97.99,97.94,97.94,97.94,97.99,97.99,97.94,Avg,1307553.7,37,1335,8.65,2024-10-11,9.7208927018283,9.831103270058,9.6945028075184,9.6988994972155,9.6988994972155,16.59,913.79361857628,2.281738781771,,,,,,,,,132.93931475935,,
5,2021-12-23,Moscow Exchange T+,97.56,97.79,23.0000000000004,97.675,97.96,97.19,97.96,97.59,97.59,97.59,97.59,97.62,97.62,97.59,Avg,1633586.1,38,1674,8.65,2024-10-11,9.8745928924524,9.8878539065089,9.7863368332547,9.8745928924524,9.8613377839195,16.35,914.55599323502,2.2804479108566,,,,,,,,,143.11686263681,,
6,2021-12-22,Moscow Exchange T+,96.92,97.27,34.99999999999943,97.095,97.3,96.22,97.3,97.28,96.87,96.57,,97.28,97.28,96.87,Avg,322563.1,79,333,8.65,2024-10-11,10.193071490123,10.170764196337,10.015078718691,10.010642492326,10.010642492326,16.12,915.06307822523,2.2751177530691,,,,,,,,,169.86011951207,,
7,2021-12-21,Moscow Exchange T+,96.04,96.18,14.000000000000057,96.11,96.93,95.75,96.93,96.05,96.07,96.04,,96.06,96.06,96.07,Avg,246911.4,46,257,8.65,2024-10-11,10.55098954845,10.564532239297,10.50138540931,10.560017327809,10.555503097586,15.88,915.50826124581,2.2688551426608,,,,,,,,,194.739300275,,
8,2021-12-20,Moscow Exchange T+,95.92,96.13,20.999999999999375,96.025,96.09,95.7,96.21,96.13,96.03,96.03,96.03,96.13,96.13,96.03,Avg,633770.3,51,660,8.65,2024-10-11,10.567754352188,10.617428169062,10.52266783989,10.52266783989,10.52266783989,15.64,916.48225147264,2.2709245500359,,,,,,,,,190.52390100891,,
9,2021-12-17,Moscow Exchange T+,95.96,96.13,17.00000000000017,96.045,95.41,95.41,96.74,96.23,95.76,95.76,95.76,96.23,96.23,95.76,Avg,576457.5,37,602,8.65,2024-10-11,10.6852155465,10.594976214848,10.518486719008,10.473584358192,10.473584358192,14.93,919.29996053575,2.2754891124614,,,,,,,,,195.80695217723,,
