,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,95.81,96.7,89.00000000000006,96.255,96.7,96.69,98.69,96.7,96.72,96.72,96.72,96.9,96.9,96.72,Avg,894651.4,13.0,925.0,7.1,2029-10-11,,,,,,13.62,,,2024-04-23,8.9726122588908,9.4550158071925,8.9831406577197,8.9831406577197,8.8780046548359,770.47139838578,1.9370743710427,61.179638112333,,
1,2021-12-29,Moscow Exchange T+,95.93,96.3,36.999999999999034,96.115,96.68,96.3,96.68,96.3,96.64,96.64,96.64,96.3,96.3,96.64,Avg,2360922.2,12.0,2443.0,7.1,2029-10-11,,,,,,13.42,,,2024-04-23,9.0130757189618,9.3889179415543,9.1925334675564,9.1925334675564,9.1925334675564,771.43488327452,1.9387768065531,57.012470997527,,
2,2021-12-28,Moscow Exchange T+,95.77,96.59,82.00000000000074,96.18,96.35,94.01,96.59,96.59,96.3,96.3,96.3,96.59,96.59,96.3,Avg,662562.7,39.0,688.0,7.1,2029-10-11,,,,,,13.23,,,2024-04-23,9.1901424568824,9.471487953399,9.0371878038529,9.0371878038529,9.0371878038529,772.27502547367,1.9377408436248,79.27655457043,,
3,2021-12-27,Moscow Exchange T+,95.71,95.8,9.000000000000341,95.755,98.76,95.51,98.76,95.7,96.48,96.45,,95.7,95.7,96.48,Avg,371466.1,37.0,385.0,7.1,2029-10-11,,,,,,13.03,,,2024-04-23,9.0933736813296,9.5012844848218,9.4533508906046,9.5066146468839,9.5066146468839,773.36240327792,1.9421904680115,67.154600713407,,
4,2021-12-24,Moscow Exchange T+,95.51,96.34,82.99999999999983,95.925,97.01,96.34,97.01,96.34,96.52,96.15,,96.34,96.34,96.52,Avg,180497.6,10.0,187.0,7.1,2029-10-11,,,,,,12.45,,,2024-04-23,9.0661300948662,9.6000685877402,9.1606679505287,9.1606679505287,9.1606679505287,776.38699693851,1.95027334425,69.433410762107,,
5,2021-12-23,Moscow Exchange T+,95.16,96.37,121.0000000000008,95.765,96.68,95.11,96.68,96.37,96.04,96.1,96.1,96.37,96.37,96.04,Avg,27852.3,6.0,29.0,7.1,2029-10-11,,,,,,12.25,,,2024-04-23,9.3168485498471,9.7845976419457,9.1431078145324,9.1431078145324,9.1431078145324,777.16056500649,1.9477391231638,91.36564677907,,
6,2021-12-22,Moscow Exchange T+,96.1,96.29,19.000000000001194,96.195,99.83,96.1,99.83,96.1,96.1,96.09,96.09,96.1,96.1,96.1,Avg,1155162.0,4.0,1202.0,7.1,2029-10-11,,,,,,12.06,,,2024-04-23,9.2827308579741,9.2827308579741,9.1827942831596,9.2827308579741,9.2827308579741,778.1913909871,1.9509314888504,84.285168396737,,
7,2021-12-21,Moscow Exchange T+,95.03,96.23,120.00000000000028,95.63,97.99,96.1,97.99,96.1,96.26,94.88,,96.1,96.1,96.26,Avg,11550.9,2.0,12.0,7.1,2029-10-11,,,,,,11.87,,,2024-04-23,9.1961945130337,9.8480658223548,9.2119440423786,9.2802777194222,9.2802777194222,779.26955958487,1.9551826913695,64.109134514513,,
8,2021-12-20,Moscow Exchange T+,95.04,96.29,125.0,95.665,95.02,95.02,95.96,95.94,95.74,94.88,,95.94,95.94,95.74,Avg,43082.0,4.0,45.0,7.1,2029-10-11,,,,,,11.67,,,2024-04-23,9.4681121113294,9.8401776532222,9.1786425297152,9.3625607928078,9.3625607928078,780.02384546729,1.9522138367051,84.212462406478,,
9,2021-12-17,Moscow Exchange T+,95.02,95.9,88.00000000000097,95.46,95.01,95.01,96.08,95.89,95.7,94.85,94.85,95.89,95.89,95.7,Avg,11483.9,4.0,12.0,7.1,2029-10-11,,,,,,11.09,,,2024-04-23,9.4818016578526,9.8422091780518,9.3765333970618,9.3817889477526,9.3817889477526,783.01146813462,1.9594461056671,77.207524250836,,
10,2021-12-16,Moscow Exchange T+,95.2,96.26,106.00000000000024,95.73,96.29,96.26,96.29,96.26,96.27,94.84,94.84,96.26,96.26,96.27,Avg,5775.9,2.0,6.0,7.1,2029-10-11,,,,,,10.89,,,2024-04-23,9.180863926321,9.7440216122948,9.1860833704504,9.1860833704504,9.1860833704504,784.28340494314,1.9680387021195,42.227736536193,,
11,2021-12-15,Moscow Exchange T+,95.0,96.0,100.0,95.5,94.84,94.84,96.12,96.12,94.84,94.84,94.84,96.12,96.12,94.84,Avg,4746806.0,4.0,5005.0,7.1,2029-10-11,,,,,,10.7,,,2024-04-23,9.9325030205172,9.8472964552706,9.3196130436583,9.2568474879777,9.2568474879777,784.60359738604,1.9553806543883,114.90034913742,,
12,2021-12-14,Moscow Exchange T+,94.86,96.34,148.0000000000004,95.6,95.09,94.83,96.38,96.3,94.83,94.83,94.83,96.3,96.3,94.83,Avg,4744395.7,11.0,5003.0,7.1,2029-10-11,,,,,,10.5,,,2024-04-23,9.9352305103597,9.9192526951953,9.1403439402672,9.1611581674972,9.1611581674972,785.60112689348,1.9578181120927,112.93808395706,,
13,2021-12-13,Moscow Exchange T+,95.08,95.45,37.000000000000455,95.265,96.8,95.45,96.8,95.45,95.52,95.49,,95.45,95.45,95.52,Avg,181490.0,7.0,190.0,7.1,2029-10-11,,,,,,10.31,,,2024-04-23,9.5669310379296,9.7993327573243,9.6037960842098,9.6037960842098,9.6037960842098,786.93448395791,1.9677332084893,81.098957213601,,
14,2021-12-10,Moscow Exchange T+,95.09,95.45,35.99999999999994,95.27,95.45,95.45,95.45,95.45,95.45,95.45,,95.45,95.45,95.45,Avg,16226.5,3.0,17.0,7.1,2029-10-11,,,,,,9.73,,,2024-04-23,9.5960790333642,9.7856918674319,9.5960790333642,9.5960790333642,9.5960790333642,789.90811891775,1.9746434833609,83.013827021118,,
15,2021-12-09,Moscow Exchange T+,95.3,95.4,10.000000000000853,95.35,99.33,95.11,99.33,95.4,95.51,95.45,95.3,95.4,95.4,95.51,Avg,218728.3,8.0,229.0,7.1,2029-10-11,,,,,,9.53,,,2024-04-23,9.5624101220214,9.6726628078645,9.6201159956814,9.6201159956814,9.6201159956814,790.9385729391,1.977827059427,80.228351772432,,
16,2021-12-08,Moscow Exchange T+,95.35,95.4,5.000000000001137,95.375,95.03,95.03,95.4,95.4,95.26,95.26,95.26,95.4,95.4,95.26,Avg,1242160.8,9.0,1304.0,7.1,2029-10-11,,,,,,9.34,,,2024-04-23,9.6908738679295,9.6435999376044,9.6173656301292,9.6173656301292,9.6173656301292,791.82235393839,1.9777181415949,89.310934980422,,
17,2021-12-07,Moscow Exchange T+,95.34,95.35,0.9999999999990904,95.345,95.35,95.35,95.35,95.35,95.35,95.61,95.7,95.35,95.35,95.35,Avg,953.5,1.0,1.0,7.1,2029-10-11,,,,,,9.14,,,2024-04-23,9.6413542150006,9.6465979068988,9.6413542150006,9.6413542150006,9.6413542150006,792.86716048102,1.9812221505207,84.809406771024,,
18,2021-12-06,Moscow Exchange T+,95.52,95.89,37.000000000000455,95.705,95.9,95.9,95.9,95.9,95.9,95.61,95.68,95.9,95.9,95.9,Avg,959.0,1.0,1.0,7.1,2029-10-11,,,,,,8.95,,,2024-04-23,9.351769604784,9.5496732402058,9.3569624900411,9.351769604784,9.351769604784,794.12900877428,1.9896302751326,58.33505904476,,
19,2021-12-03,Moscow Exchange T+,95.48,99.42,393.9999999999998,97.45,,,,,,95.61,,95.85,95.85,95.61,Market,,,,7.1,2029-10-11,,,,,,8.36,,,2024-04-23,9.4959459618018,9.5636066032233,7.572336286188,,9.3713962504049,796.99867888486,1.9941907484902,74.050944803276,,
20,2021-12-02,Moscow Exchange T+,95.11,99.35,423.9999999999995,97.23,95.85,95.85,95.85,95.85,95.85,95.61,,95.85,95.85,95.85,Avg,4792.5,1.0,5.0,7.1,2029-10-11,,,,,,8.17,,,2024-04-23,9.3689508247979,9.7540757223495,7.6061274015872,9.3689508247979,9.3689508247979,798.113481484,1.9992989432085,62.449564457726,,
21,2021-12-01,Moscow Exchange T+,95.53,99.37,384.00000000000034,97.45,95.85,95.84,95.85,95.84,95.85,95.61,,95.84,95.84,95.85,Avg,283715.9,3.0,296.0,7.1,2029-10-11,,,,,,7.98,,,2024-04-23,9.3665135105757,9.5323249091553,7.595786481837901,9.3716825364821,9.3716825364821,799.11568423065,2.0018541038856,64.414292777705,,
