,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,87.2,87.25,4.999999999999716,87.225,88.44,86.1,89.0,87.21,87.12,87.12,87.12,87.21,87.21,87.12,Avg,42815261.3,1535,49145,7.7,2022-10-20,28.141166191785,27.994006422498003,27.90218575972,27.975632811737,27.975632811737,14.77,286.69153303219,0.61296168766496,,,,,,,,,2007.3613850649,,
1,2021-12-29,Moscow Exchange T+,86.93,86.95,1.999999999999602,86.94,86.98,86.35,87.95,86.95,86.99,86.99,86.99,86.95,86.95,86.99,Avg,13380678.5,650,15381,7.7,2022-10-20,28.308151897013,28.418670799815,28.381812128493,28.381812128493,28.381812128493,14.56,287.68697641263,0.61428949397818,,,,,,,,,2019.2527456055,,
2,2021-12-28,Moscow Exchange T+,85.99,86.0,1.0000000000005116,85.995,83.0,83.0,87.0,86.0,86.14,86.14,86.14,86.0,86.0,86.14,Avg,60946973.6,799,70754,7.7,2022-10-20,29.811700455896,30.09340956328,30.074594672882,30.074594672882,30.074594672882,14.35,288.64609216754,0.60919871524725,,,,,,,,,2175.8666788466,,
3,2021-12-27,Moscow Exchange T+,84.98,85.0,1.999999999999602,84.99,79.0,78.12,86.99,85.02,84.78,85.31,85.31,85.02,85.02,84.78,Avg,19427707.0,1408,22773,7.7,2022-10-20,32.321055716119,31.93507262902,31.896586127918,31.858119893601,31.858119893601,14.13,289.57842550714,0.59957619370624,,,,,,,,,2430.1828918022,,
4,2021-12-24,Moscow Exchange T+,79.91,79.99,7.999999999999829,79.95,76.49,76.01,80.24,79.99,78.25,78.25,78.25,79.99,79.99,78.25,Avg,31772152.4,1077,40605,7.7,2022-10-20,45.720264081497,42.01226102384699,41.837885930485,41.837885930485,41.837885930485,13.5,292.22836404846,0.54942643699817,,,,,,,,,3773.4474211906,,
5,2021-12-23,Moscow Exchange T+,76.0,76.24,23.99999999999949,76.12,76.0,75.88,77.1,76.0,76.04,76.04,76.04,76.0,76.0,76.04,Avg,25701144.3,600,33798,7.7,2022-10-20,50.776433051376,50.873563682677,50.292478407613,50.873563682677,50.873563682677,13.29,293.10083981082,0.53258721089925,,,,,,,,,4284.6979665533,,
6,2021-12-22,Moscow Exchange T+,75.96,75.99,3.0000000000001137,75.975,76.7,75.29,76.8,75.99,75.98,75.98,75.98,75.98,75.98,75.98,Avg,7403645.6,419,9744,7.7,2022-10-20,50.761926239539,50.810358251277,50.737720839425,50.737720839425,50.761926239539,13.08,294.10120233653,0.53445637027083,,,,,,,,,4283.7333173857,,
7,2021-12-21,Moscow Exchange T+,75.89,75.95,6.000000000000227,75.92,76.89,75.03,77.0,75.95,76.14,76.14,76.14,75.95,75.95,76.14,Avg,10279567.6,533,13501,7.7,2022-10-20,50.218125901463,50.82020537883,50.675305914480994,50.675305914480994,50.675305914480994,12.87,295.11480565466,0.53823978249649,,,,,,,,,4216.4126883865,,
8,2021-12-20,Moscow Exchange T+,75.81,75.89,7.999999999999829,75.85,77.1,75.56,77.1,75.89,76.0,76.0,76.0,75.89,75.89,76.0,Avg,9157476.7,493,12049,7.7,2022-10-20,50.397231090469994,50.854368140957995,50.661580888571,50.661580888571,50.661580888571,12.66,296.11032233054,0.53941229581678,,,,,,,,,4230.1107327548,,
9,2021-12-17,Moscow Exchange T+,75.84,75.9,6.000000000000227,75.87,76.85,75.04,77.19,75.9,75.89,75.89,75.89,75.9,75.9,75.89,Avg,7488667.7,480,9868,7.7,2022-10-20,50.195519608188,50.314475720881,50.171749080088,50.171749080088,50.171749080088,12.02,299.11537173758,0.54561825231662,,,,,,,,,4200.011034452,,
