,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,98.15,98.28,12.999999999999543,98.215,99.34,97.31,99.34,97.31,98.25,98.25,98.25,97.31,97.31,98.25,Avg,804646.1,62.0,819.0,7.25,2023-04-21,8.8687120575491,8.9558901164991,8.8425897396812,9.6945409868463,9.6945409868463,13.71,457.96829014659,1.1524960849854,,,,,,,,,61.421244876975,,
1,2021-12-29,Moscow Exchange T+,98.3,98.34,4.000000000000625,98.32,98.14,98.14,98.35,98.34,98.2,98.2,98.2,98.34,98.34,98.2,Avg,784621.1,40.0,799.0,7.25,2023-04-21,8.9094215232918,8.8224978151525,8.787772794489799,8.787772794489799,8.787772794489799,13.51,458.96271403221,1.1545668645114,,,,,,,,,58.733445722572,,
2,2021-12-28,Moscow Exchange T+,98.1,98.14,4.000000000000625,98.12,97.93,97.93,98.25,98.14,98.15,98.14,,98.14,98.14,98.15,Avg,116797.8,33.0,119.0,7.25,2023-04-21,8.9500123393487,8.9934865032555,8.9587039915679,8.9587039915679,8.9587039915679,13.31,459.95715458281,1.156637398051,,,,,,,,,68.329277772635,,
3,2021-12-27,Moscow Exchange T+,98.05,98.14,9.000000000000341,98.095,99.34,97.95,99.35,98.1,98.17,98.17,98.17,98.13,98.13,98.17,Avg,1015034.1,48.0,1034.0,7.25,2023-04-21,8.9297540825126,9.03391232814,8.9557722291708,8.9904852887015,8.9644481148641,13.11,460.95992916691,1.1593746136332,,,,,,,,,66.901197129692,,
4,2021-12-24,Moscow Exchange T+,98.14,98.15,1.0000000000005116,98.145,99.34,97.9,99.34,98.15,98.17,98.17,98.17,98.15,98.15,98.17,Avg,1019991.7,61.0,1039.0,7.25,2023-04-21,8.9212106546635,8.947074055406699,8.9384513502622,8.9384513502622,8.9384513502622,12.51,463.96109931001,1.1670144794016,,,,,,,,,69.543631968666,,
5,2021-12-23,Moscow Exchange T+,97.86,98.0,14.000000000000057,97.93,99.2,97.85,99.5,97.85,98.04,98.04,98.04,97.85,97.85,98.04,Avg,835315.2,46.0,852.0,7.25,2023-04-21,9.0294873716683,9.1849382517806,9.0639878968275,9.1935894007101,9.1935894007101,12.32,464.94627061801,1.1683310906628,,,,,,,,,83.776886171195,,
6,2021-12-22,Moscow Exchange T+,98.02,98.08,6.000000000000227,98.05,98.14,97.71,98.14,98.08,97.95,97.95,97.95,98.08,98.08,97.95,Avg,687582.5,46.0,702.0,7.25,2023-04-21,9.1039758712577,9.0436806701321,8.9920602577786,8.9920602577786,8.9920602577786,12.12,465.93607098593,1.170018938897,,,,,,,,,91.569870999989,,
7,2021-12-21,Moscow Exchange T+,97.84,97.85,0.9999999999990904,97.845,97.89,97.61,97.89,97.85,97.85,97.82,,97.85,97.85,97.85,Avg,91974.8,21.0,94.0,7.25,2023-04-21,9.1869195555458,9.1955381575827,9.1869195555458,9.1869195555458,9.1869195555458,11.92,466.92471522612,1.1716108489436,,,,,,,,,87.441393592722,,
8,2021-12-20,Moscow Exchange T+,97.56,97.8,23.99999999999949,97.68,97.95,97.16,97.95,97.8,97.81,97.82,,97.8,97.8,97.81,Avg,437201.6,35.0,447.0,7.25,2023-04-21,9.2180273929927,9.4336975782224,9.2266353191946,9.2266353191946,9.2266353191946,11.72,467.92045671741,1.173774956956,,,,,,,,,83.495905090655,,
9,2021-12-17,Moscow Exchange T+,97.68,97.93,25.0,97.805,97.92,97.44,97.95,97.93,97.91,97.24,,97.93,97.93,97.91,Avg,208542.8,22.0,213.0,7.25,2023-04-21,9.1225176682187,9.3193754072897,9.1054384885663,9.1054384885663,9.1054384885663,11.12,470.93353229059,1.1823671989621,,,,,,,,,62.89697040827,,
10,2021-12-16,Moscow Exchange T+,97.5,97.58,7.999999999999829,97.54,97.0,96.5,98.08,97.65,97.18,97.18,97.18,97.65,97.65,97.18,Avg,1011615.1,27.0,1041.0,7.25,2023-04-21,9.7458224014471,9.4701906351958,9.4015338729451,9.3415412556806,9.3415412556806,10.92,471.8482409742,1.1779354133862,,,,,,,,,117.19277304853,,
11,2021-12-15,Moscow Exchange T+,97.5,97.98,48.0000000000004,97.74,97.0,97.0,97.98,97.81,97.85,97.12,,97.81,97.81,97.85,Avg,49901.8,17.0,51.0,7.25,2023-04-21,9.1664817351116,9.4655296266708,9.0558903150203,9.2005623996361,9.2005623996361,10.73,472.92751319096,1.1868952780813,,,,,,,,,55.18376349779,,
12,2021-12-14,Moscow Exchange T+,97.5,97.78,28.000000000000114,97.64,98.02,96.86,98.02,97.5,97.04,97.09,,97.5,97.5,97.04,Avg,458050.2,65.0,472.0,7.25,2023-04-21,9.8569238406513,9.4617470988116,9.2228213639551,9.4617470988116,9.4617470988116,10.53,473.83304830905,1.181694052326,,,,,,,,,119.47520793955,,
13,2021-12-13,Moscow Exchange T+,97.38,97.67,29.000000000000625,97.525,97.92,97.38,98.0,97.4,97.76,97.76,97.76,97.4,97.4,97.76,Avg,783054.1,68.0,801.0,7.25,2023-04-21,9.236513974035,9.5605548229504,9.313058347099,9.5434441342566,9.5434441342566,10.33,474.91792610773,1.1911264427059,,,,,,,,,64.175256186645,,
14,2021-12-10,Moscow Exchange T+,97.65,97.72,6.999999999999318,97.685,98.05,97.36,98.05,97.51,97.56,97.58,,97.52,97.52,97.56,Avg,88777.5,33.0,91.0,7.25,2023-04-21,9.395905350222,9.3196506141216,9.2604273251559,9.4383229185499,9.429836325312,9.73,477.89611074381,1.1968495610554,,,,,,,,,75.679457466856,,
