,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,98.0,98.14,14.000000000000057,98.07,98.14,97.66,98.15,98.0,97.99,97.92,,98.0,98.0,97.99,Avg,228320.7,35.0,233.0,6.85,2023-10-26,8.2922403675838,8.2858439489915,8.1964043977553,8.2858439489915,8.2858439489915,11.82,623.05809469677,1.5762980549918,,,,,,,,,-3.5314728465389,,
1,2021-12-29,Moscow Exchange T+,97.71,97.98,27.000000000001023,97.845,98.13,97.61,98.15,97.98,97.99,97.99,97.99,97.89,97.89,97.99,Avg,581087.1,65.0,593.0,6.85,2023-10-26,8.2899135837534,8.4691819937731,8.2963018144318,8.2963018144318,8.3538431890988,11.64,624.05912776867,1.5788645298533,,,,,,,,,-11.801333114782,,
2,2021-12-28,Moscow Exchange T+,97.46,97.73,27.000000000001023,97.595,98.14,97.26,98.14,97.72,97.76,97.76,97.76,97.72,97.72,97.76,Avg,916028.4,65.0,937.0,6.85,2023-10-26,8.4352198660578,8.6277791614511,8.454432958765699,8.4608394334549,8.4608394334549,11.45,624.99460478057,1.5791123841638,,,,,,,,,7.6938246854066,,
3,2021-12-27,Moscow Exchange T+,97.4,97.97,56.99999999999932,97.685,97.9,96.93,97.99,97.97,97.44,97.44,97.44,97.97,97.97,97.44,Avg,573926.5,49.0,589.0,6.85,2023-10-26,8.638476685482301,8.6641951444951,8.2993037520975,8.2993037520975,8.2993037520975,11.26,625.90432130873,1.5784521396728,,,,,,,,,26.649989978909,,
4,2021-12-24,Moscow Exchange T+,96.96,97.45,49.00000000000091,97.205,98.0,96.5,98.15,97.9,97.58,97.58,97.58,96.6,96.6,97.58,Avg,5356010.2,89.0,5489.0,6.85,2023-10-26,8.5418745044337,8.939793578351,8.6249719125165,8.3380829654739,9.172725551154,10.7,628.94723448282,1.5875376356263,,,,,,,,,21.286686269358,,
5,2021-12-23,Moscow Exchange T+,97.67,98.05,37.999999999999545,97.86,97.75,96.6,98.07,98.05,97.26,97.26,97.26,98.05,98.05,97.26,Avg,652646.9,67.0,671.0,6.85,2023-10-26,8.7444438016022,8.4825218790632,8.2413372232232,8.2413372232232,8.2413372232232,10.51,629.8572396163,1.5868730507921,,,,,,,,,41.297996912802,,
6,2021-12-22,Moscow Exchange T+,96.56,97.15,59.00000000000034,96.855,98.14,96.55,98.14,96.55,96.87,96.89,,96.58,96.58,96.87,Avg,436874.4,69.0,451.0,6.85,2023-10-26,8.992595861897,9.1928228294433,8.8126281807399,9.1992989511648,9.1798738171062,10.32,630.74695035457,1.5854965403132,,,,,,,,,64.422193949827,,
7,2021-12-21,Moscow Exchange T+,96.64,97.0,35.99999999999994,96.82,96.11,96.11,100.0,96.5,97.24,97.24,97.24,96.5,96.5,97.24,Avg,586337.3,85.0,603.0,6.85,2023-10-26,8.7526602937498,9.1382085255715,8.906420159261,9.2287231696128,9.2287231696128,10.13,631.85358862133,1.5917824148617,,,,,,,,,28.398667032289,,
8,2021-12-20,Moscow Exchange T+,96.58,96.6,1.999999999999602,96.59,96.6,96.55,96.6,96.6,96.59,96.59,96.59,96.6,96.6,96.59,Avg,588246.0,50.0,609.0,6.85,2023-10-26,9.1669872901613,9.1734417567954,9.1605338957236,9.1605338957236,9.1605338957236,9.95,632.66941487122,1.5877884932866,,,,,,,,,62.101325773869,,
9,2021-12-17,Moscow Exchange T+,96.5,96.59,9.000000000000341,96.545,96.05,96.0,96.6,96.59,96.22,96.22,96.22,96.59,96.59,96.22,Avg,1632795.6,55.0,1697.0,6.85,2023-10-26,9.3969437077012,9.216307511914898,9.158424146695,9.158424146695,9.158424146695,9.38,635.56713892631,1.591707934115,,,,,,,,,74.972293405548,,
