,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,97.2,97.25,4.999999999999716,97.225,98.23,96.99,98.31,97.2,98.15,96.75,,97.2,97.2,98.15,Avg,110910.2,8.0,113.0,7,2023-11-10,8.2441521231691,8.837371539654,8.8059203399147,8.837371539654,8.837371539654,9.21,643.58995772315,1.6289657441626,,,,,,,,,-8.9222589346152,,
1,2021-12-29,Moscow Exchange T+,96.57,96.99,42.00000000000017,96.78,97.8,96.95,97.8,96.98,97.37,96.48,,96.98,96.98,97.37,Avg,102241.2,10.0,105.0,7,2023-11-10,8.7289516838596,9.2335878333723,8.9678304947514,8.9741368251135,8.9741368251135,9.01,644.41468826958,1.6237806642546,,,,,,,,,31.453716837055,,
2,2021-12-28,Moscow Exchange T+,96.21,96.3,9.000000000000341,96.255,96.31,96.19,96.31,96.3,96.29,96.29,96.29,96.3,96.3,96.29,Avg,1213235.7,39.0,1260.0,7,2023-11-10,9.4086283068374,9.4596207870219,9.4022589709208,9.4022589709208,9.4022589709208,8.82,645.16883296131,1.6155817608575,,,,,,,,,104.33064350879,,
3,2021-12-27,Moscow Exchange T+,96.88,96.98,10.000000000000853,96.93,97.5,96.88,97.5,96.88,96.4,96.57,96.5,96.88,96.88,96.4,Avg,92094.4,5.0,95.0,7,2023-11-10,9.33558017083,9.0319994464977,8.9690533951399,9.0319994464977,9.0319994464977,8.63,646.19526356066,1.6192331714816,,,,,,,,,95.468762923833,,
4,2021-12-24,Moscow Exchange T+,96.12,96.61,48.99999999999949,96.365,96.43,96.43,96.88,96.5,96.5,96.5,96.5,96.5,96.5,96.5,Avg,19426360.9,17.0,20131.0,7,2023-11-10,9.2639713885918,9.50461921192,9.1945899948984,9.2639713885918,9.2639713885918,8.05,649.22117165537,1.6278816511215,,,,,,,,,92.707542547143,,
5,2021-12-23,Moscow Exchange T+,96.12,96.4,28.000000000000114,96.26,95.79,95.79,96.49,96.12,95.89,95.89,95.89,96.12,96.12,95.89,Avg,2146994.8,27.0,2239.0,7,2023-11-10,9.6475658482895,9.5013787015566,9.3241572391103,9.5013787015566,9.5013787015566,7.86,650.08236724242,1.6243384590501,,,,,,,,,130.39020408267,,
6,2021-12-22,Moscow Exchange T+,96.17,96.49,31.99999999999932,96.33,96.15,96.14,96.15,96.15,96.15,96.44,,96.15,96.15,96.15,Avg,122110.2,9.0,127.0,7,2023-11-10,9.4791496172129,9.4664875015577,9.2644585966587,9.4791496172129,9.4791496172129,7.67,651.14331495585,1.6294922766461,,,,,,,,,111.56366230239,,
7,2021-12-21,Moscow Exchange T+,95.16,96.0,84.00000000000034,95.58,96.35,95.51,96.35,95.51,96.18,96.46,,96.01,96.01,96.18,Avg,154857.6,27.0,161.0,7,2023-11-10,9.456994259492,10.107122391561,9.5709285555242,9.8828019914196,9.5645900114716,7.48,652.15133200587,1.6323451874281,,,,,,,,,97.385357401447,,
8,2021-12-20,Moscow Exchange T+,96.03,96.3,26.9999999999996,96.165,96.5,96.3,96.5,96.3,96.5,96.5,96.5,96.3,96.3,96.5,Avg,10311978.0,17.0,10686.0,7,2023-11-10,9.2523983750221,9.5486347533184,9.3781770569862,9.3781770569862,9.3781770569862,7.29,653.22535861672,1.6380954041988,,,,,,,,,69.207315914684,,
9,2021-12-17,Moscow Exchange T+,96.25,96.29,4.000000000000625,96.27,95.47,95.47,96.31,96.28,96.22,96.07,,96.28,96.28,96.22,Avg,316561.3,12.0,329.0,7,2023-11-10,9.4199526992115,9.40111154769,9.3760044300576,9.3822796655426,9.3822796655426,6.71,656.16473535593,1.6429467929462,,,,,,,,,76.041650532843,,
10,2021-12-16,Moscow Exchange T+,95.32,96.14,82.00000000000074,95.73,96.15,95.35,96.15,95.93,96.04,96.03,,95.93,95.93,96.04,Avg,60504.9,12.0,63.0,7,2023-11-10,9.5299707120795,9.9856908564539,9.4671025612318,9.5992451124372,9.5992451124372,6.52,657.1249244211,1.6436982927901,,,,,,,,,81.754687117705,,
