,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,98.98,98.99,0.9999999999990904,98.985,99.94,98.96,99.94,98.99,99.0,99.0,99.0,98.99,98.99,99.0,Avg,7696064.6,118,7774,11.5,2022-12-13,13.232671799967,13.257625560655,13.24514734907,13.24514734907,13.24514734907,5.04,332.97431429479,0.80564944801423,,,,,,,,,509.51618226226,,
1,2021-12-29,Moscow Exchange T+,97.98,98.0,1.999999999999602,97.99,100.92,97.96,100.92,98.0,98.44,98.44,98.44,98.0,98.0,98.44,Avg,10543153.7,180,10710,11.5,2022-12-13,13.929937757471,14.511952096655,14.486527262044,14.486527262044,14.486527262044,4.73,333.92397097553,0.80300245261348,,,,,,,,,574.02813877032,,
2,2021-12-28,Moscow Exchange T+,100.02,100.19,17.00000000000017,100.105,99.6,99.6,101.67,100.2,100.12,100.12,100.12,100.21,100.21,100.12,Avg,2603124.2,96,2600,11.5,2022-12-13,11.853587903552,11.974879075941,11.768835808029,11.756738546741,11.744643828306,4.41,335.07428333355,0.82072623003562,,,,,,,,,372.42921041386,,
3,2021-12-27,Moscow Exchange T+,99.46,99.6,14.000000000000057,99.53,98.9,98.03,99.9,99.61,99.26,99.26,99.26,99.61,99.61,99.26,Avg,5037624.5,82,5075,11.5,2022-12-13,12.902462026983,12.656875117297,12.485581583158,12.473365712414,12.473365712414,4.1,335.99820269743,0.81534362011419,,,,,,,,,479.91762966218,,
4,2021-12-24,Moscow Exchange T+,98.61,98.89,28.000000000000114,98.75,98.8,98.0,99.27,98.61,98.64,98.64,98.64,98.82,98.82,98.64,Avg,3743551.5,113,3795,11.5,2022-12-13,13.6589872442,13.696105817585998,13.350583676532,13.696105817585998,13.436771822068,3.15,338.94351793181,0.81701623462491,,,,,,,,,558.76152607798,,
5,2021-12-23,Moscow Exchange T+,98.8,99.0,20.000000000000284,98.9,98.3,98.3,98.99,98.8,98.58,98.58,98.58,98.86,98.86,98.58,Avg,1646279.3,70,1670,11.5,2022-12-13,13.728479416562,13.457377356825,13.212015300538,13.457377356825,13.383659625289,2.84,339.93850267986,0.81891393280233,,,,,,,,,571.15267838592,,
6,2021-12-22,Moscow Exchange T+,97.83,98.32,48.99999999999949,98.075,96.89,96.88,98.5,98.26,97.62,97.62,97.62,98.03,98.03,97.62,Avg,3966376.9,99,4063,11.5,2022-12-13,14.919768555988998,14.656313828607,14.04616191025,14.120532552446,14.406501888055,2.52,340.85273287408,0.81260440696905,,,,,,,,,691.11970255398,,
7,2021-12-21,Moscow Exchange T+,96.52,96.6,7.999999999999829,96.56,95.69,95.02,96.6,96.6,96.21,96.21,96.21,96.6,96.6,96.21,Avg,3648256.1,114,3792,11.5,2022-12-13,16.707106221674,16.307714291488,16.205080059446,16.205080059446,16.205080059446,2.21,341.72477022722,0.80220671860339,,,,,,,,,857.11267704243,,
8,2021-12-20,Moscow Exchange T+,94.99,95.0,1.0000000000005116,94.995,95.67,94.79,95.68,95.0,95.05,95.05,95.05,95.0,95.0,95.05,Avg,8172086.6,212,8598,11.5,2022-12-13,18.210301480827,18.289690581297,18.276451796665,18.276451796665,18.276451796665,1.89,342.61780825024,0.79407540202006,,,,,,,,,1002.2240235723,,
9,2021-12-17,Moscow Exchange T+,94.92,95.0,7.999999999999829,94.96,96.47,94.8,96.48,95.0,95.34,95.34,95.34,95.0,95.0,95.34,Avg,10378134.2,249,10885,11.5,2022-12-13,17.782784137394998,18.332674077715,18.227543340868,18.227543340868,18.227543340868,0.95,345.64816838389,0.8040065364212,,,,,,,,,948.95936037578,,
