,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,93.69,93.99,29.999999999999716,93.84,93.62,93.57,94.0,93.99,93.94,93.56,,93.99,93.99,93.94,Avg,76092.7,15.0,81.0,6.95,2024-12-16,9.5531019612487,9.6604427420815,9.531682493394,9.531682493394,9.531682493394,1.9,991.25712786425,2.4789557798312,,,,,,,,,116.38776152359,,
1,2021-12-29,Moscow Exchange T+,93.5,93.66,15.99999999999966,93.58,94.39,93.49,94.4,93.5,93.7,93.7,93.7,93.5,93.5,93.7,Avg,652120.1,37.0,696.0,6.95,2024-12-16,9.6541177088417,9.7401992347173,9.6713131333779,9.7401992347173,9.7401992347173,1.71,992.12201220021,2.4788330397186,,,,,,,,,118.93240983751,,
2,2021-12-28,Moscow Exchange T+,94.0,94.26,26.00000000000051,94.13,94.76,93.9,94.77,93.9,94.24,92.27,,93.9,93.9,94.24,Avg,148895.0,17.0,158.0,6.95,2024-12-16,9.4211676431387,9.5235717146954,9.4126506788487,9.5663496677257,9.5663496677257,1.52,993.43348590791,2.4873940174962,,,,,,,,,99.655195399953,,
3,2021-12-27,Moscow Exchange T+,93.16,93.74,57.99999999999983,93.45,94.81,92.25,94.81,93.74,92.26,92.26,92.26,93.74,93.74,92.26,Avg,36524730.9,36.0,39589.0,6.95,2024-12-16,10.274738690423,9.8827248768315,9.6329311479148,9.6329311479148,9.6329311479148,1.33,993.29026483286,2.467784756183,,,,,,,,,181.86655109168,,
4,2021-12-24,Moscow Exchange T+,91.95,92.07,11.999999999999034,92.01,92.39,91.8,92.5,92.07,92.32,92.32,92.32,92.07,92.07,92.32,Avg,5286911.0,89.0,5727.0,6.95,2024-12-16,10.240956223912,10.403143387432,10.350440771129,10.350440771129,10.350440771129,0.76,996.33561143223,2.4761093337392,,,,,,,,,184.2326235727,,
5,2021-12-23,Moscow Exchange T+,92.06,92.19,12.999999999999543,92.125,95.28,91.02,95.28,92.07,92.2,92.2,92.2,92.07,92.07,92.2,Avg,1070398.9,31.0,1161.0,6.95,2024-12-16,10.290933361066,10.352255548047,10.295309132903,10.347871002774,10.347871002774,0.57,997.26852361476,2.4773047495271,,,,,,,,,183.12711858794,,
6,2021-12-22,Moscow Exchange T+,92.03,92.15,12.000000000000457,92.09,95.46,91.93,95.46,92.0,92.11,92.11,92.11,92.0,92.0,92.11,Avg,5681185.0,49.0,6168.0,6.95,2024-12-16,10.327791161655,10.362835979372,10.310284948867,10.375988935696,10.375988935696,0.38,998.21903524014,2.4788375105631,,,,,,,,,181.0725545328,,
7,2021-12-21,Moscow Exchange T+,92.02,92.07,4.999999999999716,92.045,92.11,92.02,92.11,92.09,92.1,92.1,92.1,92.1,92.1,92.1,Avg,874014.6,51.0,949.0,6.95,2024-12-16,10.329624269207,10.364645703906,10.342752246261,10.333999587184,10.329624269207,0.19,999.2165737007,2.4812734314174,,,,,,,,,170.72601606493,,
8,2021-12-20,Moscow Exchange T+,92.42,92.69,26.9999999999996,92.555,92.29,92.29,94.96,92.7,92.95,92.22,,92.74,92.74,92.95,Avg,35321.1,13.0,38.0,6.95,2024-12-16,9.9579323361477,10.187545279438,10.07033991254,10.066008276436,10.048688358519,,1000.7151932531,2.4933948854058,,,,,,,,,128.52566808065,,
9,2021-12-17,Moscow Exchange T+,91.88,92.17,29.000000000000625,92.025,95.47,91.81,95.47,92.17,92.17,92.17,92.17,92.17,92.17,92.17,Avg,546574.1,43.0,593.0,6.95,2024-12-16,10.287789625493,10.414375919045,10.287789625493,10.287789625493,10.287789625493,34.08,967.03891904403,2.4022801662883,,,,,,,,,156.05697700355,,
