,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,98.09,98.29,20.000000000000284,98.19,98.04,98.04,98.36,98.36,98.15,97.99,,98.36,98.36,98.15,Avg,3926.1,4.0,4.0,6.05,2023-01-25,8.1466980364963,8.210324495595,7.9985355189352,7.924610920011201,7.924610920011201,1.99,378.71518703548,0.95941519596056,,,,,,,,,-4.3457201715395,,
1,2021-12-29,Moscow Exchange T+,97.98,98.01,3.0000000000001137,97.995,97.98,97.98,98.01,98.01,98.01,97.99,,98.01,98.01,98.01,Avg,454761.6,13.0,464.0,6.05,2023-01-25,8.2905727092972,8.3223864637607,8.2905727092972,8.2905727092972,8.2905727092972,1.82,379.70409333148,0.96064242822148,,,,,,,,,4.2651419601752,,
2,2021-12-28,Moscow Exchange T+,97.76,97.82,5.999999999998806,97.79,97.85,97.5,97.85,97.82,97.78,97.78,97.78,97.8,97.8,97.78,Avg,1346406.8,42.0,1377.0,6.05,2023-01-25,8.528619115923899,8.5498712042167,8.4861407039432,8.4861407039432,8.5073756175848,1.66,380.68574692254,0.96101347054717,,,,,,,,,33.934208481871,,
3,2021-12-27,Moscow Exchange T+,97.52,97.67,15.000000000000568,97.595,97.98,97.14,97.98,97.7,97.6,97.6,97.6,97.7,97.7,97.6,Avg,1746006.2,54.0,1789.0,6.05,2023-01-25,8.714462698242,8.7996195789806,8.6400633920863,8.6082101914502,8.6082101914502,1.49,381.67143123126,0.96185468621661,,,,,,,,,54.349161137167,,
4,2021-12-24,Moscow Exchange T+,97.03,97.55,51.9999999999996,97.29,97.31,97.01,97.79,97.01,97.64,97.64,97.64,97.01,97.01,97.64,Avg,1049678.2,51.0,1075.0,6.05,2023-01-25,8.654191615043299,9.3016079840777,8.749211124198201,9.3229703651935,9.3229703651935,0.99,384.67607325333,0.96996446648193,,,,,,,,,51.552724031298,,
5,2021-12-23,Moscow Exchange T+,97.12,97.54,42.00000000000017,97.33,97.48,97.1,97.77,97.58,97.45,97.51,,97.58,97.58,97.45,Avg,422942.6,21.0,434.0,6.05,2023-01-25,8.8479419768155,9.1976593309826,8.7529681008014,8.7108127485999,8.7108127485999,0.83,385.66115320637,0.97071738795079,,,,,,,,,75.81439738826,,
6,2021-12-22,Moscow Exchange T+,97.15,97.65,50.0,97.4,97.32,96.7,97.69,97.1,97.2,97.2,97.2,97.1,97.1,97.2,Avg,2218043.5,80.0,2282.0,6.05,2023-01-25,9.1060553788686,9.1590292591471,8.6316868081508,9.2120566913062,9.2120566913062,0.66,386.64128770669,0.97088213437654,,,,,,,,,102.46502936086,,
7,2021-12-21,Moscow Exchange T+,96.7,97.08,37.999999999999545,96.89,96.87,96.7,97.39,97.08,96.96,96.96,96.96,97.08,97.08,96.96,Avg,1137364.3,57.0,1173.0,6.05,2023-01-25,9.3525564559548,9.6292590906939,9.2253377242034,9.2253377242034,9.2253377242034,0.5,387.62232755879,0.97115148838871,,,,,,,,,114.49653557212,,
8,2021-12-20,Moscow Exchange T+,96.56,96.87,31.000000000000227,96.715,96.28,96.27,96.87,96.87,96.53,96.53,96.53,96.87,96.87,96.53,Avg,3678740.9,94.0,3811.0,6.05,2023-01-25,9.8026801466262,9.7706473367679,9.4407796382959,9.4407796382959,9.4407796382959,0.33,388.58773453156,0.9695791840434,,,,,,,,,153.47116565559,,
9,2021-12-17,Moscow Exchange T+,96.24,96.49,25.0,96.365,97.8,96.05,97.8,96.49,96.51,96.51,96.51,96.49,96.49,96.51,Avg,1539289.2,68.0,1595.0,6.05,2023-01-25,9.7980950625303,10.085244157269,9.8193115632576,9.8193115632576,9.8193115632576,4.97,389.51905181677,0.97194353310206,,,,,,,,,142.50145782505,,
