,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,100.0,100.03,3.0000000000001137,100.015,99.63,99.63,100.1,100.03,100.04,100.04,100.04,100.03,100.03,100.04,Avg,554216.8,75,554,11,2023-02-03,,,,,,16.58,,,2022-02-09,10.910353647834,11.353617034368,11.020987467853,11.020987467853,11.020987467853,36.000000000248,0.088927799563378,390.9382693754,,
1,2021-12-29,Moscow Exchange T+,100.0,100.07,6.999999999999318,100.035,99.67,99.67,100.19,100.07,100.02,100.02,100.02,100.07,100.07,100.02,Avg,1533359.4,93,1533,11,2023-02-03,,,,,,16.27,,,2022-02-09,11.149024760499,11.364996311437,10.611111294418,10.611111294418,10.611111294418,37.000000000306,0.091201756590276,392.80866775202,,
2,2021-12-28,Moscow Exchange T+,99.86,99.9,4.000000000000625,99.88,99.91,99.62,99.98,99.86,99.83,99.83,99.83,99.88,99.88,99.83,Avg,1394659.2,90,1397,11,2023-02-03,,,,,,15.97,,,2022-02-09,13.171226900981,12.850206928042,12.423743199655,12.850206928042,12.636752217512,38.000000001083,0.091992984343231,601.19359703231,,
3,2021-12-27,Moscow Exchange T+,99.74,99.86,12.000000000000457,99.8,99.76,99.7,99.9,99.86,99.83,99.83,99.83,99.82,99.82,99.83,Avg,1710108.3,83,1713,11,2023-02-03,,,,,,15.67,,,2022-02-09,13.125513858081,14.069585444953,12.812747760965,12.812747760965,13.22998241087,39.000000001107,0.094452004174383,601.07877874465,,
4,2021-12-24,Moscow Exchange T+,99.61,99.68,7.000000000000739,99.645,99.53,98.61,99.75,99.6,99.68,99.68,99.68,99.6,99.6,99.68,Avg,1932707.2,79,1939,11,2023-02-03,,,,,,14.77,,,2022-02-09,14.466589270342,15.157276911817,14.466589270342,15.25632539331,15.25632539331,42.000000002555,0.10052583368752,746.59566533361,,
5,2021-12-23,Moscow Exchange T+,99.45,99.46,0.9999999999990904,99.455,98.17,98.17,99.76,99.45,99.31,99.31,99.31,99.45,99.45,99.31,Avg,2124148.9,107,2139,11,2023-02-03,,,,,,14.47,,,2022-02-09,18.010369913044,16.627634889328,16.529563255360998,16.627634889328,16.627634889328,43.000000012613,0.099828700900985,1087.3347929474,,
6,2021-12-22,Moscow Exchange T+,98.52,98.89,37.000000000000455,98.705,98.05,98.01,98.9,98.9,98.33,98.33,98.33,98.9,98.9,98.33,Avg,3019689.7,406,3071,11,2023-02-03,,,,,,14.16,,,2022-02-09,27.825515351898,25.823446211235,22.024711919344,21.923842421965,21.923842421965,44.0,0.094306637351406,2056.5028209335,,
7,2021-12-21,Moscow Exchange T+,98.41,98.6,18.999999999999773,98.505,99.07,83.92,99.46,98.32,97.52,97.52,97.52,98.32,98.32,97.52,Avg,7465187.9,550,7655,11,2023-02-03,,,,,,13.86,,,2022-02-09,36.15674832524,26.614348694509,24.675942355959,27.544339506254,27.544339506254,45.0,0.090548336934705,2874.8168168606,,
8,2021-12-20,Moscow Exchange T+,99.5,99.56,6.000000000000227,99.53,99.33,99.33,99.6,99.56,99.52,99.52,99.52,99.56,99.56,99.52,Avg,657830.0,92,661,11,2023-02-03,,,,,,13.56,,,2022-02-09,15.654399791473,15.836505708908,15.291154232363,15.291154232363,15.291154232363,46.000000005288,0.10896896054278,830.31790302084,,
9,2021-12-17,Moscow Exchange T+,99.22,99.32,9.999999999999432,99.27,98.26,98.26,99.33,99.32,99.0,99.0,99.0,99.33,99.33,99.0,Avg,6751139.4,78,6819,11,2023-02-03,,,,,,12.66,,,2022-02-09,19.926985049229,17.984909144192,17.113958126482,17.113958126482,17.027264835181,49.000000032211,0.11194025712862,1257.2449082162,,
10,2021-12-16,Moscow Exchange T+,99.1,99.18,8.00000000000125,99.14,98.51,98.0,99.2,99.19,98.87,98.87,98.87,99.19,99.19,98.87,Avg,1163742.5,111,1177,11,2023-02-03,,,,,,12.36,,,2022-02-09,20.893157233432,18.884707338005,18.1950297013,18.109140287421,18.109140287421,50.000000046273,0.11331187358448,1327.8595454868,,
11,2021-12-15,Moscow Exchange T+,98.52,98.98,46.0000000000008,98.75,99.01,98.0,99.14,98.98,98.64,98.64,98.64,98.96,98.96,98.64,Avg,1711352.5,125,1735,11,2023-02-03,,,,,,12.05,,,2022-02-09,22.715765452296,23.776506453801,19.766153336983,19.766153336983,19.937406129553,51.0,0.11386151313343,1508.2243782613,,
12,2021-12-14,Moscow Exchange T+,99.0,99.12,12.000000000000457,99.06,99.16,98.41,99.18,99.0,98.99,98.99,98.99,99.0,99.0,98.99,Avg,1578859.0,112,1595,11,2023-02-03,,,,,,11.75,,,2022-02-09,19.518819174061,19.435097883975,18.435650702757,19.435097883975,19.435097883975,52.00000003097,0.11919943193383,1162.6751170653,,
13,2021-12-13,Moscow Exchange T+,99.15,99.2,4.999999999999716,99.175,99.79,98.8,99.79,99.16,99.32,99.32,99.32,99.12,99.12,99.32,Avg,5086192.6,91,5121,11,2023-02-03,,,,,,11.45,,,2022-02-09,16.689213710502,18.058154308239,17.653624709815,17.977121122133997,18.301636568782,53.000000010681,0.12443779066124,897.22877981271,,
14,2021-12-10,Moscow Exchange T+,99.51,99.72,20.999999999999375,99.615,99.79,99.21,99.79,99.7,99.51,99.51,99.51,99.68,99.68,99.51,Avg,1175176.2,54,1181,11,2023-02-03,,,,,,10.55,,,2022-02-09,14.980347348017,14.980347348017,13.427607319749,13.574440713463002,13.721493390709,56.000000005442,0.13343554884626,709.45697892766,,
15,2021-12-09,Moscow Exchange T+,99.35,99.39,4.000000000000625,99.37,99.76,99.05,99.76,99.35,99.24,99.24,99.24,99.35,99.35,99.24,Avg,1433985.0,59,1445,11,2023-02-03,,,,,,10.25,,,2022-02-09,16.914558767695002,16.096531090413,15.800708560049,16.096531090413,16.096531090413,57.000000013301,0.1335713748947,903.36599730141,,
16,2021-12-08,Moscow Exchange T+,99.07,99.1,3.0000000000001137,99.085,99.84,99.0,99.85,99.1,99.23,99.23,99.23,99.1,99.1,99.23,Avg,2395473.0,69,2414,11,2023-02-03,,,,,,9.95,,,2022-02-09,16.893133035612003,18.074350194701,17.851822133526,17.851822133526,17.851822133526,58.000000013576,0.13593964461353,882.99401611236,,
17,2021-12-07,Moscow Exchange T+,98.98,99.0,1.999999999999602,98.99,99.41,98.95,99.46,99.0,99.05,99.05,99.05,99.0,99.0,99.05,Avg,1051961.8,85,1062,11,2023-02-03,,,,,,9.64,,,2022-02-09,18.114246398594,18.626958122695,18.480205713036,18.480205713036,18.480205713036,59.000000022834,0.13685380096615,991.13624217384,,
18,2021-12-06,Moscow Exchange T+,99.4,99.41,0.9999999999990904,99.405,99.88,99.0,99.88,99.4,99.25,99.25,99.25,99.4,99.4,99.25,Avg,2331294.0,81,2349,11,2023-02-03,,,,,,9.34,,,2022-02-09,16.576324367788,15.520127027099,15.450110939284,15.520127027099,15.520127027099,60.000000012569,0.14100938811525,843.87160715504,,
19,2021-12-03,Moscow Exchange T+,99.75,99.78,3.0000000000001137,99.765,99.84,99.67,99.84,99.78,99.72,99.64,,99.76,99.76,99.72,Avg,324098.8,39,325,11,2023-02-03,,,,,,8.44,,,2022-02-09,13.217270198722,13.021789565715,12.826704587104,12.826704587104,12.956717323314,63.000000002688,0.15245265976687,537.71831011159,,
20,2021-12-02,Moscow Exchange T+,99.5,99.76,26.00000000000051,99.63,99.33,98.51,99.98,99.5,99.15,99.15,99.15,99.54,99.54,99.15,Avg,1267131.2,72,1278,11,2023-02-03,,,,,,8.14,,,2022-02-09,16.920919455156,14.613380357618,12.933818191979,14.613380357618,14.353084985733,64.000000016172,0.14996671820134,897.27093873787,,
21,2021-12-01,Moscow Exchange T+,99.89,100.08,18.999999999999773,99.985,99.08,99.08,100.4,100.0,100.04,100.04,100.04,100.0,100.0,100.04,Avg,1877701.7,68,1877,11,2023-02-03,,,,,,7.84,,,2022-02-09,11.162121341138,12.09538346667,10.914799374783,11.410093263282,11.410093263282,65.000000000823,0.16020042585961,347.20924381098,,
22,2021-11-30,Moscow Exchange T+,99.71,99.77,6.000000000000227,99.74,99.81,99.7,99.94,99.8,99.75,99.75,99.75,99.8,99.8,99.75,Avg,1549119.2,52,1553,11,2023-02-03,,,,,,7.53,,,2022-02-09,12.958629395686,13.207580396158,12.834396339620998,12.648349130324,12.648349130324,66.000000002511,0.16007800270105,518.55805139787,,
23,2021-11-29,Moscow Exchange T+,99.48,99.63,14.999999999999147,99.555,99.04,99.04,99.85,99.65,99.56,99.56,99.56,99.65,99.65,99.56,Avg,933919.2,84,938,11,2023-02-03,,,,,,7.23,,,2022-02-09,14.10751568496,14.60469457059,13.674577087974,13.55123762663,13.55123762663,67.000000004756,0.1608672686867,638.99927029682,,
24,2021-11-26,Moscow Exchange T+,99.51,99.75,23.99999999999949,99.63,99.21,99.21,99.95,99.75,99.62,99.69,,99.52,99.52,99.62,Avg,450292.7,48,452,11,2023-02-03,,,,,,6.33,,,2022-02-09,13.641110764721,14.293501203698,12.875816639168,12.875816639168,14.234008868508,70.000000003999,0.16876007339089,560.89400212032,,
