,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,97.0,97.01,1.0000000000005116,97.005,93.97,92.99,97.0,97.0,93.42,93.42,93.42,95.94,95.94,93.42,Avg,19968261.7,78,21375,6.65,2027-02-10,8.4197922838825,7.4975233939391,7.495010553345,7.4975233939391,7.7658433769628,24.41,1562.9667222776,3.9495561822953,,,,,,,,,-0.61915076164247,,
1,2021-12-29,Moscow Exchange T+,93.7,94.0,29.999999999999716,93.85,94.0,93.12,94.0,94.0,93.94,93.99,,94.0,94.0,93.94,Avg,436834.8,25,465,6.65,2027-02-10,8.2821624926718,8.345165505705001,8.2664450494236,8.2664450494236,8.2664450494236,24.23,1565.0390133662,3.9598194384986,,,,,,,,,-19.503110332475,,
2,2021-12-28,Moscow Exchange T+,94.35,94.67,32.00000000000074,94.51,93.98,93.4,94.0,94.0,93.99,93.99,93.99,93.99,93.99,93.99,Avg,43359005.1,39,46132,6.65,2027-02-10,8.268282622084799,8.1742865081278,8.0911322373833,8.2656651836125,8.268282622084799,24.05,1566.1470438874,3.9631309511456,,,,,,,,,-18.472697268942,,
3,2021-12-27,Moscow Exchange T+,93.59,93.8,20.999999999999375,93.695,93.64,92.54,93.8,93.8,93.64,93.1,,93.8,93.8,93.64,Avg,66487.5,25,71,6.65,2027-02-10,8.35930435812,8.3724558827079,8.3172819184653,8.3172819184653,8.3172819184653,23.87,1566.4382336334,3.960538159983,,,,,,,,,-11.953556254845,,
4,2021-12-24,Moscow Exchange T+,93.45,93.46,0.9999999999990904,93.455,92.81,92.81,93.47,93.45,92.9,93.1,93.1,93.45,93.45,92.9,Avg,44331167.7,34,47616,6.65,2027-02-10,8.5524440806826,8.4070703401381,8.4044376811705,8.4070703401381,8.4070703401381,23.32,1567.9313553259,3.957259903025,,,,,,,,,12.294440406241,,
5,2021-12-23,Moscow Exchange T+,92.9,92.99,8.99999999999892,92.945,93.13,92.8,93.13,92.9,92.8,92.1,,92.9,92.9,92.8,Avg,16728.9,11,18,6.65,2027-02-10,8.5780818825971,8.5515399768649,8.5276846171018,8.5515399768649,8.5515399768649,23.14,1568.7310383425,3.9583433241895,,,,,,,,,7.5385549875051,,
6,2021-12-22,Moscow Exchange T+,92.8,92.95,15.000000000000568,92.875,92.31,92.31,92.95,92.8,92.57,92.1,,92.8,92.8,92.57,Avg,74057.9,16,80,6.65,2027-02-10,8.6383299245289,8.5771676128457,8.5373872897993,8.5771676128457,8.5771676128457,22.96,1569.2600320499,3.9574821856595,,,,,,,,,8.2020736738123,,
7,2021-12-21,Moscow Exchange T+,92.4,92.41,0.9999999999990904,92.405,92.94,91.4,92.94,92.41,92.16,92.1,,92.4,92.4,92.16,Avg,77413.9,22,84,6.65,2027-02-10,8.7471366336837,8.6829721314482,8.6803034068571,8.6803034068571,8.6829721314482,22.77,1569.4084543872,3.9538964640381,,,,,,,,,11.613022990418,,
8,2021-12-20,Moscow Exchange T+,92.3,92.31,1.0000000000005116,92.305,92.92,91.28,92.92,92.3,92.42,92.1,,92.3,92.3,92.42,Avg,67466.3,24,73,6.65,2027-02-10,8.676678315391,8.7087089599449,8.706037631332,8.7087089599449,8.7087089599449,22.59,1570.9600371465,3.9603714140772,,,,,,,,,4.4074927479569,,
9,2021-12-17,Moscow Exchange T+,92.1,92.51,41.00000000000108,92.305,92.16,92.1,92.92,92.1,92.03,92.1,92.1,92.1,92.1,92.03,Avg,134675764.7,40,146226,6.65,2027-02-10,8.7779791593172,8.759241042209199,8.6498671070309,8.759241042209199,8.759241042209199,22.05,1573.1668425855,3.9622414181435,,,,,,,,,14.278461847981,,
10,2021-12-16,Moscow Exchange T+,92.14,92.21,6.999999999999318,92.175,91.96,91.02,92.21,92.21,91.88,91.8,,92.21,92.21,91.88,Avg,227850.5,31,248,6.65,2027-02-10,8.8174498812868,8.7478268526576,8.7291266843829,8.7291266843829,8.7291266843829,21.86,1573.8574968902,3.9625430961196,,,,,,,,,8.7656550079508,,
11,2021-12-15,Moscow Exchange T+,91.82,91.96,14.000000000000057,91.89,91.84,90.05,91.97,91.96,91.84,91.84,91.84,91.96,91.96,91.84,Avg,688845931.1,35,750050,6.65,2027-02-10,8.827167110039099,8.8325341871175,8.7949971620542,8.7949971620542,8.7949971620542,21.68,1574.7813149876,3.9645149926285,,,,,,,,,7.1406460718634,,
12,2021-12-14,Moscow Exchange T+,91.83,91.84,1.0000000000005116,91.835,91.83,90.8,91.83,91.83,91.8,91.8,91.8,91.83,91.83,91.8,Avg,40987643.9,30,44649,6.65,2027-02-10,8.836882937635,8.828834262566799,8.8261521456582,8.828834262566799,8.828834262566799,21.5,1575.705134349,3.9664865912717,,,,,,,,,6.8901806784488,,
13,2021-12-13,Moscow Exchange T+,91.8,91.83,3.0000000000001137,91.815,91.71,91.0,91.83,91.8,91.8,91.8,91.8,91.8,91.8,91.8,Avg,91861363.3,54,100067,6.65,2027-02-10,8.8358652938258,8.8358652938258,8.8278202980023,8.8358652938258,8.8358652938258,21.32,1576.7131140248,3.9690610669287,,,,,,,,,10.153828963345,,
14,2021-12-10,Moscow Exchange T+,91.8,91.84,4.000000000000625,91.82,91.68,91.68,91.84,91.84,91.74,91.69,,91.8,91.8,91.74,Avg,317416.3,26,346,6.65,2027-02-10,8.849172244296,8.8330935817045,8.8223822120953,8.8223822120953,8.8330935817045,20.77,1579.6087614437,3.9758641683734,,,,,,,,,15.861513988267,,
15,2021-12-09,Moscow Exchange T+,91.8,91.89,9.000000000000341,91.845,91.9,91.53,91.9,91.89,91.61,91.7,,91.82,91.82,91.61,Avg,271156.3,41,296,6.65,2027-02-10,8.8830251542627,8.8320847092294,8.8080037891516,8.8080037891516,8.8267306894748,20.59,1580.3432061167,3.9764760465501,,,,,,,,,17.506427473167,,
16,2021-12-08,Moscow Exchange T+,91.71,91.86,15.000000000000568,91.785,91.0,91.0,91.87,91.7,91.69,91.69,91.69,91.7,91.7,91.69,Avg,5414549.3,31,5905,6.65,2027-02-10,8.860539423835299,8.855179325993,8.815027930038601,8.8578591811625,8.8578591811625,20.41,1581.5196060369,3.9802580902422,,,,,,,,,9.6452911899112,,
17,2021-12-07,Moscow Exchange T+,91.7,91.88,17.99999999999926,91.79,92.0,91.14,92.0,91.8,91.64,91.78,,91.75,91.75,91.64,Avg,162196.5,20,177,6.65,2027-02-10,8.873190645772901,8.8571104502875,8.8089534383762,8.830341099574,8.843720939709799,20.22,1582.4203639569,3.9820622797046,,,,,,,,,11.567097238934,,
18,2021-12-06,Moscow Exchange T+,91.86,92.0,14.000000000000057,91.93,91.8,91.04,92.0,91.86,91.88,91.82,,91.86,91.86,91.88,Avg,131384.5,30,143,6.65,2027-02-10,8.8079607791926,8.8133029542038,8.775940067735801,8.8133029542038,8.8133029542038,20.04,1583.9318808934,3.9882554260108,,,,,,,,,8.695706895517,,
19,2021-12-03,Moscow Exchange T+,91.81,91.93,12.000000000000457,91.87,91.83,91.8,92.0,91.8,91.8,91.8,,91.8,91.8,91.8,Avg,460850.6,19,502,6.65,2027-02-10,8.8266118557287,8.8239418529946,8.791931857997499,8.8266118557287,8.8266118557287,19.49,1586.7856683529,3.9947563572507,,,,,,,,,18.856297128022,,
20,2021-12-02,Moscow Exchange T+,91.8,91.86,6.000000000000227,91.83,91.02,91.02,91.89,91.8,91.76,91.76,91.76,91.8,91.8,91.76,Avg,923668710.2,44,1006573,6.65,2027-02-10,8.8362971948357,8.825618155572199,8.8096111561332,8.825618155572199,8.825618155572199,19.31,1587.709727343,3.9967269891278,,,,,,,,,19.497667161344,,
21,2021-12-01,Moscow Exchange T+,91.09,92.06,96.99999999999989,91.575,92.17,91.7,92.17,91.8,91.75,91.75,91.75,91.8,91.8,91.75,Avg,1102084622.1,53,1201126,6.65,2027-02-10,8.8379703785813,9.0150162228216,8.7553941637987,8.8246266422194,8.8246266422194,19.13,1588.6966072298,3.9991497722027,,,,,,,,,19.513623192107,,
22,2021-11-30,Moscow Exchange T+,91.88,92.11,23.0000000000004,91.995,92.17,91.35,92.17,92.14,91.75,91.8,91.8,92.14,92.14,91.75,Avg,402721345.4,25,438699,6.65,2027-02-10,8.836975030248901,8.8023169775846,8.741157807745,8.7331954451074,8.7331954451074,18.95,1589.7044121938,4.0017232679842,,,,,,,,,20.712527272827,,
23,2021-11-29,Moscow Exchange T+,91.3,91.33,3.0000000000001137,91.315,92.2,91.11,92.2,91.33,91.41,91.57,,91.33,91.33,91.41,Avg,174586.1,30,191,6.65,2027-02-10,8.9268936128278,8.956402263601,8.9483497767355,8.9483497767355,8.9483497767355,18.77,1589.9989095905,3.999160585284,,,,,,,,,29.212729740137,,
