,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,94.41,94.75,34.00000000000034,94.58,94.93,94.3,95.43,94.75,94.66,94.47,,94.75,94.75,94.66,Avg,258428.2,30.0,273.0,6.2,2025-02-20,8.393214265744101,8.4930391674174,8.3573680337288,8.3573680337288,8.3573680337288,5.95,1042.1156517213,2.6340314695152,,,,,,,,,-0.072162690168653,,
1,2021-12-29,Moscow Exchange T+,93.93,94.16,22.999999999998977,94.045,94.99,92.02,95.05,94.2,94.3,94.32,,94.28,94.28,94.3,Avg,296101.1,16.0,314.0,6.2,2025-02-20,8.5353598646181,8.6839104239794,8.5914716094717,8.5754277135929,8.543368651882199,5.78,1042.8614568444,2.6324643690775,,,,,,,,,6.8029013601336,,
2,2021-12-28,Moscow Exchange T+,94.29,94.3,0.9999999999990904,94.295,94.42,94.03,94.42,94.3,94.34,93.85,,94.3,94.3,94.34,Avg,175480.3,20.0,186.0,6.2,2025-02-20,8.517646636080901,8.537645176037099,8.5336442750962,8.5336442750962,8.5336442750962,5.61,1043.8931477916,2.6354987557161,,,,,,,,,8.9291915483127,,
3,2021-12-27,Moscow Exchange T+,94.33,94.4,7.000000000000739,94.365,93.71,93.69,94.4,94.4,94.22,92.67,,94.4,94.4,94.22,Avg,65013.6,15.0,69.0,6.2,2025-02-20,8.563931629919901,8.519943654423601,8.4919888423334,8.4919888423334,8.4919888423334,5.44,1044.810329827,2.6366897470869,,,,,,,,,10.34494518294,,
4,2021-12-24,Moscow Exchange T+,93.61,94.0,39.00000000000006,93.805,94.36,92.92,94.38,94.0,94.0,92.54,,93.99,93.99,94.0,Avg,137241.6,27.0,146.0,6.2,2025-02-20,8.6467320892653,8.803415197327901,8.6467320892653,8.6467320892653,8.6507381832704,4.93,1047.6621024083,2.6418715728399,,,,,,,,,24.463579115537,,
5,2021-12-23,Moscow Exchange T+,93.13,93.36,23.0000000000004,93.245,91.93,91.93,93.39,93.31,93.3,92.23,,93.31,93.31,93.3,Avg,46648.8,11.0,50.0,6.2,2025-02-20,8.926602379799201,8.9954538248533,8.902343969394499,8.922557788455,8.922557788455,4.76,1048.1604009233,2.6363370091026,,,,,,,,,45.907797418569,,
6,2021-12-22,Moscow Exchange T+,92.48,92.88,39.99999999999915,92.68,92.91,92.06,92.91,92.48,92.83,92.14,,92.67,92.67,92.83,Avg,116040.4,17.0,125.0,6.2,2025-02-20,9.1152301310288,9.2580759175656,9.0948854101893,9.2580759175656,9.1804369214348,4.59,1048.821667975,2.6334399133821,,,,,,,,,58.75285339994,,
7,2021-12-21,Moscow Exchange T+,91.91,91.97,6.000000000000227,91.94,92.54,91.96,93.14,91.97,92.0,92.0,92.0,91.97,91.97,92.0,Avg,6550080.1,41.0,7120.0,6.2,2025-02-20,9.4527966014352,9.4898926477066,9.4651562767785,9.4651562767785,9.4651562767785,4.42,1049.2142821197,2.6263008039052,,,,,,,,,82.239851899902,,
8,2021-12-20,Moscow Exchange T+,92.74,92.97,23.0000000000004,92.855,93.98,92.98,93.98,92.99,93.44,92.33,,92.99,92.99,93.44,Avg,71951.9,8.0,77.0,6.2,2025-02-20,8.864162690136599,9.147530789897,9.054093418977,9.0459837871514,9.0459837871514,4.25,1051.2724230976,2.6456809553053,,,,,,,,,18.872943551266,,
9,2021-12-17,Moscow Exchange T+,92.78,94.5,171.9999999999999,93.64,93.3,92.5,94.64,93.1,93.25,92.31,,93.1,93.1,93.25,Avg,212610.2,22.0,228.0,6.2,2025-02-20,8.9347738889213,9.1247988163975,8.4358691126197,8.9952736813736,8.9952736813736,3.74,1054.1457366488,2.6511924597297,,,,,,,,,21.285093837673,,
10,2021-12-16,Moscow Exchange T+,92.82,92.97,15.000000000000568,92.895,92.03,92.03,92.93,92.93,92.59,92.25,,92.93,92.93,92.59,Avg,2777.7,3.0,3.0,6.2,2025-02-20,9.1997987383173,9.1064445797672,9.0457363432948,9.0619117448683,9.0619117448683,3.57,1054.6696465725,2.6460725334713,,,,,,,,,41.642446714457,,
11,2021-12-15,Moscow Exchange T+,92.45,92.79,34.00000000000034,92.62,93.52,92.45,93.52,92.45,92.58,92.25,,92.49,92.49,92.58,Avg,20367.4,6.0,22.0,6.2,2025-02-20,9.2016642722747,9.2545402338173,9.1164692356756,9.2545402338173,9.2382595864599,3.4,1055.6662919869,2.6485277817664,,,,,,,,,39.926327446488,,
12,2021-12-14,Moscow Exchange T+,91.97,92.58,60.99999999999994,92.275,92.25,92.25,92.65,92.57,92.38,92.25,92.25,92.57,92.57,92.38,Avg,8313.9,4.0,9.0,6.2,2025-02-20,9.2807958400906,9.4482916998281,9.1994690202229,9.2035294978898,9.2035294978898,3.23,1056.5239553414,2.6487601565907,,,,,,,,,45.805594313694,,
13,2021-12-13,Moscow Exchange T+,92.3,92.49,18.999999999999773,92.395,92.18,92.18,93.14,92.25,92.25,92.25,92.25,92.25,92.25,92.25,Avg,3655976.3,11.0,3963.0,6.2,2025-02-20,9.3314955737218,9.3111164480858,9.2338169708145,9.3314955737218,9.3314955737218,3.06,1057.4327158563,2.6498091136962,,,,,,,,,55.724217130427,,
14,2021-12-10,Moscow Exchange T+,92.21,92.99,78.00000000000011,92.6,92.91,92.31,92.99,92.99,92.86,92.8,,92.83,92.83,92.86,Avg,52929.7,10.0,57.0,6.2,2025-02-20,9.0776542740639,9.3409192011011,9.0253116030524,9.0253116030524,9.0897479612725,2.55,1060.8891838996,2.6646573293656,,,,,,,,,31.462675574797,,
15,2021-12-09,Moscow Exchange T+,92.57,93.19,62.000000000000455,92.88,93.61,92.06,93.63,93.19,93.5,92.8,,93.19,93.19,93.5,Avg,103781.3,11.0,111.0,6.2,2025-02-20,8.819075796121801,9.1926190086481,8.9430087158691,8.9430087158691,8.9430087158691,2.38,1062.3532802243,2.6746752909154,,,,,,,,,5.2030707854556,,
16,2021-12-08,Moscow Exchange T+,92.31,92.32,0.9999999999990904,92.315,92.29,92.29,92.32,92.32,92.31,92.68,,92.32,92.32,92.31,Avg,124619.9,14.0,135.0,6.2,2025-02-20,9.2957455624521,9.2957455624521,9.2916881597817,9.2916881597817,9.2916881597817,2.21,1062.4970553324,2.6633706751777,,,,,,,,,48.88418979123,,
17,2021-12-07,Moscow Exchange T+,92.27,92.39,12.000000000000457,92.33,91.98,91.98,92.75,92.42,92.39,92.71,,92.42,92.42,92.39,Avg,21250.7,13.0,23.0,6.2,2025-02-20,9.2610862638304,9.309725951074102,9.2610862638304,9.248940185323,9.248940185323,2.04,1063.5594154841,2.6668794096091,,,,,,,,,46.000313739647,,
18,2021-12-06,Moscow Exchange T+,92.66,93.35,68.99999999999977,93.005,91.98,91.98,93.55,93.36,93.09,92.69,,93.36,93.36,93.09,Avg,21411.6,10.0,23.0,6.2,2025-02-20,8.977118967294299,9.1498435558432,8.8732228727381,8.8692349767583,8.8692349767583,1.87,1065.0697314214,2.6776256262051,,,,,,,,,20.034594481855,,
19,2021-12-03,Moscow Exchange T+,92.61,92.9,29.000000000000625,92.755,90.64,90.64,93.62,92.54,91.95,92.65,,92.54,92.54,91.95,Avg,5517.0,6.0,6.0,6.2,2025-02-20,9.4304961534579,9.1636051394055,9.0471770363722,9.1917851073357,9.1917851073357,1.36,1067.2544546075,2.672001781883,,,,,,,,,69.208891027002,,
20,2021-12-02,Moscow Exchange T+,92.26,92.98,71.99999999999989,92.62,93.62,92.98,93.62,92.98,93.15,92.65,,92.98,92.98,93.15,Avg,7451.8,3.0,8.0,6.2,2025-02-20,8.9452627182356,9.3025738406422,9.0131423774618,9.0131423774618,9.0131423774618,1.19,1069.1269124848,2.6886114693221,,,,,,,,,21.214583504164,,
21,2021-12-01,Moscow Exchange T+,92.27,92.79,52.00000000000102,92.53,92.62,91.57,93.46,93.03,92.1,92.63,,93.03,93.03,92.1,Avg,65391.6,18.0,71.0,6.2,2025-02-20,9.3650468572226,9.2963100517798,9.0871540389997,8.9911739861265,8.9911739861265,1.02,1069.3723178558,2.6789063383591,,,,,,,,,63.3837262838,,
22,2021-11-30,Moscow Exchange T+,92.93,93.61,67.99999999999926,93.27,92.5,92.07,93.01,92.92,92.83,92.74,,92.92,92.92,92.83,Avg,369452.7,47.0,398.0,6.2,2025-02-20,9.0690906585444,9.029111818862,8.7588457703113,9.0331069884127,9.0331069884127,0.85,1070.9045682638,2.6900243697055,,,,,,,,,34.472691304546,,
23,2021-11-29,Moscow Exchange T+,92.65,92.89,23.99999999999949,92.77,93.42,91.98,93.54,92.69,92.43,92.97,,92.71,92.71,92.43,Avg,105371.8,37.0,114.0,6.2,2025-02-20,9.2274503682605,9.1391117924107,9.0430771916813,9.1230818235864,9.1150704503345,0.68,1071.6199188869,2.6879186260901,,,,,,,,,51.123278853614,,
24,2021-11-26,Moscow Exchange T+,92.37,93.47,109.99999999999945,92.92,93.64,91.92,93.64,93.38,92.72,93.15,,93.38,93.38,92.72,Avg,26888.2,12.0,29.0,6.2,2025-02-20,9.1048821814628,9.2450856486819,8.806928142611401,8.842505504747699,8.842505504747699,0.17,1074.8402629598,2.6990248143321,,,,,,,,,25.683471885113,,
25,2021-11-25,Moscow Exchange T+,92.7,93.01,31.000000000000227,92.855,91.3,91.3,93.68,93.01,92.76,93.24,,93.01,93.01,92.76,Avg,179026.7,42.0,193.0,6.2,2025-02-20,9.0868674966931,9.1108167421388,8.987312098209301,8.987312098209301,8.987312098209301,,1075.8726314285,2.7020633355142,,,,,,,,,22.76757792153,,
26,2021-11-24,Moscow Exchange T+,92.91,93.45,54.000000000000625,93.18,93.85,93.2,94.0,93.4,93.76,93.6,,93.4,93.4,93.76,Avg,84381.8,18.0,90.0,6.2,2025-02-20,8.6890124743753,9.0249559465037,8.8110371797834,8.8307716733871,8.8307716733871,15.29,1060.1234737132,2.6722552786757,,,,,,,,,-25.758987343054,,
27,2021-11-23,Moscow Exchange T+,92.82,93.6,78.00000000000011,93.21,92.44,92.41,93.62,93.43,93.04,93.51,,93.43,93.43,93.04,Avg,20469.4,14.0,22.0,6.2,2025-02-20,8.9712107842271,9.0586222299351,8.7500090290563,8.8169632759232,8.8169632759232,15.12,1060.4938537045,2.666266247736,,,,,,,,,-5.8464484735932,,
28,2021-11-22,Moscow Exchange T+,92.44,93.39,95.00000000000028,92.915,93.43,92.44,93.43,92.44,93.32,93.52,,92.44,92.44,93.32,Avg,119445.2,20.0,128.0,6.2,2025-02-20,8.8583825092427,9.2080210163152,8.8307686416722,9.2080210163152,9.2080210163152,14.95,1061.7457680708,2.672180541554,,,,,,,,,-12.522599326507,,
