,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,97.41,97.54,13.000000000000966,97.475,99.59,97.5,100.0,97.52,97.5,97.5,97.5,97.52,97.52,97.5,Avg,5038987.1,11.0,5168.0,6.4,2025-02-25,,,,,,21.22,,,2023-03-03,8.8780477535132,8.966120506529899,8.8389534287586,8.8584968166965,8.8584968166965,407.9965465397,1.0266520944365,66.077478689468,,
1,2021-12-29,Moscow Exchange T+,97.76,97.78,1.999999999999602,97.77,97.39,97.31,97.79,97.79,97.5,97.5,97.5,97.79,97.79,97.5,Avg,675650.3,19.0,693.0,6.4,2025-02-25,,,,,,21.04,,,2023-03-03,8.872962511142001,8.6199736987435,8.6005654380279,8.590864107724,8.590864107724,408.9971732391,1.0292180673787,59.41661045793,,
2,2021-12-28,Moscow Exchange T+,97.25,97.39,14.000000000000057,97.32,96.99,96.99,97.39,97.39,97.38,97.38,97.38,97.39,97.39,97.38,Avg,554118.0,14.0,569.0,6.4,2025-02-25,,,,,,20.87,,,2023-03-03,8.9838521376248,9.1108212446337,8.9740984754566,8.9740984754566,8.9740984754566,409.98350856878,1.0306503827843,76.245835764172,,
3,2021-12-27,Moscow Exchange T+,97.3,97.34,4.000000000000625,97.32,97.04,96.76,97.34,97.31,97.09,97.09,97.09,97.31,97.31,97.09,Avg,2776912.9,15.0,2860.0,6.4,2025-02-25,,,,,,20.69,,,2023-03-03,9.2615795318089,9.0564734775066,9.0174998438753,9.0467272496469,9.0467272496469,410.94929636343,1.030452321861,105.37945976618,,
4,2021-12-24,Moscow Exchange T+,96.88,96.99,10.999999999999943,96.935,96.53,96.53,96.99,96.88,96.89,96.89,96.89,96.88,96.88,96.89,Avg,986335.6,10.0,1018.0,6.4,2025-02-25,,,,,,20.16,,,2023-03-03,9.437713619275,9.4474714839264,9.3402385378904,9.4474714839264,9.4474714839264,413.92760755653,1.0362499383221,126.30497821042,,
5,2021-12-23,Moscow Exchange T+,96.57,96.79,22.000000000001307,96.68,96.79,96.56,96.79,96.79,96.78,96.78,96.78,96.79,96.79,96.78,Avg,555508.7,27.0,574.0,6.4,2025-02-25,,,,,,19.99,,,2023-03-03,9.537667911383,9.7429416832134,9.5279137412033,9.5279137412033,9.5279137412033,414.91530230957,1.0377747441388,140.69570981162,,
6,2021-12-22,Moscow Exchange T+,96.52,96.79,27.000000000001023,96.655,96.55,96.49,96.79,96.79,96.53,96.53,96.53,96.79,96.79,96.53,Avg,3331148.9,12.0,3451.0,6.4,2025-02-25,,,,,,19.81,,,2023-03-03,9.7751039450479,9.7848848632536,9.5214626567733,9.5214626567733,9.5214626567733,415.88608034745,1.0379529399767,165.16104167287,,
7,2021-12-21,Moscow Exchange T+,96.96,99.59,263.00000000000097,98.275,98.0,96.27,98.0,96.9,96.29,96.29,96.29,96.9,96.9,96.29,Avg,2031741.1,20.0,2110.0,6.4,2025-02-25,,,,,,19.64,,,2023-03-03,10.001857090442,9.3492987756465,6.8670559003144005,9.4073935752596,9.4073935752596,416.85818429343,1.0382344875353,175.29643884791,,
8,2021-12-20,Moscow Exchange T+,96.16,96.29,13.000000000000966,96.225,96.29,96.16,96.29,96.29,96.28,96.28,96.28,96.29,96.29,96.28,Avg,1341225.8,21.0,1393.0,6.4,2025-02-25,,,,,,19.46,,,2023-03-03,10.004148426853,10.121674145041,9.994366941533,9.994366941533,9.994366941533,417.85790245898,1.0407027257538,169.05212274855,,
9,2021-12-17,Moscow Exchange T+,96.12,96.28,15.99999999999966,96.2,96.1,96.05,96.29,96.26,96.12,96.12,96.12,96.26,96.26,96.12,Avg,4070748.8,29.0,4235.0,6.4,2025-02-25,,,,,,18.94,,,2023-03-03,10.135594884453,10.135594884453,9.9799042930716,9.999339313042,9.999339313042,420.84173643708,1.0468832169485,171.21238065619,,
10,2021-12-16,Moscow Exchange T+,96.0,96.1,9.999999999999432,96.05,96.04,96.01,96.1,96.09,96.08,96.08,96.08,96.09,96.09,96.08,Avg,6602726.7,26.0,6872.0,6.4,2025-02-25,,,,,,18.76,,,2023-03-03,10.16680180566,10.244711734832,10.147343140623,10.157071533119,10.157071533119,421.83789897006,1.0490640122145,165.04787067035,,
11,2021-12-15,Moscow Exchange T+,96.03,96.04,1.0000000000005116,96.035,96.04,96.0,96.04,96.04,96.04,95.86,,96.04,96.04,96.04,Avg,258344.3,15.0,269.0,6.4,2025-02-25,,,,,,18.59,,,2023-03-03,10.196931862606,10.206649394017,10.196931862606,10.196931862606,10.196931862606,422.83419411811,1.051254174974,163.75812494269,,
12,2021-12-14,Moscow Exchange T+,95.87,96.02,14.999999999999147,95.945,96.04,95.8,96.04,96.03,95.9,95.9,95.9,96.02,96.02,95.9,Avg,1504663.0,10.0,1569.0,6.4,2025-02-25,,,,,,18.41,,,2023-03-03,10.325046614285,10.354218030514,10.208529864656,10.198832315596,10.208529864656,423.81844301035,1.0524776148665,170.83118238555,,
13,2021-12-13,Moscow Exchange T+,95.9,95.93,3.0000000000001137,95.915,95.8,95.79,96.03,95.93,95.86,95.86,95.86,95.93,95.93,95.86,Avg,857980.2,17.0,895.0,6.4,2025-02-25,,,,,,18.24,,,2023-03-03,10.354827822604,10.316016949297,10.286928456896,10.286928456896,10.286928456896,424.81478204485,1.0546671479224,181.19006110757,,
14,2021-12-10,Moscow Exchange T+,95.95,96.05,9.999999999999432,96.0,96.29,96.0,96.3,96.05,95.91,96.03,96.03,96.05,96.05,95.91,Avg,7149215.0,19.0,7445.0,6.4,2025-02-25,,,,,,17.71,,,2023-03-03,10.28149655388,10.242983024717,10.146828751587,10.146828751587,10.146828751587,427.82379689485,1.0628437481532,168.63013754314,,
