,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,92.99,93.0,1.0000000000005116,92.995,93.1,92.97,93.5,93.0,93.35,93.35,93.35,93.0,93.0,93.35,Avg,4994346.7,135,5350,6.85,2025-02-25,9.5407999510786,9.6876179622238,9.6835289312908,9.6835289312908,9.6835289312908,22.71,1028.0504729541,2.5712580513272,,,,,,,,,114.81207098333,,
1,2021-12-29,Moscow Exchange T+,92.89,93.19,29.999999999999716,93.04,93.65,92.65,95.09,93.19,92.82,92.82,92.82,93.19,93.19,92.82,Avg,5704001.8,142,6145,6.85,2025-02-25,9.7550744070267,9.7264135211327,9.6039231615762,9.6039231615762,9.6039231615762,22.52,1028.5936079287,2.5675939763896,,,,,,,,,128.8399527742,,
2,2021-12-28,Moscow Exchange T+,92.71,92.8,9.000000000000341,92.755,93.18,92.43,93.18,92.71,92.55,92.55,92.55,92.71,92.71,92.55,Avg,6188552.8,151,6687,6.85,2025-02-25,9.8636740288103,9.797992578027,9.7611165340807,9.797992578027,9.797992578027,22.33,1029.3617820417,2.5669715588868,,,,,,,,,143.63405166461,,
3,2021-12-27,Moscow Exchange T+,92.89,92.9,1.0000000000005116,92.895,92.0,92.0,93.15,92.89,92.45,92.45,92.45,92.89,92.89,92.45,Avg,11246345.8,198,12165,6.85,2025-02-25,9.9021338064326,9.7217647801128,9.7176794029523,9.7217647801128,9.7217647801128,22.15,1030.2796382137,2.5683613616483,,,,,,,,,144.28045446154,,
4,2021-12-24,Moscow Exchange T+,92.5,92.63,12.999999999999543,92.565,93.31,91.9,93.31,92.64,92.18,92.18,92.18,92.64,92.64,92.18,Avg,7494414.6,114,8130,6.85,2025-02-25,10.006401659594,9.8748805218697,9.8216319740594,9.8175402678327,9.8175402678327,21.58,1033.0568224649,2.5728435996348,,,,,,,,,160.52366259803,,
5,2021-12-23,Moscow Exchange T+,92.26,92.54,28.000000000000114,92.4,92.4,91.54,93.18,92.25,91.71,91.71,91.71,92.24,92.24,91.71,Avg,22159384.6,138,24163,6.85,2025-02-25,10.198259084535,9.9711632441016,9.8562779358773,9.9752753209537,9.9793880222211,21.39,1033.6463872519,2.5698299898792,,,,,,,,,173.28349012531,,
6,2021-12-22,Moscow Exchange T+,91.87,92.0,12.999999999999543,91.935,91.61,90.8,92.49,91.87,91.91,91.91,91.91,91.87,91.87,91.91,Avg,1003645.9,98,1092,6.85,2025-02-25,10.112639221635,10.12916578374,10.07549126405,10.12916578374,10.12916578374,21.21,1034.829622525,2.574772224873,,,,,,,,,158.76660857558,,
7,2021-12-21,Moscow Exchange T+,91.65,91.67,1.999999999999602,91.66,90.61,90.61,91.81,91.67,91.57,91.57,91.57,91.67,91.67,91.57,Avg,5648839.4,112,6169,6.85,2025-02-25,10.250926129021,10.21775765545,10.209471872773,10.209471872773,10.209471872773,21.02,1035.5336175,2.5732921288929,,,,,,,,,162.25138880444,,
8,2021-12-20,Moscow Exchange T+,91.26,91.3,3.999999999999204,91.28,91.82,90.55,91.82,91.3,91.37,91.37,91.37,91.3,91.3,91.37,Avg,2291510.2,126,2508,6.85,2025-02-25,10.331455057986,10.377232012701,10.360576909651,10.360576909651,10.360576909651,20.83,1036.3611066811,2.5734687322524,,,,,,,,,165.66093065574,,
9,2021-12-17,Moscow Exchange T+,91.03,91.23,20.000000000000284,91.13,91.0,90.59,91.68,91.06,91.14,91.14,91.14,91.1,91.1,91.14,Avg,702710.6,107,771,6.85,2025-02-25,10.418945330841,10.4647749339,10.381505948735,10.452268264143,10.43560167596,20.27,1039.1735685158,2.5784079571812,,,,,,,,,169.56994805975,,
