,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,101.51,101.99,47.99999999999898,101.75,102.01,102.0,102.68,102.68,102.13,101.25,,102.68,102.68,102.13,Avg,11234.0,4,11,13,2023-03-01,11.48519802543,12.102250812178,11.623896845434,10.943859278398,10.943859278398,10.33,398.67484000907,0.97973529669126,,,,,,,,,327.60767890377,,
1,2021-12-29,Moscow Exchange T+,101.69,102.68,99.00000000000092,102.185,100.66,100.48,102.69,102.69,101.21,101.23,,102.69,102.69,101.21,Avg,462525.1,17,457,13,2023-03-01,12.406723458656,11.926641592443,10.950204652298,10.940434667922,10.940434667922,9.97,399.5214922517,0.97376686833966,,,,,,,,,413.7425213245,,
2,2021-12-28,Moscow Exchange T+,100.55,101.48,93.00000000000068,101.015,101.45,100.99,101.46,101.46,101.28,100.61,,101.36,101.36,101.28,Avg,130650.8,20,129,13,2023-03-01,12.338848833082,13.07491778093,12.138974810967,12.158927899611,12.258807632287,9.62,400.53277389166,0.97682153311638,,,,,,,,,412.73234284366,,
3,2021-12-27,Moscow Exchange T+,100.36,100.49,12.999999999999543,100.425,100.88,98.52,101.2,100.29,100.39,100.46,,100.29,100.29,100.39,Avg,385511.7,38,384,13,2023-03-01,13.239141914733,13.269641846919,13.137602661997,13.340876975895,13.340876975895,9.26,401.38330243867,0.97111322291893,,,,,,,,,504.28719952111,,
4,2021-12-24,Moscow Exchange T+,101.0,101.09,9.000000000000341,101.045,100.2,100.2,100.99,100.99,100.65,100.41,,100.99,100.99,100.65,Avg,113729.9,14,113,13,2023-03-01,12.980766682821,12.630225537168998,12.540464723747998,12.640208483199,12.640208483199,8.19,404.42616196404,0.98071283690603,,,,,,,,,481.72540522312,,
5,2021-12-23,Moscow Exchange T+,100.61,100.98,37.000000000000455,100.795,100.69,100.69,100.99,100.95,100.95,100.26,,100.95,100.95,100.95,Avg,83792.3,17,83,13,2023-03-01,12.681873359633,13.021973125441,12.651970493133998,12.681873359633,12.681873359633,7.84,405.47578009202,0.98586624012879,,,,,,,,,456.39129130383,,
6,2021-12-22,Moscow Exchange T+,100.46,100.48,2.000000000001023,100.47,100.26,100.26,100.48,100.48,100.42,100.1,,100.48,100.48,100.42,Avg,148626.1,19,148,13,2023-03-01,13.214599616327,13.174410780666,13.154327913804002,13.154327913804002,13.154327913804002,7.48,406.38737225098,0.98343328928844,,,,,,,,,510.44172572591,,
7,2021-12-21,Moscow Exchange T+,99.8,100.12,32.00000000000074,99.96,100.34,99.61,100.34,100.29,99.99,99.71,,100.29,100.29,99.99,Avg,212987.3,33,213,13,2023-03-01,13.649287422521,13.84179104363,13.517979387058,13.346762968974,13.346762968974,7.12,407.31532852713,0.98190884626921,,,,,,,,,541.3524335252,,
8,2021-12-20,Moscow Exchange T+,99.97,100.14,17.00000000000017,100.055,100.35,99.16,100.35,100.0,99.73,99.6,,100.01,100.01,99.73,Avg,84768.7,19,85,13,2023-03-01,13.912039222721,13.669178631569,13.49782933215,13.638899836199,13.628810783999,6.77,408.27182183043,0.98194444077568,,,,,,,,,561.29378196157,,
9,2021-12-17,Moscow Exchange T+,100.17,100.19,1.999999999999602,100.18,100.19,99.02,100.38,100.19,99.45,99.67,,100.33,100.33,99.45,Avg,182989.9,35,184,13,2023-03-01,14.194579861677,13.469975380569,13.449989996052,13.449989996052,13.310306149867,5.7,411.22507277153,0.98660027153232,,,,,,,,,578.60185528733,,
10,2021-12-16,Moscow Exchange T+,99.01,99.52,50.99999999999909,99.265,99.86,99.0,100.23,99.0,99.48,99.98,,99.33,99.33,99.48,Avg,142263.0,34,143,13,2023-03-01,14.163880012389,14.641067386859,14.123467691371,14.651267462167,14.315703867981,5.34,412.23015063807,0.98927758311863,,,,,,,,,565.98300118983,,
11,2021-12-15,Moscow Exchange T+,100.0,100.35,34.99999999999943,100.175,99.83,99.8,100.4,99.82,99.89,100.17,,99.91,99.91,99.89,Avg,51944.6,15,52,13,2023-03-01,13.750680377935002,13.640721027394,13.292385154814,13.82077524927,13.730670535528,4.99,413.2985361368,0.99544438132331,,,,,,,,,520.31123784279,,
