,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,97.02,97.05,3.0000000000001137,97.035,97.17,97.05,97.17,97.05,97.13,97.13,97.13,97.05,97.05,97.13,Avg,2649650.8,62,2728,6.2,2023-03-02,9.0185430118512,9.126209242435,9.0968229909789,9.0968229909789,9.0968229909789,20.21,410.46064974799,1.031521513927,,,,,,,,,79.918527792716,,
1,2021-12-29,Moscow Exchange T+,97.1,97.14,4.000000000000625,97.12,96.41,96.41,97.14,97.14,96.94,96.94,96.94,97.14,97.14,96.94,Avg,6669671.3,85,6880,6.2,2023-03-02,9.1979287554031,9.0415203248329,9.002493758662599,9.002493758662599,9.002493758662599,20.04,411.43914043028,1.0322819622813,,,,,,,,,91.675648860762,,
2,2021-12-28,Moscow Exchange T+,96.9,96.99,8.99999999999892,96.945,97.07,96.88,97.07,96.99,96.99,96.99,96.99,96.99,96.99,96.99,Avg,2155054.5,93,2222,6.2,2023-03-02,9.142420978246,9.2303243828663,9.142420978246,9.142420978246,9.142420978246,19.87,412.44579540867,1.0353338971626,,,,,,,,,91.852911071617,,
3,2021-12-27,Moscow Exchange T+,96.94,96.95,1.0000000000005116,96.945,97.14,96.75,98.0,96.95,96.78,96.78,96.78,96.95,96.95,96.78,Avg,15475907.1,115,15990,6.2,2023-03-02,9.3407496464097,9.1845815114723,9.1748370294613,9.1748370294613,9.1748370294613,19.7,413.42202013442,1.0359020516361,,,,,,,,,113.00655623014,,
4,2021-12-24,Moscow Exchange T+,96.99,97.0,1.0000000000005116,96.995,97.1,96.58,97.1,97.0,96.84,96.84,96.84,97.0,97.0,96.84,Avg,5724311.7,91,5911,6.2,2023-03-02,9.2617026451095,9.1164565970172,9.1067884381048,9.1067884381048,9.1067884381048,19.19,416.43149517873,1.0441977182754,,,,,,,,,108.41827452057,,
5,2021-12-23,Moscow Exchange T+,96.83,96.96,12.999999999999543,96.895,97.1,96.45,97.1,96.95,96.73,96.73,96.73,96.95,96.95,96.73,Avg,5255362.3,50,5433,6.2,2023-03-02,9.3615019693176,9.264641132005,9.1390006280459,9.1486541258114,9.1486541258114,19.02,417.41953284608,1.0457200549452,,,,,,,,,122.74781963546,,
6,2021-12-22,Moscow Exchange T+,96.75,96.76,1.0000000000005116,96.755,97.0,96.75,97.0,96.76,96.76,96.76,96.76,96.76,96.76,96.76,Avg,1694326.3,63,1751,6.2,2023-03-02,9.3255454712092,9.3352140988476,9.3255454712092,9.3255454712092,9.3255454712092,18.85,418.42384249603,1.0485808114004,,,,,,,,,119.85526172302,,
7,2021-12-21,Moscow Exchange T+,96.68,96.7,1.999999999999602,96.69,96.89,96.51,96.89,96.68,96.7,96.7,96.7,96.68,96.68,96.7,Avg,3028615.9,54,3132,6.2,2023-03-02,9.3766104388142,9.3959278181929,9.3766104388142,9.3959278181929,9.3959278181929,18.68,419.41772206262,1.0505807821951,,,,,,,,,112.42527992979,,
8,2021-12-20,Moscow Exchange T+,96.67,96.68,1.0000000000005116,96.675,96.06,96.06,96.7,96.68,96.66,96.66,96.66,96.68,96.68,96.66,Avg,2054045.5,57,2125,6.2,2023-03-02,9.4072623317871,9.3976211364148,9.3879817955375,9.3879817955375,9.3879817955375,18.52,420.41404851009,1.0527814026582,,,,,,,,,108.98306428352,,
9,2021-12-17,Moscow Exchange T+,96.51,96.6,8.99999999999892,96.555,97.09,96.03,97.1,96.6,96.27,96.27,96.27,96.6,96.6,96.27,Avg,5298655.2,56,5504,6.2,2023-03-02,9.7613102397012,9.5302695430498,9.4439037093108,9.4439037093108,9.4439037093108,18.01,423.37163062732,1.0567678840187,,,,,,,,,133.39973874274,,
10,2021-12-16,Moscow Exchange T+,96.1,96.2,10.000000000000853,96.15,96.2,96.1,96.24,96.2,96.22,96.24,,96.2,96.2,96.22,Avg,303098.5,40,315,6.2,2023-03-02,9.8017459528687,9.9175170452461,9.821022557258,9.821022557258,9.821022557258,17.84,424.36678771421,1.058861790743,,,,,,,,,128.22601333028,,
11,2021-12-15,Moscow Exchange T+,96.25,96.26,1.0000000000005116,96.255,96.26,96.2,96.26,96.26,96.26,96.24,,96.26,96.26,96.26,Avg,281075.9,34,292,6.2,2023-03-02,9.7555096975587,9.7651179853032,9.7555096975587,9.7555096975587,9.7555096975587,17.67,425.37232537388,1.0618178844713,,,,,,,,,119.30938765869,,
12,2021-12-14,Moscow Exchange T+,96.07,96.23,16.00000000000108,96.15,97.09,96.03,97.09,96.23,96.36,96.36,96.36,96.23,96.23,96.36,Avg,635956.8,45,660,6.2,2023-03-02,9.6520778445994,9.9303071316766,9.7766096143057,9.7766096143057,9.7766096143057,17.5,426.38471485388,1.06534898739,,,,,,,,,103.28048602068,,
13,2021-12-13,Moscow Exchange T+,96.41,96.59,18.000000000000682,96.5,96.95,96.41,97.1,96.59,96.54,96.54,96.54,96.59,96.59,96.54,Avg,1336102.9,28,1384,6.2,2023-03-02,9.4731330615628,9.5969583149043,9.4255899332327,9.4255899332327,9.4255899332327,17.33,427.40615471365,1.0696467101935,,,,,,,,,92.728521263902,,
14,2021-12-10,Moscow Exchange T+,96.41,96.55,14.000000000000057,96.48,96.97,96.07,96.97,96.55,96.36,96.36,96.36,96.55,96.55,96.36,Avg,11409391.9,58,11840,6.2,2023-03-02,9.6226552100333,9.5752655977784,9.4428151710106,9.4428151710106,9.4428151710106,16.82,430.38823960989,1.0756406690622,,,,,,,,,102.50005008019,,
15,2021-12-09,Moscow Exchange T+,96.3,96.32,1.999999999999602,96.31,96.98,96.3,96.98,96.32,96.32,96.32,96.32,96.32,96.32,96.32,Avg,14702962.1,26,15264,6.2,2023-03-02,9.6532533488346,9.6721943594646,9.6532533488346,9.6532533488346,9.6532533488346,16.65,431.38457403244,1.0778298948728,,,,,,,,,107.12647290429,,
16,2021-12-08,Moscow Exchange T+,96.37,96.38,0.9999999999990904,96.375,97.0,96.3,97.0,96.38,96.32,96.32,96.32,96.38,96.38,96.32,Avg,2455119.3,40,2549,6.2,2023-03-02,9.6459444463855,9.5987280368581,9.5892901586622,9.5892901586622,9.5892901586622,16.48,432.385449602,1.0804026324218,,,,,,,,,100.53093199064,,
