,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,84.0,84.31,31.000000000000227,84.155,81.97,80.18,84.97,84.31,83.59,83.59,83.59,84.31,84.31,83.59,Avg,3249152.1,182,3887,6.75,2024-03-26,16.501731632632,16.228053325728002,16.022476596106,16.022476596106,16.022476596106,2.03,757.42176484841,1.7811993811525,,,,,,,,,814.32115145234,,
1,2021-12-29,Moscow Exchange T+,78.92,79.0,7.999999999999829,78.96,79.79,76.1,79.79,78.95,78.97,78.97,78.97,78.95,78.95,78.97,Avg,18467221.7,122,23386,6.75,2024-03-26,19.718957678002997,19.755473480187,19.697065175469,19.73355975188,19.73355975188,1.85,756.27033333474,1.7306979246832,,,,,,,,,1127.854818467,,
2,2021-12-28,Moscow Exchange T+,78.49,78.82,32.99999999999983,78.655,83.0,77.55,83.0,78.81,78.95,78.95,78.95,78.64,78.64,78.95,Avg,2322709.5,189,2942,6.75,2024-03-26,19.718942588962,20.055949928267,19.813878667935,19.8211913661,19.945724852043,1.66,757.2703434683,1.7329866309456,,,,,,,,,1132.4466113068,,
3,2021-12-27,Moscow Exchange T+,78.75,79.17,42.00000000000017,78.96,73.99,72.96,81.0,79.17,76.63,76.63,76.63,79.17,79.17,76.63,Avg,1561652.5,260,2038,6.75,2024-03-26,21.432625446265,19.849615352065,19.543720663911,19.543720663911,19.543720663911,1.48,757.11690221537,1.7081841681005,,,,,,,,,1301.484791545,,
4,2021-12-24,Moscow Exchange T+,71.9,72.0,9.999999999999432,71.95,76.09,71.0,76.09,72.0,71.97,71.97,71.97,72.0,72.0,71.97,Avg,4388921.0,262,6098,6.75,2024-03-26,25.095969885761,25.154555682024,25.070888437627996,25.070888437627996,25.070888437627996,0.92,757.63442493955,1.6592946640524,,,,,,,,,1672.8040204626,,
5,2021-12-23,Moscow Exchange T+,71.7,71.86,15.99999999999966,71.78,71.92,70.7,71.97,71.8,71.67,71.67,71.67,71.87,71.87,71.67,Avg,1066437.8,117,1488,6.75,2024-03-26,25.325467198027003,25.300256469464,25.166071981585,25.216337419704,25.157700666062,0.74,758.47816362866,1.6581006339457,,,,,,,,,1692.94334825,,
6,2021-12-22,Moscow Exchange T+,71.13,71.37,24.00000000000091,71.25,72.38,70.5,73.99,71.13,71.75,71.75,71.75,71.21,71.21,71.75,Avg,820856.3,125,1144,6.75,2024-03-26,25.237061722442,25.760182582367,25.556857546013,25.760182582367,25.692290795608,0.55,759.53836778464,1.6615904321025,,,,,,,,,1680.6650387248,,
7,2021-12-21,Moscow Exchange T+,71.26,71.57,30.999999999998806,71.415,72.29,68.64,72.29,71.24,71.18,71.19,,71.37,71.37,71.18,Avg,494670.8,74,695,6.75,2024-03-26,25.695144382662,25.627411312783,25.366042984854,25.644333645453997,25.534468491558,0.37,760.22627550434,1.6570343460283,,,,,,,,,1714.897198152,,
8,2021-12-20,Moscow Exchange T+,71.3,71.59,29.000000000000625,71.445,71.76,71.31,72.2,71.59,71.75,71.75,71.75,71.59,71.59,71.75,Avg,665858.0,112,928,6.75,2024-03-26,25.193991699318,25.572036186126,25.327990177037,25.327990177037,25.327990177037,0.18,761.5676938637,1.6666030088045,,,,,,,,,1657.5377829996,,
9,2021-12-17,Moscow Exchange T+,71.7,71.75,4.999999999999716,71.725,71.69,71.17,71.89,71.77,71.52,71.52,71.52,71.77,71.77,71.52,Avg,668028.6,70,934,6.75,2024-03-26,25.319740963591,25.169378609036,25.127713825511,25.111060357583,25.111060357583,16.64,746.78176022821,1.6326058524787,,,,,,,,,1662.0331460422,,
10,2021-12-16,Moscow Exchange T+,70.68,70.69,0.9999999999990904,70.685,70.41,70.41,71.95,70.69,71.43,71.43,71.43,70.69,70.69,71.43,Avg,779980.8,72,1092,6.75,2024-03-26,25.372266283155,26.005469450177,25.996959124071,25.996959124071,25.996959124071,16.46,747.73167541803,1.6339976881533,,,,,,,,,1662.388551327,,
11,2021-12-15,Moscow Exchange T+,69.91,70.4,49.00000000000091,70.155,71.08,68.91,72.0,70.41,70.51,70.51,70.51,70.33,70.33,70.51,Avg,551367.4,91,782,6.75,2024-03-26,26.127462837847,26.642725812669,26.221424024227,26.212872810208,26.281334649284,16.27,748.01062561361,1.6248199509079,,,,,,,,,1735.2767016888,,
12,2021-12-14,Moscow Exchange T+,70.84,71.07,22.999999999998977,70.955,72.2,70.01,72.2,70.74,71.8,71.8,71.8,70.74,70.74,71.8,Avg,5202498.3,121,7246,6.75,2024-03-26,25.019713460031,25.823539875080996,25.629443904037004,25.908230531846,25.908230531846,16.09,750.06768319983,1.6437247351627,,,,,,,,,1622.143913221,,
13,2021-12-13,Moscow Exchange T+,71.4,71.76,35.99999999999994,71.58,70.56,70.56,72.23,71.8,71.79,71.79,71.79,71.79,71.79,71.79,Avg,8927927.4,118,12437,6.75,2024-03-26,25.006550818658003,25.330767037425,25.031394825748,24.998273010552,25.006550818658003,15.9,751.08022064484,1.6461169560218,,,,,,,,,1625.8876426938,,
14,2021-12-10,Moscow Exchange T+,70.56,71.0,43.99999999999977,70.78,73.94,70.55,73.95,71.0,71.44,71.42,,71.0,71.0,71.44,Avg,380788.6,72,533,6.75,2024-03-26,25.230661231572,25.968784333209,25.59797493632,25.59797493632,25.59797493632,15.35,753.86668144126,1.6492671587136,,,,,,,,,1646.9820636654,,
15,2021-12-09,Moscow Exchange T+,71.01,71.74,72.99999999999898,71.375,73.89,71.0,75.9,71.0,74.12,74.12,74.12,71.05,71.05,74.12,Avg,913166.4,61,1232,6.75,2024-03-26,23.04691873433,25.567579213309997,24.960954826039,25.575955239628,25.534093122375,15.16,756.94070265225,1.6853816134399,,,,,,,,,1429.2759908576,,
16,2021-12-08,Moscow Exchange T+,71.7,71.98,28.000000000000114,71.84,71.87,70.9,72.0,71.71,71.65,71.55,,71.71,71.71,71.65,Avg,356123.9,57,497,6.75,2024-03-26,25.013138170998,24.971907490499,24.741824290337,24.963666622046,24.963666622046,14.98,756.07394624461,1.6569742184457,,,,,,,,,1622.1293037082,,
17,2021-12-07,Moscow Exchange T+,70.9,71.4,50.0,71.15,70.92,66.38,72.39,70.9,70.34,70.34,70.34,71.07,71.07,70.34,Avg,661877.5,121,941,6.75,2024-03-26,26.086695866778,25.61492670175,25.198487340527997,25.61492670175,25.472835487355,14.79,756.0495941161,1.6428130951989,,,,,,,,,1729.8753284333,,
18,2021-12-06,Moscow Exchange T+,71.47,71.49,1.999999999999602,71.48,72.48,71.11,74.5,71.49,73.49,73.49,73.49,71.49,71.49,73.49,Avg,972997.6,106,1324,6.75,2024-03-26,23.484747871063,25.118387550553003,25.101868503745,25.101868503745,25.101868503745,14.61,759.52607957079,1.6851420151579,,,,,,,,,1472.1614862244,,
19,2021-12-03,Moscow Exchange T+,71.42,71.79,37.000000000000455,71.605,74.91,71.41,74.91,71.79,72.51,72.79,,71.52,71.52,72.51,Avg,247243.7,88,341,6.75,2024-03-26,24.207415534125,25.095143977174,24.791502436288,24.791502436288,25.012842569285,14.05,761.84038442836,1.6804422835505,,,,,,,,,1545.5179608561,,
20,2021-12-02,Moscow Exchange T+,71.26,72.21,94.99999999999886,71.735,74.93,71.5,74.93,72.29,73.21,72.84,,72.02,72.02,73.21,Avg,347733.8,87,475,6.75,2024-03-26,23.62784801812,25.205081613141,24.428579811233,24.363900923643,24.582630660548,13.87,763.39043185708,1.6917552709632,,,,,,,,,1488.6728879977,,
21,2021-12-01,Moscow Exchange T+,72.0,72.97,96.99999999999989,72.485,69.03,67.0,76.11,72.85,71.73,71.73,71.73,72.49,72.49,71.73,Avg,4273239.7,515,5957,6.75,2024-03-26,24.798218980147,24.578416114407,23.798998017336,23.894563587944003,24.182704252382,13.68,763.27858526414,1.6756442706412,,,,,,,,,1608.358521774,,
22,2021-11-30,Moscow Exchange T+,71.0,73.88,287.99999999999955,72.44,72.99,67.4,73.89,71.0,69.28,69.28,69.28,73.59,73.59,69.28,Avg,2449633.0,253,3536,6.75,2024-03-26,26.827957161429,25.376613569484004,23.062658524825,25.376613569484004,23.289403898454,13.5,762.34023996659,1.646800472005,,,,,,,,,1810.8401805071,,
23,2021-11-29,Moscow Exchange T+,68.16,68.73,57.00000000000074,68.445,68.01,67.89,71.89,68.73,68.36,68.36,68.36,68.73,68.73,68.36,Avg,1065083.0,199,1558,6.75,2024-03-26,27.601977537337003,27.777637393223,27.279065058485003,27.279065058485003,27.279065058485003,13.32,762.59775476933,1.6373640577513,,,,,,,,,1889.2242576405,,
24,2021-11-26,Moscow Exchange T+,67.47,67.55,7.999999999999829,67.51,74.95,67.45,74.95,67.55,68.73,68.73,68.73,67.55,67.55,68.73,Avg,2758036.3,458,4013,6.75,2024-03-26,27.207335457584,28.313820846798997,28.242633287134,28.242633287134,28.242633287134,12.76,765.9765446555,1.6497208028292,,,,,,,,,1839.0990600735,,
25,2021-11-25,Moscow Exchange T+,74.53,75.59,106.00000000000024,75.06,76.03,74.53,77.0,74.53,75.66,75.66,75.66,74.94,74.94,75.66,Avg,1628116.1,255,2152,6.75,2024-03-26,21.614026828011,22.468112082811,21.66637111574,22.468112082811,22.155963719376,12.58,772.29334635425,1.7398257725524,,,,,,,,,1278.7309148964,,
