,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,96.6,96.99,39.00000000000006,96.795,98.25,96.4,98.25,96.4,96.52,96.52,96.52,96.4,96.4,96.52,Avg,9549581.9,84.0,9894.0,8.05,2025-04-15,9.5095358454932,9.4788224362246,9.329604551816,9.555673067201,9.555673067201,15.88,1060.595142046,2.6534128674366,,,,,,,,,111.39981279669,,
1,2021-12-29,Moscow Exchange T+,96.56,97.48,92.00000000000016,97.02,98.39,96.54,98.39,96.56,97.37,97.37,97.37,96.56,96.56,97.37,Avg,1132379.9,35.0,1163.0,8.05,2025-04-15,9.1843304751844,9.4932591486889,9.1426554616263,9.4932591486889,9.4932591486889,15.66,1062.3596270543,2.6657436172658,,,,,,,,,71.616751507916,,
2,2021-12-28,Moscow Exchange T+,96.5,96.99,48.99999999999949,96.745,98.49,96.4,98.5,97.0,96.98,96.98,96.98,96.98,96.98,96.98,Avg,2228689.3,39.0,2298.0,8.05,2025-04-15,9.3318265070807,9.5153588228922,9.328016485924,9.3242070162605,9.3318265070807,15.44,1063.0131018396,2.6637848791318,,,,,,,,,90.218785166169,,
3,2021-12-27,Moscow Exchange T+,96.95,98.0,104.99999999999972,97.475,98.5,96.92,98.5,96.92,97.62,98.48,,96.92,96.92,97.62,Avg,86883.2,21.0,89.0,8.05,2025-04-15,9.0884754664958,9.3424598391713,8.9455092794959,9.3538898799559,9.3538898799559,15.22,1064.5846447047,2.6736740494285,,,,,,,,,62.652685068798,,
4,2021-12-24,Moscow Exchange T+,97.84,98.15,31.000000000000227,97.995,98.0,97.5,98.5,98.5,98.24,98.24,98.24,98.48,98.48,98.24,Avg,12083700.4,28.0,12300.0,8.05,2025-04-15,8.854289959485,9.003960880598,8.8878913055648,8.757461427164701,8.7648970446964,14.56,1068.1337833063,2.6883588400198,,,,,,,,,45.094857175586,,
5,2021-12-23,Moscow Exchange T+,97.51,98.0,48.99999999999949,97.755,96.76,96.76,98.51,98.0,97.25,97.25,97.25,97.99,97.99,97.25,Avg,5461431.0,49.0,5616.0,8.05,2025-04-15,9.2255948348208,9.1274534229836,8.9434887050541,8.9434887050541,8.947230183066,14.34,1068.2627153388,2.6795433522132,,,,,,,,,75.533274865257,,
6,2021-12-22,Moscow Exchange T+,96.79,96.85,5.999999999998806,96.82,98.69,96.49,99.0,96.79,97.0,96.03,,96.79,96.79,97.0,Avg,422927.8,21.0,436.0,8.05,2025-04-15,9.3195398260166,9.3993075880319,9.3764920369852,9.3993075880319,9.3993075880319,14.12,1069.041980904,2.6791936227725,,,,,,,,,78.816516353412,,
7,2021-12-21,Moscow Exchange T+,95.94,96.49,54.99999999999971,96.215,98.66,95.86,98.66,96.49,95.91,95.91,95.91,96.49,96.49,95.91,Avg,18342026.5,66.0,19125.0,8.05,2025-04-15,9.7355511787115,9.7240019088788,9.5131595155409,9.5131595155409,9.5131595155409,13.89,1069.0628582639,2.6690888287784,,,,,,,,,110.2539745795,,
8,2021-12-20,Moscow Exchange T+,95.69,95.9,21.000000000000796,95.795,98.69,95.55,98.69,95.55,95.61,95.61,95.61,95.56,95.56,95.61,Avg,6285243.9,72.0,6574.0,8.05,2025-04-15,9.8501771217782,9.8192769901713,9.7383363818394,9.8733760484419,9.8695081407567,13.67,1069.7926015794,2.6681237220172,,,,,,,,,117.42563567533,,
9,2021-12-17,Moscow Exchange T+,96.48,96.49,0.9999999999990904,96.485,98.25,95.95,98.56,96.49,96.47,96.05,,96.49,96.49,96.47,Avg,376233.3,41.0,390.0,8.05,2025-04-15,9.5171854493677,9.5133774202555,9.5095699447369,9.5095699447369,9.5095699447369,13.01,1073.5771394576,2.6857038183751,,,,,,,,,79.719289007769,,
