,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,97.35,97.5,15.000000000000568,97.425,98.99,97.49,98.99,97.5,97.51,97.51,97.51,97.5,97.5,97.51,Avg,953675.0,21.0,978.0,6.75,2023-04-21,8.988861318722401,9.1294000547728,8.9976328554526,8.9976328554526,8.9976328554526,12.76,459.13868458616,1.1541676728478,,,,,,,,,73.360456545827,,
1,2021-12-29,Moscow Exchange T+,98.01,99.0,98.99999999999947,98.505,98.91,98.91,99.0,99.0,98.94,97.54,,99.0,99.0,98.94,Avg,14841.1,6.0,15.0,6.75,2023-04-21,7.748811862546299,8.5485876844534,7.6976764748013,7.6976764748013,7.6976764748013,12.58,460.29876306195,1.1704003781947,,,,,,,,,-57.429111695686,,
2,2021-12-28,Moscow Exchange T+,98.01,98.67,65.99999999999966,98.34,97.91,97.91,98.43,98.3,98.31,97.54,,98.3,98.3,98.31,Avg,96340.7,11.0,98.0,6.75,2023-04-21,8.2867700949779,8.545725790747701,7.977887113455,8.2953791225451,8.2953791225451,12.39,461.22927445945,1.1669401965963,,,,,,,,,1.9033074041017,,
3,2021-12-27,Moscow Exchange T+,97.82,98.35,53.000000000000114,98.085,97.2,97.2,98.99,98.34,97.8,97.52,,98.34,98.34,97.8,Avg,57700.9,31.0,59.0,6.75,2023-04-21,8.7237640425136,8.7064245637835,8.2492307799698,8.2578162161623,8.2578162161623,12.21,462.17287646613,1.1646276873897,,,,,,,,,46.187585192587,,
4,2021-12-24,Moscow Exchange T+,98.1,99.0,90.00000000000057,98.55,97.19,97.18,98.94,98.94,97.52,97.52,97.52,98.94,98.94,97.52,Avg,4954963.6,12.0,5081.0,6.75,2023-04-21,8.9553404771502,8.4555011672885,7.690257299559599,7.740886468791,7.740886468791,11.65,465.14300716931,1.1696208718386,,,,,,,,,72.849943232022,,
5,2021-12-23,Moscow Exchange T+,97.51,97.58,6.999999999999318,97.545,98.98,97.27,98.98,97.51,97.49,97.49,97.49,97.51,97.51,97.49,Avg,1124011.5,16.0,1153.0,6.75,2023-04-21,8.9768021128246,8.959503115476,8.899006485051201,8.959503115476,8.959503115476,11.47,466.14023961494,1.1718976168598,,,,,,,,,78.375382156125,,
6,2021-12-22,Moscow Exchange T+,97.94,98.95,101.00000000000053,98.445,98.99,97.82,98.99,98.95,98.39,97.4,97.4,98.95,98.95,98.39,Avg,17709.9,5.0,18.0,6.75,2023-04-21,8.2024427697834,8.586217563946,7.729207383545001,7.729207383545001,7.729207383545001,11.28,467.24016270045,1.1830694409731,,,,,,,,,1.2592114456197,,
7,2021-12-21,Moscow Exchange T+,98.02,98.98,96.0000000000008,98.5,97.39,97.39,99.0,97.92,97.4,97.4,97.4,97.92,97.92,97.4,Avg,18778049.3,14.0,19279.0,6.75,2023-04-21,9.0462718285484,8.5141749785394,7.7020167197099,8.5995907408853,8.5995907408853,11.1,468.13128196887,1.1761534217928,,,,,,,,,73.233770795615,,
8,2021-12-20,Moscow Exchange T+,97.3,97.39,9.000000000000341,97.345,97.38,97.0,97.4,97.39,97.04,97.04,97.04,97.39,97.39,97.04,Avg,739438.7,28.0,762.0,6.75,2023-04-21,9.3536301570691,9.1287245062554,9.0511217975626,9.0511217975626,9.0511217975626,10.91,469.09166341147,1.1752537502756,,,,,,,,,96.906109817872,,
9,2021-12-17,Moscow Exchange T+,97.27,97.39,12.000000000000457,97.33,97.37,97.22,97.4,97.26,97.34,96.91,,97.26,97.26,97.34,Avg,28229.8,7.0,29.0,6.75,2023-04-21,9.0810211285778,9.1410651683887,9.0381794906662,9.1496491577247,9.1496491577247,10.36,472.12680169575,1.1858140613783,,,,,,,,,58.595246129866,,
