,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,97.36,97.69,32.99999999999983,97.525,97.7,97.38,97.7,97.38,97.51,97.71,97.71,97.38,97.38,97.51,Avg,11701.6,2.0,12.0,6.2,2030-04-17,,,,,,10.87,,,2022-10-31,9.7150641488725,9.9243363310376,9.4648903011869,9.8963915256385,9.8963915256385,291.62603000999,0.72822764210463,163.9089951837,,
1,2021-12-29,Moscow Exchange T+,97.4,97.7,29.999999999999716,97.55,99.69,97.5,99.72,97.7,97.71,97.67,97.67,97.7,97.7,97.71,Avg,4793762.0,9.0,4906.0,6.2,2030-04-17,,,,,,10.7,,,2022-10-31,9.4269223549577,9.8567814070142,9.440741035058,9.440741035058,9.440741035058,292.63839569947,0.73267986712896,130.25293700078,,
2,2021-12-28,Moscow Exchange T+,97.41,97.67,26.00000000000051,97.54,97.68,97.41,97.69,97.41,97.43,97.43,97.43,97.41,97.41,97.43,Avg,914840.9,20.0,939.0,6.2,2030-04-17,,,,,,10.53,,,2022-10-31,9.8035941146847,9.8313202292482,9.4718719888332,9.8313202292482,9.8313202292482,293.62223333091,0.73262126013744,174.15444390696,,
3,2021-12-27,Moscow Exchange T+,97.66,97.69,3.0000000000001137,97.675,97.43,97.4,97.66,97.66,97.46,97.37,,97.66,97.66,97.46,Avg,98435.8,6.0,101.0,6.2,2030-04-17,,,,,,10.36,,,2022-10-31,9.7507961433086,9.4753426694988,9.434133339921,9.4753426694988,9.4753426694988,294.62449746655,0.73547567068574,172.15886510924,,
4,2021-12-24,Moscow Exchange T+,97.17,97.22,4.999999999999716,97.195,97.63,97.22,97.63,97.22,97.29,97.24,,97.22,97.22,97.29,Avg,253914.7,14.0,261.0,6.2,2030-04-17,,,,,,9.85,,,2022-10-31,9.9503891233851,10.11526894321,10.046514029258,10.046514029258,10.046514029258,297.61594060677,0.7415945911148,195.3734218247,,
5,2021-12-23,Moscow Exchange T+,97.31,97.5,18.999999999999773,97.405,97.48,97.31,97.5,97.5,97.48,97.13,,97.5,97.5,97.48,Avg,103325.0,10.0,106.0,6.2,2030-04-17,,,,,,9.68,,,2022-10-31,9.6794287991489,9.9113665533193,9.6522010095963,9.6522010095963,9.6522010095963,298.62755860506,0.7459536430543,173.89060702731,,
6,2021-12-22,Moscow Exchange T+,97.01,97.42,40.99999999999966,97.215,97.0,97.0,97.5,97.15,97.42,97.0,,97.16,97.16,97.42,Avg,61374.5,6.0,63.0,6.2,2030-04-17,,,,,,9.51,,,2022-10-31,9.7501735770349,10.310017316281,9.7501735770349,10.118262533698,10.104589188908,299.62452416552,0.74796155718752,181.5118351892,,
7,2021-12-21,Moscow Exchange T+,97.01,97.44,42.99999999999926,97.225,96.99,96.99,97.5,97.49,97.03,96.79,96.78,97.5,97.5,97.03,Avg,212489.4,8.0,219.0,6.2,2030-04-17,,,,,,9.34,,,2022-10-31,10.269914552253,10.297255915808,9.7121513915106,9.6444863887054,9.6309625983867,300.6022549881,0.74686538502299,220.57479778493,,
8,2021-12-20,Moscow Exchange T+,96.81,97.0,18.999999999999773,96.905,,,,,,96.76,,97.49,97.49,96.76,Market,,,,6.2,2030-04-17,,,,,,9.17,,,2022-10-31,10.626287778613,10.5577912542,10.298215433591,,9.6339364596014,301.5870098468,0.74689822554267,251.87211180767,,
9,2021-12-17,Moscow Exchange T+,96.83,97.47,64.00000000000006,97.15,97.49,97.49,97.49,97.49,97.49,96.76,,97.49,97.49,97.49,Avg,974.9,1.0,1.0,6.2,2030-04-17,,,,,,8.66,,,2022-10-31,9.6027318195619,10.49055157749,9.629441419712,9.6027318195619,9.6027318195619,304.6308492346,0.76148199277565,139.49821980274,,
10,2021-12-16,Moscow Exchange T+,96.77,96.98,21.000000000000796,96.875,97.17,96.97,97.19,96.97,97.0,96.76,,96.97,96.97,97.0,Avg,92147.3,13.0,95.0,6.2,2030-04-17,,,,,,8.49,,,2022-10-31,10.248238410664,10.558557819154,10.275158622717,10.288623296123,10.288623296123,305.60318289689,0.75943979360406,191.0838135723,,
