,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,97.36,97.37,1.0000000000005116,97.365,97.39,97.37,97.4,97.37,97.39,97.39,97.39,97.37,97.37,97.39,Avg,506404.4,50.0,520.0,6.7,2023-04-26,9.0189989475386,9.0450939121667,9.0363939931046,9.0363939931046,9.0363939931046,11.75,464.25491083634,1.1667060556824,,,,,,,,,76.048692575691,,
1,2021-12-29,Moscow Exchange T+,97.38,97.39,1.0000000000005116,97.385,97.1,97.1,97.39,97.39,97.38,97.38,97.38,97.39,97.39,97.38,Avg,1010836.4,46.0,1038.0,6.7,2023-04-26,9.0239326632441,9.0239326632441,9.0152532661065,9.0152532661065,9.0152532661065,11.56,465.25427869102,1.1691646279399,,,,,,,,,69.7120148553,,
2,2021-12-28,Moscow Exchange T+,97.39,97.4,1.0000000000005116,97.395,97.39,97.39,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,Avg,559071.6,35.0,574.0,6.7,2023-04-26,9.002000428474199,9.010660828413,9.002000428474199,9.002000428474199,9.002000428474199,11.38,466.2570888567,1.1719204021741,,,,,,,,,73.030244489766,,
3,2021-12-27,Moscow Exchange T+,97.34,97.4,6.000000000000227,97.37,97.3,97.2,97.4,97.4,97.4,97.37,97.37,97.4,97.4,97.4,Avg,1413819.5,34.0,1452.0,6.7,2023-04-26,8.997448015807,9.0493302068935,8.997448015807,8.997448015807,8.997448015807,11.2,467.2576721683,1.1744843840334,,,,,,,,,73.082099489475,,
4,2021-12-24,Moscow Exchange T+,97.27,97.3,3.0000000000001137,97.285,97.96,97.22,97.96,97.3,97.3,97.3,97.3,97.3,97.3,97.3,Avg,6780774.0,29.0,6969.0,6.7,2023-04-26,9.0707718547374,9.0965988493803,9.0707718547374,9.0707718547374,9.0707718547374,10.65,470.24827757171,1.1812068654999,,,,,,,,,83.939135902161,,
5,2021-12-23,Moscow Exchange T+,97.02,97.22,20.000000000000284,97.12,97.27,97.01,97.29,97.22,97.13,97.13,97.13,97.22,97.22,97.13,Avg,612861.6,62.0,631.0,6.7,2023-04-26,9.2132478499697,9.3081246807366,9.1357633671141,9.1357633671141,9.1357633671141,10.46,471.23002634746,1.1821287192638,,,,,,,,,101.45926601829,,
6,2021-12-22,Moscow Exchange T+,96.82,96.98,16.00000000000108,96.9,97.3,96.7,97.3,96.97,96.81,96.81,96.81,96.97,96.97,96.81,Avg,6673102.9,63.0,6893.0,6.7,2023-04-26,9.4843329669098,9.4756837707857,9.3375122023792,9.3461360555855,9.3461360555855,10.28,472.19531289069,1.1816172722472,,,,,,,,,128.85541290406,,
7,2021-12-21,Moscow Exchange T+,97.09,97.1,0.9999999999990904,97.095,97.16,96.75,97.2,97.09,97.02,96.85,,97.09,97.09,97.02,Avg,242561.4,40.0,250.0,6.7,2023-04-26,9.2979650957178,9.2378056887202,9.22921777431,9.2378056887202,9.2378056887202,10.1,473.21917620984,1.1861985651702,,,,,,,,,97.805913185073,,
8,2021-12-20,Moscow Exchange T+,97.0,97.06,6.000000000000227,97.03,97.08,96.62,97.1,97.06,96.75,96.75,96.75,97.06,97.06,96.75,Avg,1296395.9,65.0,1340.0,6.7,2023-04-26,9.5260921562522,9.3109492694235,9.2594613010956,9.2594613010956,9.2594613010956,9.91,474.18996694154,1.1861562562709,,,,,,,,,113.50539477787,,
9,2021-12-17,Moscow Exchange T+,96.89,96.9,1.0000000000005116,96.895,97.03,96.33,97.08,96.9,96.37,96.37,96.37,96.9,96.9,96.37,Avg,5053413.3,51.0,5244.0,6.7,2023-04-26,9.8375725022256,9.3906999975495,9.3821479084179,9.3821479084179,9.3821479084179,9.36,477.1501040605,1.1901761203284,,,,,,,,,133.61750039229,,
10,2021-12-16,Moscow Exchange T+,96.35,96.36,1.0000000000005116,96.355,97.19,96.07,97.19,96.36,96.22,96.22,96.22,96.36,96.36,96.22,Avg,1385544.5,71.0,1440.0,6.7,2023-04-26,9.9609745299274,9.848768271267,9.8401481127747,9.8401481127747,9.8401481127747,9.18,478.13431723896,1.1912926737248,,,,,,,,,138.05501742507,,
11,2021-12-15,Moscow Exchange T+,96.24,96.37,13.000000000000966,96.305,97.09,96.15,97.09,96.23,96.22,96.22,96.22,96.23,96.23,96.22,Avg,1460564.7,64.0,1518.0,6.7,2023-04-26,9.9555687929055,9.9383224027033,9.8263750970604,9.9469448058131,9.9469448058131,8.99,479.13500872306,1.19384463056,,,,,,,,,133.47959706292,,
12,2021-12-14,Moscow Exchange T+,96.34,96.35,0.9999999999990904,96.345,97.19,96.32,97.19,96.35,96.45,96.45,96.45,96.35,96.35,96.45,Avg,1574111.1,69.0,1632.0,6.7,2023-04-26,9.7517633736039,9.8461469816314,9.8375587892548,9.8375587892548,9.8375587892548,8.81,480.16108363425,1.1986229448523,,,,,,,,,108.44187914893,,
13,2021-12-13,Moscow Exchange T+,96.63,96.7,7.000000000000739,96.665,96.45,96.45,96.97,96.63,96.63,96.59,,96.63,96.63,96.63,Avg,390365.7,47.0,404.0,6.7,2023-04-26,9.5922006420089,9.5922006420089,9.5325506125268,9.5922006420089,9.5922006420089,8.63,481.18150463254,1.2029190803918,,,,,,,,,99.16146086298,,
14,2021-12-10,Moscow Exchange T+,96.6,96.73,13.000000000000966,96.665,96.89,96.49,96.99,96.73,96.6,96.6,96.6,96.56,96.56,96.6,Avg,856823.9,57.0,887.0,6.7,2023-04-26,9.6020649342103,9.6020649342103,9.4919264750923,9.4919264750923,9.6360062186433,8.08,484.18024202375,1.2103067691473,,,,,,,,,95.802833836865,,
15,2021-12-09,Moscow Exchange T+,96.61,96.71,9.999999999999432,96.66,96.42,96.42,96.89,96.71,96.7,96.58,,96.71,96.71,96.7,Avg,155687.0,26.0,161.0,6.7,2023-04-26,9.5128545245258,9.5889725158931,9.5044046646514,9.5044046646514,9.5044046646514,7.89,485.19166155739,1.2138230066382,,,,,,,,,88.366208852158,,
16,2021-12-08,Moscow Exchange T+,96.57,96.7,13.000000000000966,96.635,97.07,96.46,97.08,96.56,96.57,96.57,96.57,96.56,96.56,96.57,Avg,698211.1,37.0,723.0,6.7,2023-04-26,9.617344153399,9.617344153399,9.5075673809068,9.6257992839739,9.6257992839739,7.71,486.1782863596,1.2151318893758,,,,,,,,,93.592679750824,,
17,2021-12-07,Moscow Exchange T+,96.6,96.65,5.000000000001137,96.625,96.67,96.47,96.67,96.65,96.53,96.55,,96.65,96.65,96.53,Avg,440170.6,59.0,456.0,6.7,2023-04-26,9.6456359934328,9.5865636748087,9.544415190175,9.544415190175,9.544415190175,7.53,487.17466528389,1.2173080107327,,,,,,,,,95.082731851979,,
18,2021-12-06,Moscow Exchange T+,96.67,96.7,3.0000000000001137,96.685,97.11,96.66,97.11,96.66,96.73,96.69,,96.69,96.69,96.73,Avg,381106.0,27.0,394.0,6.7,2023-04-26,9.4727075333333,9.5231210944927,9.4979074486691,9.5315286963566,9.5063104710855,7.34,488.19680122623,1.2217889855372,,,,,,,,,80.701136425295,,
19,2021-12-03,Moscow Exchange T+,97.0,97.11,10.999999999999943,97.055,97.11,96.68,97.12,96.92,96.71,96.71,96.71,96.92,96.92,96.71,Avg,3118043.6,25.0,3224.0,6.7,2023-04-26,9.4748171917232,9.2332150745495,9.1419036244188,9.2997374270021,9.2997374270021,6.79,491.19653113528,1.2292725902084,,,,,,,,,82.982024377944,,
20,2021-12-02,Moscow Exchange T+,97.05,97.11,6.000000000000227,97.08,96.5,96.5,97.12,97.11,96.69,96.69,96.69,97.11,97.11,96.69,Avg,3074723.3,40.0,3180.0,6.7,2023-04-26,9.4863663548975,9.1870952158009,9.1374055635933,9.1374055635933,9.1374055635933,6.61,492.1950525646,1.2316415650295,,,,,,,,,84.231345601477,,
21,2021-12-01,Moscow Exchange T+,96.96,96.97,1.0000000000005116,96.965,96.72,96.65,96.98,96.97,96.77,96.61,,96.97,96.97,96.77,Avg,118061.4,28.0,122.0,6.7,2023-04-26,9.4155146320953,9.2578475503006,9.2495642552237,9.2495642552237,9.2495642552237,6.42,493.20412376056,1.2349657900253,,,,,,,,,84.723312353937,,
22,2021-11-30,Moscow Exchange T+,96.74,97.0,26.00000000000051,96.87,96.55,96.55,97.12,97.01,96.6,96.6,96.6,97.01,97.01,96.6,Avg,4521755.7,52.0,4681.0,6.7,2023-04-26,9.5517897520498,9.4354237651019,9.2200947056791,9.211832969449,9.211832969449,6.24,494.18667736343,1.2358867942093,,,,,,,,,95.34673902184,,
23,2021-11-29,Moscow Exchange T+,96.65,96.69,3.999999999999204,96.67,97.12,96.35,97.12,96.7,96.66,96.66,96.66,96.7,96.7,96.66,Avg,835184.9,46.0,864.0,6.7,2023-04-26,9.4967455787255,9.5050440316827,9.4718592163246,9.4635667595895,9.4635667595895,6.06,495.19372379944,1.239027814504,,,,,,,,,91.332505768135,,
24,2021-11-26,Moscow Exchange T+,96.48,96.5,1.999999999999602,96.49,96.28,96.28,97.11,96.5,96.5,96.5,96.5,96.5,96.5,96.5,Avg,10778340.0,68.0,11169.0,6.7,2023-04-26,9.6145128265235,9.6310661140879,9.6145128265235,9.6145128265235,9.6145128265235,5.51,498.17864874846,1.245157210551,,,,,,,,,93.209455690635,,
25,2021-11-25,Moscow Exchange T+,97.09,97.1,0.9999999999990904,97.095,96.32,96.32,97.12,97.1,96.71,96.71,96.71,97.1,97.1,96.71,Avg,3830549.7,36.0,3961.0,6.7,2023-04-26,9.4369189547782,9.1252977197271,9.1171258554162,9.1171258554162,9.1171258554162,5.32,499.20138322962,1.2497382378903,,,,,,,,,75.314705960816,,
26,2021-11-24,Moscow Exchange T+,96.33,96.34,1.0000000000005116,96.335,96.95,96.32,97.01,96.34,96.44,96.44,96.44,96.34,96.34,96.44,Avg,4544202.8,69.0,4712.0,6.7,2023-04-26,9.6542723012908,9.7451497399074,9.7368806901384,9.7368806901384,9.7368806901384,5.14,500.17355995481,1.2496900409488,,,,,,,,,86.760082822016,,
27,2021-11-23,Moscow Exchange T+,96.68,96.7,1.999999999999602,96.69,96.65,96.65,96.85,96.68,96.68,96.68,96.68,96.68,96.68,96.68,Avg,710631.4,37.0,735.0,6.7,2023-04-26,9.4516498849771,9.4516498849771,9.4352478630901,9.4516498849771,9.4516498849771,4.96,501.19949719576,1.2545715928711,,,,,,,,,55.265283002611,,
28,2021-11-22,Moscow Exchange T+,96.79,96.8,0.9999999999990904,96.795,97.4,96.66,97.4,96.8,96.82,96.82,96.82,96.8,96.8,96.82,Avg,728121.4,63.0,752.0,6.7,2023-04-26,9.3330419861108,9.3575491854415,9.3493786518803,9.3493786518803,9.3493786518803,4.77,502.21468421367,1.2584765014186,,,,,,,,,52.29782547961,,
29,2021-11-19,Moscow Exchange T+,97.33,97.39,6.000000000000227,97.36,97.4,97.25,97.4,97.39,97.3,97.3,97.3,97.39,97.39,97.3,Avg,546842.1,21.0,562.0,6.7,2023-04-26,8.9315923609516,8.9074411271797,8.85917738102,8.85917738102,8.85917738102,4.22,505.26611093227,1.2707890198612,,,,,,,,,38.609053025467,,
30,2021-11-18,Moscow Exchange T+,97.36,97.4,4.000000000000625,97.38,97.37,97.36,97.45,97.36,97.4,97.41,,97.36,97.36,97.4,Avg,108114.3,17.0,111.0,6.7,2023-04-26,8.8473454004509,8.8794509858183,8.8473454004509,8.8794509858183,8.8794509858183,4.04,506.27690780504,1.2743168115682,,,,,,,,,33.205893090745,,
31,2021-11-17,Moscow Exchange T+,97.37,97.44,6.999999999999318,97.405,97.41,97.36,97.44,97.44,97.4,97.42,,97.44,97.44,97.4,Avg,109092.8,17.0,112.0,6.7,2023-04-26,8.8443710032307,8.8684045752868,8.812346182753,8.812346182753,8.812346182753,3.85,507.27728902533,1.2768696984881,,,,,,,,,42.049762314005,,
32,2021-11-16,Moscow Exchange T+,97.35,97.44,9.000000000000341,97.395,97.44,97.35,97.44,97.35,97.42,97.43,,97.35,97.35,97.42,Avg,204589.6,22.0,210.0,6.7,2023-04-26,8.8246257619065,8.8806020790625,8.8086453164979,8.8806020790625,8.8806020790625,3.67,508.27981976997,1.2796253069331,,,,,,,,,39.817755829767,,
33,2021-11-15,Moscow Exchange T+,97.4,97.48,7.999999999999829,97.44,97.47,97.4,97.48,97.4,97.43,97.45,,97.4,97.4,97.43,Avg,300098.5,33.0,308.0,6.7,2023-04-26,8.8129367684585,8.8368703124489,8.773075849156701,8.8368703124489,8.8368703124489,3.49,509.28131798806,1.2822843713226,,,,,,,,,41.276850239945,,
34,2021-11-12,Moscow Exchange T+,97.28,97.47,18.999999999999773,97.375,97.49,97.2,97.49,97.47,97.47,97.43,,97.47,97.47,97.47,Avg,143277.1,20.0,147.0,6.7,2023-04-26,8.771019390651299,8.9218881078066,8.771019390651299,8.771019390651299,8.771019390651299,2.94,512.28669093562,1.2903484664465,,,,,,,,,46.180674391909,,
35,2021-11-11,Moscow Exchange T+,97.41,97.49,7.999999999999829,97.45,97.46,96.89,97.5,97.49,97.37,97.37,97.37,97.48,97.48,97.37,Avg,588117.3,62.0,604.0,6.7,2023-04-26,8.847436587093,8.815739785856099,8.7524135132098,8.7524135132098,8.760324392879399,2.75,513.27689611702,1.2919349464223,,,,,,,,,62.952857563954,,
36,2021-11-10,Moscow Exchange T+,96.98,96.99,0.9999999999990904,96.985,98.37,96.9,98.37,96.99,96.99,96.99,96.99,96.99,96.99,96.99,Avg,805046.1,67.0,830.0,6.7,2023-04-26,9.1454365891829,9.153403612315,9.1454365891829,9.1454365891829,9.1454365891829,2.57,514.23871241269,1.2908218874924,,,,,,,,,82.130329379644,,
37,2021-11-09,Moscow Exchange T+,97.14,97.56,42.00000000000017,97.35,97.41,96.96,97.7,97.5,97.02,97.02,97.02,97.5,97.5,97.02,Avg,3608159.4,74.0,3719.0,6.7,2023-04-26,9.1173619782945,9.0220902463287,8.6902302573095,8.7374879767608,8.7374879767608,2.39,515.24230884714,1.2936738373913,,,,,,,,,73.368281968858,,
38,2021-11-08,Moscow Exchange T+,97.52,97.72,20.000000000000284,97.62,97.87,96.87,97.99,97.53,97.26,97.26,97.26,97.53,97.53,97.26,Avg,7612479.8,68.0,7827.0,6.7,2023-04-26,8.9239888053902,8.7190607839106,8.562063009958901,8.7111977283617,8.7111977283617,2.2,516.26708531697,1.298548084994,,,,,,,,,46.788019817845,,
