,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,97.26,97.47,20.999999999999375,97.365,97.41,97.15,97.49,97.15,97.43,97.43,97.43,97.15,97.15,97.43,Avg,625495.1,31.0,642.0,7,2027-04-29,,,,,,10.74,,,2023-05-08,9.2677674969867,9.4139733780576,9.2334320235454,9.5088195939648,9.5088195939648,471.50848300512,1.1822370792588,100.47879794601,,
1,2021-12-29,Moscow Exchange T+,97.01,97.02,0.9999999999990904,97.015,97.27,96.97,97.47,97.02,97.03,97.03,97.03,97.02,97.02,97.03,Avg,1510816.1,59.0,1557.0,7,2027-04-29,,,,,,10.55,,,2023-05-08,9.6076147862487,9.6248839944273,9.6162485995761,9.6162485995761,9.6162485995761,472.46333492195,1.1809581826964,127.55669029013,,
2,2021-12-28,Moscow Exchange T+,96.95,96.99,3.999999999999204,96.97,96.45,96.45,97.0,96.99,96.94,96.94,96.94,96.99,96.99,96.94,Avg,1138106.0,64.0,1174.0,7,2027-04-29,,,,,,10.36,,,2023-05-08,9.6803558652482,9.6717263828927,9.637224252642,9.637224252642,9.637224252642,473.45367497474,1.1826487485953,140.31523321796,,
3,2021-12-27,Moscow Exchange T+,96.91,96.93,2.000000000001023,96.92,96.68,96.48,96.98,96.93,96.7,96.7,96.7,96.93,96.93,96.7,Avg,766855.9,44.0,793.0,7,2027-04-29,,,,,,10.16,,,2023-05-08,9.8834008136291,9.7020691804815,9.6848358593383,9.6848358593383,9.6848358593383,474.42671744638,1.1828895140268,161.02691582973,,
4,2021-12-24,Moscow Exchange T+,96.9,97.0,9.999999999999432,96.95,96.45,96.45,97.0,97.0,96.94,96.95,,97.0,97.0,96.94,Avg,109541.4,14.0,113.0,7,2027-04-29,,,,,,9.59,,,2023-05-08,9.661375472327,9.6956406828936,9.6100245604919,9.6100245604919,9.6100245604919,477.45619543012,1.1928531444438,142.3770655094,,
5,2021-12-23,Moscow Exchange T+,96.73,96.99,25.99999999999909,96.86,97.5,96.54,97.5,96.99,96.91,96.95,,96.99,96.99,96.91,Avg,251955.3,25.0,260.0,7,2027-04-29,,,,,,9.4,,,2023-05-08,9.6821215475763,9.8362968482359,9.6137616798331,9.6137616798331,9.6137616798331,478.45344050735,1.195118516455,147.56784336652,,
6,2021-12-22,Moscow Exchange T+,96.78,96.99,20.999999999999375,96.885,97.0,96.99,97.0,96.99,96.99,96.75,96.66,96.99,96.99,96.99,Avg,230846.2,9.0,238.0,7,2027-04-29,,,,,,9.21,,,2023-05-08,9.6089676721611,9.788277233228,9.6089676721611,9.6089676721611,9.6089676721611,479.46315524565,1.1984399757632,140.46371901625,,
7,2021-12-21,Moscow Exchange T+,96.56,96.93,37.000000000000455,96.745,95.82,95.82,96.99,96.93,96.51,96.51,,96.93,96.93,96.51,Avg,498943.8,28.0,517.0,7,2027-04-29,,,,,,9.01,,,2023-05-08,10.015123256684,9.972239063538,9.6561108296188,9.6561108296188,9.6561108296188,480.4092343717,1.1963715935119,168.69197587999,,
8,2021-12-20,Moscow Exchange T+,96.29,96.49,19.999999999998863,96.39,95.28,95.27,97.5,96.29,96.96,95.74,,96.3,96.3,96.96,Avg,186163.3,21.0,192.0,7,2027-04-29,,,,,,8.82,,,2023-05-08,9.6257738207089,10.198373648553,10.026713644762,10.198373648553,10.189775704312,481.46092329787,1.2032489958896,122.56867451192,,
9,2021-12-17,Moscow Exchange T+,96.17,96.4,23.0000000000004,96.285,96.47,96.37,96.47,96.4,96.4,95.6,,96.4,96.4,96.4,Avg,119532.8,9.0,124.0,7,2027-04-29,,,,,,8.25,,,2023-05-08,10.086873728,10.283520989838,10.086873728,10.086873728,10.086873728,484.39971290339,1.205522925816,157.65481362599,,
10,2021-12-16,Moscow Exchange T+,96.2,96.25,4.999999999999716,96.225,95.25,95.25,96.41,96.25,96.24,95.54,,96.25,96.25,96.24,Avg,56778.8,15.0,59.0,7,2027-04-29,,,,,,8.05,,,2023-05-08,10.218559897866,10.252734967631,10.210020036064,10.210020036064,10.210020036064,485.38224098987,1.2065248902804,163.07918180761,,
