,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,92.03,92.49,45.999999999999375,92.26,91.61,91.58,92.5,92.48,92.02,91.01,,92.12,92.12,92.02,Avg,69013.3,27.0,75.0,6.6,2026-11-05,8.9105203410486,8.9076736234058,8.7771719474784,8.7799996669279,8.8820718466784,8.86,1502.9441686587,3.7807690604223,,,,,,,,,48.723579527277,,
1,2021-12-29,Moscow Exchange T+,91.7,92.49,78.9999999999992,92.095,92.46,92.45,92.49,92.49,92.47,90.78,,92.49,92.49,92.47,Avg,24966.7,6.0,27.0,6.6,2026-11-05,8.7818301166739,9.000731312502,8.7761770117339,8.7761770117339,8.7761770117339,8.68,1504.7717577704,3.7898446327243,,,,,,,,,30.505107873981,,
2,2021-12-28,Moscow Exchange T+,91.75,91.99,23.99999999999949,91.87,91.87,91.87,92.49,91.99,92.04,90.66,,91.99,91.99,92.04,Avg,7363.5,4.0,8.0,6.6,2026-11-05,8.9027159376989,8.9853475067356,8.9169377914007,8.9169377914007,8.9169377914007,8.5,1504.9943953846,3.7861978745149,,,,,,,,,45.206288599849,,
3,2021-12-27,Moscow Exchange T+,92.03,92.48,45.00000000000029,92.255,91.97,91.97,92.47,92.47,92.01,90.63,,92.47,92.47,92.01,Avg,31284.8,4.0,34.0,6.6,2026-11-05,8.910191590873,8.9045060206563,8.7770176900189,8.7798417092839,8.7798417092839,8.32,1505.9462844903,3.7883325437342,,,,,,,,,43.228914052981,,
4,2021-12-24,Moscow Exchange T+,91.22,91.54,32.00000000000074,91.38,91.87,91.57,91.87,91.57,91.68,90.52,,91.58,91.58,91.68,Avg,16501.5,10.0,18.0,6.6,2026-11-05,9.0009532424086,9.1326266057408,9.0409336216446,9.0323594856186,9.0295022788212,7.78,1508.3618160418,3.7912495287556,,,,,,,,,57.473847889483,,
5,2021-12-23,Moscow Exchange T+,90.98,91.5,51.9999999999996,91.24,91.49,91.46,91.73,91.72,91.68,90.49,,91.72,91.72,91.68,Avg,15585.6,10.0,17.0,6.6,2026-11-05,9.000146464539199,9.2007797430182,9.0515408352034,8.9887438981021,8.9887438981021,7.59,1509.3670142599,3.7938041626467,,,,,,,,,49.925886094522,,
6,2021-12-22,Moscow Exchange T+,91.03,91.41,37.999999999999545,91.22,90.7,90.69,91.44,91.43,91.3,90.46,,91.43,91.43,91.3,Avg,27391.2,8.0,30.0,6.6,2026-11-05,9.1076632333771,9.1852006759638,9.0761621858868,9.0704401936625,9.0704401936625,7.41,1509.6738071253,3.7908360418408,,,,,,,,,55.000893020864,,
7,2021-12-21,Moscow Exchange T+,91.0,91.04,4.000000000000625,91.02,90.63,90.61,91.51,91.04,91.35,90.42,,91.04,91.04,91.35,Avg,65773.3,17.0,72.0,6.6,2026-11-05,9.0922056988561,9.1926540419739,9.1811479768062,9.1811479768062,9.1811479768062,7.23,1510.7735252731,3.7941349908344,,,,,,,,,45.661584490414,,
8,2021-12-20,Moscow Exchange T+,90.35,91.13,78.00000000000011,90.74,90.51,90.3,91.2,91.2,91.06,90.24,,91.2,91.2,91.06,Avg,116553.8,15.0,128.0,6.6,2026-11-05,9.1742274154274,9.3793168086064,9.154123757263,9.1340408382113,9.1340408382113,7.05,1511.2441776307,3.7924655893854,,,,,,,,,53.343230568628,,
9,2021-12-17,Moscow Exchange T+,89.94,90.47,53.000000000000114,90.205,89.86,89.59,90.49,90.47,89.72,90.22,,90.47,90.47,89.72,Avg,178550.5,19.0,199.0,6.6,2026-11-05,9.5590650792006,9.4947758260074,9.3407618478898,9.3407618478898,9.3407618478898,6.51,1511.7534040778,3.7804175721691,,,,,,,,,91.235946470914,,
