,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,92.92,94.01,109.00000000000034,93.465,93.99,93.99,94.03,94.03,94.01,93.91,,94.01,94.01,94.01,Avg,1880.2,2.0,2.0,5.75,2030-05-10,,,,,,6.46,,,2025-05-20,8.014631396574599,8.4240578883769,8.014631396574599,8.0071804149743,8.014631396574599,1117.8406646701,2.8353354762056,-38.55506582097,,
1,2021-12-29,Moscow Exchange T+,92.58,94.08,150.0,93.33,94.11,94.11,94.11,94.11,94.11,93.91,,94.11,94.11,94.11,Avg,6587.7,4.0,7.0,5.75,2030-05-10,,,,,,6.3,,,2025-05-20,7.975939832841799,8.5512451865704,7.987095707549299,7.975939832841799,7.975939832841799,1118.922137777,2.8390955505869,-49.427658939591,,
2,2021-12-28,Moscow Exchange T+,93.17,94.41,123.99999999999947,93.79,93.16,93.16,94.88,94.88,94.02,93.94,,94.88,94.88,94.02,Avg,1880.4,2.0,2.0,5.75,2030-05-10,,,,,,6.14,,,2025-05-20,8.0079425001987,8.326131586112,7.863278375135301,7.6900337253896,7.6900337253896,1119.8547515378,2.8406199939296,-42.517694193886,,
3,2021-12-27,Moscow Exchange T+,92.72,94.18,146.0000000000008,93.45,95.06,92.45,95.06,94.2,93.95,93.94,,94.2,94.2,93.95,Avg,3758.1,4.0,4.0,5.75,2030-05-10,,,,,,5.99,,,2025-05-20,8.0321282888486,8.493998627679,7.946689960209,7.9392741773171,7.9392741773171,1120.8038121021,2.8423908926538,-43.342535537144,,
4,2021-12-24,Moscow Exchange T+,93.03,94.22,118.99999999999976,93.625,95.04,95.04,95.04,95.04,95.04,93.94,,95.04,95.04,95.04,Avg,1900.8,1.0,2.0,5.75,2030-05-10,,,,,,5.51,,,2025-05-20,7.626189263586499,8.3715700450419,7.927619323923,7.626189263586499,7.626189263586499,1124.6573327263,2.86292117881,-78.031335594219,,
5,2021-12-23,Moscow Exchange T+,93.03,93.85,81.99999999999932,93.44,94.0,94.0,94.13,94.01,94.02,93.96,,94.01,94.01,94.02,Avg,8461.8,3.0,9.0,5.75,2030-05-10,,,,,,5.36,,,2025-05-20,7.9998574878794,8.3694601277158,8.0629410205523,8.0035639183636,8.0035639183636,1124.871777514,2.853559771304,-47.716071211116,,
6,2021-12-22,Moscow Exchange T+,93.01,93.98,96.99999999999989,93.495,91.56,91.56,95.67,94.22,93.91,93.97,,94.22,94.22,93.91,Avg,40382.9,22.0,43.0,5.75,2030-05-10,,,,,,5.2,,,2025-05-20,8.0391709115712,8.3752478784932,8.0132182720462,7.9244402166113,7.9244402166113,1125.7889770596,2.8548473074932,-50.093657071875,,
7,2021-12-21,Moscow Exchange T+,93.84,95.44,159.99999999999943,94.64,95.57,93.93,95.6,94.1,94.59,94.09,,94.1,94.1,94.59,Avg,33108.1,16.0,35.0,5.75,2030-05-10,,,,,,5.04,,,2025-05-20,7.7868851373566,8.0636475739828,7.4768628567785,7.9673581831013,7.9673581831013,1127.3198269656,2.8654204704058,-85.210564013369,,
8,2021-12-20,Moscow Exchange T+,93.43,94.9,146.9999999999999,94.165,93.91,93.34,96.77,95.45,93.41,94.17,,95.45,95.45,93.41,Avg,335347.3,12.0,359.0,5.75,2030-05-10,,,,,,4.88,,,2025-05-20,8.2220907036555,8.214628985005099,7.6721610018077,7.4721716795651,7.4721716795651,1127.4033367169,2.8541088468118,-45.380839839945,,
9,2021-12-17,Moscow Exchange T+,93.74,95.7,196.0000000000008,94.72,95.62,95.0,97.5,95.72,95.81,95.15,,95.72,95.72,95.81,Avg,114009.5,31.0,119.0,5.75,2030-05-10,,,,,,4.41,,,2025-05-20,7.3388712774365,8.0943269132371,7.378447610264301,7.3712472453085,7.3712472453085,1132.2595668923,2.8899884713401,-137.40429383682,,
10,2021-12-16,Moscow Exchange T+,95.52,97.43,191.00000000000108,96.475,93.95,93.95,97.49,97.49,95.11,95.4,,95.11,95.11,95.11,Avg,11413.4,5.0,12.0,5.75,2030-05-10,,,,,,4.25,,,2025-05-20,7.590652732910599,7.4423079932275,6.7626418679695,6.741589261566699,7.590652732910599,1132.7319035885,2.8844281538367,-118.93197665827,,
11,2021-12-15,Moscow Exchange T+,94.03,94.99,95.99999999999936,94.51,95.0,94.01,95.0,94.99,94.8,95.44,,94.99,94.99,94.8,Avg,4739.9,4.0,5.0,5.75,2030-05-10,,,,,,4.1,,,2025-05-20,7.701815219451601,7.983878657657099,7.6327012578677,7.6327012578677,7.6327012578677,1133.4985578771,2.8834012636699,-109.69155827927,,
12,2021-12-14,Moscow Exchange T+,95.0,95.48,48.0000000000004,95.24,93.01,92.5,97.34,97.0,95.04,95.45,,97.0,97.0,95.04,Avg,63676.1,17.0,67.0,5.75,2030-05-10,,,,,,3.94,,,2025-05-20,7.613388343286499,7.6279016766736,7.454295964026899,6.9123922575296,6.9123922575296,1134.6841972782,2.8887890958722,-120.53795574369,,
13,2021-12-13,Moscow Exchange T+,93.7,97.13,342.99999999999926,95.415,97.35,97.32,97.37,97.32,97.35,95.53,,97.32,97.32,97.35,Avg,6814.4,3.0,7.0,5.75,2030-05-10,,,,,,3.78,,,2025-05-20,6.7887111713512,8.1027163556567,6.8659761237559,6.7992331223991,6.7992331223991,1137.4083793286,2.9180868524821,-198.21785865862,,
14,2021-12-10,Moscow Exchange T+,93.01,97.33,431.9999999999993,95.17,,,,,,95.44,,94.67,94.67,95.44,Market,,,,5.75,2030-05-10,,,,,,3.31,,,2025-05-20,7.4641793539501,8.3536305672061,6.7937000281434,,7.742609158729,1138.9971057961,2.903795510876,-129.01484638117,,
15,2021-12-09,Moscow Exchange T+,94.0,97.33,332.99999999999983,95.665,97.49,93.08,97.49,97.35,94.45,95.44,,94.67,94.67,94.45,Avg,123730.8,28.0,131.0,5.75,2030-05-10,,,,,,3.15,,,2025-05-20,7.8214385112559,7.986017721123099,6.793145648561399,6.7861517839248,7.741370743238001,1139.2471918291,2.894809442528,-93.966301542602,,
16,2021-12-08,Moscow Exchange T+,93.27,97.37,410.00000000000085,95.32,95.27,94.6,97.37,97.37,96.02,95.58,,96.6,96.6,96.02,Avg,23045.7,13.0,24.0,5.75,2030-05-10,,,,,,2.99,,,2025-05-20,7.2547180824181,8.2537202567229,6.778617447282801,6.778617447282801,7.0490480567371,1141.4356615772,2.9156955018233,-154.78302630578,,
17,2021-12-07,Moscow Exchange T+,93.21,97.44,423.0000000000004,95.325,93.27,93.27,97.45,97.38,94.29,95.56,,97.38,97.38,94.29,Avg,9429.1,6.0,10.0,5.75,2030-05-10,,,,,,2.84,,,2025-05-20,7.8767992872635,8.2739784771007,6.753307209531401,6.774237682819,6.774237682819,1141.1307703451,2.8981075568003,-92.021254059911,,
18,2021-12-06,Moscow Exchange T+,93.56,97.46,389.99999999999915,95.51,94.01,93.61,97.48,97.47,94.97,95.59,,97.47,97.47,94.97,Avg,31338.6,23.0,33.0,5.75,2030-05-10,,,,,,2.68,,,2025-05-20,7.628777995837099,8.143048815244699,6.745818335156301,6.7423351294853,6.7423351294853,1142.6518995191,2.9086580816597,-114.31402992394,,
19,2021-12-03,Moscow Exchange T+,97.3,97.37,7.000000000000739,97.335,93.87,93.87,97.38,97.38,95.27,95.63,,97.38,97.38,95.27,Avg,4763.7,4.0,5.0,5.75,2030-05-10,,,,,,2.21,,,2025-05-20,7.517156394183799,6.7996116475476,6.7752370184012,6.7717568977314,6.7717568977314,1145.886054871,2.9199189731653,-120.82848317939,,
20,2021-12-02,Moscow Exchange T+,97.34,97.48,14.000000000000057,97.41,92.42,92.42,97.34,97.34,94.88,95.63,,97.34,97.34,94.88,Avg,3795.1,4.0,4.0,5.75,2030-05-10,,,,,,2.05,,,2025-05-20,7.6562629062187,6.785142065501799,6.7364791702236,6.785142065501799,6.785142065501799,1146.5942067426,2.9179482050311,-106.60478040908,,
21,2021-12-01,Moscow Exchange T+,95.0,97.47,246.9999999999999,96.235,97.41,95.0,97.48,95.7,96.5,95.64,,95.7,95.7,96.5,Avg,5790.0,6.0,6.0,5.75,2030-05-10,,,,,,1.89,,,2025-05-20,7.0784104460082,7.6119224617145,6.7394476593496995,7.3615169818644,7.3615169818644,1148.804159997,2.9393494397389,-164.44759884162,,
22,2021-11-30,Moscow Exchange T+,92.92,94.99,206.99999999999932,93.955,97.49,92.86,97.49,97.41,94.37,95.59,,94.67,94.67,94.37,Avg,26423.5,18.0,28.0,5.75,2030-05-10,,,,,,1.73,,,2025-05-20,7.838183415382701,8.3695731931317,7.614390913212,6.75976223552,7.7296445465254,1148.2119840498,2.9171358029589,-87.65653698673,,
23,2021-11-29,Moscow Exchange T+,93.02,94.0,98.0000000000004,93.51,94.11,93.04,97.44,94.0,93.91,95.61,,94.0,94.0,93.91,Avg,24416.8,11.0,26.0,5.75,2030-05-10,,,,,,1.58,,,2025-05-20,8.0037677999597,8.3305515000367,7.9709599915605,7.9709599915605,7.9709599915605,1148.8635430597,2.9143162455945,-70.368138338604,,
24,2021-11-26,Moscow Exchange T+,92.93,97.48,454.9999999999997,95.205,,,,,,95.7,,97.47,97.47,95.7,Market,,,,5.75,2030-05-10,,,,,,1.1,,,2025-05-20,7.356459878362299,8.358874568008702,6.733149456765999,,6.7366073733839,1153.2227449715,2.9430128129828,-148.73808040407,,
25,2021-11-25,Moscow Exchange T+,94.16,97.47,331.0000000000002,95.815,97.48,97.0,97.48,97.47,97.4,95.7,,97.47,97.47,97.4,Avg,9739.8,6.0,10.0,5.75,2030-05-10,,,,,,0.95,,,2025-05-20,6.7599700919362,7.9070586121157,6.7357684723324995,6.7357684723324995,6.7357684723324995,1155.4682372134,2.9652185183251,-209.49806764167,,
26,2021-11-24,Moscow Exchange T+,92.62,97.46,483.9999999999989,95.04,97.5,94.3,97.5,97.47,91.07,95.66,,97.47,97.47,91.07,Avg,28613.9,11.0,30.0,5.75,2030-05-10,,,,,,0.79,,,2025-05-20,9.0507242214133,8.4697957997119,6.7387306159263,6.7352771462593,6.7352771462593,1151.648526067,2.8933337800428,10.557398916648,,
27,2021-11-23,Moscow Exchange T+,94.71,97.0,229.00000000000065,95.855,97.47,94.71,97.48,97.0,97.11,95.59,,97.0,97.0,97.11,Avg,8740.1,5.0,9.0,5.75,2030-05-10,,,,,,0.63,,,2025-05-20,6.8593323968708,7.706180786682899,6.8975144633515,6.8975144633515,6.8975144633515,1157.2612327527,2.9670583268244,-216.84634537309,,
