,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,96.24,96.5,26.00000000000051,96.37,96.25,96.2,96.5,96.5,96.28,96.28,96.28,96.3,96.3,96.28,Avg,3417878.2,85.0,3550.0,5.9,2023-05-19,9.0001241702315,9.0336930964363,8.8159312116734,8.8159312116734,8.9833488743164,6.63,489.19739481773,1.2296012002921,,,,,,,,,72.693147128504,,
1,2021-12-29,Moscow Exchange T+,96.22,96.25,3.0000000000001137,96.235,95.58,95.58,96.25,96.25,96.08,96.08,96.08,96.23,96.23,96.08,Avg,11364770.1,96.0,11829.0,5.9,2023-05-19,9.1621230980687,9.0446234073351,9.0194838591391,9.0194838591391,9.0362420324034,6.47,490.17878488973,1.230239516168,,,,,,,,,81.798183228583,,
2,2021-12-28,Moscow Exchange T+,96.21,96.38,17.00000000000017,96.295,96.25,95.9,96.5,96.38,96.11,96.11,96.11,96.39,96.39,96.11,Avg,9333848.1,74.0,9712.0,5.9,2023-05-19,9.1317429045945,9.0479900029334,8.9059592579694,8.9059592579694,8.897618165322301,6.3,491.18227448737,1.2331012277387,,,,,,,,,84.176130363984,,
3,2021-12-27,Moscow Exchange T+,96.05,96.24,18.999999999999773,96.145,97.65,95.44,97.65,96.24,95.94,95.94,95.94,96.24,96.24,95.94,Avg,7464968.4,109.0,7781.0,5.9,2023-05-19,9.2682095338637,9.175981770462,9.017113697952,9.017113697952,9.017113697952,6.14,492.166600739,1.2340292310202,,,,,,,,,97.983308283252,,
4,2021-12-24,Moscow Exchange T+,95.97,96.16,18.999999999999773,96.065,95.95,95.7,96.25,96.13,95.72,95.72,95.72,96.13,96.13,95.72,Avg,5062829.7,67.0,5289.0,5.9,2023-05-19,9.4335341021881,9.22455794659,9.0663704920672,9.0913111749747,9.0913111749747,5.66,495.14761731474,1.2396280771616,,,,,,,,,118.15275775203,,
5,2021-12-23,Moscow Exchange T+,95.96,96.21,25.0,96.085,95.89,95.58,96.25,96.22,95.79,95.79,95.79,96.22,96.22,95.79,Avg,13325076.6,116.0,13911.0,5.9,2023-05-19,9.3685325679883,9.2267775420143,9.0191081607422,9.0108209631442,9.0108209631442,5.5,496.15508050396,1.2428885674561,,,,,,,,,114.38165335099,,
6,2021-12-22,Moscow Exchange T+,95.85,96.18,33.00000000000125,96.015,95.15,95.15,96.2,95.9,95.67,95.67,95.67,95.9,95.9,95.67,Avg,7573502.4,77.0,7916.0,5.9,2023-05-19,9.4631396379582,9.3130154134717,9.0390600248342,9.2714014134155,9.2714014134155,5.33,497.14421840532,1.2442900496368,,,,,,,,,123.86995434444,,
7,2021-12-21,Moscow Exchange T+,95.7,95.75,4.999999999999716,95.725,95.97,95.56,96.12,95.75,95.63,95.63,95.63,95.71,95.71,95.63,Avg,6460852.2,85.0,6756.0,5.9,2023-05-19,9.4899760336125,9.431604600006,9.3899562294684,9.3899562294684,9.4232718941832,5.17,498.14113755616,1.2464796224459,,,,,,,,,114.20033647049,,
8,2021-12-20,Moscow Exchange T+,95.59,95.6,0.9999999999990904,95.595,95.02,95.02,95.75,95.6,95.55,95.55,95.55,95.6,95.6,95.55,Avg,4649671.7,117.0,4866.0,5.9,2023-05-19,9.5500881809534,9.5167387718281,9.5084052145362,9.5084052145362,9.5084052145362,5.01,499.13423711176,1.2482792878463,,,,,,,,,112.88572113398,,
9,2021-12-17,Moscow Exchange T+,95.75,95.79,4.000000000000625,95.77,95.96,95.01,95.96,95.75,95.15,95.15,95.15,95.75,95.75,95.15,Avg,5063132.1,78.0,5321.0,5.9,2023-05-19,9.8631330871746,9.3646336950178,9.3315932892859,9.3646336950178,9.3646336950178,4.53,502.09831294169,1.2521141329431,,,,,,,,,133.2010324071,,
