,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,95.69,97.87,218.00000000000068,96.78,97.9,95.68,97.9,97.87,97.09,96.21,,97.87,97.87,97.09,Avg,80583.5,7.0,83.0,6.5,2023-05-22,9.0327989008931,10.219867051593,8.3844651682975,8.3844651682975,8.3844651682975,6.77,486.27592459121,1.2218917798397,,,,,,,,,76.122942046979,,
1,2021-12-29,Moscow Exchange T+,97.9,97.99,8.99999999999892,97.945,97.9,97.9,97.9,97.9,97.9,96.08,,97.9,97.9,97.9,Avg,10769.0,1.0,11.0,6.5,2023-05-22,8.3566809712372,8.3566809712372,8.282641400202701,8.3566809712372,8.3566809712372,6.59,487.39220313538,1.2323385069675,,,,,,,,,1.4371867633727,,
2,2021-12-28,Moscow Exchange T+,96.04,98.0,195.99999999999935,97.02,95.67,95.67,98.44,98.44,96.59,96.04,,98.44,98.44,96.59,Avg,23182.4,5.0,24.0,6.5,2023-05-22,9.443051456019,9.9082351936317,8.271562512330402,7.9120579632468,7.9120579632468,6.41,488.20539984321,1.2221415821943,,,,,,,,,115.51402357072,,
3,2021-12-27,Moscow Exchange T+,95.69,98.47,278.0000000000001,97.08,,,,,,96.01,,98.48,98.48,96.01,Market,,,,6.5,2023-05-22,9.9277376431056,10.200187043546,7.8855280542623,,7.877410125653,6.23,489.12210897791,1.2190377072008,,,,,,,,,164.1894006387,,
4,2021-12-24,Moscow Exchange T+,95.68,98.39,270.9999999999994,97.035,,,,,,96.01,,98.48,98.48,96.01,Market,,,,6.5,2023-05-22,9.9090397380638,10.188418172195,7.9430540644456995,,7.8703519180458,5.7,492.12532152547,1.226731263723,,,,,,,,,165.94083360313,,
5,2021-12-23,Moscow Exchange T+,96.67,98.48,181.00000000000023,97.575,96.67,96.67,98.48,98.48,97.58,96.01,,98.48,98.48,97.58,Avg,1951.5,2.0,2.0,6.5,2023-05-22,8.5992474856264,9.3504740388199,7.8682919817028,7.8682919817028,7.8682919817028,5.52,493.35047944541,1.2446174172104,,,,,,,,,37.73515819745,,
6,2021-12-22,Moscow Exchange T+,96.67,98.45,178.0000000000001,97.56,,,,,,96.0,,99.33,99.33,96.0,Market,,,,6.5,2023-05-22,9.9056857640381,9.3456497617943,7.890373948761501,,7.187856988613,5.34,494.12589778659,1.2317557308941,,,,,,,,,168.46101230846,,
7,2021-12-21,Moscow Exchange T+,95.61,98.99,337.99999999999955,97.3,98.41,98.41,99.33,99.33,98.87,96.0,,99.33,99.33,98.87,Avg,1977.4,2.0,2.0,6.5,2023-05-22,7.5522533500322995,10.228370456547,7.456702257767001,7.187074618283,7.187074618283,5.16,495.53062978426,1.2622870479283,,,,,,,,,-79.286986645272,,
8,2021-12-20,Moscow Exchange T+,95.72,98.05,232.99999999999983,96.885,95.63,95.63,98.43,97.0,97.64,95.99,,97.0,97.0,97.64,Avg,8787.8,3.0,9.0,6.5,2023-05-22,8.5394200191445,10.128349857428,8.2071975419083,9.062931037193,9.062931037193,4.99,496.36076957573,1.2529019587038,,,,,,,,,12.142857184268,,
9,2021-12-17,Moscow Exchange T+,95.61,98.47,285.99999999999994,97.04,98.47,98.47,98.47,98.47,98.47,95.96,,98.47,98.47,98.47,Avg,984.7,1.0,1.0,6.5,2023-05-22,7.8633324094258,10.201904392769,7.8633324094258,7.8633324094258,7.8633324094258,4.45,499.47708848784,1.2686705934733,,,,,,,,,-66.479823661896,,
