,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,96.01,96.5,48.99999999999949,96.255,96.05,96.0,96.42,96.42,96.04,95.29,,96.42,96.42,96.04,Avg,70106.7,4.0,73.0,6.1,2025-05-21,,,,,,6.02,,,2023-05-29,9.3871688103701,9.4122821300838,9.0038072950983,9.0702492165984,9.0702492165984,493.66124780109,1.2364307295152,111.15422557909,,
1,2021-12-29,Moscow Exchange T+,96.0,96.5,50.0,96.25,96.0,96.0,96.0,96.0,96.0,95.24,,96.0,96.0,96.0,Avg,185280.0,3.0,193.0,6.1,2025-05-21,,,,,,5.85,,,2023-05-29,9.4149512902558,9.4149512902558,8.9988926838272,9.4149512902558,9.4149512902558,494.6579645574,1.2386125334573,106.79178207337,,
2,2021-12-28,Moscow Exchange T+,95.41,96.0,59.00000000000034,95.705,95.5,95.5,96.0,96.0,95.75,95.11,,96.0,96.0,95.75,Avg,122562.1,8.0,128.0,6.1,2025-05-21,,,,,,5.68,,,2023-05-29,9.61832649004,9.9041740775717,9.409272115074,9.409272115074,9.409272115074,495.63393502332,1.2387538063429,132.53034451689,,
3,2021-12-27,Moscow Exchange T+,95.34,95.79,45.00000000000029,95.565,95.89,95.89,95.89,95.89,95.89,95.02,95.02,95.89,95.89,95.89,Avg,9589.0,1.0,10.0,6.1,2025-05-21,,,,,,5.52,,,2023-05-29,9.4944771782817,9.955699787425,9.5779922437471,9.4944771782817,9.4944771782817,496.64856729656,1.2426937333802,120.2432972164,,
4,2021-12-24,Moscow Exchange T+,95.51,95.99,47.99999999999898,95.75,95.98,95.98,95.98,95.98,95.98,95.01,95.01,95.98,95.98,95.98,Avg,3839.2,3.0,4.0,6.1,2025-05-21,,,,,,5.01,,,2023-05-29,9.4025460750528,9.7935284568974,9.3942635065292,9.4025460750528,9.4025460750528,499.65943054594,1.2512779599865,114.70569656484,,
5,2021-12-23,Moscow Exchange T+,95.08,95.49,40.99999999999966,95.285,94.54,94.53,95.5,95.49,95.0,95.0,95.0,95.49,95.49,95.0,Avg,936749.1,36.0,986.0,6.1,2025-05-21,,,,,,4.85,,,2023-05-29,10.213628471116,10.1463454035,9.8030590366192,9.8030590366192,9.8030590366192,500.56364518707,1.2443173009654,198.45351054397,,
6,2021-12-22,Moscow Exchange T+,94.57,95.96,139.00000000000006,95.265,94.19,94.19,94.8,94.57,94.3,94.3,94.3,94.57,94.57,94.3,Avg,1439996.6,12.0,1527.0,6.1,2025-05-21,,,,,,4.68,,,2023-05-29,10.798380009652,10.569196791096,9.4070894462034,10.569196791096,10.569196791096,501.49466944297,1.2400524252739,256.91392480597,,
7,2021-12-21,Moscow Exchange T+,94.37,94.84,46.999999999999886,94.605,95.0,94.2,95.0,94.64,94.33,95.38,,94.64,94.64,94.33,Avg,322594.0,40.0,342.0,6.1,2025-05-21,,,,,,4.51,,,2023-05-29,10.764735663213,10.730793595738,10.333837674018,10.502336563338,10.502336563338,502.49863621064,1.2429123620571,241.20527999188,,
8,2021-12-20,Moscow Exchange T+,94.31,95.0,68.99999999999977,94.655,94.7,94.7,96.15,95.69,96.11,96.11,96.11,96.14,96.14,96.11,Avg,1019677.0,10.0,1061.0,6.1,2025-05-21,,,,,,4.35,,,2023-05-29,9.2719719453049,10.772748760054,10.191618896548,9.6177688676326,9.2473725049765,503.67486303724,1.2628408795437,84.549955188343,,
9,2021-12-17,Moscow Exchange T+,94.16,95.42,126.00000000000053,94.79,94.36,93.93,94.7,94.7,94.41,93.91,93.91,94.7,94.7,94.41,Avg,20770.2,7.0,22.0,6.1,2025-05-21,,,,,,3.84,,,2023-05-29,10.664402195886,10.875201324587,9.8225232740075,10.421083278327,10.421083278327,506.51046714738,1.2539713606698,212.83110018921,,
