,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,99.01,100.5,148.9999999999995,99.755,100.95,98.87,100.95,99.09,99.2,99.11,,99.09,99.09,99.2,Avg,42656.4,7.0,43.0,12,2023-05-26,13.234276836386,13.399827058632,12.11670375973,13.33005200016,13.33005200016,11.18,473.6589095164,1.1460272267078,,,,,,,,,497.00051349429,,
1,2021-12-29,Moscow Exchange T+,98.83,99.85,101.9999999999996,99.34,98.36,98.36,100.0,100.0,99.3,99.14,,99.54,99.54,99.3,Avg,91353.7,11.0,92.0,12,2023-05-26,13.146527559393,13.555612745049,12.672214890742,12.543672071661998,12.938974625535,10.85,474.68330426945,1.1493964786461,,,,,,,,,481.29050281899,,
2,2021-12-28,Moscow Exchange T+,99.11,99.3,18.999999999999773,99.205,99.9,99.31,99.9,99.31,99.36,99.21,,99.31,99.31,99.36,Avg,13909.7,4.0,14.0,12,2023-05-26,13.093813442115,13.31035383969,13.145693687413,13.137043064066,13.137043064066,10.52,475.69796060358,1.1523902538776,,,,,,,,,481.49315565311,,
3,2021-12-27,Moscow Exchange T+,99.1,99.26,16.00000000000108,99.18,99.18,98.4,99.29,99.1,98.99,99.2,,99.1,99.1,98.99,Avg,310821.6,22.0,314.0,12,2023-05-26,13.413343137012,13.317906606367998,13.17942932569,13.317906606367998,13.317906606367998,10.19,476.6091380691,1.1513446516481,,,,,,,,,513.82715113026,,
4,2021-12-24,Moscow Exchange T+,98.73,99.17,43.99999999999977,98.95,99.93,98.95,99.94,99.17,99.28,99.28,99.28,99.17,99.17,99.28,Avg,543083.1,18.0,547.0,12,2023-05-26,13.158810571115,13.633800756644,13.253430422943998,13.253430422943998,13.253430422943998,9.21,479.67988933627,1.161369115671,,,,,,,,,491.93281897206,,
5,2021-12-23,Moscow Exchange T+,98.51,99.66,114.99999999999916,99.085,99.98,98.43,99.98,98.43,98.49,98.32,,98.43,98.43,98.49,Avg,51214.6,3.0,52.0,12,2023-05-26,13.840555320064,13.823154657717,12.833156892346,13.892795351535,13.892795351535,8.88,480.49044818257,1.1563648675996,,,,,,,,,563.19513464791,,
6,2021-12-22,Moscow Exchange T+,98.71,99.79,108.00000000000124,99.25,98.11,98.09,100.5,99.98,98.34,97.98,,99.98,99.98,98.34,Avg,219291.2,6.0,223.0,12,2023-05-26,13.969044773705,13.647845496833,12.722508086818,12.561570683387998,12.561570683387998,8.55,481.45476547801,1.1573793170011,,,,,,,,,576.24002965215,,
7,2021-12-21,Moscow Exchange T+,98.03,98.09,6.000000000000227,98.06,98.1,98.0,99.77,98.03,98.47,97.44,,98.03,98.03,98.47,Avg,138841.3,19.0,141.0,12,2023-05-26,13.853944577623,14.237153620928,14.184716550322,14.237153620928,14.237153620928,8.22,482.48672954375,1.1610326332643,,,,,,,,,552.33741709178,,
8,2021-12-20,Moscow Exchange T+,96.76,98.0,123.99999999999947,97.38,98.43,96.21,98.43,97.99,97.1,96.9,,97.99,97.99,97.1,Avg,309761.9,23.0,319.0,12,2023-05-26,15.053242315961,15.356083682166,14.26069186975,14.26942636252,14.26942636252,7.89,483.15394518986,1.1505190225245,,,,,,,,,665.10778452734,,
9,2021-12-17,Moscow Exchange T+,95.83,97.0,117.00000000000016,96.415,98.38,95.71,98.38,95.83,96.63,97.78,,95.82,95.82,96.63,Avg,51213.9,13.0,53.0,12,2023-05-26,15.458014405195,16.176070172525,15.12949620242,16.176070172525,16.185113679509,6.9,486.04176161834,1.1533380957293,,,,,,,,,694.57000007865,,
10,2021-12-16,Moscow Exchange T+,96.71,98.39,168.00000000000068,97.55,98.57,98.49,98.57,98.5,98.51,97.89,,98.49,98.49,98.51,Avg,11820.7,4.0,12.0,12,2023-05-26,13.808967278874,15.381301283497,13.912190557911,13.817560643157002,13.82615556516,6.58,487.49922151824,1.1735580573864,,,,,,,,,521.90911255378,,
11,2021-12-15,Moscow Exchange T+,95.67,98.83,315.99999999999966,97.25,98.93,95.62,98.96,95.62,96.85,97.88,,95.69,95.69,96.85,Avg,85228.2,12.0,88.0,12,2023-05-26,15.252782120482,16.30759925478,13.533440204623002,16.352807990412,16.289527573763,6.25,488.0986338345,1.1602813454477,,,,,,,,,662.34226985645,,
12,2021-12-14,Moscow Exchange T+,95.68,98.69,300.9999999999991,97.185,97.15,95.62,98.69,98.69,96.94,98.54,,98.69,98.69,96.94,Avg,231694.3,24.0,239.0,12,2023-05-26,15.169082321326,16.292401106508,13.651435748146,13.651435748146,13.651435748146,5.92,489.1218329739,1.1635586473009,,,,,,,,,649.46209282036,,
