,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,91.71,91.89,18.000000000000682,91.8,91.79,91.7,91.9,91.72,91.85,91.85,91.85,91.78,91.78,91.85,Avg,3387368.1,153,3688,7.44,2035-05-14,,,,,,6.32,,,2026-05-28,10.098872011,10.143519391173,10.086132735687,10.140327196981,10.121184039249,1363.9683089842,3.394130574104,168.2657964617,,
1,2021-12-29,Moscow Exchange T+,91.61,91.79,18.000000000000682,91.7,91.5,91.3,91.9,91.79,91.8,91.8,91.8,91.79,91.79,91.8,Avg,7916226.5,202,8623,7.44,2035-05-14,,,,,,6.12,,,2026-05-28,10.113405627021,10.174033991272,10.116592306781,10.116592306781,10.116592306781,1364.893203584,3.3959838161242,163.80656596479,,
2,2021-12-28,Moscow Exchange T+,91.45,91.5,4.999999999999716,91.475,91.06,90.88,91.46,91.45,91.43,91.43,91.43,91.45,91.45,91.43,Avg,6246499.9,163,6832,7.44,2035-05-14,,,,,,5.91,,,2026-05-28,10.230489916502,10.224085959915,10.208084460295,10.224085959915,10.224085959915,1365.2877503913,3.3933573074629,178.55417272055,,
3,2021-12-27,Moscow Exchange T+,91.4,91.45,4.999999999999716,91.425,91.45,90.87,91.45,91.4,91.42,91.42,91.42,91.44,91.44,91.42,Avg,2428220.3,157,2656,7.44,2035-05-14,,,,,,5.71,,,2026-05-28,10.232233456114,10.238636875031,10.222631925687,10.238636875031,10.225831956274,1366.2787290683,3.3957666259189,175.72220138423,,
4,2021-12-24,Moscow Exchange T+,90.95,91.0,4.999999999999716,90.975,91.0,90.32,91.0,91.0,90.9,90.9,90.9,91.0,91.0,90.9,Avg,3391664.8,153,3731,7.44,2035-05-14,,,,,,5.1,,,2026-05-28,10.395048264434,10.378948084685,10.362860030777,10.362860030777,10.362860030777,1368.4356144782,3.3961112647215,197.62822806442,,
5,2021-12-23,Moscow Exchange T+,90.32,90.51,19.000000000001194,90.415,90.94,89.5,90.99,90.52,90.12,90.12,90.12,90.52,90.52,90.12,Avg,3390316.5,135,3762,7.44,2035-05-14,,,,,,4.89,,,2026-05-28,10.646451304685002,10.581393248045,10.519770802153,10.516532429112,10.516532429112,1368.1310922309,3.3876408308432,215.13283217735,,
6,2021-12-22,Moscow Exchange T+,90.35,90.5,15.000000000000568,90.425,89.71,88.82,90.97,90.5,90.42,90.42,90.42,90.5,90.5,90.42,Avg,7766943.2,117,8590,7.44,2035-05-14,,,,,,4.69,,,2026-05-28,10.547325665744,10.570026933018,10.521410846113,10.521410846113,10.521410846113,1369.6458375686,3.3944324992983,198.9797804856,,
7,2021-12-21,Moscow Exchange T+,90.25,90.3,4.999999999999716,90.275,89.52,88.7,90.5,90.3,89.86,89.86,89.86,90.3,90.3,89.86,Avg,13503742.4,130,15028,7.44,2035-05-14,,,,,,4.48,,,2026-05-28,10.728235228323,10.601185946379,10.584952026951,10.584952026951,10.584952026951,1369.7060227762,3.3890355361888,208.49569551736,,
8,2021-12-20,Moscow Exchange T+,89.66,89.77,10.999999999999943,89.715,89.26,89.26,89.88,89.65,89.73,89.73,89.73,89.65,89.65,89.73,Avg,681076.1,95,759,7.44,2035-05-14,,,,,,4.28,,,2026-05-28,10.769028957577,10.791946093854,10.755944459159,10.795221974113002,10.795221974113002,1370.4938713132,3.3897360705971,211.07741112973,,
9,2021-12-17,Moscow Exchange T+,89.41,89.6,18.999999999999773,89.505,88.91,88.91,89.7,89.53,89.31,89.23,,89.45,89.45,89.31,Avg,395635.2,90,443,7.44,2035-05-14,,,,,,3.67,,,2026-05-28,10.901862587088,10.869007006735,10.806720081353,10.829646797069,10.855878888156,1372.8024718711,3.3913791661588,222.91018396458,,
10,2021-12-16,Moscow Exchange T+,89.05,89.2,15.000000000000568,89.125,88.62,88.61,89.25,89.2,88.93,88.93,88.93,89.2,89.2,88.93,Avg,635854.3,95,715,7.44,2035-05-14,,,,,,3.47,,,2026-05-28,11.025328476728,10.985697585569,10.936261914525,10.936261914525,10.936261914525,1373.1590287722,3.3884876383602,226.9023758543,,
11,2021-12-15,Moscow Exchange T+,88.9,89.07,16.99999999999875,88.985,89.57,88.83,89.63,89.07,89.07,89.04,,89.03,89.03,89.07,Avg,330441.1,85,371,7.44,2035-05-14,,,,,,3.26,,,2026-05-28,10.977610621922,11.033729983943,10.977610621922,10.977610621922,10.990801945624,1374.407802192,3.3930274825899,220.01425597004,,
12,2021-12-14,Moscow Exchange T+,89.0,89.1,9.999999999999432,89.05,88.1,88.1,89.23,89.1,88.99,88.99,88.99,89.1,89.1,88.99,Avg,4704224.0,87,5286,7.44,2035-05-14,,,,,,3.06,,,2026-05-28,11.002172873231,10.998873983508,10.965913038204,10.965913038204,10.965913038204,1375.2797631672,3.3944288337536,220.75829785884,,
13,2021-12-13,Moscow Exchange T+,88.92,88.95,3.0000000000001137,88.935,88.14,88.13,89.73,88.92,89.03,89.03,89.03,88.94,88.94,89.03,Avg,684656.8,112,769,7.44,2035-05-14,,,,,,2.85,,,2026-05-28,10.987492490191,11.023772942966,11.013872168054,11.023772942966,11.017171917106,1376.3562933034,3.3975352313403,223.49744930252,,
14,2021-12-10,Moscow Exchange T+,89.23,89.4,17.00000000000017,89.315,89.73,88.7,89.73,89.44,89.21,89.21,89.21,89.25,89.25,89.21,Avg,11851477.7,169,13285,7.44,2035-05-14,,,,,,2.24,,,2026-05-28,10.923250412829,10.916689048447,10.860998786629,10.847916303382,10.910129701333,1379.6910644797,3.407739590261,220.29035774636,,
15,2021-12-09,Moscow Exchange T+,89.49,89.56,7.000000000000739,89.525,89.74,89.07,89.74,89.56,89.36,89.24,,89.5,89.5,89.36,Avg,425348.2,72,476,7.44,2035-05-14,,,,,,2.04,,,2026-05-28,10.87234479922,10.829852224439,10.807006658012,10.807006658012,10.826587071837,1380.9561895242,3.4124304144431,213.84918525442,,
16,2021-12-08,Moscow Exchange T+,89.28,89.44,15.99999999999966,89.36,89.93,89.0,90.1,89.44,89.31,89.31,89.31,89.34,89.34,89.31,Avg,1287817.7,89,1442,7.44,2035-05-14,,,,,,1.83,,,2026-05-28,10.88728892351,10.897109501858,10.844785312829,10.844785312829,10.8774728691,1381.8783716415,3.4142489894357,210.46185314462,,
17,2021-12-07,Moscow Exchange T+,89.93,89.94,0.9999999999990904,89.935,89.8,89.06,90.29,89.94,89.59,89.59,89.59,89.94,89.94,89.59,Avg,1829378.5,114,2042,7.44,2035-05-14,,,,,,1.63,,,2026-05-28,10.794150406082,10.683697949217,10.680458017309,10.680458017309,10.680458017309,1383.3631828809,3.420790812142,201.70543867182,,
18,2021-12-06,Moscow Exchange T+,89.7,89.85,14.999999999999147,89.775,89.97,89.1,90.26,89.71,89.84,89.84,89.84,89.73,89.73,89.84,Avg,6224310.9,223,6928,7.44,2035-05-14,,,,,,1.43,,,2026-05-28,10.711228434699,10.756678136594,10.707985743317,10.753428504765,10.746930730852998,1384.7944431527,3.426894843587,196.43755686288,,
19,2021-12-03,Moscow Exchange T+,89.35,89.51,16.00000000000108,89.43,90.39,87.13,90.39,89.51,89.02,89.05,89.05,89.38,89.38,89.02,Avg,17357589.7,322,19492,7.44,2035-05-14,,,,,,0.82,,,2026-05-28,10.973805926542,10.865876399882,10.813743523916,10.813743523916,10.85609173842,1386.4276328392,3.4228184201474,229.53370642641,,
20,2021-12-02,Moscow Exchange T+,89.9,90.09,18.999999999999773,89.995,90.15,89.0,90.2,90.09,89.74,89.74,89.74,90.08,90.08,89.74,Avg,4462757.2,175,4973,7.44,2035-05-14,,,,,,0.61,,,2026-05-28,10.7376973543,10.685900674819,10.624555992475,10.624555992475,10.627780237949,1388.6568217358,3.4356315225338,205.80120957392,,
21,2021-12-01,Moscow Exchange T+,90.01,90.14,12.999999999999543,90.075,90.38,89.4,90.48,90.15,89.91,89.91,89.91,90.15,90.15,89.91,Avg,3440006.5,207,3826,7.44,2035-05-14,,,,,,0.41,,,2026-05-28,10.681047039132,10.648759891894,10.606860021222,10.603640384528,10.603640384528,1389.951323582,3.4405943202603,199.79054714215,,
22,2021-11-30,Moscow Exchange T+,89.79,90.07,27.999999999998693,89.93,90.46,89.42,90.46,90.07,89.82,89.82,89.82,89.85,89.85,89.82,Avg,3377257.1,773,3760,7.44,2035-05-14,,,,,,0.2,,,2026-05-28,10.708839184658,10.718543374318,10.628143329654,10.628143329654,10.699139436808,1390.8068639998,3.4418478167109,203.7159424408,,
23,2021-11-29,Moscow Exchange T+,89.58,89.92,34.00000000000034,89.75,89.57,89.57,91.13,89.96,89.81,89.81,89.81,89.7,89.7,89.81,Avg,7656462.2,263,8525,7.44,2035-05-14,,,,,,,,,2026-05-28,10.710443604492,10.784929046778,10.674912498551,10.662006863368,10.746034411624,1391.7985232616,3.4442519738203,204.07623802362,,
24,2021-11-26,Moscow Exchange T+,89.77,89.89,12.000000000000457,89.83,90.99,89.51,90.99,89.89,89.9,89.9,89.9,89.89,89.89,89.9,Avg,4714217.6,190,5244,7.44,2035-05-14,,,,,,17.94,,,2026-05-28,10.67637061948,10.718314001662,10.679594081874,10.679594081874,10.679594081874,1366.838967862,3.3835264696086,185.86790992079,,
25,2021-11-25,Moscow Exchange T+,89.97,90.0,3.0000000000001137,89.985,91.49,89.71,91.49,90.0,90.01,90.01,90.01,90.0,90.0,90.01,Avg,1875848.6,110,2084,7.44,2035-05-14,,,,,,17.73,,,2026-05-28,10.639520141429,10.65238862864,10.64273652856,10.64273652856,10.64273652856,1368.0615683536,3.3876808947736,181.0852829217,,
26,2021-11-24,Moscow Exchange T+,89.96,90.08,12.000000000000457,90.02,91.0,89.6,91.47,90.08,90.0,90.0,90.0,90.08,90.08,90.0,Avg,3648612.4,135,4054,7.44,2035-05-14,,,,,,17.53,,,2026-05-28,10.640992224103,10.653855771186,10.61528861255,10.61528861255,10.61528861255,1369.0526776402,3.3900900366217,171.52609059906,,
27,2021-11-23,Moscow Exchange T+,90.3,90.74,43.99999999999977,90.52,90.85,90.0,91.89,90.82,90.72,90.72,90.72,90.76,90.76,90.72,Avg,1384463.2,174,1526,7.44,2035-05-14,,,,,,17.33,,,2026-05-28,10.409162028129,10.543075818707,10.402806361773,10.377402861571,10.396452612974,1371.4511634982,3.4031600085716,139.67352114884,,
