,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,92.37,92.49,11.999999999999034,92.43,92.89,91.22,92.89,92.49,92.35,91.62,,92.49,92.49,92.35,Avg,109891.0,19.0,119.0,5.7,2025-05-27,8.494455069732,8.4869586536095,8.4420268372455,8.4420268372455,8.4420268372455,4.68,1138.0990144001,2.873952857317,,,,,,,,,9.2732064107127,,
1,2021-12-29,Moscow Exchange T+,91.71,92.12,41.00000000000108,91.915,92.9,91.44,92.9,92.12,91.94,91.58,,92.12,92.12,91.94,Avg,273982.1,52.0,298.0,5.7,2025-05-27,8.646363127253199,8.7331970225318,8.578613637468099,8.578613637468099,8.578613637468099,4.53,1138.8149108158,2.8717398003428,,,,,,,,,17.553247740314,,
2,2021-12-28,Moscow Exchange T+,92.01,92.49,47.99999999999898,92.25,92.9,90.81,92.99,92.48,91.42,91.42,91.42,92.48,92.48,91.42,Avg,3610086.0,49.0,3949.0,5.7,2025-05-27,8.8410879927632,8.6181344836696,8.4381893869652,8.4419251796266,8.4419251796266,4.37,1139.4502056606,2.8682011940004,,,,,,,,,40.686474506282,,
3,2021-12-27,Moscow Exchange T+,91.98,92.49,50.99999999999909,92.235,92.72,91.36,92.85,91.98,92.34,91.23,,92.4,92.4,92.34,Avg,334264.9,44.0,362.0,5.7,2025-05-27,8.4921442744724,8.627183784584801,8.436090574038401,8.627183784584801,8.469707830619901,4.22,1141.1033333591,2.8816008046118,,,,,,,,,2.5466264805505,,
4,2021-12-24,Moscow Exchange T+,91.03,91.36,32.99999999999983,91.195,91.1,90.22,92.14,91.03,91.04,91.04,91.04,91.05,91.05,91.04,Avg,7403475.9,39.0,8132.0,5.7,2025-05-27,8.9765121295362,8.9803185803237,8.855007463726999,8.9803185803237,8.9727062518253,3.75,1143.1962196394,2.8740545794356,,,,,,,,,56.90357613151,,
5,2021-12-23,Moscow Exchange T+,91.02,91.1,7.999999999999829,91.06,92.72,90.73,92.72,91.1,91.0,91.0,91.0,91.1,91.1,91.0,Avg,33581733.7,47.0,36902.0,5.7,2025-05-27,8.9896281925382,8.9820179215879,8.951599741955201,8.951599741955201,8.951599741955201,3.59,1144.1716055604,2.8761605847714,,,,,,,,,51.059120352278,,
6,2021-12-22,Moscow Exchange T+,90.82,90.94,12.000000000000457,90.88,91.79,90.34,93.0,90.89,91.47,91.35,,90.92,90.92,91.47,Avg,384154.3,58.0,420.0,5.7,2025-05-27,8.8090328371835,9.0556847847028,9.0099672817757,9.0290061876319,9.0175811221499,3.44,1145.5102830444,2.8843049655668,,,,,,,,,26.638997178896,,
7,2021-12-21,Moscow Exchange T+,90.92,91.0,7.999999999999829,90.96,91.04,90.91,91.37,91.0,91.03,91.1,91.1,91.0,91.0,91.03,Avg,3573780.4,36.0,3923.0,5.7,2025-05-27,8.973638281120099,9.0154558874166,8.985036212768401,8.985036212768401,8.985036212768401,3.28,1146.2016124628,2.8816862865568,,,,,,,,,33.320641370056,,
8,2021-12-20,Moscow Exchange T+,91.33,91.35,1.999999999999602,91.34,90.87,90.51,91.35,91.33,91.0,91.0,91.0,91.33,91.33,91.0,Avg,12404081.0,37.0,13631.0,5.7,2025-05-27,8.982937681407801,8.8579327512162,8.8503765877381,8.8579327512162,8.8579327512162,3.12,1147.1841615619,2.8839104290222,,,,,,,,,30.752294044331,,
9,2021-12-17,Moscow Exchange T+,90.5,90.68,18.000000000000682,90.59,90.42,90.42,90.79,90.5,90.5,90.51,,90.5,90.5,90.5,Avg,220830.9,21.0,244.0,5.7,2025-05-27,9.1664682726905,9.1664682726905,9.0978392501809,9.1664682726905,9.1664682726905,2.65,1149.8394810338,2.8857259956859,,,,,,,,,45.598152024245,,
