,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,93.0,93.97,96.99999999999989,93.485,93.97,89.55,93.98,93.98,88.46,89.71,89.71,93.52,93.52,88.46,Avg,3864658.0,36.0,4308.0,5.9,2027-05-25,8.8003682543829,7.638891810046,7.400331996098,7.3978893920866,7.5106019578733,4.85,1688.7538670862,4.2524882937034,,,,,,,,,36.937432693861,,
1,2021-12-29,Moscow Exchange T+,91.0,92.13,112.99999999999956,91.565,92.38,89.63,92.39,91.0,90.66,89.69,,91.0,91.0,90.66,Avg,174066.5,25.0,192.0,5.9,2027-05-25,8.2270697311774,8.140277503014499,7.8548429953348,8.140277503014499,8.140277503014499,4.69,1693.9698008971,4.2882184324775,,,,,,,,,-25.064309206066,,
2,2021-12-28,Moscow Exchange T+,89.7,90.15,45.00000000000029,89.925,90.16,89.58,90.21,90.1,89.6,89.6,89.6,90.1,90.1,89.6,Avg,2437210.6,20.0,2720.0,5.9,2027-05-25,8.4993445945004,8.4733875629537,8.357048535297,8.3699374834172,8.3699374834172,4.53,1692.9718796989,4.2749374568091,,,,,,,,,4.1763185874707,,
3,2021-12-27,Moscow Exchange T+,86.46,90.23,377.000000000001,88.345,86.37,86.36,92.26,90.16,90.86,89.57,,90.16,90.16,90.86,Avg,308002.6,26.0,339.0,5.9,2027-05-25,8.1743526267042,9.3331024590688,8.3357017970577,8.3537205441544,8.3537205441544,4.36,1696.3557229625,4.2963510416954,,,,,,,,,-30.600250273488,,
4,2021-12-24,Moscow Exchange T+,89.52,89.65,13.000000000000966,89.585,91.07,90.0,91.07,90.0,90.66,89.34,89.34,90.39,90.39,90.66,Avg,53488.9,7.0,59.0,5.9,2027-05-25,8.2225641143113,8.5160907931235,8.4823716997492,8.3919070647959,8.291645002003401,3.88,1699.0027965371,4.3011383258086,,,,,,,,,-21.417943569597,,
5,2021-12-23,Moscow Exchange T+,89.3,90.42,112.00000000000044,89.86,88.12,88.12,90.77,90.6,89.3,89.3,89.3,90.6,90.6,89.3,Avg,1788774.6,17.0,2003.0,5.9,2027-05-25,8.572204328551699,8.572204328551699,8.282983139631101,8.2369388453572,8.2369388453572,3.72,1697.4359108963,4.2833332653433,,,,,,,,,6.6552628775192,,
6,2021-12-22,Moscow Exchange T+,89.33,90.04,71.0000000000008,89.685,90.04,90.01,90.13,90.02,90.04,88.65,,90.02,90.02,90.04,Avg,7203.1,6.0,8.0,5.9,2027-05-25,8.3795707104216,8.5633048521767,8.3795707104216,8.3847203067719,8.3847203067719,3.56,1699.8517368011,4.297053416528,,,,,,,,,-17.169232916709,,
7,2021-12-21,Moscow Exchange T+,89.57,89.87,30.000000000001137,89.72,89.37,89.35,90.77,89.57,89.88,88.65,,89.57,89.57,89.88,Avg,97966.1,12.0,109.0,5.9,2027-05-25,8.4200394005691,8.5001810673901,8.4226189596858,8.5001810673901,8.5001810673901,3.39,1700.5546234124,4.2972256683659,,,,,,,,,-19.866872267356,,
8,2021-12-20,Moscow Exchange T+,90.0,91.0,100.0,90.5,90.09,90.0,91.69,91.69,91.17,88.55,,91.32,91.32,91.17,Avg,16411.3,6.0,18.0,5.9,2027-05-25,8.089507442252,8.3881008714154,8.1325803646691,7.958404770727199,8.0515891310075,3.23,1703.9762218497,4.319039021953,,,,,,,,,-52.394112231703,,
9,2021-12-17,Moscow Exchange T+,88.73,90.99,225.9999999999991,89.86,89.99,88.5,91.0,89.97,89.23,88.52,,89.97,89.97,89.23,Avg,36584.2,20.0,41.0,5.9,2027-05-25,8.5841188774068,8.7145789406849,8.132410848720701,8.3927864006279,8.3927864006279,2.75,1703.3482119704,4.2977808157422,,,,,,,,,-2.7129022539295,,
10,2021-12-16,Moscow Exchange T+,88.51,88.65,14.000000000000057,88.58,88.49,88.18,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,Avg,1286773.0,15.0,1454.0,5.9,2027-05-25,8.77374450538,8.7711180479908,8.7343884585925,8.77374450538,8.77374450538,2.59,1702.9504228869,4.2892865536312,,,,,,,,,6.1859732808079,,
11,2021-12-15,Moscow Exchange T+,88.88,89.04,16.00000000000108,88.96,86.31,86.31,89.51,88.88,89.38,89.38,89.38,88.88,88.88,89.38,Avg,1364895.1,15.0,1527.0,5.9,2027-05-25,8.5432826863239,8.6733469066795,8.631622208631,8.6733469066795,8.6733469066795,2.42,1705.6487307497,4.3052044360372,,,,,,,,,-19.813961898984,,
12,2021-12-14,Moscow Exchange T+,87.81,88.0,18.999999999999773,87.905,87.81,87.81,87.95,87.95,87.86,88.0,,87.95,87.95,87.86,Avg,11422.1,7.0,13.0,5.9,2027-05-25,8.9404404247191,8.953693280224,8.9033850178137,8.9166102064093,8.9166102064093,2.26,1703.7185223553,4.2846549553664,,,,,,,,,19.026730997965,,
13,2021-12-13,Moscow Exchange T+,88.1,88.12,2.000000000001023,88.11,87.01,87.0,88.12,88.12,87.74,88.0,,88.12,88.12,87.74,Avg,52641.0,14.0,60.0,5.9,2027-05-25,8.9710154636902,8.8757559240178,8.8704787069451,8.8704787069451,8.8704787069451,2.1,1704.4922519709,4.2853980632838,,,,,,,,,24.826648036965,,
14,2021-12-10,Moscow Exchange T+,88.1,88.11,1.0000000000005116,88.105,86.4,86.4,89.91,88.11,88.0,88.0,88.0,88.11,88.11,88.0,Avg,1481041.9,13.0,1683.0,5.9,2027-05-25,8.898520652155,8.8721443024177,8.8695088278656,8.8695088278656,8.8695088278656,1.62,1708.0285894432,4.2971477977956,,,,,,,,,22.63409834147,,
15,2021-12-09,Moscow Exchange T+,88.01,88.2,18.999999999999773,88.105,89.76,86.31,89.76,88.2,88.14,87.88,,88.2,88.2,88.14,Avg,67865.3,13.0,77.0,5.9,2027-05-25,8.8606729968916,8.8949355991067,8.8448818408093,8.8448818408093,8.8448818408093,1.45,1709.3083774277,4.3018626668058,,,,,,,,,16.953463090335,,
16,2021-12-08,Moscow Exchange T+,88.37,88.66,28.999999999999204,88.515,88.18,88.18,88.66,88.66,88.63,87.71,,88.66,88.66,88.63,Avg,14180.8,3.0,16.0,5.9,2027-05-25,8.7309836704625,8.7990490250222,8.723146827335,8.723146827335,8.723146827335,1.29,1711.2659578334,4.3119263030714,,,,,,,,,-2.1045116566775,,
17,2021-12-07,Moscow Exchange T+,88.5,88.66,15.99999999999966,88.58,87.52,87.52,88.66,88.66,87.83,87.69,,88.66,88.66,87.83,Avg,48306.4,3.0,55.0,5.9,2027-05-25,8.9400334726655,8.7638323628316,8.7220131615131,8.7220131615131,8.7220131615131,1.13,1710.7215333381,4.3022827890825,,,,,,,,,19.555797141726,,
18,2021-12-06,Moscow Exchange T+,88.5,88.67,17.00000000000017,88.585,87.58,87.57,89.57,88.68,88.56,87.68,,88.69,88.69,88.56,Avg,38079.1,15.0,43.0,5.9,2027-05-25,8.7469960383522,8.762683277156,8.7182722682508,8.715663333603,8.7130547847023,0.97,1713.1478241422,4.316032491533,,,,,,,,,4.3482626290253,,
19,2021-12-03,Moscow Exchange T+,88.71,88.74,3.0000000000001137,88.725,87.55,87.55,88.81,88.72,88.62,87.62,,88.72,88.72,88.62,Avg,18609.9,10.0,21.0,5.9,2027-05-25,8.7281882308468,8.7047334297097,8.6969220956018,8.702129266855401,8.702129266855401,0.48,1716.2865788415,4.3246880933409,,,,,,,,,11.503789424532,,
20,2021-12-02,Moscow Exchange T+,88.27,88.87,60.00000000000085,88.57,89.7,87.6,89.7,88.92,87.89,87.59,,88.92,88.92,87.89,Avg,123929.3,19.0,141.0,5.9,2027-05-25,8.91838682299,8.8185333067839,8.662012399964599,8.6490315599158,8.6490315599158,0.32,1715.881668823,4.3161176043198,,,,,,,,,30.131428528404,,
21,2021-12-01,Moscow Exchange T+,88.01,88.5,48.99999999999949,88.255,89.72,88.0,89.72,88.68,88.26,87.42,,88.14,88.14,88.26,Avg,54719.2,16.0,62.0,5.9,2027-05-25,8.8199889760814,8.8856008556798,8.7572305145609,8.7103079618319,8.8514522097647,0.16,1717.6089648616,4.3243691073673,,,,,,,,,20.411105283846,,
22,2021-11-30,Moscow Exchange T+,89.0,89.47,46.999999999999886,89.235,87.0,86.11,89.51,89.0,87.28,87.36,,88.87,88.87,87.28,Avg,440763.8,28.0,505.0,5.9,2027-05-25,9.0773253493852,8.6261152323055,8.5048050940313,8.6261152323055,8.659817432423,,1716.7047411704,4.3118958460667,,,,,,,,,47.463802398727,,
23,2021-11-29,Moscow Exchange T+,87.85,87.98,13.000000000000966,87.915,90.59,87.08,90.59,87.98,87.81,87.87,,87.98,87.98,87.81,Avg,51805.5,14.0,59.0,5.9,2027-05-25,8.9356632224822,8.9251265672029,8.8909258626762,8.8909258626762,8.8909258626762,29.26,1663.0709296835,4.1826143768512,,,,,,,,,31.387988362849,,
24,2021-11-26,Moscow Exchange T+,87.75,87.99,23.99999999999949,87.87,87.21,87.21,89.46,88.7,88.63,88.16,,88.7,88.7,88.63,Avg,14180.4,6.0,16.0,5.9,2027-05-25,8.7172976467594,8.947562446006,8.8844635533967,8.6991099272707,8.6991099272707,28.77,1668.1389319292,4.2037870219792,,,,,,,,,-4.2829245926237,,
25,2021-11-25,Moscow Exchange T+,88.09,89.93,184.0000000000003,89.01,89.94,88.06,89.94,89.93,88.69,88.15,,89.93,89.93,88.69,Avg,46118.3,14.0,52.0,5.9,2027-05-25,8.7004272357572,8.8568897195178,8.3814244889057,8.3814244889057,8.3814244889057,28.61,1669.2984135647,4.2073618544453,,,,,,,,,-7.0315132912594,,
26,2021-11-24,Moscow Exchange T+,87.25,87.48,23.0000000000004,87.365,87.01,87.01,88.16,87.25,87.33,88.1,,87.3,87.3,87.33,Avg,68120.6,12.0,78.0,5.9,2027-05-25,9.0556583770488,9.0768560550766,9.015981332787,9.0768560550766,9.0636045187229,28.45,1666.9315976483,4.1877110751816,,,,,,,,,17.888174266454,,
27,2021-11-23,Moscow Exchange T+,87.76,87.94,17.99999999999926,87.85,88.98,87.3,88.98,87.76,87.83,88.38,,87.76,87.76,87.83,Avg,145798.4,28.0,166.0,5.9,2027-05-25,8.922373030051201,8.9407729775548,8.8934976577055,8.9407729775548,8.9407729775548,28.29,1669.196989785,4.1985336075128,,,,,,,,,-5.20480445935,,
28,2021-11-22,Moscow Exchange T+,87.51,87.94,42.99999999999926,87.725,87.01,87.01,88.92,87.4,87.57,88.88,,87.43,87.43,87.57,Avg,117337.2,30.0,134.0,5.9,2027-05-25,8.9894103235059,9.0052349937174,8.8921381695458,9.0342838953901,9.0263567121466,28.13,1669.5608676721,4.1968658697282,,,,,,,,,7.1171246326642,,
29,2021-11-19,Moscow Exchange T+,88.0,88.74,73.99999999999949,88.37,89.29,88.0,89.3,88.0,88.96,89.3,,88.06,88.06,88.96,Avg,209934.9,29.0,236.0,5.9,2027-05-25,8.6232833801401,8.8726331873095,8.6801135226022,8.8726331873095,8.8569445338937,27.64,1676.0271541226,4.2273213199645,,,,,,,,,-2.5228896414887,,
30,2021-11-18,Moscow Exchange T+,89.65,89.86,20.999999999999375,89.755,89.01,89.01,90.47,89.85,89.88,89.31,,89.85,89.85,89.88,Avg,133019.0,13.0,148.0,5.9,2027-05-25,8.386480063945,8.4450755717387,8.3915675278994,8.3941118158636,8.3941118158636,27.48,1679.2587170621,4.2447257362306,,,,,,,,,-19.701036196089,,
31,2021-11-17,Moscow Exchange T+,89.0,89.05,4.999999999999716,89.025,87.62,87.62,89.61,89.0,89.06,89.3,,89.0,89.0,89.06,Avg,41857.7,27.0,47.0,5.9,2027-05-25,8.5950706460991,8.610515123307701,8.597643778828399,8.610515123307701,8.610515123307701,27.32,1678.2934503592,4.2341371668185,,,,,,,,,13.401100317141,,
32,2021-11-16,Moscow Exchange T+,89.33,89.86,53.000000000000114,89.595,90.41,89.3,90.52,89.9,89.3,89.3,89.3,89.9,89.9,89.3,Avg,15214405.7,32.0,17037.0,5.9,2027-05-25,8.5322382952509,8.5245516974305,8.3893100408507,8.379145524889001,8.379145524889001,27.16,1679.8861008878,4.2406088236609,,,,,,,,,6.9485624870088,,
33,2021-11-15,Moscow Exchange T+,89.44,90.39,95.00000000000028,89.915,92.0,90.13,92.0,90.4,90.85,89.3,,90.4,90.4,90.85,Avg,23620.3,14.0,26.0,5.9,2027-05-25,8.1386983248895,8.4954794398832,8.2542939596686,8.2517728318901,8.2517728318901,26.99,1684.5849833347,4.2679460689812,,,,,,,,,-20.584565510677,,
34,2021-11-12,Moscow Exchange T+,89.44,90.1,65.99999999999966,89.77,88.8,88.8,90.49,90.13,89.3,89.3,89.3,90.0,90.0,89.3,Avg,134001984.8,35.0,150058.0,5.9,2027-05-25,8.527753672838099,8.4919740180148,8.3242807477339,8.3166965531896,8.3495852848617,26.51,1683.9283790263,4.2509885740369,,,,,,,,,25.204532145223,,
35,2021-11-11,Moscow Exchange T+,89.59,89.6,0.9999999999990904,89.595,89.51,89.0,89.59,89.59,89.3,89.3,89.3,89.59,89.59,89.3,Avg,67016084.4,42.0,75046.0,5.9,2027-05-25,8.5265737956344,8.4525724338071,8.4500262582292,8.4525724338071,8.4525724338071,26.35,1684.9395016644,4.2535873434949,,,,,,,,,33.728948899728,,
36,2021-11-10,Moscow Exchange T+,89.57,89.6,3.0000000000001137,89.585,89.56,89.56,89.73,89.57,89.65,89.94,,89.57,89.57,89.65,Avg,77991.5,16.0,87.0,5.9,2027-05-25,8.4361621807984,8.456518236067199,8.448881927093101,8.456518236067199,8.456518236067199,26.19,1686.7912044501,4.2618123628458,,,,,,,,,20.658309278129,,
37,2021-11-09,Moscow Exchange T+,89.8,89.99,18.999999999999773,89.895,90.52,89.56,90.55,90.21,90.12,90.13,,90.21,90.21,90.12,Avg,57676.3,24.0,64.0,5.9,2027-05-25,8.3162163307967,8.3971921372717,8.3490672995769,8.2935096566706,8.2935096566706,26.02,1688.9192898058,4.2719144863065,,,,,,,,,6.7186156200215,,
38,2021-11-08,Moscow Exchange T+,90.39,90.47,7.999999999999829,90.43,91.64,90.14,91.64,90.39,90.78,90.13,,90.39,90.39,90.78,Avg,19971.7,12.0,22.0,5.9,2027-05-25,8.1493749798493,8.2471318093855,8.2270341997387,8.2471318093855,8.2471318093855,25.86,1691.484932,4.2850042305046,,,,,,,,,-18.808787735288,,
39,2021-11-05,Moscow Exchange T+,90.01,90.21,19.999999999998863,90.11,89.0,89.0,91.6,90.6,90.28,90.1,,90.6,90.6,90.28,Avg,32501.6,15.0,36.0,5.9,2027-05-25,8.271619828874,8.3396413133178,8.2892294482161,8.1913455635814,8.1913455635814,25.38,1693.3381825452,4.2848557167957,,,,,,,,,-13.374329957384,,
40,2021-11-03,Moscow Exchange T+,89.52,89.53,1.0000000000005116,89.525,89.18,89.18,90.0,89.53,89.68,89.42,,89.53,89.53,89.68,Avg,122860.1,27.0,137.0,5.9,2027-05-25,8.421151236856,8.4617467414564,8.459206741075,8.459206741075,8.459206741075,25.05,1693.9324965318,4.2804479536135,,,,,,,,,-0.86981875452583,,
41,2021-11-02,Moscow Exchange T+,90.1,90.17,7.000000000000739,90.135,91.05,90.0,91.05,90.09,90.01,89.39,,90.09,90.09,90.01,Avg,182724.3,15.0,203.0,5.9,2027-05-25,8.3366384751026,8.3139641834938,8.2963490987027,8.316482085673,8.316482085673,24.89,1695.7273686831,4.2883261588541,,,,,,,,,-7.4431804136509,,
42,2021-11-01,Moscow Exchange T+,89.24,90.54,130.00000000000114,89.89,91.61,90.54,91.61,90.54,90.76,89.27,89.35,90.54,90.54,90.76,Avg,9075.8,4.0,10.0,5.9,2027-05-25,8.1475864887359,8.5306846757382,8.202513469502499,8.202513469502499,8.202513469502499,24.73,1698.5016931722,4.3028508055026,,,,,,,,,-27.021868684505,,
43,2021-10-29,Moscow Exchange T+,89.13,90.43,130.00000000000114,89.78,90.37,88.03,91.18,90.48,89.34,89.34,89.34,90.42,90.42,89.34,Avg,1064054.6,42.0,1191.0,5.9,2027-05-25,8.5017681250396,8.5552194752032,8.2269475863979,8.2144451796011,8.229449152533801,24.25,1698.1732964819,4.2879758180907,,,,,,,,,13.592252477788,,
44,2021-10-28,Moscow Exchange T+,89.16,90.37,121.0000000000008,89.765,90.44,89.17,92.0,89.17,91.45,91.45,91.45,90.24,90.24,91.45,Avg,743458.5,45.0,813.0,5.9,2027-05-25,7.9729988654602995,8.5466622387412,8.2411784097618,8.5441153836494,8.2737417465388,24.08,1704.1356177535,4.3241039474986,,,,,,,,,-38.077828607384,,
45,2021-10-27,Moscow Exchange T+,90.02,91.41,139.00000000000006,90.715,91.79,90.05,91.79,90.28,91.31,91.43,,90.28,90.28,91.31,Avg,12783.7,4.0,14.0,5.9,2027-05-25,8.0065967719305,8.3279187204327,7.981936107581101,8.262673592714,8.262673592714,23.92,1704.8215301373,4.324498741542,,,,,,,,,-12.929198868887,,
46,2021-10-26,Moscow Exchange T+,90.6,91.03,43.00000000000068,90.815,86.96,86.96,91.0,90.55,90.02,91.43,,90.55,90.55,90.02,Avg,239445.1,91.0,266.0,5.9,2027-05-25,8.326850469373701,8.1817025780321,8.0748748719074,8.194167414701301,8.194167414701301,23.76,1702.8193609896,4.3066502007995,,,,,,,,,15.079878989003,,
47,2021-10-25,Moscow Exchange T+,91.48,91.61,12.999999999999543,91.545,91.08,91.08,91.76,91.57,91.53,91.5,,91.57,91.57,91.53,Avg,18306.8,9.0,20.0,5.9,2027-05-25,7.9505776513699,7.962871905463199,7.9309250827079,7.9407485633953,7.9407485633953,23.6,1707.345128671,4.3331476204571,,,,,,,,,-19.100435543944,,
48,2021-10-22,Moscow Exchange T+,91.35,91.83,48.0000000000004,91.59,91.5,91.19,92.05,91.59,91.8,91.5,,91.71,91.71,91.8,Avg,42228.3,27.0,46.0,5.9,2027-05-25,7.8817197626482,7.9921160743981,7.874385147542,7.9331498722865,7.9037424035843005,23.12,1710.9880969482,4.3451649010501,,,,,,,,,2.3510292840847,,
49,2021-10-21,Moscow Exchange T+,91.32,91.65,33.00000000000125,91.485,91.0,91.0,91.94,91.5,91.51,91.51,91.51,91.5,91.5,91.51,Avg,4864603.5,24.0,5316.0,5.9,2027-05-25,7.9521279238575,7.998826888316,7.917799128835499,7.954582605386901,7.954582605386901,22.95,1711.330644805,4.3432002677721,,,,,,,,,36.357798038454,,
50,2021-10-20,Moscow Exchange T+,91.48,91.73,25.0,91.605,91.77,91.53,92.19,91.53,91.73,91.5,,91.53,91.53,91.73,Avg,20180.1,15.0,22.0,5.9,2027-05-25,7.8973376926269,7.9585911555367,7.8973376926269,7.946322984856399,7.946322984856399,22.79,1712.842323862,4.3492441944033,,,,,,,,,38.482141927076,,
51,2021-10-19,Moscow Exchange T+,91.5,91.94,43.99999999999977,91.72,92.3,91.21,92.3,91.5,91.5,91.5,91.5,91.5,91.5,91.5,Avg,5583247.3,26.0,6102.0,5.9,2027-05-25,7.9527847992596,7.9527847992596,7.845200861996,7.9527847992596,7.9527847992596,22.63,1713.3245076516,4.3482340503948,,,,,,,,,46.15112965324,,
52,2021-10-18,Moscow Exchange T+,91.57,91.81,24.00000000000091,91.69,90.5,90.5,92.21,91.81,91.74,91.95,,91.81,91.81,91.74,Avg,63302.1,13.0,69.0,5.9,2027-05-25,7.8931478317382995,7.9347350314386,7.8760529305766,7.8760529305766,7.8760529305766,22.47,1714.881434286,4.3545909947319,,,,,,,,,38.172842277347,,
53,2021-10-15,Moscow Exchange T+,91.65,91.92,26.9999999999996,91.785,92.16,91.61,92.16,91.93,91.76,92.01,,91.93,91.93,91.76,Avg,98184.2,23.0,107.0,5.9,2027-05-25,7.885908313172201,7.912764622009701,7.8469195418032,7.8444856859187,7.8444856859187,21.98,1717.9490057812,4.3626731965934,,,,,,,,,46.10316671313,,
54,2021-10-14,Moscow Exchange T+,91.62,91.89,26.9999999999996,91.755,92.23,91.52,92.23,91.52,92.01,92.08,,91.52,91.52,92.01,Avg,36805.4,6.0,40.0,5.9,2027-05-25,7.8241905312422,7.919219306946699,7.853374059302901,7.9436707666157,7.9436707666157,21.82,1719.5247481587,4.3691741937252,,,,,,,,,43.88858949954,,
55,2021-10-13,Moscow Exchange T+,91.76,92.12,35.99999999999994,91.94,92.1,91.5,92.14,92.14,92.04,92.08,,92.12,92.12,92.04,Avg,54305.3,14.0,59.0,5.9,2027-05-25,7.816070400451499,7.8841848616936,7.796658793891701,7.791809330154501,7.796658793891701,21.66,1720.6004561439,4.3722367499951,,,,,,,,,41.724164530806,,
56,2021-10-12,Moscow Exchange T+,91.87,92.09,21.999999999999886,91.98,92.25,91.82,92.25,91.9,92.02,92.09,,91.9,91.9,92.02,Avg,76373.3,15.0,83.0,5.9,2027-05-25,7.8200943123965,7.8565454215345,7.8031103275312,7.8492489870952,7.8492489870952,21.5,1721.5629404388,4.3745192635956,,,,,,,,,38.295283208634,,
57,2021-10-11,Moscow Exchange T+,91.82,92.11,29.000000000000625,91.965,92.57,91.69,92.57,91.83,92.21,92.18,,91.83,91.83,92.21,Avg,11064.6,9.0,12.0,5.9,2027-05-25,7.773222773832799,7.867861702681401,7.7974392930132,7.865428512643501,7.865428512643501,21.34,1722.9997849788,4.3800744142286,,,,,,,,,35.088520920857,,
