,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,93.34,93.35,0.9999999999990904,93.345,92.93,92.93,94.3,93.34,93.35,93.35,93.35,93.35,93.35,93.35,Avg,7217195.9,137,7731,5.65,2024-05-31,8.9477016214095,8.952796561987899,8.9477016214095,8.952796561987899,8.9477016214095,4.18,832.43690312708,2.0933429670581,,,,,,,,,57.715994714778,,
1,2021-12-29,Moscow Exchange T+,93.05,93.18,13.000000000000966,93.115,93.43,92.67,93.43,93.18,93.0,93.0,93.0,93.18,93.18,93.0,Avg,6062876.9,311,6519,5.65,2024-05-31,9.1232530689334,9.0976767269353,9.0312725759921,9.0312725759921,9.0312725759921,4.02,833.32456232031,2.0922039331215,,,,,,,,,67.168869886267,,
2,2021-12-28,Moscow Exchange T+,93.19,93.2,1.0000000000005116,93.195,93.4,93.04,93.44,93.2,93.21,93.21,93.21,93.2,93.2,93.21,Avg,7136414.5,235,7656,5.65,2024-05-31,9.0123314049954,9.0225227846355,9.0174266935241,9.0174266935241,9.0174266935241,3.87,834.39555326537,2.0970244237166,,,,,,,,,60.476071738103,,
3,2021-12-27,Moscow Exchange T+,93.25,93.3,4.999999999999716,93.275,93.35,93.01,93.85,93.26,93.41,93.41,93.41,93.29,93.29,93.41,Avg,3470014.0,184,3715,5.65,2024-05-31,8.9070765739216,8.9883537388873,8.9629326536839,8.983267921810501,8.968015271115801,3.72,835.46288964476,2.1017361733428,,,,,,,,,47.215284519719,,
4,2021-12-24,Moscow Exchange T+,93.35,93.4,5.000000000001137,93.375,93.11,92.99,94.04,93.35,93.1,93.1,93.1,93.35,93.35,93.1,Avg,11671602.2,194,12536,5.65,2024-05-31,9.0547547094435,8.9279529103256,8.902652295886,8.9279529103256,8.9279529103256,3.25,838.36840547814,2.1061894524046,,,,,,,,,67.245581071047,,
5,2021-12-23,Moscow Exchange T+,93.35,93.49,14.000000000000057,93.42,94.48,92.6,94.48,93.5,93.35,93.35,93.35,93.5,93.5,93.35,Avg,7319485.9,185,7841,5.65,2024-05-31,8.924440978103899,8.924440978103899,8.853724726629,8.8486795065217,8.8486795065217,3.1,839.45178269464,2.1114341989195,,,,,,,,,50.055317118887,,
6,2021-12-22,Moscow Exchange T+,93.24,93.29,5.000000000001137,93.265,92.41,92.41,94.5,93.24,93.19,93.19,93.19,93.24,93.24,93.19,Avg,2790195.8,143,2994,5.65,2024-05-31,9.0023680773651,8.9770574011809,8.951766611156,8.9770574011809,8.9770574011809,2.94,840.40192842433,2.1123128583269,,,,,,,,,53.463681639141,,
7,2021-12-21,Moscow Exchange T+,93.39,93.47,7.999999999999829,93.43,93.89,92.34,94.94,93.41,93.38,93.38,93.38,93.41,93.41,93.38,Avg,2567113.7,147,2749,5.65,2024-05-31,8.902816204703699,8.8977729371094,8.8574552628581,8.8876887753939,8.8876887753939,2.79,841.46561463065,2.1169197693015,,,,,,,,,32.244208526641,,
8,2021-12-20,Moscow Exchange T+,93.0,93.16,15.99999999999966,93.08,92.49,92.15,93.17,93.0,92.55,92.55,92.55,93.0,93.0,92.55,Avg,11982561.2,186,12947,5.65,2024-05-31,9.3207817275114,9.0918840036244,9.0108888212171,9.0918840036244,9.0918840036244,2.63,842.19806788345,2.1106617884926,,,,,,,,,67.453347159966,,
9,2021-12-17,Moscow Exchange T+,92.5,92.51,1.0000000000005116,92.505,93.28,92.06,93.28,92.51,92.16,92.61,92.61,92.51,92.51,92.16,Avg,5682813.8,161,6136,5.65,2024-05-31,9.5086752213017,9.3350596247109,9.3299674326798,9.3299674326798,9.3299674326798,2.17,845.07765564775,2.1142445963036,,,,,,,,,78.731867308988,,
