,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,99.62,99.98,35.99999999999994,99.8,99.3,99.04,100.0,99.6,99.33,99.33,99.33,99.56,99.56,99.33,Avg,564190.9,20,568,9.5,2025-06-03,,,,,,5.99,,,2023-06-09,10.382918177854,10.146004256485,9.853596585927,10.162303954096,10.194920731161,492.25515354796,1.221787101264,210.80523102119,,
1,2021-12-29,Moscow Exchange T+,99.18,99.19,0.9999999999990904,99.185,99.3,99.01,99.39,99.18,99.21,99.21,99.21,99.19,99.19,99.21,Avg,1316528.9,28,1327,9.5,2025-06-03,,,,,,5.73,,,2023-06-09,10.480283549699,10.504870626338,10.496673472838,10.504870626338,10.496673472838,493.23239146513,1.2231337366586,213.41635736192,,
2,2021-12-28,Moscow Exchange T+,98.91,98.98,7.000000000000739,98.945,99.39,98.61,99.39,98.99,99.0,99.0,99.0,98.99,98.99,99.0,Avg,664289.4,31,671,9.5,2025-06-03,,,,,,5.47,,,2023-06-09,10.65134724728,10.725293623614,10.667769504938,10.65955764306,10.65955764306,494.19240658928,1.2236198045099,235.93019782876,,
3,2021-12-27,Moscow Exchange T+,98.99,99.24,25.0,99.115,99.01,98.9,99.5,99.24,99.2,99.2,99.2,99.24,99.24,99.2,Avg,987020.7,60,995,9.5,2025-06-03,,,,,,5.21,,,2023-06-09,10.486425079472,10.658231506645,10.453772856775,10.453772856775,10.453772856775,495.23095577916,1.2280215765376,219.55331771818,,
4,2021-12-24,Moscow Exchange T+,98.62,99.18,56.00000000000023,98.9,98.99,98.59,99.89,99.19,99.02,98.76,,98.94,98.94,99.02,Avg,261420.9,40,264,9.5,2025-06-03,,,,,,4.42,,,2023-06-09,10.630679848983,10.957809036971,10.500479577042,10.492354353216,10.695919151612,498.19723699151,1.2337662019489,237.63111793246,,
5,2021-12-23,Moscow Exchange T+,98.4,98.99,58.99999999999892,98.695,98.59,97.62,99.0,98.99,98.35,98.35,98.35,98.99,98.99,98.35,Avg,611709.4,51,622,9.5,2025-06-03,,,,,,4.16,,,2023-06-09,11.177739762016,11.136594690601,10.65384942594,10.65384942594,10.65384942594,499.06941734362,1.2298446389548,295.01224675956,,
6,2021-12-22,Moscow Exchange T+,98.21,98.24,3.0000000000001137,98.225,98.36,98.0,98.37,98.21,98.24,98.24,98.24,98.21,98.21,98.24,Avg,721057.0,61,734,9.5,2025-06-03,,,,,,3.9,,,2023-06-09,11.266036935131,11.290746898501,11.266036935131,11.290746898501,11.290746898501,500.04879465263,1.2312802139948,303.83853314632,,
7,2021-12-21,Moscow Exchange T+,98.01,98.24,22.999999999998977,98.125,97.99,97.99,98.38,98.24,98.16,98.16,98.16,98.24,98.24,98.16,Avg,676315.5,31,689,9.5,2025-06-03,,,,,,3.64,,,2023-06-09,11.329507237145,11.453150248519,11.263700157649,11.263700157649,11.263700157649,501.03397186319,1.2330026849035,297.84011733558,,
8,2021-12-20,Moscow Exchange T+,97.6,97.98,38.000000000000966,97.79,97.29,97.2,98.0,97.5,97.58,97.58,97.58,97.5,97.5,97.58,Avg,706504.8,37,724,9.5,2025-06-03,,,,,,3.38,,,2023-06-09,11.806167391415,11.789563458084,11.47522171251,11.872643028268,11.872643028268,501.9226888895,1.2299237927347,338.17084839339,,
9,2021-12-17,Moscow Exchange T+,96.49,96.9,41.00000000000108,96.695,96.38,96.01,96.99,96.9,96.63,96.63,96.63,96.9,96.9,96.63,Avg,619398.5,37,641,9.5,2025-06-03,,,,,,2.6,,,2023-06-09,12.587904901328,12.705697645164,12.361577362241,12.361577362241,12.361577362241,504.74031751535,1.2282404457082,405.37968212496,,
10,2021-12-16,Moscow Exchange T+,96.97,97.03,6.000000000000227,97.0,97.28,96.36,97.28,96.95,96.89,96.82,,96.94,96.94,96.89,Avg,495119.9,45,511,9.5,2025-06-03,,,,,,2.34,,,2023-06-09,12.365734756169,12.298992079342,12.248998445688,12.315668688196,12.324009256628,505.79213035131,1.2332334825943,375.83204574817,,
11,2021-12-15,Moscow Exchange T+,96.3,96.35,4.999999999999716,96.325,96.0,96.0,96.83,96.35,96.48,96.48,,96.35,96.35,96.48,Avg,325131.6,35,337,9.5,2025-06-03,,,,,,2.08,,,2023-06-09,12.704531524358002,12.855916653568,12.813815472729,12.813815472729,12.813815472729,506.71312417585,1.2317651437363,405.83010436014,,
12,2021-12-14,Moscow Exchange T+,96.45,96.88,42.99999999999926,96.665,97.0,95.6,97.01,96.9,96.36,96.36,96.36,96.9,96.9,96.36,Avg,586825.3,77,609,9.5,2025-06-03,,,,,,1.82,,,2023-06-09,12.800465457198,12.724925737498,12.365712143972,12.349072543166,12.349072543166,507.69075847902,1.2330920614878,411.20085075958,,
13,2021-12-13,Moscow Exchange T+,96.06,97.02,95.99999999999936,96.54,97.1,96.02,97.19,97.05,97.0,97.0,97.0,96.46,96.46,97.0,Avg,565510.1,56,583,9.5,2025-06-03,,,,,,1.56,,,2023-06-09,12.261985393651,13.047810579164,12.245410662211,12.220559782473,12.711777386767,508.81633064648,1.2417536883467,363.73134643247,,
14,2021-12-10,Moscow Exchange T+,96.63,97.0,37.000000000000455,96.815,96.8,95.47,97.98,96.63,96.42,96.42,96.42,96.63,96.63,96.42,Avg,1043239.5,79,1082,9.5,2025-06-03,,,,,,0.78,,,2023-06-09,12.73095677793,12.556298310695,12.250175940527,12.556298310695,12.556298310695,511.70696320613,1.2436130461111,406.67806739342,,
15,2021-12-09,Moscow Exchange T+,96.1,96.3,20.000000000000284,96.2,97.49,95.77,97.49,96.1,96.35,96.35,96.35,96.1,96.1,96.35,Avg,2013813.6,69,2090,9.5,2025-06-03,,,,,,0.52,,,2023-06-09,12.784501381381,12.9932018655,12.826165727973,12.9932018655,12.9932018655,512.694480082,1.245421484317,413.46377347114,,
16,2021-12-08,Moscow Exchange T+,96.23,96.62,39.00000000000006,96.425,97.97,92.01,97.97,96.5,95.92,95.92,95.92,96.5,96.5,95.92,Avg,1939416.6,123,2022,9.5,2025-06-03,,,,,,0.26,,,2023-06-09,13.138636686338002,12.879589034774,12.555753167359,12.655151519373002,12.655151519373002,513.61193864366,1.2437448757538,443.92796675656,,
17,2021-12-07,Moscow Exchange T+,96.66,97.06,40.00000000000057,96.86,98.51,96.25,98.51,96.66,96.79,96.88,,96.71,96.71,96.79,Avg,456848.3,98,472,9.5,2025-06-03,,,,,,,,,2023-06-09,12.41115916716,12.518336144463,12.189361522298,12.518336144463,12.477084475601,514.78153565842,1.2546444517752,370.13273312948,,
18,2021-12-06,Moscow Exchange T+,97.51,97.96,44.99999999999886,97.735,97.47,97.12,98.6,97.52,97.63,97.39,,97.75,97.75,97.63,Avg,291908.5,49,299,9.5,2025-06-03,,,,,,23.42,,,2023-06-09,11.721101117342,11.818371892353,11.454678042928998,11.810258023887,11.624038571988,503.74899252036,1.2353389040031,304.64214894514,,
19,2021-12-03,Moscow Exchange T+,97.0,97.23,23.0000000000004,97.115,96.67,96.67,97.49,97.0,97.0,96.6,,97.0,97.0,97.0,Avg,277420.7,22,286,9.5,2025-06-03,,,,,,22.64,,,2023-06-09,12.220918612494,12.220918612494,12.0339464816,12.220918612494,12.220918612494,506.55994971394,1.2366994459033,356.46256777366,,
20,2021-12-02,Moscow Exchange T+,96.15,96.6,44.99999999999886,96.375,97.5,96.0,97.5,96.16,96.4,96.59,,96.16,96.16,96.4,Avg,358602.5,63,372,9.5,2025-06-03,,,,,,22.38,,,2023-06-09,12.707110136741,12.913073867147002,12.543006920955,12.904817435588,12.904817435588,507.37606394038,1.2333484607753,405.32079615436,,
21,2021-12-01,Moscow Exchange T+,96.55,97.3,75.0,96.925,97.01,96.01,97.96,97.92,96.88,97.93,,97.92,97.92,96.88,Avg,122072.1,31,126,9.5,2025-06-03,,,,,,22.12,,,2023-06-09,12.309753017692,12.579005626563,11.969364536221,11.471526826072,11.471526826072,508.52635079341,1.2405181575518,372.77540440041,,
22,2021-11-30,Moscow Exchange T+,97.72,98.34,62.000000000000455,98.03,98.43,98.0,98.44,98.35,98.18,98.05,,98.34,98.34,98.18,Avg,224835.4,28,229,9.5,2025-06-03,,,,,,21.86,,,2023-06-09,11.261721287742,11.628222933645,11.134940423794,11.127028510342,11.134940423794,509.92274353041,1.2556417393535,265.11768876866,,
23,2021-11-29,Moscow Exchange T+,98.01,98.06,4.999999999999716,98.035,98.04,98.01,98.11,98.01,98.02,98.02,98.02,98.01,98.01,98.02,Avg,1087074.4,29,1109,9.5,2025-06-03,,,,,,21.6,,,2023-06-09,11.385996440312,11.393940922466,11.354232569741,11.393940922466,11.393940922466,510.87573876837,1.2565848517767,278.98306982339,,
24,2021-11-26,Moscow Exchange T+,98.04,98.78,73.99999999999949,98.41,98.04,98.01,99.54,98.01,98.47,98.47,98.47,98.05,98.05,98.47,Avg,1278084.9,67,1298,9.5,2025-06-03,,,,,,20.82,,,2023-06-09,11.023277989305,11.361697966591,10.780883927319,11.385404587204,11.353798551098,514.01293070887,1.2684318371661,232.88539210255,,
25,2021-11-25,Moscow Exchange T+,98.49,98.5,1.0000000000005116,98.495,98.02,98.02,98.99,98.49,98.44,98.47,,98.49,98.49,98.44,Avg,224452.4,31,228,9.5,2025-06-03,,,,,,20.56,,,2023-06-09,11.04457130343,11.005432343731,10.997608677302,11.005432343731,11.005432343731,515.00487684735,1.2706359696592,234.81136531858,,
26,2021-11-24,Moscow Exchange T+,98.51,98.7,18.999999999999773,98.605,99.38,98.12,99.38,98.6,98.64,98.52,,98.6,98.6,98.64,Avg,222924.0,22,226,9.5,2025-06-03,,,,,,20.3,,,2023-06-09,10.886266948067,10.987659228512,10.839548405957,10.917439951459,10.917439951459,516.06475308314,1.2750686579668,208.89786792193,,
27,2021-11-23,Moscow Exchange T+,98.31,99.46,114.99999999999916,98.885,98.16,98.16,99.34,98.31,98.79,98.79,98.79,98.31,98.31,98.79,Avg,1134151.7,43,1148,9.5,2025-06-03,,,,,,20.04,,,2023-06-09,10.767818613836,11.141720741086,10.251131556189,11.141720741086,11.141720741086,517.10955452641,1.2790163454342,185.99217903912,,
28,2021-11-22,Moscow Exchange T+,98.71,99.0,29.000000000000625,98.855,99.71,98.71,99.71,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Avg,916779.1,27,926,9.5,2025-06-03,,,,,,19.78,,,2023-06-09,10.603764396196,10.828080441976,10.603764396196,10.603764396196,10.603764396196,518.17160595796,1.2835442294856,178.16821899004,,
29,2021-11-19,Moscow Exchange T+,99.11,99.62,51.00000000000051,99.365,99.21,99.1,99.65,99.65,99.19,99.3,,99.65,99.65,99.19,Avg,53562.6,12,54,9.5,2025-06-03,,,,,,19.0,,,2023-06-09,10.453840502517,10.515093792983,10.126057043166,10.103279407342,10.103279407342,521.22831295706,1.2928683771682,189.8548918508,,
