,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,94.5,94.59,9.000000000000341,94.545,91.98,91.98,94.5,94.5,92.55,92.55,92.55,93.37,93.37,92.55,Avg,1217093.6,17.0,1315.0,5.8,2030-05-29,,,,,,3.5,,,2025-06-09,8.580890456243399,7.8583480954244,7.8254977628139,7.8583480954244,8.2745133890098,1134.8548305824,2.8634792951134,17.941091330021,,
1,2021-12-29,Moscow Exchange T+,90.75,91.97,121.99999999999989,91.36,,,,,,90.95,,91.91,91.91,90.95,Market,,,,5.8,2030-05-29,,,,,,3.34,,,2025-06-09,9.1873374841436,9.264416091008,8.7978507351852,,8.820596143275,1134.5604352556,2.8468362959911,71.6634040642,,
2,2021-12-28,Moscow Exchange T+,91.01,91.97,95.99999999999936,91.49,91.99,90.9,91.99,91.91,91.01,90.95,,91.91,91.91,91.01,Avg,85547.5,37.0,94.0,5.8,2030-05-29,,,,,,3.18,,,2025-06-09,9.1619771747205,9.1619771747205,8.7958357522892,8.8185645767292,8.8185645767292,1135.6147016063,2.8501436448937,72.796665236244,,
3,2021-12-27,Moscow Exchange T+,91.51,91.96,44.99999999999886,91.735,91.97,91.97,91.97,91.97,91.97,90.95,90.95,91.97,91.97,91.97,Avg,919.7,1.0,1.0,5.8,2030-05-29,,,,,,3.02,,,2025-06-09,8.7938254067415,8.9684782451731,8.7976093633842,8.7938254067415,8.7938254067415,1137.4011268207,2.8642870669282,32.734618718942,,
4,2021-12-24,Moscow Exchange T+,90.65,91.97,131.99999999999932,91.31,90.67,90.63,91.99,91.97,91.4,90.95,90.95,91.97,91.97,91.4,Avg,21021.5,5.0,23.0,5.8,2030-05-29,,,,,,2.54,,,2025-06-09,9.003947540666001,9.2911774529499,8.787822073740701,8.787822073740701,8.787822073740701,1139.9525855263,2.8651785912617,59.663988614269,,
5,2021-12-23,Moscow Exchange T+,90.94,90.95,1.0000000000005116,90.945,90.6,90.6,90.95,90.93,90.95,90.95,90.95,90.95,90.95,90.95,Avg,73473938.4,23.0,80785.0,5.8,2030-05-29,,,,,,2.38,,,2025-06-09,9.1736192194317,9.1774507861947,9.1736192194317,9.1812829352547,9.1736192194317,1140.5897912836,2.8623247631669,69.494694287778,,
6,2021-12-22,Moscow Exchange T+,90.75,91.09,34.00000000000034,90.92,90.06,90.06,91.8,91.8,91.53,90.95,,91.8,91.8,91.53,Avg,40274.9,5.0,44.0,5.8,2030-05-29,,,,,,2.22,,,2025-06-09,8.9502713964036,9.2480372698924,9.1178088149536,8.8480141468398,8.8480141468398,1142.0672447566,2.8719078120634,40.805378675558,,
7,2021-12-21,Moscow Exchange T+,90.5,90.51,1.0000000000005116,90.505,90.5,90.49,90.51,90.5,90.5,90.91,,90.51,90.51,90.5,Avg,30770.0,7.0,34.0,5.8,2030-05-29,,,,,,2.07,,,2025-06-09,9.3414505543849,9.3414505543849,9.3375988759838,9.3414505543849,9.3375988759838,1142.230404355,2.8620421187292,70.13028655375,,
8,2021-12-20,Moscow Exchange T+,90.39,90.49,9.999999999999432,90.44,91.49,90.49,91.49,90.5,90.73,90.95,,90.5,90.5,90.73,Avg,85287.6,16.0,94.0,5.8,2030-05-29,,,,,,1.91,,,2025-06-09,9.2506914678187,9.3814440838963,9.3429169765618,9.3390675016887,9.3390675016887,1143.4248171548,2.8674150157244,57.516759482766,,
9,2021-12-17,Moscow Exchange T+,90.36,90.73,37.000000000000455,90.545,92.0,90.35,92.0,90.35,91.24,90.71,,90.35,90.35,91.24,Avg,6387.0,6.0,7.0,5.8,2030-05-29,,,,,,1.43,,,2025-06-09,9.049322680529,9.3857794310017,9.2437656233731,9.3896287865695,9.3896287865695,1146.8556163901,2.8813293880748,33.841526071085,,
