,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,99.4,99.62,21.999999999999886,99.51,99.46,98.91,99.7,99.7,99.36,99.19,,99.49,99.49,99.36,Avg,248409.6,33,250,7.5,2023-06-08,,,,,,4.32,,,2022-06-15,9.1946806556222,9.0955179340233,8.5524358201983,8.3559171605635,8.8728757697596,161.00000000048,0.40395364294659,145.74035338334,,
1,2021-12-29,Moscow Exchange T+,99.16,99.38,21.999999999999886,99.27,99.44,99.0,99.44,99.31,99.07,99.02,,99.3,99.3,99.07,Avg,206058.2,25,208,7.5,2023-06-08,,,,,,4.11,,,2022-06-15,9.9056248969604,9.6819272529104,9.1378707036048,9.3105561415332,9.3352576895231,162.00000000084,0.40383339511219,210.33216538819,,
2,2021-12-28,Moscow Exchange T+,98.93,99.0,6.999999999999318,98.965,99.48,98.43,99.48,99.0,98.98,98.95,,99.0,99.0,98.98,Avg,278124.0,31,281,7.5,2023-06-08,,,,,,3.9,,,2022-06-15,10.116899923992,10.241073156313,10.067287278256,10.067287278256,10.067287278256,163.00000000099,0.40554659891143,238.07614911666,,
3,2021-12-27,Moscow Exchange T+,99.06,99.09,3.0000000000001137,99.075,98.82,98.82,99.28,99.09,99.04,98.94,,99.09,99.09,99.04,Avg,152520.3,25,154,7.5,2023-06-08,,,,,,3.7,,,2022-06-15,9.9536797710895,9.9044624688029,9.8306963621903,9.8306963621903,9.8306963621903,164.00000000087,0.40864031966093,226.82519907728,,
4,2021-12-24,Moscow Exchange T+,98.82,99.0,18.000000000000682,98.91,98.28,98.28,99.0,99.0,98.91,98.91,,99.0,99.0,98.91,Avg,456952.6,22,462,7.5,2023-06-08,,,,,,3.08,,,2022-06-15,10.231200858748,10.450058037162,10.012975191156,10.012975191156,10.012975191156,167.00000000106,0.4150678238229,259.52150319724,,
5,2021-12-23,Moscow Exchange T+,98.9,99.0,9.999999999999432,98.95,99.07,98.9,99.3,98.9,99.11,98.95,,98.91,98.91,99.11,Avg,110009.9,15,111,7.5,2023-06-08,,,,,,2.88,,,2022-06-15,9.73432308687,10.23971125066,9.99862726159,10.23971125066,10.215568148973,168.00000000073,0.41944394393391,211.98156984095,,
6,2021-12-22,Moscow Exchange T+,98.72,98.96,23.99999999999949,98.84,98.73,98.72,99.0,98.72,98.8,98.97,,98.72,98.72,98.8,Avg,161038.0,21,163,7.5,2023-06-08,,,,,,2.67,,,2022-06-15,10.466980533802,10.65989018762,10.08263439097,10.65989018762,10.65989018762,169.00000000125,0.41914216935792,282.3557487388,,
7,2021-12-21,Moscow Exchange T+,98.8,98.98,18.000000000000682,98.89,98.98,98.81,99.0,98.98,98.98,98.98,,98.98,98.98,98.98,Avg,170241.9,18,172,7.5,2023-06-08,,,,,,2.47,,,2022-06-15,10.020448073548,10.450183338992,10.020448073548,10.020448073548,10.020448073548,170.0000000009,0.42333351010228,224.06225809448,,
8,2021-12-20,Moscow Exchange T+,98.71,98.98,27.000000000001023,98.845,99.31,98.34,99.32,98.99,99.11,98.78,,98.99,98.99,99.11,Avg,251750.7,25,254,7.5,2023-06-08,,,,,,2.26,,,2022-06-15,9.7016422517962,10.650520694511,10.008712696966,9.9850471093944,9.9850471093944,171.00000000071,0.42706120079,191.79993308908,,
9,2021-12-17,Moscow Exchange T+,98.71,98.77,6.000000000000227,98.74,98.28,98.28,98.88,98.71,98.56,98.65,,98.71,98.71,98.56,Avg,146849.7,26,149,7.5,2023-06-08,,,,,,1.64,,,2022-06-15,10.955764807353,10.60295480176,10.462294531589,10.60295480176,10.60295480176,174.00000000173,0.42964178526421,310.34586728281,,
10,2021-12-16,Moscow Exchange T+,98.71,98.97,26.00000000000051,98.84,98.52,98.4,99.33,98.73,98.92,98.68,,98.73,98.73,98.92,Avg,42533.7,11,43,7.5,2023-06-08,,,,,,1.44,,,2022-06-15,10.097550706316,10.58593096149,9.9817400493087,10.539280612841,10.539280612841,175.00000000094,0.43547931059433,205.96448881098,,
11,2021-12-15,Moscow Exchange T+,98.66,98.88,21.999999999999886,98.77,98.67,98.65,99.0,98.66,98.83,98.68,,98.66,98.66,98.83,Avg,47438.5,12,48,7.5,2023-06-08,,,,,,1.23,,,2022-06-15,10.293530118326,10.687531800457,10.178042852093,10.687531800457,10.687531800457,176.00000000108,0.43718954349142,221.53367022821,,
