,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,89.13,89.2,7.000000000000739,89.165,89.0,89.0,89.2,89.2,89.04,89.04,89.04,89.2,89.2,89.04,Avg,3056861.0,26,3433,6.59,2027-06-10,9.4032288046143,9.3792473769864,9.3606173341266,9.3606173341266,9.3606173341266,2.53,1677.1900160659,4.2000964597791,,,,,,,,,97.265984472887,,
1,2021-12-29,Moscow Exchange T+,88.92,88.94,1.999999999999602,88.93,88.99,88.71,89.03,88.94,88.93,88.93,88.93,88.94,88.94,88.93,Avg,3840174.8,200,4318,6.59,2027-06-10,9.4315094839183,9.4341793511025,9.4288400146908,9.4288400146908,9.4288400146908,2.35,1677.9675352707,4.2009576137524,,,,,,,,,95.383448914875,,
2,2021-12-28,Moscow Exchange T+,88.82,88.99,17.00000000000017,88.905,87.71,87.71,89.1,88.9,88.55,88.95,88.95,88.9,88.9,88.55,Avg,5659703.3,302,6363,6.59,2027-06-10,9.5321322555607,9.4598165636205,9.4144338151766,9.4384456451767,9.4384456451767,2.17,1678.1752861314,4.1976180096829,,,,,,,,,107.50590905573,,
3,2021-12-27,Moscow Exchange T+,88.75,88.93,18.000000000000682,88.84,88.83,88.52,88.93,88.93,88.52,88.85,,88.93,88.93,88.52,Avg,469186.8,44,528,6.59,2027-06-10,9.5390714819854,9.4774483280344,9.4293690219774,9.4293690219774,9.4293690219774,1.99,1679.1206123885,4.1997164871499,,,,,,,,,105.88812576145,,
4,2021-12-24,Moscow Exchange T+,88.72,88.73,1.0000000000005116,88.725,88.89,88.33,88.89,88.72,88.69,88.69,88.69,88.72,88.72,88.69,Avg,589775.3,38,665,6.59,2027-06-10,9.4904987698704,9.4824790710985,9.4798066371668,9.4824790710985,9.4824790710985,1.44,1682.5032108164,4.2100436929616,,,,,,,,,105.46574661152,,
5,2021-12-23,Moscow Exchange T+,88.51,88.73,21.999999999999886,88.62,88.48,88.12,88.73,88.73,88.4,88.4,88.4,88.73,88.73,88.4,Avg,8615060.5,28,9745,6.59,2027-06-10,9.5670906206256,9.5375867894129,9.4787247429273,9.4787247429273,9.4787247429273,1.26,1682.8998014261,4.2080923764173,,,,,,,,,106.17121872871,,
6,2021-12-22,Moscow Exchange T+,88.01,88.33,31.99999999999932,88.17,87.98,87.88,88.37,88.33,87.95,87.95,87.95,88.33,88.33,87.95,Avg,7651530.9,30,8700,6.59,2027-06-10,9.6871324393109,9.6709306668205,9.5847680188681,9.5847680188681,9.5847680188681,1.08,1682.9528815019,4.203619613162,,,,,,,,,113.50808694594,,
7,2021-12-21,Moscow Exchange T+,87.88,87.89,1.0000000000005116,87.885,87.56,87.4,87.92,87.89,87.56,87.56,87.56,87.89,87.89,87.56,Avg,16795278.1,74,19181,6.59,2027-06-10,9.7915975093326,9.7048830679704,9.7021799957128,9.7021799957128,9.7021799957128,0.9,1683.1276438519,4.20005603152,,,,,,,,,117.11227732408,,
8,2021-12-20,Moscow Exchange T+,87.45,87.55,9.999999999999432,87.5,87.53,87.43,87.56,87.55,87.55,87.55,87.55,87.55,87.55,87.55,Avg,2248275.6,47,2568,6.59,2027-06-10,9.7931103000387,9.8202879725581,9.7931103000387,9.7931103000387,9.7931103000387,0.72,1684.1156852028,4.2024636730747,,,,,,,,,117.67484475859,,
9,2021-12-17,Moscow Exchange T+,87.48,87.54,6.000000000000227,87.51,87.38,87.36,87.55,87.54,87.48,87.49,,87.54,87.54,87.48,Avg,428657.7,56,490,6.59,2027-06-10,9.8085105512306,9.8085105512306,9.7922261861447,9.7922261861447,9.7922261861447,0.18,1686.9939326269,4.2090555295556,,,,,,,,,119.42989657486,,
10,2021-12-16,Moscow Exchange T+,87.52,87.53,1.0000000000005116,87.525,87.53,87.31,87.54,87.53,87.51,87.51,,87.53,87.53,87.51,Avg,475158.2,63,543,6.59,2027-06-10,9.7991681128495,9.7964553526246,9.7937430038073,9.7937430038073,9.7937430038073,,1688.0677957141,4.2120931837806,,,,,,,,,108.52122698384,,
11,2021-12-15,Moscow Exchange T+,87.48,87.54,6.000000000000227,87.51,88.14,87.14,88.14,87.54,87.32,87.32,87.32,87.54,87.54,87.32,Avg,4301141.0,49,4926,6.59,2027-06-10,9.8493421379343,9.8058811684447,9.7896104995386,9.7896104995386,9.7896104995386,32.68,1627.4679794492,4.0590287527202,,,,,,,,,109.93708788649,,
12,2021-12-14,Moscow Exchange T+,87.53,87.54,1.0000000000005116,87.535,87.26,87.13,87.55,87.54,87.32,87.35,,87.54,87.54,87.32,Avg,376349.5,32,431,6.59,2027-06-10,9.8478981813532,9.7909022385175,9.7881926741808,9.7881926741808,9.7881926741808,32.5,1628.4825728506,4.0616126151416,,,,,,,,,108.72408163624,,
13,2021-12-13,Moscow Exchange T+,87.28,87.43,15.000000000000568,87.355,87.55,87.26,87.56,87.43,87.46,87.33,,87.43,87.43,87.46,Avg,99704.4,15,114,6.59,2027-06-10,9.8084561347221,9.8573292483826,9.8165923772281,9.8165923772281,9.8165923772281,32.32,1629.8810848996,4.0665607978162,,,,,,,,,107.89624382038,,
14,2021-12-10,Moscow Exchange T+,87.26,87.56,29.999999999999716,87.41,88.35,87.2,88.35,87.56,87.38,87.33,,87.56,87.56,87.38,Avg,89126.7,20,102,6.59,2027-06-10,9.8258753971248,9.8584395853239,9.7771402414813,9.7771402414813,9.7771402414813,31.78,1632.7051115472,4.0729606506623,,,,,,,,,114.30136600353,,
15,2021-12-09,Moscow Exchange T+,87.46,87.56,10.000000000000853,87.51,88.04,87.15,88.04,87.56,87.42,87.33,,87.56,87.56,87.42,Avg,69934.4,17,80,6.59,2027-06-10,9.8136155303958,9.8027852847476,9.7757384040649,9.7757384040649,9.7757384040649,31.6,1633.8289678456,4.0762192610653,,,,,,,,,111.26558309384,,
16,2021-12-08,Moscow Exchange T+,87.2,87.39,18.999999999999773,87.295,87.74,87.15,87.74,87.15,87.33,87.33,87.33,87.16,87.16,87.33,Avg,6743662.7,23,7722,6.59,2027-06-10,9.8365814525801,9.87185812851,9.8203234078546,9.8854446728436,9.88272653637,31.42,1634.5969359044,4.0772825504722,,,,,,,,,107.74372966055,,
17,2021-12-07,Moscow Exchange T+,87.39,87.62,23.0000000000004,87.505,87.76,87.38,87.76,87.38,87.52,87.64,,87.4,87.4,87.52,Avg,277452.7,46,317,6.59,2027-06-10,9.784017485694,9.8191777472804,9.7570182529927,9.8218852574254,9.8164706482505,31.23,1636.1278995609,4.0830553419689,,,,,,,,,103.19356484817,,
18,2021-12-06,Moscow Exchange T+,87.56,87.57,0.9999999999990904,87.565,87.77,87.57,87.77,87.57,87.71,87.68,,87.57,87.57,87.71,Avg,49996.6,18,57,6.59,2027-06-10,9.7313775776607,9.7718190419817,9.7691200855402,9.7691200855402,9.7691200855402,31.05,1637.6592504535,4.0888374606432,,,,,,,,,101.76230705442,,
19,2021-12-03,Moscow Exchange T+,87.75,87.76,1.0000000000005116,87.755,87.73,87.38,87.76,87.75,87.66,87.66,87.66,87.75,87.75,87.66,Avg,1357837.3,41,1549,6.59,2027-06-10,9.7407174891119,9.7165097528487,9.7138220373399,9.7165097528487,9.7165097528487,30.51,1640.5650004994,4.0957437989698,,,,,,,,,111.31649669091,,
20,2021-12-02,Moscow Exchange T+,87.74,87.75,1.0000000000005116,87.745,87.76,87.33,87.76,87.74,87.73,87.73,,87.75,87.75,87.73,Avg,163183.0,19,186,6.59,2027-06-10,9.7205230745705,9.7178357069914,9.7151487456275,9.7178357069914,9.7151487456275,30.33,1641.7687692436,4.0995034493297,,,,,,,,,108.9525361802,,
21,2021-12-01,Moscow Exchange T+,87.53,87.75,21.999999999999886,87.64,87.75,87.36,88.63,87.73,87.72,87.62,,87.73,87.73,87.72,Avg,350020.9,34,399,6.59,2027-06-10,9.7218490079889,9.7729720037767,9.7137903818189,9.7191623931674,9.7191623931674,30.15,1642.7553918275,4.1019174798169,,,,,,,,,109.03195443116,,
22,2021-11-30,Moscow Exchange T+,87.51,87.62,10.999999999999943,87.565,87.76,87.62,87.76,87.62,87.71,87.48,,87.62,87.62,87.71,Avg,15788.4,10,18,6.59,2027-06-10,9.723175675074,9.7769783857567,9.7473667377449,9.7473667377449,9.7473667377449,29.97,1643.7420067677,4.1043314054305,,,,,,,,,110.49113755095,,
23,2021-11-29,Moscow Exchange T+,87.56,87.75,18.999999999999773,87.655,87.46,87.4,87.76,87.75,87.46,87.46,87.46,87.75,87.75,87.46,Avg,4789387.0,44,5476,6.59,2027-06-10,9.7890678880864,9.7621373505234,9.7110815661422,9.7110815661422,9.7110815661422,29.79,1644.0769004548,4.102703813653,,,,,,,,,116.39128853441,,
