,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,95.88,96.0,12.000000000000457,95.94,94.45,94.44,97.01,96.0,96.09,95.75,,96.0,96.0,96.09,Avg,165278.3,30.0,172.0,5.65,2035-06-12,,,,,,0.31,,,2023-06-30,8.6781823311284,8.8423599246358,8.7484691611393,8.7484691611393,8.7484691611393,528.84998516338,1.3332060197015,38.516497446399,,
1,2021-12-29,Moscow Exchange T+,95.5,95.69,18.999999999999773,95.595,95.44,95.23,95.75,95.72,95.72,95.75,95.75,95.72,95.72,95.72,Avg,25138134.6,16.0,26254.0,5.65,2035-06-12,,,,,,0.15,,,2023-06-30,8.9627415680067,9.1355827607684,8.9862709378523,8.9627415680067,8.9627415680067,529.81849158425,1.3321594981013,59.511521724208,,
2,2021-12-28,Moscow Exchange T+,95.61,95.99,37.999999999999545,95.8,95.52,95.31,95.55,95.54,95.54,95.54,95.54,95.54,95.54,95.54,Avg,1454104.4,27.0,1522.0,5.65,2035-06-12,,,,,,,,,2023-06-30,9.0979751874766,9.0430441676313,8.746038226302,9.0979751874766,9.0979751874766,530.8035297685,1.3329818848077,78.30731274609,,
3,2021-12-27,Moscow Exchange T+,95.52,95.54,2.000000000001023,95.53,95.0,94.51,95.98,95.52,95.37,95.37,95.37,95.52,95.52,95.37,Avg,9275599.8,46.0,9726.0,5.65,2035-06-12,,,,,,28.02,,,2023-06-30,9.2247851862047,9.1070207935569,9.0913426537834,9.1070207935569,9.1070207935569,516.56242602742,1.2957128008539,91.728848568934,,
4,2021-12-24,Moscow Exchange T+,95.25,95.33,7.999999999999829,95.29,96.0,95.08,98.0,95.33,95.21,95.21,95.21,95.33,95.33,95.21,Avg,8560007.0,53.0,8991.0,5.65,2035-06-12,,,,,,27.55,,,2023-06-30,9.3311545413329,9.2998029016226,9.2371666567689,9.2371666567689,9.2371666567689,519.53005085909,1.3018887510381,106.11900929104,,
5,2021-12-23,Moscow Exchange T+,95.3,95.47,17.00000000000017,95.385,95.33,95.1,95.33,95.33,95.29,95.29,95.29,95.33,95.33,95.29,Avg,27352891.5,19.0,28705.0,5.65,2035-06-12,,,,,,27.4,,,2023-06-30,9.2615905293587,9.2537760646632,9.1211427470244,9.2303410181869,9.2303410181869,520.55122421557,1.3052782141165,101.34784563283,,
6,2021-12-22,Moscow Exchange T+,95.13,95.4,27.000000000001023,95.265,95.03,95.03,95.4,95.33,95.08,95.08,95.08,95.33,95.33,95.08,Avg,18331908.7,32.0,19281.0,5.65,2035-06-12,,,,,,27.24,,,2023-06-30,9.4196436851781,9.380509975561,9.1697892218266,9.224323329631,9.224323329631,521.50311463178,1.3057761919206,116.90475113839,,
7,2021-12-21,Moscow Exchange T+,95.02,95.09,7.000000000000739,95.055,95.06,94.8,95.09,95.09,94.95,94.95,94.95,95.09,95.09,94.95,Avg,8830812.5,20.0,9300.0,5.65,2035-06-12,,,,,,27.09,,,2023-06-30,9.5142407825695,9.4594366817691,9.4047009636893,9.4047009636893,9.4047009636893,522.47431594619,1.3070779396502,114.06898794537,,
8,2021-12-20,Moscow Exchange T+,94.84,95.0,15.99999999999966,94.92,94.37,94.37,95.08,95.0,94.77,94.77,94.77,95.0,95.0,94.77,Avg,7206400.0,19.0,7604.0,5.65,2035-06-12,,,,,,26.93,,,2023-06-30,9.6487229481516,9.5938419823119,9.4686570113349,9.4686570113349,9.4686570113349,523.4333691765,1.3078711603593,120.03255334304,,
9,2021-12-17,Moscow Exchange T+,94.81,94.98,17.00000000000017,94.895,95.07,94.56,95.07,94.98,94.59,94.59,94.56,94.98,94.98,94.59,Avg,5018176.7,9.0,5305.0,5.65,2035-06-12,,,,,,26.47,,,2023-06-30,9.7677271447754,9.5958601415172,9.463514780894,9.463514780894,9.463514780894,526.39712955322,1.3138505771209,121.02809738315,,
