,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,89.46,89.5,4.000000000000625,89.48,90.62,89.5,90.62,89.5,89.67,89.67,89.67,89.5,89.5,89.67,Avg,11889989.3,165.0,13259.0,6.6,2025-07-04,10.520749391632,10.603327368111,10.58757743592,10.58757743592,10.58757743592,15.01,1127.0514204233,2.7938754738326,,,,,,,,,211.98605727104,,
1,2021-12-29,Moscow Exchange T+,89.8,89.81,1.0000000000005116,89.805,89.99,89.8,90.0,89.81,89.82,89.82,89.82,89.81,89.81,89.82,Avg,8841749.0,99.0,9844.0,6.6,2025-07-04,10.459232480315,10.467061547277,10.46314671048,10.46314671048,10.46314671048,14.83,1128.2286598171,2.7983513507639,,,,,,,,,198.87224763081,,
2,2021-12-28,Moscow Exchange T+,89.89,90.12,23.0000000000004,90.005,89.41,89.35,90.51,89.89,89.85,89.85,89.85,89.89,89.89,89.85,Avg,10829746.0,147.0,12053.0,6.6,2025-07-04,10.4448108365,10.429178507551,10.339480083363,10.429178507551,10.429178507551,14.65,1129.2701969656,2.8013004206877,,,,,,,,,201.11556796257,,
3,2021-12-27,Moscow Exchange T+,89.41,89.5,9.000000000000341,89.455,89.46,89.36,90.33,89.5,89.46,89.46,89.46,89.5,89.5,89.46,Avg,8139321.5,121.0,9098.0,6.6,2025-07-04,10.594948987233,10.614607642102,10.579233069989,10.579233069989,10.579233069989,14.47,1129.8375138991,2.7989029082301,,,,,,,,,212.88844732896,,
4,2021-12-24,Moscow Exchange T+,89.46,89.76,30.000000000001137,89.61,89.5,89.3,89.97,89.45,89.57,89.57,89.57,89.56,89.56,89.57,Avg,7548983.3,168.0,8428.0,6.6,2025-07-04,10.543917531496,10.587020539051,10.46964005586,10.590942650353,10.547832943057,13.92,1132.9846449194,2.8079948581909,,,,,,,,,213.69745935945,,
5,2021-12-23,Moscow Exchange T+,89.51,89.89,37.999999999999545,89.7,90.5,89.45,90.5,89.89,89.7,89.7,89.7,89.86,89.86,89.7,Avg,5950449.8,116.0,6634.0,6.6,2025-07-04,10.490378626281,10.564672092975,10.41630371221,10.41630371221,10.427985267636,13.74,1134.138935005,2.8122176768237,,,,,,,,,201.23744997001,,
6,2021-12-22,Moscow Exchange T+,89.77,90.0,23.0000000000004,89.885,89.6,89.6,90.0,89.78,89.35,89.89,89.89,89.78,89.78,89.35,Avg,1478759.0,47.0,1645.0,6.6,2025-07-04,10.624619791215,10.460394407892,10.37091354552,10.456497308843,10.456497308843,13.56,1134.7519386671,2.8103232597529,,,,,,,,,208.33299215441,,
7,2021-12-21,Moscow Exchange T+,89.65,89.7,4.999999999999716,89.675,91.08,89.2,91.08,89.65,89.9,89.9,89.9,89.66,89.66,89.9,Avg,635601.4,62.0,707.0,6.6,2025-07-04,10.407153332217,10.504511397931,10.485009606101,10.504511397931,10.500609829783,13.38,1136.3786332784,2.8198952917505,,,,,,,,,176.74426034589,,
8,2021-12-20,Moscow Exchange T+,89.74,89.9,16.00000000000108,89.82,91.13,89.3,91.13,89.9,89.52,89.52,89.52,89.67,89.67,89.52,Avg,1177128.4,76.0,1315.0,6.6,2025-07-04,10.552561591808,10.466754940831,10.404533587732,10.404533587732,10.494025303567,13.2,1136.9597274487,2.8176263964783,,,,,,,,,187.68685570906,,
9,2021-12-17,Moscow Exchange T+,89.63,89.98,35.00000000000085,89.805,89.32,89.32,90.85,89.68,89.91,89.91,89.91,89.71,89.71,89.91,Avg,699524.9,54.0,778.0,6.6,2025-07-04,10.392835203327,10.501574773923,10.365723822827,10.482122393656,10.470458199451,12.66,1140.4198535571,2.8302905249206,,,,,,,,,168.10323147539,,
10,2021-12-16,Moscow Exchange T+,89.95,90.0,4.999999999999716,89.975,90.19,89.67,90.19,89.95,90.07,90.07,90.07,90.0,90.0,90.07,Avg,1204169.5,24.0,1337.0,6.6,2025-07-04,10.32836040267,10.374757527657,10.35541494668,10.374757527657,10.35541494668,12.48,1141.6054053517,2.8348885369493,,,,,,,,,154.89548842883,,
11,2021-12-15,Moscow Exchange T+,89.51,89.88,36.999999999999034,89.695,90.19,89.5,90.19,89.5,89.78,89.78,89.78,89.51,89.51,89.78,Avg,2488591.8,36.0,2772.0,6.6,2025-07-04,10.438011675722,10.542922054615,10.39926716779,10.546816067547,10.542922054615,12.3,1142.2897780595,2.8337716229163,,,,,,,,,163.98367902668,,
12,2021-12-14,Moscow Exchange T+,89.88,89.99,10.999999999999943,89.935,90.87,89.24,90.87,89.9,89.49,89.49,89.49,89.9,89.9,89.49,Avg,1172349.9,67.0,1310.0,6.6,2025-07-04,10.548014452297,10.396678074503,10.354158314076,10.388941833652,10.388941833652,12.12,1142.9728353203,2.8326446576626,,,,,,,,,172.98153381229,,
13,2021-12-13,Moscow Exchange T+,90.1,90.14,4.000000000000625,90.12,89.31,89.31,90.15,90.1,89.72,89.72,89.72,90.1,90.1,89.72,Avg,3817718.9,83.0,4255.0,6.6,2025-07-04,10.456414882964,10.309572854795,10.294165842954,10.309572854795,10.309572854795,11.93,1144.2367754548,2.8381287574292,,,,,,,,,168.59097669252,,
14,2021-12-10,Moscow Exchange T+,89.9,89.97,6.999999999999318,89.935,90.79,89.4,90.8,90.0,89.89,89.89,89.89,90.0,90.0,89.89,Avg,7974148.7,99.0,8871.0,6.6,2025-07-04,10.382909518344,10.379052531006,10.35207029005,10.340515394179,10.340515394179,11.39,1147.4484254593,2.8479900829254,,,,,,,,,162.9630015946,,
15,2021-12-09,Moscow Exchange T+,89.9,89.99,8.99999999999892,89.945,90.89,88.52,90.89,89.9,89.89,89.89,89.89,89.9,89.9,89.89,Avg,1664716.2,58.0,1852.0,6.6,2025-07-04,10.38035259519,10.376498318071,10.341836589024,10.376498318071,10.376498318071,11.21,1148.4557853721,2.8505564011362,,,,,,,,,162.00904988677,,
16,2021-12-08,Moscow Exchange T+,89.8,90.51,71.0000000000008,90.155,90.9,88.97,90.9,90.5,89.49,89.49,89.49,90.07,90.07,89.49,Avg,1193732.7,87.0,1334.0,6.6,2025-07-04,10.532353993313,10.412492506329,10.140122635781,10.143938223438,10.308564129295,11.03,1149.0179751773,2.8480298652927,,,,,,,,,173.03104209069,,
17,2021-12-07,Moscow Exchange T+,90.21,90.87,66.00000000000108,90.54,91.1,88.15,91.1,90.2,89.67,89.81,,90.2,90.2,89.67,Avg,373929.2,56.0,417.0,6.6,2025-07-04,10.460082285713,10.252386444138,10.000866992883,10.256216970012,10.256216970012,10.85,1150.2262120452,2.8528900443726,,,,,,,,,166.36521581098,,
18,2021-12-06,Moscow Exchange T+,89.9,89.94,3.999999999999204,89.92,90.02,89.94,90.64,89.94,90.11,90.14,,89.94,89.94,90.11,Avg,476707.0,67.0,529.0,6.6,2025-07-04,10.288238129512,10.36887095898,10.35349218264,10.35349218264,10.35349218264,10.67,1151.7208202917,2.8610480692811,,,,,,,,,151.70213163561,,
19,2021-12-03,Moscow Exchange T+,90.21,90.39,18.000000000000682,90.3,90.96,90.19,90.96,90.2,90.33,90.33,90.33,90.33,90.33,90.33,Avg,1119192.6,55.0,1239.0,6.6,2025-07-04,10.196814987699,10.242607285463,10.173950470356,10.246427124309,10.196814987699,10.13,1154.9836548685,2.8715337923467,,,,,,,,,147.29926369946,,
20,2021-12-02,Moscow Exchange T+,90.16,90.39,23.0000000000004,90.275,89.47,89.47,90.5,90.16,90.26,90.26,90.26,90.16,90.16,90.26,Avg,1909976.5,59.0,2116.0,6.6,2025-07-04,10.221099530584,10.259268402648,10.171567593711,10.259268402648,10.259268402648,9.95,1155.9138591939,2.8732132948682,,,,,,,,,150.02201329871,,
21,2021-12-01,Moscow Exchange T+,90.15,90.18,3.0000000000001137,90.165,90.49,89.67,90.49,90.15,90.19,90.19,90.19,90.15,90.15,90.19,Avg,980320.8,40.0,1087.0,6.6,2025-07-04,10.245762783419,10.261029338698,10.249578541722,10.261029338698,10.261029338698,9.76,1156.8429598676,2.874879439119,,,,,,,,,152.38933952975,,
22,2021-11-30,Moscow Exchange T+,89.95,89.96,0.9999999999990904,89.955,89.46,89.46,91.09,89.96,89.98,89.28,,89.96,89.96,89.98,Avg,44088.8,25.0,49.0,6.6,2025-07-04,10.323536448243,10.335014589734,10.331187952678,10.331187952678,10.331187952678,9.58,1157.6192839863,2.8747806535754,,,,,,,,,161.01374622446,,
23,2021-11-29,Moscow Exchange T+,89.79,89.95,15.99999999999966,89.87,89.96,89.48,90.97,89.86,89.72,89.24,,89.86,89.86,89.72,Avg,128306.6,44.0,143.0,6.6,2025-07-04,10.420646263031,10.393795626133,10.332531608775,10.366974007239,10.366974007239,9.4,1158.3397839326,2.8740401021112,,,,,,,,,171.44266718286,,
24,2021-11-26,Moscow Exchange T+,89.13,89.95,82.00000000000074,89.54,90.97,89.0,90.97,89.95,89.07,89.07,89.07,89.86,89.86,89.07,Avg,1060819.2,66.0,1191.0,6.6,2025-07-04,10.663250826954,10.640049285714,10.325116939793,10.325116939793,10.359487849063,8.86,1160.6404876431,2.8734353352942,,,,,,,,,181.99875467191,,
25,2021-11-25,Moscow Exchange T+,89.76,89.95,18.999999999999773,89.855,91.57,89.02,91.57,89.95,89.82,89.64,,89.95,89.95,89.82,Avg,238015.7,45.0,265.0,6.6,2025-07-04,10.372284641155,10.39522342397,10.322656743445,10.322656743445,10.322656743445,8.68,1162.4790072986,2.8855740396727,,,,,,,,,151.78834447809,,
26,2021-11-24,Moscow Exchange T+,89.5,89.57,6.999999999999318,89.535,90.01,89.05,90.87,89.65,89.61,89.58,,89.65,89.65,89.61,Avg,90508.5,30.0,101.0,6.6,2025-07-04,10.450119278613998,10.492297672429,10.465448566578,10.434799474602,10.434799474602,8.5,1163.2549082211,2.8854651940318,,,,,,,,,150.54837826019,,
27,2021-11-23,Moscow Exchange T+,89.73,90.37,64.00000000000006,90.05,86.0,86.0,90.5,90.38,89.34,89.34,89.34,89.99,89.99,89.34,Avg,791575.1,118.0,886.0,6.6,2025-07-04,10.551166652681,10.401681520042,10.158313992847,10.154530338805,10.302524198787,8.32,1163.9637486439,2.8845844631612,,,,,,,,,152.36399023171,,
28,2021-11-22,Moscow Exchange T+,90.7,90.8,9.999999999999432,90.75,91.16,90.8,91.71,90.8,90.93,91.36,,90.8,90.8,90.93,Avg,150039.8,74.0,165.0,6.6,2025-07-04,9.9451295531204,10.031510737112,9.9939164630128,9.9939164630128,9.9939164630128,8.14,1166.7061423631,2.9073185847784,,,,,,,,,96.39725568432,,
29,2021-11-19,Moscow Exchange T+,91.45,91.69,23.99999999999949,91.57,91.01,91.01,91.7,91.68,91.46,91.42,,91.6,91.6,91.46,Avg,203044.4,61.0,222.0,6.6,2025-07-04,9.7414659239116,9.7451777081977,9.6562496068285,9.6599485102458,9.6895598524046,7.59,1170.2896066709,2.9216603477959,,,,,,,,,104.09373467317,,
30,2021-11-18,Moscow Exchange T+,91.41,91.64,23.0000000000004,91.525,91.01,91.01,91.9,91.42,91.38,91.38,91.38,91.42,91.42,91.38,Avg,1078283.1,45.0,1180.0,6.6,2025-07-04,9.7691219298081,9.7579840614854,9.6727614746081,9.754272562894,9.754272562894,7.41,1171.2104381713,2.9232225461993,,,,,,,,,112.56352212293,,
31,2021-11-17,Moscow Exchange T+,91.43,91.57,13.999999999998636,91.5,92.18,91.4,92.18,91.4,91.55,91.93,,91.41,91.41,91.55,Avg,160213.7,64.0,175.0,6.6,2025-07-04,9.7040679617293,9.7485251238538,9.6966662740861,9.7596520324464,9.7559425014141,7.23,1172.3966318184,2.9279183774173,,,,,,,,,118.06230175703,,
32,2021-11-16,Moscow Exchange T+,91.61,91.79,18.000000000000682,91.7,91.6,91.6,92.2,91.8,91.95,91.95,91.95,91.8,91.8,91.95,Avg,3296576.5,85.0,3585.0,6.6,2025-07-04,9.5545567754778,9.6798832819632,9.6134539543238,9.6097687209591,9.6097687209591,7.05,1173.824147238,2.9354840751773,,,,,,,,,103.42743195875,,
33,2021-11-15,Moscow Exchange T+,91.95,92.0,4.999999999999716,91.975,91.82,91.82,92.53,92.0,92.12,92.09,,92.0,92.0,92.12,Avg,362970.4,56.0,394.0,6.6,2025-07-04,9.4902795523334,9.5526602975838,9.5342964715638,9.5342964715638,9.5342964715638,6.87,1175.0077684714,2.9401690988802,,,,,,,,,108.52045871947,,
34,2021-11-12,Moscow Exchange T+,92.0,92.14,14.000000000000057,92.07,92.23,92.0,92.3,92.0,92.11,92.11,92.11,92.0,92.0,92.11,Avg,1319910.3,52.0,1433.0,6.6,2025-07-04,9.4884016330687,9.5286715866809,9.4774304567222,9.5286715866809,9.5286715866809,6.33,1178.0131315592,2.9477398418552,,,,,,,,,112.53317428801,,
35,2021-11-11,Moscow Exchange T+,92.2,92.23,3.0000000000001137,92.215,92.46,92.0,92.51,92.0,92.42,92.42,92.42,92.03,92.03,92.42,Avg,4512666.2,52.0,4883.0,6.6,2025-07-04,9.3735080193111,9.4536863763446,9.4427373996288,9.5268056278762,9.5158237377447,6.15,1179.3410819459,2.9541627729591,,,,,,,,,110.88967651856,,
36,2021-11-10,Moscow Exchange T+,91.71,91.75,4.000000000000625,91.73,92.46,91.5,92.46,91.8,92.02,92.02,92.02,91.8,91.8,92.02,Avg,2237895.9,72.0,2432.0,6.6,2025-07-04,9.5176272823873,9.6312864885065,9.6165909580343,9.5982339968541,9.5982339968541,5.97,1179.9296568285,2.9517476515225,,,,,,,,,118.80879817502,,
37,2021-11-09,Moscow Exchange T+,92.45,92.58,12.999999999999543,92.515,92.02,92.0,92.8,92.45,92.1,92.1,92.1,92.53,92.53,92.1,Avg,1883488.2,51.0,2045.0,6.6,2025-07-04,9.4865494084756,9.3590978653904,9.3119284288875,9.3590978653904,9.3300596822355,5.79,1181.0184211787,2.9553099671332,,,,,,,,,113.62850911964,,
38,2021-11-08,Moscow Exchange T+,92.09,92.34,25.0,92.215,92.33,91.83,92.58,92.33,92.12,92.12,92.12,92.33,92.33,92.12,Avg,4655969.6,119.0,5054.0,6.6,2025-07-04,9.4774254035356,9.4883703064516,9.3973130146505,9.4009487628474,9.4009487628474,5.61,1182.0444764213,2.9581240202311,,,,,,,,,103.37654552102,,
39,2021-11-05,Moscow Exchange T+,92.43,92.64,20.999999999999375,92.535,92.68,92.35,92.68,92.45,92.48,92.19,,92.5,92.5,92.48,Avg,130396.9,43.0,141.0,6.6,2025-07-04,9.3416523511046,9.3597622706664,9.2837913758179,9.3525166792895,9.3344121699036,5.06,1185.431950772,2.9702850646608,,,,,,,,,87.167752936372,,
40,2021-11-03,Moscow Exchange T+,92.68,92.91,22.999999999998977,92.795,92.25,91.7,93.02,92.69,91.86,91.86,91.86,92.69,92.69,91.86,Avg,1620366.6,149.0,1764.0,6.6,2025-07-04,9.5634424870011,9.2660120140816,9.1832383766297,9.2624072641289,9.2624072641289,4.7,1186.7987551019,2.9676901024913,,,,,,,,,105.53770991486,,
41,2021-11-02,Moscow Exchange T+,93.11,93.33,21.999999999999886,93.22,93.37,92.05,93.37,93.37,93.33,93.33,93.33,93.36,93.36,93.33,Avg,964118.2,43.0,1033.0,6.6,2025-07-04,9.0313079122923,9.1099323117286,9.0313079122923,9.0170400486881,9.0206062235712,4.52,1189.3158605437,2.9884990653777,,,,,,,,,57.181893669791,,
42,2021-11-01,Moscow Exchange T+,92.75,92.98,23.0000000000004,92.865,92.49,92.37,93.39,92.98,92.9,92.11,,92.98,92.98,92.9,Avg,246176.2,53.0,265.0,6.6,2025-07-04,9.1836175754305,9.2375043358246,9.1549270575302,9.1549270575302,9.1549270575302,4.34,1189.8823655284,2.985751671149,,,,,,,,,74.421381308723,,
43,2021-10-29,Moscow Exchange T+,92.07,92.46,39.00000000000006,92.265,92.13,92.0,92.62,92.47,92.02,92.02,92.02,92.31,92.31,92.02,Avg,2157901.7,94.0,2345.0,6.6,2025-07-04,9.4960566612521,9.4779201638122,9.3369206626646,9.3333160912648,9.3910538992851,3.8,1191.9912692518,2.9825087810264,,,,,,,,,106.55807542286,,
44,2021-10-28,Moscow Exchange T+,91.84,91.99,14.999999999999147,91.915,92.0,91.9,92.73,91.99,92.19,92.19,92.19,91.99,91.99,92.19,Avg,3399939.1,118.0,3688.0,6.6,2025-07-04,9.4326893060744,9.5596178265375,9.5051382447817,9.5051382447817,9.5051382447817,3.62,1193.1721977992,2.9871923519436,,,,,,,,,100.66164369827,,
45,2021-10-27,Moscow Exchange T+,92.46,92.73,27.000000000001023,92.595,93.19,92.01,93.3,92.72,92.5,92.51,,92.72,92.72,92.5,Avg,490233.4,143.0,530.0,6.6,2025-07-04,9.3191409431047,9.3335368853686,9.2365306861011,9.2401165544432,9.2401165544432,3.44,1194.4961493647,2.9936131603372,,,,,,,,,111.02174983137,,
46,2021-10-26,Moscow Exchange T+,93.0,93.19,18.999999999999773,93.095,93.93,92.8,93.93,93.19,93.15,93.15,93.15,93.19,93.19,93.15,Avg,634356.3,101.0,681.0,6.6,2025-07-04,9.0852382314721,9.13871279128,9.0709984082378,9.0709984082378,9.0709984082378,3.25,1196.1624348686,3.0042170773378,,,,,,,,,88.306938627985,,
47,2021-10-25,Moscow Exchange T+,93.11,93.36,25.0,93.235,93.41,93.0,94.35,93.36,93.1,93.1,93.1,93.36,93.36,93.1,Avg,1235449.2,107.0,1327.0,6.6,2025-07-04,9.1015194832915,9.097958451958,9.0091037570965,9.0091037570965,9.0091037570965,3.07,1197.1161019526,3.0061635785357,,,,,,,,,94.230304292105,,
48,2021-10-22,Moscow Exchange T+,93.31,93.4,9.000000000000341,93.355,93.94,93.11,94.19,93.4,93.73,93.73,,93.4,93.4,93.73,Avg,458345.4,79.0,489.0,6.6,2025-07-04,8.8740718574303,9.0224275702088,8.990559649305,8.990559649305,8.990559649305,2.53,1200.7627551941,3.0216202232635,,,,,,,,,101.4269114723,,
49,2021-10-21,Moscow Exchange T+,93.74,93.75,1.0000000000005116,93.745,93.87,93.74,94.2,93.75,93.93,93.93,93.93,93.75,93.75,93.93,Avg,537283.6,61.0,572.0,6.6,2025-07-04,8.8024253817359,8.8691842919364,8.8656660166831,8.8656660166831,8.8656660166831,2.35,1201.9661783327,3.0266402713685,,,,,,,,,122.44366351031,,
50,2021-10-20,Moscow Exchange T+,94.09,94.1,0.9999999999990904,94.095,94.16,93.79,94.2,94.1,94.1,94.1,94.1,94.1,94.1,94.1,Avg,5822977.3,43.0,6188.0,6.6,2025-07-04,8.741571147623,8.7450691051922,8.741571147623,8.741571147623,8.741571147623,2.17,1203.1388562381,3.0312885902059,,,,,,,,,124.90706982397,,
51,2021-10-19,Moscow Exchange T+,94.04,94.1,5.999999999998806,94.07,93.85,93.0,94.16,94.04,93.98,93.98,93.98,94.04,94.04,93.98,Avg,1409682.6,61.0,1500.0,6.6,2025-07-04,8.7822761834352,8.7612760384687,8.7402943474954,8.7612760384687,8.7612760384687,1.99,1204.0233635157,3.0323819856976,,,,,,,,,129.8529708582,,
52,2021-10-18,Moscow Exchange T+,94.07,94.16,9.000000000000341,94.115,94.78,94.06,94.81,94.16,94.16,94.2,,94.16,94.16,94.16,Avg,388881.8,57.0,413.0,6.6,2025-07-04,8.7180713226486,8.7495025688375,8.7180713226486,8.7180713226486,8.7180713226486,1.81,1205.2055131489,3.0371518484148,,,,,,,,,121.20131840948,,
53,2021-10-15,Moscow Exchange T+,94.22,94.4,18.000000000000682,94.31,93.98,93.82,94.9,94.4,94.16,94.16,94.16,94.4,94.4,94.16,Avg,4874583.9,80.0,5177.0,6.6,2025-07-04,8.7143118416302,8.693421581441001,8.6308605718107,8.6308605718107,8.6308605718107,1.27,1208.2161755478,3.044844093474,,,,,,,,,130.31134131636,,
54,2021-10-14,Moscow Exchange T+,93.98,93.99,0.9999999999990904,93.985,94.0,93.96,94.0,93.99,93.98,93.99,,93.99,93.99,93.98,Avg,287585.4,46.0,306.0,6.6,2025-07-04,8.7761543709299,8.7761543709299,8.7726644179875,8.7726644179875,8.7726644179875,1.08,1209.0407356932,3.0451898128946,,,,,,,,,140.40491533619,,
55,2021-10-13,Moscow Exchange T+,93.97,94.0,3.0000000000001137,93.985,93.91,93.91,94.49,94.0,94.03,94.03,94.03,94.0,94.0,94.03,Avg,1523293.8,98.0,1620.0,6.6,2025-07-04,8.7574367404973,8.7783582489073,8.7678951957009,8.7678951957009,8.7678951957009,0.9,1210.0938457108,3.0483668097086,,,,,,,,,137.52422372456,,
56,2021-10-12,Moscow Exchange T+,94.21,94.34,13.000000000000966,94.275,95.97,93.5,95.97,94.32,94.28,94.47,,94.31,94.31,94.28,Avg,395989.0,70.0,420.0,6.6,2025-07-04,8.6692480747111,8.6935533781707,8.6484347255776,8.655370483041901,8.6588391211705,0.72,1211.3439543255,3.0539923838566,,,,,,,,,125.68438199072,,
57,2021-10-11,Moscow Exchange T+,94.76,94.83,6.999999999999318,94.795,95.97,94.2,95.97,94.85,94.43,94.43,94.43,94.85,94.85,94.43,Avg,15968547.8,83.0,16911.0,6.6,2025-07-04,8.616072552607699,8.5021473493782,8.478051586898,8.4711715793138,8.4711715793138,0.54,1212.4946670886,3.0583900885332,,,,,,,,,122.08797966558,,
58,2021-10-08,Moscow Exchange T+,94.4,94.45,4.999999999999716,94.425,95.98,94.16,95.98,94.4,94.34,94.34,94.34,94.41,94.41,94.34,Avg,9700058.3,67.0,10282.0,6.6,2025-07-04,8.6436677267081,8.6229263530095,8.6056557303723,8.6229263530095,8.6194712214196,,1215.4164644982,3.0649813206687,,,,,,,,,128.46806009206,,
59,2021-10-07,Moscow Exchange T+,94.11,94.3,18.999999999999773,94.205,95.37,94.04,95.37,94.31,94.18,94.18,94.18,94.31,94.31,94.18,Avg,559424.6,100.0,594.0,6.6,2025-07-04,8.6977171433499,8.7219789048713,8.6561832418191,8.652725367019,8.652725367019,16.27,1195.4020124461,3.0130108458327,,,,,,,,,127.65035088074,,
60,2021-10-06,Moscow Exchange T+,94.2,94.38,17.99999999999926,94.29,94.53,94.0,94.7,94.38,94.14,94.41,,94.35,94.35,94.14,Avg,301235.6,108.0,320.0,6.6,2025-07-04,8.7102224249179,8.689448038163599,8.627233977748599,8.627233977748599,8.6375916437774,16.09,1196.3593041272,3.0150768258248,,,,,,,,,121.16315454079,,
61,2021-10-05,Moscow Exchange T+,94.6,94.7,10.000000000000853,94.65,94.71,94.54,95.39,94.7,94.74,94.79,,94.7,94.7,94.74,Avg,273797.8,52.0,289.0,6.6,2025-07-04,8.5020794124145,8.5501691725533,8.515809363653,8.515809363653,8.515809363653,15.91,1198.0694740327,3.025178999714,,,,,,,,,102.27985122786,,
