,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,95.37,95.9,53.000000000000114,95.635,95.95,95.73,95.96,95.9,95.89,95.89,95.89,95.9,95.9,95.89,Avg,956939.5,27.0,998.0,5.74,2023-07-21,8.7995687800409,9.1919406115196,8.7920581615703,8.7920581615703,8.7920581615703,25.16,537.26031985554,1.352896981395,,,,,,,,,50.282152025819,,
1,2021-12-29,Moscow Exchange T+,95.51,95.74,22.999999999998977,95.625,95.35,95.04,95.58,95.56,95.47,95.47,95.47,95.55,95.55,95.47,Avg,3512164.6,63.0,3679.0,5.74,2023-07-21,9.1106024159326,9.080398783241,8.9071386140048,9.0426740548325,9.0502163525061,25.0,538.1644460887,1.3513106034815,,,,,,,,,73.859560806193,,
2,2021-12-28,Moscow Exchange T+,95.32,95.35,3.0000000000001137,95.335,95.36,94.9,95.36,95.35,95.12,95.35,95.35,95.35,95.35,95.12,Avg,5561701.0,84.0,5833.0,5.74,2023-07-21,9.3689894462877,9.2175204913355,9.1948460715468,9.1948460715468,9.1948460715468,24.85,539.08477312383,1.3504235445334,,,,,,,,,104.94489324716,,
3,2021-12-27,Moscow Exchange T+,95.25,95.3,4.999999999999716,95.275,94.89,94.88,95.4,95.3,95.1,95.37,95.37,95.3,95.3,95.1,Avg,2069546.0,40.0,2170.0,5.74,2023-07-21,9.3781211094856,9.2646278816432,9.2268632889017,9.2268632889017,9.2268632889017,24.69,540.08195694878,1.3528085684514,,,,,,,,,105.4030112704,,
4,2021-12-24,Moscow Exchange T+,95.35,95.4,5.000000000001137,95.375,95.33,95.3,95.42,95.4,95.36,95.36,,95.4,95.4,95.36,Avg,423413.8,21.0,444.0,5.74,2023-07-21,9.1638758025197,9.1713787645787,9.1338770985392,9.1338770985392,9.1338770985392,24.22,543.14802138254,1.3631586089917,,,,,,,,,87.840522201162,,
5,2021-12-23,Moscow Exchange T+,95.2,95.3,9.999999999999432,95.25,96.69,95.25,96.69,95.3,95.43,95.43,95.43,95.3,95.3,95.43,Avg,5814327.0,21.0,6093.0,5.74,2023-07-21,9.1058754728506,9.2782661950005,9.2032283284738,9.2032283284738,9.2032283284738,24.06,544.1659033915,1.36643923371,,,,,,,,,83.694726246082,,
6,2021-12-22,Moscow Exchange T+,95.3,95.37,7.000000000000739,95.335,95.3,95.25,95.38,95.37,95.31,95.31,95.31,95.37,95.37,95.31,Avg,1631670.0,11.0,1712.0,5.74,2023-07-21,9.1900828610103,9.197566477465,9.1452086678162,9.1452086678162,9.1452086678162,23.9,545.13994110726,1.3678294274458,,,,,,,,,91.573106329525,,
7,2021-12-21,Moscow Exchange T+,95.1,95.28,18.000000000000682,95.19,95.03,94.75,95.27,95.1,95.05,95.05,95.05,95.15,95.15,95.05,Avg,2662303.5,52.0,2801.0,5.74,2023-07-21,9.3783713699355,9.3408675370121,9.2061256145493,9.3408675370121,9.303396579425,23.75,546.08187975957,1.3678341708044,,,,,,,,,98.163896769326,,
8,2021-12-20,Moscow Exchange T+,94.62,94.8,17.99999999999926,94.71,94.97,94.3,94.97,94.8,94.38,94.38,94.38,94.8,94.8,94.38,Avg,6633210.0,84.0,7028.0,5.74,2023-07-21,9.8773084403623,9.6957731866494,9.5601247001592,9.5601247001592,9.5601247001592,23.59,546.92796281312,1.3637326906709,,,,,,,,,140.46490549505,,
9,2021-12-17,Moscow Exchange T+,94.7,94.8,9.999999999999432,94.75,94.79,94.53,94.8,94.7,94.61,94.61,94.61,94.7,94.7,94.61,Avg,599806.1,40.0,634.0,5.74,2023-07-21,9.6832028692766,9.6156635782286,9.5407450644142,9.6156635782286,9.6156635782286,23.12,549.9878531979,1.3737892373133,,,,,,,,,110.25539071156,,
10,2021-12-16,Moscow Exchange T+,94.5,94.83,32.99999999999983,94.665,95.19,93.52,95.19,94.83,93.65,93.65,93.65,94.83,94.83,93.65,Avg,8596130.9,60.0,9179.0,5.74,2023-07-21,10.40268197801,9.7593515241502,9.5121742005303,9.5121742005303,9.5121742005303,22.96,550.76579239605,1.3667669565564,,,,,,,,,175.70233128745,,
11,2021-12-15,Moscow Exchange T+,94.45,94.51,6.000000000000227,94.48,94.93,94.44,94.93,94.51,94.6,94.45,,94.51,94.51,94.6,Avg,225143.9,21.0,238.0,5.74,2023-07-21,9.6779076148214,9.790345050262,9.745334491494,9.745334491494,9.745334491494,22.8,551.98948682871,1.3788555934394,,,,,,,,,99.566928864111,,
12,2021-12-14,Moscow Exchange T+,94.13,94.4,27.000000000001023,94.265,95.09,93.99,95.09,94.4,94.19,94.19,94.19,94.4,94.4,94.19,Avg,2124830.2,47.0,2256.0,5.74,2023-07-21,9.9782977757683,10.023484627188,9.8205195192499,9.8205195192499,9.8205195192499,22.65,552.89679756918,1.3773496929852,,,,,,,,,125.97314737895,,
