,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,94.73,94.74,0.9999999999990904,94.735,94.8,94.5,95.0,94.74,94.74,94.74,94.74,94.73,94.73,94.74,Avg,3111207.6,81.0,3284.0,5.25,2023-07-05,9.3629256018828,9.3708584037876,9.3629256018828,9.3629256018828,9.3708584037876,0.86,530.69890436014,1.3294904036123,,,,,,,,,106.90752274717,,
1,2021-12-29,Moscow Exchange T+,94.69,94.8,10.999999999999943,94.745,94.77,94.49,94.89,94.8,94.51,94.51,94.51,94.8,94.8,94.51,Avg,34333085.5,80.0,36328.0,5.25,2023-07-05,9.5380896148032,9.3952082765847,9.3081204792053,9.3081204792053,9.3081204792053,0.72,531.6667205685,1.3297850614017,,,,,,,,,116.94774343451,,
2,2021-12-28,Moscow Exchange T+,94.65,94.77,11.999999999999034,94.71,94.5,94.5,94.87,94.77,94.77,94.77,94.77,94.77,94.77,94.77,Avg,1029212.9,21.0,1086.0,5.25,2023-07-05,9.3246027588945,9.4194966684039,9.3246027588945,9.3246027588945,9.3246027588945,0.58,532.70594553329,1.3349861852648,,,,,,,,,100.86188500579,,
3,2021-12-27,Moscow Exchange T+,94.73,94.75,1.999999999999602,94.74,94.12,93.85,94.96,94.73,94.66,94.66,94.66,94.73,94.73,94.66,Avg,5660782.4,88.0,5980.0,5.25,2023-07-05,9.404992425139,9.3497210878049,9.3339420945716,9.3497210878049,9.3497210878049,0.43,533.69117525936,1.3364724689788,,,,,,,,,108.52423612634,,
4,2021-12-24,Moscow Exchange T+,94.66,94.7,4.000000000000625,94.68,93.9,93.9,94.94,94.7,94.87,94.87,94.87,94.7,94.7,94.87,Avg,1383148.6,27.0,1458.0,5.25,2023-07-05,9.2190943875473,9.3838159225934,9.352392364768,9.352392364768,9.352392364768,,536.72533075916,1.3463583144413,,,,,,,,,93.76680824874,,
5,2021-12-23,Moscow Exchange T+,94.72,94.75,3.0000000000001137,94.735,93.8,93.8,94.9,94.75,94.69,94.69,94.69,94.75,94.75,94.69,Avg,1615367.7,28.0,1706.0,5.25,2023-07-05,9.3529389799599,9.3294241144817,9.3059219394027,9.3059219394027,9.3059219394027,4.32,535.18491849538,1.3408510684299,,,,,,,,,109.17246227789,,
6,2021-12-22,Moscow Exchange T+,94.35,94.78,43.00000000000068,94.565,94.84,94.25,94.84,94.7,94.53,94.54,,94.74,94.74,94.53,Avg,409334.1,41.0,433.0,5.25,2023-07-05,9.4718488286924,9.6133623030046,9.2760620402065,9.3386180238217,9.3073287854421,4.17,536.15916858641,1.3418328499252,,,,,,,,,120.63404131707,,
7,2021-12-21,Moscow Exchange T+,94.3,94.8,50.0,94.55,93.6,93.6,94.83,94.2,94.48,94.48,94.48,94.44,94.44,94.48,Avg,35220192.0,47.0,37278.0,5.25,2023-07-05,9.5035681710764,9.6449562076328,9.2533404867431,9.7237038032553,9.5349480891591,4.03,537.15229946755,1.3439289331909,,,,,,,,,111.54203435803,,
8,2021-12-20,Moscow Exchange T+,93.74,93.97,23.0000000000004,93.855,93.41,93.41,93.97,93.97,93.66,93.66,93.66,93.97,93.97,93.66,Avg,4578866.0,20.0,4889.0,5.25,2023-07-05,10.143535585267,10.080019528499,9.8979234875099,9.8979234875099,9.8979234875099,3.88,538.01368168555,1.3382629120968,,,,,,,,,167.98557590282,,
9,2021-12-17,Moscow Exchange T+,93.5,93.99,48.99999999999949,93.745,93.41,93.31,93.65,93.65,93.4,93.4,93.4,93.63,93.63,93.4,Avg,11512022.3,39.0,12326.0,5.25,2023-07-05,10.324475712591,10.245144294072,9.8584933999528,10.126416953552,10.142228602032,3.45,540.97448055973,1.3434207187246,,,,,,,,,175.24259675866,,
