,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,93.82,93.83,1.0000000000005116,93.825,93.2,93.02,94.0,93.83,93.51,93.51,93.51,93.83,93.83,93.51,Avg,5809889.5,403,6213,10.75,2026-07-14,,,,,,48.01,,,2023-07-21,16.226265839234998,15.96405707561,15.955623414744,15.955623414744,15.955623414744,508.72084374083,1.1991744948634,794.28224644621,,
1,2021-12-29,Moscow Exchange T+,93.18,93.19,0.9999999999990904,93.185,92.99,90.16,93.19,93.18,92.32,92.32,92.32,93.18,93.18,92.32,Avg,9450025.5,425,10236,10.75,2026-07-14,,,,,,47.71,,,2023-07-21,17.236113378901997,16.497655585319,16.489137455936,16.497655585319,16.497655585319,509.21733355072,1.190005316725,888.01129338745,,
2,2021-12-28,Moscow Exchange T+,92.66,92.67,1.0000000000005116,92.665,93.87,92.09,93.87,92.66,93.28,93.28,93.28,92.66,92.66,93.28,Avg,6213050.8,504,6661,10.75,2026-07-14,,,,,,47.42,,,2023-07-21,16.402513950204998,16.931798575482,16.923213715455,16.931798575482,16.931798575482,510.63296766037,1.2018592936444,809.97080723336,,
3,2021-12-27,Moscow Exchange T+,93.5,93.64,14.000000000000057,93.57,93.22,93.11,94.4,93.64,93.72,93.72,93.72,93.64,93.64,93.72,Avg,6882866.6,484,7344,10.75,2026-07-14,,,,,,47.12,,,2023-07-21,16.022035082299,16.207333514596,16.08933029969,16.08933029969,16.08933029969,511.82267097821,1.2086099783514,771.80948779929,,
4,2021-12-24,Moscow Exchange T+,93.18,93.22,3.999999999999204,93.2,90.9,90.01,93.22,93.22,92.56,92.56,92.56,93.22,93.22,92.56,Avg,4274255.1,445,4618,10.75,2026-07-14,,,,,,46.24,,,2023-07-21,16.975490724973998,16.448920488994002,16.415153311942,16.415153311942,16.415153311942,514.34728158872,1.20467170153,870.91702747218,,
5,2021-12-23,Moscow Exchange T+,90.7,90.87,17.00000000000017,90.785,89.74,89.0,90.87,90.87,89.74,89.74,89.74,90.87,90.87,89.74,Avg,4805736.9,455,5355,10.75,2026-07-14,,,,,,45.95,,,2023-07-21,19.433324699479,18.578236930465,18.428421157579,18.428421157579,18.428421157579,514.12177139168,1.1793632990437,1119.1185549103,,
6,2021-12-22,Moscow Exchange T+,89.52,89.83,31.000000000000227,89.675,89.67,89.11,89.99,89.83,89.5,89.5,89.5,89.63,89.63,89.5,Avg,9061185.7,371,10124,10.75,2026-07-14,,,,,,45.65,,,2023-07-21,19.634901027651,19.6168772897,19.338383974749,19.338383974749,19.517869237871,515.02126241424,1.1794360551802,1139.1094795412,,
7,2021-12-21,Moscow Exchange T+,89.6,89.67,7.000000000000739,89.635,87.9,87.12,89.96,89.67,89.4,89.4,89.4,89.67,89.67,89.4,Avg,8630166.2,648,9653,10.75,2026-07-14,,,,,,45.36,,,2023-07-21,19.709493350268,19.529541308626,19.466719584156,19.466719584156,19.466719584156,515.98406962985,1.180904659876,1134.2593876046,,
8,2021-12-20,Moscow Exchange T+,87.11,87.75,64.00000000000006,87.43,87.9,85.13,88.5,87.75,86.74,86.74,86.74,87.75,87.75,86.74,Avg,4704073.3,496,5423,10.75,2026-07-14,,,,,,45.06,,,2023-07-21,22.150838063205,21.801577300458,21.203375626745,21.203375626745,21.203375626745,515.76682166753,1.1568154650395,1371.0779263813,,
9,2021-12-17,Moscow Exchange T+,87.18,87.58,39.99999999999915,87.38,86.19,85.62,87.59,87.59,86.4,86.4,86.4,87.59,87.59,86.4,Avg,3585699.3,398,4150,10.75,2026-07-14,,,,,,44.18,,,2023-07-21,22.413894949179,21.679607162443,21.307364235405,21.298095181599,21.298095181599,518.63566947141,1.1607502914415,1386.4583371417,,
