,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,96.45,96.83,37.999999999999545,96.64,96.41,96.4,96.83,96.83,96.66,96.66,96.66,96.77,96.77,96.66,Avg,9828780.5,43.0,10168.0,6.35,2030-07-10,,,,,,12.35,,,2023-04-24,9.4127605408778,9.6019651639501,9.2601401894316,9.2601401894316,9.3139506582641,453.67474020989,1.1360141975957,116.10791420599,,
1,2021-12-29,Moscow Exchange T+,96.44,96.62,18.000000000000682,96.53,96.06,96.05,96.5,96.46,96.45,96.45,96.45,96.46,96.46,96.45,Avg,18816791.2,15.0,19510.0,6.35,2030-07-10,,,,,,12.18,,,2023-04-24,9.5951769959163,9.6041865095369,9.4422738817071,9.5861691752483,9.5861691752483,454.64401093302,1.1365463920004,127.64205079116,,
2,2021-12-28,Moscow Exchange T+,95.72,96.38,65.99999999999966,96.05,96.36,95.6,96.44,96.44,96.4,96.4,96.4,96.44,96.44,96.4,Avg,7337693.9,14.0,7612.0,6.35,2030-07-10,,,,,,12.0,,,2023-04-24,9.6342920895338,10.250124581584,9.6522924693083,9.5983116118409,9.5983116118409,455.63742229244,1.1386234006887,137.10743382146,,
3,2021-12-27,Moscow Exchange T+,95.68,96.23,54.99999999999971,95.955,96.15,95.7,96.24,95.7,96.01,96.36,96.39,95.7,95.7,96.01,Avg,436826.4,5.0,455.0,6.35,2030-07-10,,,,,,11.83,,,2023-04-24,9.9789720684019,10.278417747596,9.7803742185301,10.260216338453,10.260216338453,456.57937211939,1.1374014194188,172.24200324322,,
4,2021-12-24,Moscow Exchange T+,95.74,96.38,64.00000000000006,96.06,96.29,96.29,96.49,96.39,96.45,96.45,96.45,96.39,96.39,96.45,Avg,3039050.6,12.0,3151.0,6.35,2030-07-10,,,,,,11.31,,,2023-04-24,9.5635083181611,10.200774148258,9.6259607648848,9.6170339752958,9.6170339752958,459.64934542073,1.1493911562857,134.1676658056,,
5,2021-12-23,Moscow Exchange T+,95.82,96.24,42.00000000000017,96.03,95.1,94.53,96.34,96.0,95.82,95.76,95.76,96.0,96.0,95.82,Avg,14778637.5,43.0,15433.0,6.35,2030-07-10,,,,,,11.13,,,2023-04-24,10.121679658909,10.121679658909,9.7450204312898,9.9598903857217,9.9598903857217,460.55534213402,1.1458192989879,193.48995358806,,
6,2021-12-22,Moscow Exchange T+,95.32,95.64,32.00000000000074,95.48,95.46,95.24,95.7,95.44,95.38,95.38,95.38,95.44,95.44,95.38,Avg,8667461.4,41.0,9087.0,6.35,2030-07-10,,,,,,10.96,,,2023-04-24,10.510930065352,10.565319454581,10.275953393908,10.4566022985,10.4566022985,461.48981109394,1.1441000868285,232.80597750463,,
7,2021-12-21,Moscow Exchange T+,95.18,95.21,2.9999999999986926,95.195,95.12,95.09,95.21,95.21,95.21,95.21,95.21,95.21,95.21,95.21,Avg,9156101.0,39.0,9617.0,6.35,2030-07-10,,,,,,10.79,,,2023-04-24,10.656363307744,10.683581412016,10.656363307744,10.656363307744,10.656363307744,462.46533213371,1.1450117004947,234.91786022638,,
8,2021-12-20,Moscow Exchange T+,94.91,95.25,34.00000000000034,95.08,95.37,94.9,95.4,95.25,95.03,95.03,95.03,95.25,95.25,95.03,Avg,2526934.1,54.0,2659.0,6.35,2030-07-10,,,,,,10.61,,,2023-04-24,10.811685570762,10.920798911212,10.612286933499,10.612286933499,10.612286933499,463.43919167841,1.1458145492666,243.44099659427,,
9,2021-12-17,Moscow Exchange T+,95.01,95.22,20.999999999999375,95.115,95.13,95.13,95.14,95.13,95.13,94.8,94.72,95.13,95.13,95.13,Avg,21880.2,8.0,23.0,6.35,2030-07-10,,,,,,10.09,,,2023-04-24,10.695276573724,10.803515188983,10.614258286468,10.695276573724,10.695276573724,466.45878280596,1.1544930438928,220.74908644576,,
10,2021-12-16,Moscow Exchange T+,94.81,95.07,25.99999999999909,94.94,94.77,94.44,95.1,95.1,94.72,94.72,94.72,95.1,95.1,94.72,Avg,5494761.9,29.0,5801.0,6.35,2030-07-10,,,,,,9.92,,,2023-04-24,11.05657179064,10.975090750499,10.740478281225,10.713481637564,10.713481637564,467.39798405531,1.1530541609761,248.73914430994,,
11,2021-12-15,Moscow Exchange T+,94.61,94.77,15.99999999999966,94.69,94.8,94.55,94.8,94.6,94.61,94.64,,94.6,94.6,94.61,Avg,441826.2,32.0,467.0,6.35,2030-07-10,,,,,,9.74,,,2023-04-24,11.147558809852,11.147558809852,11.002791921323,11.156621307334,11.156621307334,468.38267539876,1.1545374638118,253.74983867794,,
12,2021-12-14,Moscow Exchange T+,94.76,94.8,3.999999999999204,94.78,94.51,94.49,94.8,94.8,94.51,94.51,94.51,94.8,94.8,94.51,Avg,8456871.4,27.0,8948.0,6.35,2030-07-10,,,,,,9.57,,,2023-04-24,11.228422965033,11.002451417905,10.966394996522,10.966394996522,10.966394996522,469.36907081382,1.1561277463838,256.99748077389,,
13,2021-12-13,Moscow Exchange T+,94.56,94.75,18.999999999999773,94.655,94.8,94.5,94.8,94.75,94.58,94.58,94.58,94.75,94.75,94.58,Avg,714104.6,50.0,755.0,6.35,2030-07-10,,,,,,9.39,,,2023-04-24,11.156282692326,11.174346084166,11.003019310353,11.003019310353,11.003019310353,470.38120764996,1.1593727373595,256.58273383475,,
14,2021-12-10,Moscow Exchange T+,94.75,94.8,4.999999999999716,94.775,95.68,94.5,95.68,95.3,94.86,94.86,94.86,94.67,94.67,94.86,Avg,8587572.8,33.0,9053.0,6.35,2030-07-10,,,,,,8.87,,,2023-04-24,10.877804207437,10.976114872402,10.931402968715,10.486587420677,11.047741573259,473.4280649591,1.1698132019661,224.22722410319,,
15,2021-12-09,Moscow Exchange T+,95.06,95.23,17.00000000000017,95.145,94.91,94.91,95.36,95.15,95.13,95.09,,95.15,95.15,95.13,Avg,371002.9,30.0,390.0,6.35,2030-07-10,,,,,,8.7,,,2023-04-24,10.628855570964,10.690951680517,10.540288046683,10.611128788083,10.611128788083,474.46996194436,1.1750258983049,200.83336979864,,
16,2021-12-08,Moscow Exchange T+,94.91,95.32,40.99999999999966,95.115,95.01,94.0,95.01,95.0,94.42,94.42,94.42,95.0,95.0,94.42,Avg,7532666.0,26.0,7978.0,6.35,2030-07-10,,,,,,8.52,,,2023-04-24,11.253652486612,10.816323930942,10.453475668115,10.736435313432,10.736435313432,475.36482636304,1.1706306788019,257.9820563687,,
17,2021-12-07,Moscow Exchange T+,95.12,95.29,17.00000000000017,95.205,95.0,94.96,95.32,95.0,95.0,95.0,95.0,95.0,95.0,95.0,Avg,8911049.2,36.0,9380.0,6.35,2030-07-10,,,,,,8.35,,,2023-04-24,10.727779970794,10.621684178754,10.471789063723,10.727779970794,10.727779970794,476.45331243784,1.1788835116805,203.92122659432,,
18,2021-12-06,Moscow Exchange T+,94.81,94.99,17.99999999999926,94.9,95.02,94.95,95.05,94.97,95.0,95.0,95.0,94.96,94.96,95.0,Avg,2305732.0,31.0,2427.0,6.35,2030-07-10,,,,,,8.18,,,2023-04-24,10.719164246383,10.887301245132,10.727998645122,10.745672407122,10.754511771357,477.45476245921,1.181453317967,205.99716555354,,
19,2021-12-03,Moscow Exchange T+,95.2,95.39,18.999999999999773,95.295,94.98,94.98,95.75,95.4,95.48,95.48,95.48,95.4,95.4,95.48,Avg,1233662.1,27.0,1292.0,6.35,2030-07-10,,,,,,7.65,,,2023-04-24,10.275686894726,10.520009840819,10.354080459663,10.345363582165,10.345363582165,480.52941237327,1.193843334901,163.90042368147,,
