,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,100.18,100.42,23.99999999999949,100.3,100.98,100.0,100.98,100.42,100.22,100.22,100.22,100.42,100.42,100.22,Avg,1454198.2,68,1451,13.5,2023-08-07,,,,,,18.52,,,2022-02-14,11.246290496,11.655126445998,9.2268086182003,9.2268086182003,9.2268086182003,39.000000000359,0.09604753074739,421.96344165535,,
1,2021-12-29,Moscow Exchange T+,100.1,100.23,13.000000000000966,100.165,99.6,99.6,100.23,100.23,100.16,100.16,100.16,100.21,100.21,100.16,Avg,4487029.1,82,4480,13.5,2023-08-07,,,,,,18.16,,,2022-02-14,11.907023864037,12.509636170113,11.208498319284,11.208498319284,11.407582092229,40.000000000571,0.097928653013416,466.7497885798,,
2,2021-12-28,Moscow Exchange T+,100.1,100.15,5.000000000001137,100.125,100.08,99.91,100.17,100.15,100.03,100.03,100.03,100.13,100.13,100.03,Avg,2394743.2,72,2394,13.5,2023-08-07,,,,,,17.81,,,2022-02-14,13.220877998149,12.530222287985,12.039766017653,12.039766017653,12.235662624509,41.000000001278,0.099212061514507,604.32977101681,,
3,2021-12-27,Moscow Exchange T+,100.0,100.09,9.000000000000341,100.045,100.19,99.56,100.19,99.95,100.07,100.07,100.07,99.95,99.95,100.07,Avg,874597.0,51,874,13.5,2023-08-07,,,,,,17.45,,,2022-02-14,12.848105623778,13.524612123599,12.655644590063,14.0105997195,14.0105997195,42.000000001085,0.10196758954668,571.57888098514,,
4,2021-12-24,Moscow Exchange T+,99.96,100.0,4.000000000000625,99.98,100.02,99.75,100.09,100.0,99.97,99.97,99.97,100.0,100.0,99.97,Avg,1043674.2,48,1044,13.5,2023-08-07,,,,,,16.38,,,2022-02-14,13.805633941158,13.896522859582,13.533455638591,13.533455638591,13.533455638591,45.000000002066,0.10833178197688,678.48682898555,,
5,2021-12-23,Moscow Exchange T+,99.97,100.04,7.000000000000739,100.005,100.18,99.26,100.18,100.02,99.97,99.97,99.97,100.03,100.03,99.97,Avg,3121932.1,65,3123,13.5,2023-08-07,,,,,,16.03,,,2022-02-14,13.796797292238,13.796797292238,13.176430225021,13.35328849765,13.264820491362,46.000000002139,0.11074775412395,664.58681847253,,
6,2021-12-22,Moscow Exchange T+,99.86,100.03,17.00000000000017,99.945,100.19,99.57,100.19,99.85,99.97,99.97,99.97,99.88,99.88,99.97,Avg,1199597.5,73,1200,13.5,2023-08-07,,,,,,15.67,,,2022-02-14,13.79714552406,14.759110494845002,13.276275718673,14.847016041088,14.583527150949,47.000000002222,0.11315496772855,652.60534936043,,
7,2021-12-21,Moscow Exchange T+,99.78,99.94,15.99999999999966,99.86,98.96,98.96,99.98,99.77,99.91,99.91,99.91,99.79,99.79,99.91,Avg,1268839.8,41,1270,13.5,2023-08-07,,,,,,15.32,,,2022-02-14,14.301846336568,15.421872038998,14.045128560851,15.508540936024,15.335276716249998,48.000000002987,0.11505225290589,688.30089746019,,
8,2021-12-20,Moscow Exchange T+,99.8,99.87,7.000000000000739,99.835,99.99,98.31,99.99,99.8,99.57,99.75,,99.8,99.8,99.57,Avg,246941.3,36,248,13.5,2023-08-07,,,,,,14.96,,,2022-02-14,17.187595875476998,15.220000643059,14.628624970391,15.220000643059,15.220000643059,49.000000011465,0.11455698392902,982.42870929004,,
9,2021-12-17,Moscow Exchange T+,99.81,99.95,14.000000000000057,99.88,98.28,98.25,99.95,99.9,99.65,99.65,99.65,99.94,99.94,99.65,Avg,647741.4,48,650,13.5,2023-08-07,,,,,,13.89,,,2022-02-14,16.338163242426,15.053203567358,13.942151628878,14.33754275082,14.021104724755002,52.00000000889,0.12245831417515,896.93892212665,,
10,2021-12-16,Moscow Exchange T+,99.73,99.75,1.999999999999602,99.74,98.42,98.42,100.19,99.75,99.24,99.24,99.24,99.75,99.75,99.24,Avg,3471396.9,54,3498,13.5,2023-08-07,,,,,,13.53,,,2022-02-14,19.595161341717,15.659146536938,15.501672105628,15.501672105628,15.501672105628,53.000000032891,0.12141417588566,1196.84825742,,
11,2021-12-15,Moscow Exchange T+,99.8,99.95,15.000000000000568,99.875,99.42,99.31,99.98,99.9,99.79,99.79,99.79,99.9,99.9,99.79,Avg,1960801.3,83,1965,13.5,2023-08-07,,,,,,13.18,,,2022-02-14,15.155333893507,15.078379928765,13.931125246491998,14.312078386124998,14.312078386124998,54.000000005557,0.12847447051953,750.89290762477,,
12,2021-12-14,Moscow Exchange T+,98.62,98.92,29.999999999999716,98.77,98.29,98.26,99.6,98.9,98.91,98.91,98.91,98.66,98.66,98.91,Avg,2663721.3,108,2693,13.5,2023-08-07,,,,,,12.82,,,2022-02-14,22.011244584088,24.38102494919,21.930459441012,22.092091322888,24.051030651186,55.0,0.12350085602397,1410.9392673064,,
13,2021-12-13,Moscow Exchange T+,99.4,99.41,0.9999999999990904,99.405,99.02,99.02,100.2,99.41,99.55,99.55,99.55,99.43,99.43,99.55,Avg,1017447.6,93,1022,13.5,2023-08-07,,,,,,12.47,,,2022-02-14,16.900311874757,18.040553669744,17.964139656166,17.964139656166,17.811482732202,56.00000001283,0.13124401048115,917.22026833801,,
14,2021-12-10,Moscow Exchange T+,99.7,99.9,20.000000000000284,99.8,100.19,99.34,100.19,99.92,99.86,99.87,,99.92,99.92,99.86,Avg,169765.2,22,170,13.5,2023-08-07,,,,,,11.4,,,2022-02-14,14.541246823623,15.670203072408,14.26101105485,14.121191881779,14.121191881779,59.000000004802,0.14112281829663,664.58477246688,,
15,2021-12-09,Moscow Exchange T+,99.66,99.94,28.000000000000114,99.8,99.34,99.34,99.97,99.94,99.75,100.02,,99.94,99.94,99.75,Avg,186541.2,25,187,13.5,2023-08-07,,,,,,11.04,,,2022-02-14,15.292495308432,15.920359535407,13.979961635496,13.979961635496,13.979961635496,60.000000007084,0.14257958527438,740.22028355621,,
16,2021-12-08,Moscow Exchange T+,99.59,99.92,32.99999999999983,99.755,99.66,99.56,100.5,99.81,100.02,100.02,100.02,99.8,99.8,100.02,Avg,1180243.8,42,1180,13.5,2023-08-07,,,,,,10.68,,,2022-02-14,13.439824757129,16.370537530876,14.113623927711,14.860204828074,14.928358063707,61.000000002877,0.14732329500413,536.91816735259,,
