,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,98.75,99.85,109.99999999999945,99.3,99.19,98.99,99.9,99.5,99.01,98.47,,99.5,99.5,99.01,Avg,225423.2,10.0,227.0,9.9,2023-10-30,,,,,,16.0,,,2022-11-03,11.621746771578,11.983417793602,10.467705695435,10.945898916447,10.945898916447,291.9724014423,0.7166384782977,354.51908443536,,
1,2021-12-29,Moscow Exchange T+,98.0,99.17,117.00000000000016,98.585,98.98,98.98,98.98,98.98,98.98,98.19,,98.98,98.98,98.98,Avg,10887.8,3.0,11.0,9.9,2023-10-30,,,,,,15.73,,,2022-11-03,11.658672247114,13.029666979240002,11.396378692475,11.658672247114,11.658672247114,292.9700320996,0.71884933434844,353.36996641038,,
2,2021-12-28,Moscow Exchange T+,97.0,98.89,189.00000000000009,97.945,98.99,96.64,98.99,97.0,97.21,98.17,,97.0,97.0,97.21,Avg,7776.4,4.0,8.0,9.9,2023-10-30,,,,,,15.46,,,2022-11-03,14.144750591954,14.447014926647,11.77825978274,14.447014926647,14.447014926647,293.81126760981,0.70521191105037,608.23626708857,,
3,2021-12-27,Moscow Exchange T+,96.13,98.99,285.99999999999994,97.56,97.01,97.0,97.01,97.0,97.0,98.2,,97.0,97.0,97.0,Avg,46561.3,7.0,48.0,9.9,2023-10-30,,,,,,15.19,,,2022-11-03,14.433457211317998,15.697317280622,11.635658843563,14.433457211317998,14.433457211317998,294.79292589187,0.70578296893285,640.39203413072,,
4,2021-12-24,Moscow Exchange T+,97.01,99.18,217.00000000000017,98.095,99.17,99.0,99.17,99.0,99.0,98.38,,99.0,99.0,99.0,Avg,4953.4,2.0,5.0,9.9,2023-10-30,,,,,,14.38,,,2022-11-03,11.608581496285,14.379161496696,11.364063328196,11.608581496285,11.608581496285,297.97324626964,0.73145366362368,361.12158015149,,
5,2021-12-23,Moscow Exchange T+,96.66,98.99,232.99999999999983,97.825,97.5,97.5,99.18,98.99,97.53,98.37,,98.99,98.99,97.53,Avg,101431.7,4.0,104.0,9.9,2023-10-30,,,,,,14.1,,,2022-11-03,13.633702133792,14.866299797029,11.6191441556,11.6191441556,11.6191441556,298.84378345635,0.72051695604992,569.27505650589,,
6,2021-12-22,Moscow Exchange T+,96.51,98.0,148.9999999999995,97.255,,,,,,98.73,,95.78,95.78,98.73,Market,,,,9.9,2023-10-30,,,,,,13.83,,,2022-11-03,11.967592072715,15.066026297041,12.969293803458,,16.119688467946,299.95022309377,0.73394579442231,403.19245813668,,
7,2021-12-21,Moscow Exchange T+,96.13,98.93,280.00000000000114,97.53,,,,,,98.73,,95.78,95.78,98.73,Market,,,,9.9,2023-10-30,,,,,,13.56,,,2022-11-03,11.962165069125,15.595383018725,11.691424136583,,16.101149495823,300.95057088991,0.73642923171243,389.7357894638,,
8,2021-12-20,Moscow Exchange T+,96.13,98.94,281.0000000000002,97.535,,,,,,98.73,,95.78,95.78,98.73,Market,,,,9.9,2023-10-30,,,,,,13.29,,,2022-11-03,11.956784127371,15.578595700565002,11.673415705984,,16.08274727841,301.95091574118,0.73891259855356,384.84631315565,,
9,2021-12-17,Moscow Exchange T+,95.63,98.99,335.99999999999994,97.31,,,,,,98.73,,95.78,95.78,98.73,Market,,,,9.9,2023-10-30,,,,,,12.48,,,2022-11-03,11.94091315348,16.243594975913002,11.593485471104,,16.028347393081997,304.95193291363,0.74636227646549,373.24515657941,,
