,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,96.1,96.44,34.00000000000034,96.27,95.08,95.08,97.89,96.4,96.26,95.91,,96.4,96.4,96.26,Avg,110697.9,24,115,7.5,2030-10-25,,,,,,11.3,,,2023-11-09,10.099598562677,10.205076034338,9.9812737710575,10.007537383869,10.007537383869,626.76812335393,1.5596541341776,177.09551004201,,
1,2021-12-29,Moscow Exchange T+,96.13,96.6,46.999999999999886,96.365,95.75,95.75,96.96,96.6,95.89,95.84,,96.6,96.6,95.89,Avg,349044.6,18,364,7.5,2030-10-25,,,,,,11.1,,,2023-11-09,10.339870261094,10.181428342235,9.8729853406758,9.8729853406758,9.8729853406758,627.65332318011,1.5584558343506,193.07495580949,,
2,2021-12-28,Moscow Exchange T+,95.65,95.75,9.999999999999432,95.7,95.73,94.04,95.75,95.75,95.62,95.62,95.62,95.75,95.75,95.62,Avg,625380.7,38,654,7.5,2030-10-25,,,,,,10.89,,,2023-11-09,10.515231933513,10.495329494189,10.429060599075,10.429060599075,10.429060599075,628.56950964613,1.5582542021374,215.56538676063,,
3,2021-12-27,Moscow Exchange T+,95.3,95.64,34.00000000000034,95.47,95.7,93.68,95.7,95.64,95.25,95.25,95.25,95.64,95.64,95.25,Avg,509582.8,34,535,7.5,2030-10-25,,,,,,10.68,,,2023-11-09,10.757541953494,10.724216089677,10.498344723181,10.498344723181,10.498344723181,629.45366111384,1.5570321875852,238.39476330395,,
4,2021-12-24,Moscow Exchange T+,94.28,94.7,42.00000000000017,94.49,94.02,94.01,95.74,94.25,94.35,94.35,94.35,94.27,94.27,94.35,Avg,1463347.3,52,1551,7.5,2030-10-25,,,,,,10.07,,,2023-11-09,11.346511411344,11.393732831845,11.111247097922,11.413987855471,11.400483354062,632.17189525521,1.5554845619019,301.61959663927,,
5,2021-12-23,Moscow Exchange T+,94.08,94.73,65.00000000000057,94.405,94.72,94.0,94.73,94.73,94.46,94.02,,94.73,94.73,94.46,Avg,54787.9,20,58,7.5,2030-10-25,,,,,,9.86,,,2023-11-09,11.267761137074,11.523942823372,11.086742206576,11.086742206576,11.086742206576,633.20958441854,1.559140546642,293.42143573107,,
6,2021-12-22,Moscow Exchange T+,94.1,94.12,2.000000000001023,94.11,92.63,92.63,94.5,94.12,94.01,94.01,94.01,94.12,94.12,94.01,Avg,8288687.1,96,8817,7.5,2030-10-25,,,,,,9.66,,,2023-11-09,11.565572457806,11.504761411171,11.491260541205,11.491260541205,11.491260541205,634.06703091903,1.5570842415391,321.46734295815,,
7,2021-12-21,Moscow Exchange T+,93.53,93.99,45.999999999999375,93.76,92.95,92.95,93.55,93.55,93.2,93.2,93.2,93.55,93.55,93.2,Avg,1034534.9,24,1110,7.5,2030-10-25,,,,,,9.45,,,2023-11-09,12.111293145196,11.885981116241,11.574032943367,11.87236690786,11.87236690786,634.80564401061,1.5513098604456,364.04586599436,,
8,2021-12-20,Moscow Exchange T+,92.53,92.92,39.00000000000006,92.725,92.99,91.92,92.99,92.58,92.54,92.54,92.54,92.83,92.83,92.54,Avg,949510.7,55,1026,7.5,2030-10-25,,,,,,9.25,,,2023-11-09,12.558655066594,12.565571506037,12.296717151999,12.531001314849,12.35859934828,635.59120895548,1.5470563120446,401.05702503285,,
9,2021-12-17,Moscow Exchange T+,92.21,92.81,60.00000000000085,92.51,92.95,92.15,92.95,92.6,92.18,92.18,92.18,92.6,92.6,92.18,Avg,5136522.1,41,5572,7.5,2030-10-25,,,,,,8.63,,,2023-11-09,12.78748482492,12.766700801811002,12.353286655739,12.497492528406,12.497492528406,638.48146820772,1.5509382970769,413.84407089354,,
10,2021-12-16,Moscow Exchange T+,91.9,92.1,19.999999999998863,92.0,93.49,91.5,93.99,92.1,91.89,91.89,91.89,92.1,92.1,91.89,Avg,5331629.8,76,5802,7.5,2030-10-25,,,,,,8.42,,,2023-11-09,12.981983310136,12.975028745848,12.836191967683,12.836191967683,12.836191967683,639.38816259487,1.5504670208013,427.8655721562,,
11,2021-12-15,Moscow Exchange T+,93.31,93.49,17.99999999999926,93.4,93.04,93.04,94.04,93.76,93.3,93.3,93.3,93.75,93.75,93.3,Avg,2907215.3,20,3116,7.5,2030-10-25,,,,,,8.22,,,2023-11-09,12.00694231772,12.000165135872,11.878374632319,11.696391990465,11.703117104255,640.85564208139,1.5675536230909,327.17720857263,,
12,2021-12-14,Moscow Exchange T+,93.4,93.6,19.999999999998863,93.5,94.02,93.24,95.74,93.6,93.44,93.44,93.44,93.6,93.6,93.44,Avg,3131176.6,40,3351,7.5,2030-10-25,,,,,,8.01,,,2023-11-09,11.906724836432,11.933742531246,11.798839112146,11.798839112146,11.798839112146,641.90365237129,1.5715232002844,314.30968410231,,
13,2021-12-13,Moscow Exchange T+,94.01,94.1,8.99999999999892,94.055,94.02,94.01,94.1,94.02,94.03,94.1,,94.02,94.02,94.03,Avg,220968.0,19,235,7.5,2030-10-25,,,,,,7.81,,,2023-11-09,11.504813106731,11.518165398964,11.458115876027,11.511488684295,11.511488684295,643.09611981678,1.5801176007476,279.53159707028,,
14,2021-12-10,Moscow Exchange T+,94.07,94.1,3.0000000000001137,94.085,94.53,94.06,94.53,94.1,94.15,94.17,,94.1,94.1,94.15,Avg,486731.8,21,517,7.5,2030-10-25,,,,,,7.19,,,2023-11-09,11.409951901379,11.463058693647,11.443135184767,11.443135184767,11.443135184767,646.141529874,1.5889520967975,267.67381440347,,
15,2021-12-09,Moscow Exchange T+,94.08,94.4,32.00000000000074,94.24,93.5,93.5,94.4,94.4,94.07,94.07,94.07,94.4,94.4,94.07,Avg,8376526.8,37,8905,7.5,2030-10-25,,,,,,6.99,,,2023-11-09,11.457632790383,11.450999705918,11.239334364294,11.239334364294,11.239334364294,647.1187058406,1.5906743368051,273.51171979678,,
