,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,91.74,93.99,225.0,92.865,93.99,93.99,93.99,93.99,93.99,93.44,,93.99,93.99,93.99,Avg,939.9,1.0,1.0,5.95,2030-11-20,,,,,,6.52,,,2024-05-23,8.9817936935355,10.157471593813,8.9817936935355,8.9817936935355,8.9817936935355,818.86537181721,2.0585702400997,61.323228015843,,
1,2021-12-29,Moscow Exchange T+,92.91,93.98,107.00000000000074,93.445,93.79,93.79,94.03,93.98,93.99,93.44,,93.98,93.98,93.99,Avg,436098.5,14.0,464.0,5.95,2030-11-20,,,,,,6.36,,,2024-05-23,8.9785637371146,9.5370382911581,8.9836913336768,8.9836913336768,8.9836913336768,819.86753783766,2.0611507028579,52.865653260549,,
2,2021-12-28,Moscow Exchange T+,93.4,93.41,0.9999999999990904,93.405,93.5,92.8,93.5,93.4,92.84,93.18,93.2,92.8,92.8,92.84,Avg,395485.7,8.0,426.0,5.95,2030-11-20,,,,,,6.19,,,2024-05-23,9.5702221142108,9.2794432093397,9.2742741065665,9.2794432093397,9.5910910069354,820.47033416305,2.0515281303991,116.47087550082,,
3,2021-12-27,Moscow Exchange T+,93.4,93.67,26.9999999999996,93.535,93.4,93.4,93.49,93.49,93.47,93.47,93.46,93.49,93.49,93.47,Avg,537431.6,8.0,575.0,5.95,2030-11-20,,,,,,6.03,,,2024-05-23,9.2397757291134,9.2759031821202,9.1367738591723,9.2294609255556,9.2294609255556,821.69228375271,2.0607985701941,80.746016934698,,
4,2021-12-24,Moscow Exchange T+,92.41,93.49,107.99999999999984,92.95,93.49,92.55,93.49,93.49,93.46,93.46,93.47,93.49,93.49,93.46,Avg,1018683.8,9.0,1090.0,5.95,2030-11-20,,,,,,5.54,,,2024-05-23,9.2349893042486,9.7794552045657,9.2195656576902,9.2195656576902,9.2195656576902,824.69549662813,2.0684212368038,85.474079416017,,
5,2021-12-23,Moscow Exchange T+,92.59,93.49,89.99999999999915,93.04,,,,,,92.55,,93.48,93.48,92.55,Market,,,,5.95,2030-11-20,,,,,,5.38,,,2024-05-23,9.7023593438333,9.6815200902451,9.2161151917345,,9.2212500684576,825.38150589538,2.0613222976786,128.27520921783,,
6,2021-12-22,Moscow Exchange T+,93.48,93.49,0.9999999999990904,93.485,93.99,92.75,94.0,93.48,93.65,92.55,,93.48,93.48,93.65,Avg,48700.2,9.0,52.0,5.95,2030-11-20,,,,,,5.22,,,2024-05-23,9.130714503983,9.2178039500014,9.2126745876845,9.2178039500014,9.2178039500014,826.76547660105,2.0755943045848,66.86238087289,,
7,2021-12-21,Moscow Exchange T+,92.56,92.99,42.99999999999926,92.775,93.99,93.99,93.99,93.99,93.99,92.54,92.54,93.99,93.99,93.99,Avg,939.9,1.0,1.0,5.95,2030-11-20,,,,,,5.05,,,2024-05-23,8.9545831550911,9.6897632041061,9.4669460605471,8.9545831550911,8.9545831550911,827.88361848479,2.0817612545862,37.924570458161,,
8,2021-12-20,Moscow Exchange T+,92.41,93.27,85.99999999999994,92.84,92.67,92.5,93.47,93.47,92.54,92.54,92.54,93.47,93.47,92.54,Avg,4676892.5,17.0,5054.0,5.95,2030-11-20,,,,,,4.89,,,2024-05-23,9.6962163156157,9.7638287070545,9.3191271545597,9.2165723418159,9.2165723418159,828.38563646351,2.0689407211742,105.38981260953,,
9,2021-12-17,Moscow Exchange T+,92.22,92.5,28.000000000000114,92.36,92.51,92.21,92.51,92.5,92.48,92.52,,92.5,92.5,92.48,Avg,82304.8,29.0,89.0,5.95,2030-11-20,,,,,,4.4,,,2024-05-23,9.7160466570534,9.8511079226423,9.7056804665545,9.7056804665545,9.7056804665545,831.3723022174,2.0760247969578,99.666571858937,,
10,2021-12-16,Moscow Exchange T+,92.27,93.43,116.00000000000108,92.85,93.94,92.51,93.94,92.53,92.53,92.53,92.53,92.53,92.53,92.53,Avg,4696854.7,13.0,5076.0,5.95,2030-11-20,,,,,,4.24,,,2024-05-23,9.6862278783176,9.8210374193165,9.223847726021,9.6862278783176,9.6862278783176,832.39235248175,2.079137041371,91.733488050209,,
11,2021-12-15,Moscow Exchange T+,92.23,92.38,14.999999999999147,92.305,92.38,92.37,92.38,92.38,92.38,92.45,,92.38,92.38,92.38,Avg,106236.8,13.0,115.0,5.95,2030-11-20,,,,,,4.08,,,2024-05-23,9.7599530856265,9.8377623571171,9.7599530856265,9.7599530856265,9.7599530856265,833.34277533618,2.0801128527732,96.768951883595,,
12,2021-12-14,Moscow Exchange T+,92.4,93.45,104.99999999999972,92.925,93.98,93.98,93.98,93.98,93.98,92.36,92.34,93.98,93.98,93.98,Avg,1879.6,1.0,2.0,5.95,2030-11-20,,,,,,3.91,,,2024-05-23,8.9387877101121,9.7461506834288,9.2073749149082,8.9387877101121,8.9387877101121,834.89420964104,2.0996941900653,12.498042166145,,
13,2021-12-13,Moscow Exchange T+,92.47,92.81,34.00000000000034,92.64,92.48,92.45,92.48,92.45,92.45,92.36,92.34,92.45,92.45,92.45,Avg,1850850.1,3.0,2002.0,5.95,2030-11-20,,,,,,3.75,,,2024-05-23,9.7163696921141,9.7060425454355,9.5309817418126,9.7163696921141,9.7163696921141,835.37208499529,2.0860065368962,95.205687471164,,
14,2021-12-10,Moscow Exchange T+,92.56,93.49,92.99999999999926,93.025,92.22,92.21,93.48,93.48,92.25,92.25,92.25,93.41,93.41,92.25,Avg,2211268.8,10.0,2397.0,5.95,2030-11-20,,,,,,3.26,,,2024-05-23,9.808311371814,9.6486070677823,9.1741692962516,9.1792338886699,9.2147083198776,838.31024905391,2.0915906816835,103.81447003148,,
15,2021-12-09,Moscow Exchange T+,92.51,92.75,23.99999999999949,92.63,93.48,92.5,93.48,92.5,92.5,92.66,92.66,92.5,92.5,92.5,Avg,3622311.4,9.0,3916.0,5.95,2030-11-20,,,,,,3.1,,,2024-05-23,9.6756052145005,9.6704670859557,9.5473960993983,9.6756052145005,9.6756052145005,839.39949466847,2.0968424458927,90.949445074366,,
16,2021-12-08,Moscow Exchange T+,92.62,93.48,85.99999999999994,93.05,93.99,92.78,93.99,92.78,92.78,92.78,92.78,92.78,92.78,92.78,Avg,4639939.9,23.0,5001.0,5.95,2030-11-20,,,,,,2.93,,,2024-05-23,9.5288673394536,9.6107385138589,9.1731025785249,9.5288673394536,9.5288673394536,840.4981256683,2.1023997114253,72.530724270557,,
17,2021-12-07,Moscow Exchange T+,92.32,93.49,117.00000000000016,92.905,,,,,,93.0,93.0,93.49,93.49,93.0,Market,,,,5.95,2030-11-20,,,,,,2.77,,,2024-05-23,9.4130713259701,9.76088016853,9.1647490263102,,9.1647490263102,841.57592097775,2.1073235828143,61.474184158759,,
18,2021-12-06,Moscow Exchange T+,92.24,93.49,125.0,92.865,93.49,93.49,93.49,93.49,93.49,93.0,92.94,93.49,93.49,93.49,Avg,934.9,1.0,1.0,5.95,2030-11-20,,,,,,2.61,,,2024-05-23,9.1614588032353,9.7980858387855,9.1614588032353,9.1614588032353,9.1614588032353,842.74484658884,2.1151146347505,38.758590031403,,
19,2021-12-03,Moscow Exchange T+,92.26,93.49,122.99999999999898,92.875,93.47,93.47,93.49,93.47,93.47,93.0,93.0,93.47,93.47,93.47,Avg,90666.7,7.0,97.0,5.95,2030-11-20,,,,,,2.12,,,2024-05-23,9.162202569454,9.7765303800261,9.1521464181112,9.162202569454,9.162202569454,845.74434747821,2.1226282969473,40.50110638074,,
20,2021-12-02,Moscow Exchange T+,92.22,93.47,125.0,92.845,92.24,92.24,92.24,92.24,92.24,92.94,92.94,92.24,92.24,92.24,Avg,922.4,1.0,1.0,5.95,2030-11-20,,,,,,1.96,,,2024-05-23,9.7828666079302,9.7931124326183,9.1589382655605,9.7828666079302,9.7828666079302,846.32736418988,2.1120828586581,103.60721457998,,
21,2021-12-01,Moscow Exchange T+,92.79,93.46,66.99999999999875,93.125,93.0,92.99,93.0,92.99,93.0,92.94,92.94,93.0,93.0,93.0,Avg,31921009.9,6.0,34324.0,5.95,2030-11-20,,,,,,1.79,,,2024-05-23,9.3929253225115,9.4992702959839,9.1612038432173,9.3979813883821,9.3929253225115,847.58945226445,2.122772451756,66.3119658234,,
22,2021-11-30,Moscow Exchange T+,92.44,92.99,54.99999999999971,92.715,92.47,92.47,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,Avg,51169736.7,3.0,55081.0,5.95,2030-11-20,,,,,,1.63,,,2024-05-23,9.4399762784871,9.6735085128481,9.3944832505648,9.4399762784871,9.4399762784871,848.55784838887,2.1242841071779,70.955246034022,,
23,2021-11-29,Moscow Exchange T+,92.12,92.97,84.99999999999943,92.545,92.89,92.89,92.98,92.98,92.97,92.96,92.91,92.97,92.97,92.97,Avg,4649246.3,5.0,5001.0,5.95,2030-11-20,,,,,,1.47,,,2024-05-23,9.4010883326169,9.8330229275337,9.4010883326169,9.3960411964871,9.4010883326169,849.58396961032,2.127608920054,67.987517392034,,
24,2021-11-26,Moscow Exchange T+,91.92,92.79,87.00000000000045,92.355,92.96,91.87,92.96,92.68,91.9,92.56,,92.68,92.68,91.9,Avg,258227.9,101.0,281.0,5.95,2030-11-20,,,,,,0.98,,,2024-05-23,9.9341470439706,9.9239128570652,9.4818562415709,9.5374128234807,9.5374128234807,852.2255834567,2.1238756792066,109.911915509,,
25,2021-11-25,Moscow Exchange T+,92.05,92.98,93.00000000000068,92.515,92.99,92.3,92.99,92.3,92.92,92.92,92.87,92.3,92.3,92.92,Avg,62255.0,3.0,67.0,5.95,2030-11-20,,,,,,0.82,,,2024-05-23,9.4128358796683,9.8535263102725,9.3826660559746,9.7262689609497,9.7262689609497,853.57607912407,2.1373768274427,56.778513808826,,
26,2021-11-24,Moscow Exchange T+,91.93,92.98,104.99999999999972,92.455,91.86,91.86,92.99,91.86,92.87,92.87,92.87,92.64,92.64,92.87,Avg,597142.9,43.0,643.0,5.95,2030-11-20,,,,,,0.65,,,2024-05-23,9.4349990785286,9.9113037667221,9.3797222289873,9.9470582641357,9.5508880381581,854.56119180902,2.1394102059824,50.640573536375,,
27,2021-11-23,Moscow Exchange T+,91.88,92.97,109.00000000000034,92.425,92.17,91.72,92.99,91.87,92.64,92.64,92.64,91.87,91.87,92.64,Avg,704043.4,16.0,760.0,5.95,2030-11-20,,,,,,0.49,,,2024-05-23,9.5472745785621,9.9328262177712,9.3813013956019,9.9379303411331,9.9379303411331,855.48575604267,2.1395298065739,53.056824844404,,
28,2021-11-22,Moscow Exchange T+,92.17,93.22,104.99999999999972,92.695,92.6,92.01,93.24,93.22,92.4,92.4,92.4,93.22,93.22,92.4,Avg,761352.6,172.0,824.0,5.95,2030-11-20,,,,,,0.33,,,2024-05-23,9.6647979210293,9.7813103239145,9.2528329509973,9.2528329509973,9.2528329509973,856.40676070489,2.1395378798142,69.869383589261,,
29,2021-11-19,Moscow Exchange T+,92.6,93.22,62.000000000000455,92.91,93.4,92.31,93.4,93.24,92.38,92.38,92.38,93.24,93.24,92.38,Avg,1885445.7,11.0,2041.0,5.95,2030-11-20,,,,,,29.83,,,2024-05-23,9.6638791264946,9.5531396335575,9.2431129972961,9.233162316578,9.233162316578,832.41878589793,2.0796267937854,98.95023788864,,
30,2021-11-18,Moscow Exchange T+,92.81,93.4,59.00000000000034,93.105,93.29,93.1,93.4,93.39,92.77,93.1,93.1,93.39,93.39,92.77,Avg,4665272.4,4.0,5011.0,5.95,2030-11-20,,,,,,29.67,,,2024-05-23,9.4639621656055,9.4439442873253,9.1501367617397,9.1550939532771,9.1550939532771,833.66089262845,2.0865336868603,83.307034305042,,
31,2021-11-17,Moscow Exchange T+,93.0,93.29,29.000000000000625,93.145,93.3,93.29,93.3,93.29,93.3,93.52,,93.29,93.29,93.3,Avg,33586.4,8.0,36.0,5.95,2030-11-20,,,,,,29.51,,,2024-05-23,9.1961682456429,9.3452960695593,9.2011278890991,9.2011278890991,9.2011278890991,834.98474600883,2.0949722667685,67.188650344515,,
32,2021-11-16,Moscow Exchange T+,93.01,93.25,23.99999999999949,93.13,93.25,93.25,93.25,93.25,93.25,93.53,,93.25,93.25,93.25,Avg,24245.0,6.0,26.0,5.95,2030-11-20,,,,,,29.34,,,2024-05-23,9.2178781851139,9.3370921195472,9.2178781851139,9.2178781851139,9.2178781851139,835.95851077311,2.0969985206154,69.651260376253,,
33,2021-11-15,Moscow Exchange T+,93.03,93.5,46.999999999999886,93.265,93.63,93.2,93.63,93.49,93.34,93.54,93.54,93.49,93.49,93.34,Avg,16800.9,6.0,18.0,5.95,2030-11-20,,,,,,29.18,,,2024-05-23,9.1697535855288,9.3234415699245,9.0907218475612,9.0956555484974,9.0956555484974,837.016661987,2.1005784650914,73.362885857268,,
34,2021-11-12,Moscow Exchange T+,93.01,93.63,61.999999999999034,93.32,93.55,93.02,93.55,93.55,93.54,93.54,93.34,93.55,93.55,93.54,Avg,596796.0,9.0,638.0,5.95,2030-11-20,,,,,,28.69,,,2024-05-23,9.0612555034745,9.3228113251853,9.0170548999225,9.0563412642265,9.0563412642265,840.14770343528,2.1105336806675,66.783427359929,,
35,2021-11-11,Moscow Exchange T+,93.01,93.49,47.99999999999898,93.25,93.2,93.2,93.5,93.5,93.2,93.2,93.2,93.2,93.2,93.2,Avg,839735.0,7.0,901.0,5.95,2030-11-20,,,,,,28.53,,,2024-05-23,9.2252274747208,9.3191423421336,9.0824204735882,9.0775076117697,9.2252274747208,840.94962876733,2.1093767794598,93.736040958369,,
36,2021-11-10,Moscow Exchange T+,92.66,93.64,98.0000000000004,93.15,,,,,,93.15,93.17,93.2,93.2,93.15,Market,,,,5.95,2030-11-20,,,,,,28.36,,,2024-05-23,9.2468228050254,9.4895317409788,9.0059671764219,,9.2221611995943,841.92352747318,2.1114021827555,86.700070669796,,
37,2021-11-09,Moscow Exchange T+,93.0,93.49,48.99999999999949,93.245,93.49,93.01,93.49,93.2,93.2,93.15,93.15,93.2,93.2,93.2,Avg,19573.0,3.0,21.0,5.95,2030-11-20,,,,,,28.2,,,2024-05-23,9.2186112588385,9.317269086727,9.0761039236836,9.2186112588385,9.2186112588385,842.95762479503,2.1145415767746,79.746332601034,,
38,2021-11-08,Moscow Exchange T+,92.76,93.59,82.99999999999983,93.175,93.15,93.15,93.15,93.15,93.15,93.15,93.15,93.15,93.15,93.15,Avg,4657500.0,1.0,5000.0,5.95,2030-11-20,,,,,,28.04,,,2024-05-23,9.2396806852436,9.4322973565772,9.0237746219272,9.2396806852436,9.2396806852436,843.93216019184,2.1165778681624,72.790843533438,,
39,2021-11-05,Moscow Exchange T+,92.81,93.6,78.9999999999992,93.205,93.5,93.5,93.5,93.5,93.5,93.15,93.16,93.5,93.5,93.5,Avg,46750.0,1.0,50.0,5.95,2030-11-20,,,,,,27.55,,,2024-05-23,9.0582078309001,9.3968613041068,9.0094292495533,9.0582078309001,9.0582078309001,847.15138306713,2.1281870842159,53.586413892797,,
40,2021-11-03,Moscow Exchange T+,92.67,93.5,82.99999999999983,93.085,93.5,93.5,93.5,93.5,93.5,93.15,93.15,93.5,93.5,93.5,Avg,12155.0,4.0,13.0,5.95,2030-11-20,,,,,,27.22,,,2024-05-23,9.052009222366,9.4589731757645,9.052009222366,9.052009222366,9.052009222366,849.15886686505,2.1333514765432,50.060348359795,,
41,2021-11-02,Moscow Exchange T+,93.01,93.5,48.99999999999949,93.255,93.49,93.15,93.5,93.5,93.15,93.14,93.15,93.15,93.15,93.15,Avg,4689287.5,6.0,5034.0,5.95,2030-11-20,,,,,,27.06,,,2024-05-23,9.2194690865374,9.2880462852947,9.0486797498492,9.0486797498492,9.2194690865374,849.95658804936,2.1320815839084,73.095631243668,,
42,2021-11-01,Moscow Exchange T+,93.01,93.5,48.99999999999949,93.255,94.0,92.9,94.0,93.5,93.08,93.31,,93.5,93.5,93.08,Avg,389087.3,30.0,418.0,5.95,2030-11-20,,,,,,26.9,,,2024-05-23,9.2502044646131,9.2844759303123,9.045359511020798,9.045359511020798,9.045359511020798,850.91943986433,2.1338963602304,80.339190177666,,
43,2021-10-29,Moscow Exchange T+,93.51,94.0,48.99999999999949,93.755,94.4,94.0,94.4,94.0,94.04,94.36,,94.0,94.0,94.04,Avg,89340.0,7.0,95.0,5.95,2030-11-20,,,,,,26.41,,,2024-05-23,8.775333431035499,9.0310926225062,8.794562929658301,8.794562929658301,8.794562929658301,854.49262221486,2.1522119063742,34.508971339651,,
44,2021-10-28,Moscow Exchange T+,93.18,94.5,131.99999999999932,93.84,94.5,94.5,94.5,94.5,94.5,94.59,,94.5,94.5,94.5,Avg,21735.0,5.0,23.0,5.95,2030-11-20,,,,,,26.25,,,2024-05-23,8.552258285336901,9.1879592111906,8.552258285336901,8.552258285336901,8.552258285336901,855.76131159199,2.1598367234751,11.285688402487,,
