,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,94.66,94.81,15.000000000000568,94.735,95.61,94.5,95.61,94.81,94.68,94.68,94.68,94.66,94.66,94.68,Avg,5995129.6,73.0,6332.0,5.95,2023-12-05,9.2117480861835,9.2242101824862,9.1308446989257,9.1308446989257,9.2242101824862,3.75,673.12837232038,1.6886345596907,,,,,,,,,87.079866908455,,
1,2021-12-29,Moscow Exchange T+,94.67,94.89,21.999999999999886,94.78,95.49,94.63,95.49,94.89,94.89,94.89,94.89,94.89,94.89,94.89,Avg,2406426.8,163.0,2536.0,5.95,2023-12-05,9.0769998934291,9.2136487613433,9.0769998934291,9.0769998934291,9.0769998934291,3.59,674.17116123598,1.693339823394,,,,,,,,,65.420825304404,,
2,2021-12-28,Moscow Exchange T+,94.39,94.65,26.00000000000051,94.52,94.6,94.6,95.54,94.65,94.81,94.81,94.81,94.65,94.65,94.81,Avg,1224996.3,51.0,1292.0,5.95,2023-12-05,9.1230556699885,9.3843576270413,9.2223855907875,9.2223855907875,9.2223855907875,3.42,675.15653709563,1.6950991024686,,,,,,,,,74.841767956801,,
3,2021-12-27,Moscow Exchange T+,94.7,94.9,20.000000000000284,94.8,95.95,94.42,95.96,94.9,94.91,94.91,94.91,94.9,94.9,94.91,Avg,6047854.9,50.0,6372.0,5.95,2023-12-05,9.0570071400528,9.1870406155275,9.0631890163857,9.0631890163857,9.0631890163857,3.26,676.17750931572,1.6986905931077,,,,,,,,,66.431452209273,,
4,2021-12-24,Moscow Exchange T+,94.69,94.9,21.000000000000796,94.795,95.5,94.65,95.5,94.9,94.9,94.9,94.9,94.9,94.9,94.9,Avg,8513982.3,16.0,8972.0,5.95,2023-12-05,9.0515624193554,9.1810947399056,9.0515624193554,9.0515624193554,9.0515624193554,2.77,679.17923809286,1.7063167134785,,,,,,,,,70.43623682132,,
5,2021-12-23,Moscow Exchange T+,94.66,94.89,23.0000000000004,94.775,94.89,94.68,94.9,94.68,94.8,94.8,94.8,94.68,94.68,94.8,Avg,2145357.5,22.0,2263.0,5.95,2023-12-05,9.1090519742207,9.1953832373734,9.0536582361089,9.1830380106768,9.1830380106768,2.61,680.16098378591,1.7078828166692,,,,,,,,,74.878509085286,,
6,2021-12-22,Moscow Exchange T+,94.88,94.89,1.0000000000005116,94.885,94.84,94.84,94.89,94.89,94.88,94.7,,94.89,94.89,94.88,Avg,447847.0,14.0,472.0,5.95,2023-12-05,9.0557523046609,9.0557523046609,9.0496097286551,9.0496097286551,9.0496097286551,2.45,681.17790774487,1.7112722655134,,,,,,,,,67.151009279705,,
7,2021-12-21,Moscow Exchange T+,94.6,94.7,10.000000000000853,94.65,94.2,94.12,94.7,94.7,94.7,94.7,94.7,94.7,94.7,94.7,Avg,135163701.2,37.0,142730.0,5.95,2023-12-05,9.1629157164597,9.2244979191783,9.1629157164597,9.1629157164597,9.1629157164597,2.28,682.14387966809,1.7120166947635,,,,,,,,,66.001209504691,,
8,2021-12-20,Moscow Exchange T+,94.01,94.2,18.999999999999773,94.105,93.61,93.61,94.67,94.2,94.49,94.49,94.49,94.2,94.2,94.49,Avg,1122556.3,38.0,1188.0,5.95,2023-12-05,9.2880047902582,9.5851599117872,9.4672539357566,9.4672539357566,9.4672539357566,2.12,683.1041542864,1.7124644507084,,,,,,,,,70.881615049785,,
9,2021-12-17,Moscow Exchange T+,93.77,93.89,12.000000000000457,93.83,94.23,93.65,94.23,93.88,93.81,93.78,,93.88,93.88,93.81,Avg,439965.1,46.0,469.0,5.95,2023-12-05,9.6956430579149,9.7204958512732,9.6459869172507,9.6521903330189,9.6521903330189,1.63,685.97465843556,1.7132700747819,,,,,,,,,102.05410966684,,
10,2021-12-16,Moscow Exchange T+,93.7,94.0,29.999999999999716,93.85,94.66,93.59,94.66,94.03,93.7,93.7,93.7,94.03,94.03,93.7,Avg,561263.8,33.0,599.0,5.95,2023-12-05,9.7590845258153,9.7590845258153,9.5731216957463,9.5545761960428,9.5545761960428,1.47,686.95449935772,1.7147256007637,,,,,,,,,103.29733219665,,
11,2021-12-15,Moscow Exchange T+,93.54,93.99,44.99999999999886,93.765,94.64,93.5,94.64,93.71,93.5,93.54,,93.71,93.71,93.5,Avg,208013.0,19.0,222.0,5.95,2023-12-05,9.8791050183013,9.8542065374719,9.5752350707122,9.7485724611821,9.7485724611821,1.3,687.91635782971,1.715250911358,,,,,,,,,112.37697068662,,
