,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,97.71,97.72,1.0000000000005116,97.715,97.87,97.49,97.87,97.72,97.6,97.6,97.6,97.72,97.72,97.6,Avg,32998053.0,503,33810,5.25,2022-12-09,8.095436794138,7.9649175662142,7.9530673122265,7.9530673122265,7.9530673122265,2.88,339.29773972582,0.85996493111382,,,,,,,,,-5.0216446363873,,
1,2021-12-29,Moscow Exchange T+,97.49,97.5,1.0000000000005116,97.495,97.7,97.35,97.89,97.5,97.52,97.52,97.52,97.5,97.5,97.52,Avg,23162587.8,446,23752,5.25,2022-12-09,8.1833216069569,8.218929684958,8.207057800803701,8.207057800803701,8.207057800803701,2.73,340.29588307416,0.86179410469724,,,,,,,,,-1.5263023086248,,
2,2021-12-28,Moscow Exchange T+,97.49,97.5,1.0000000000005116,97.495,97.91,97.45,97.91,97.5,97.54,97.54,97.54,97.5,97.5,97.54,Avg,18645656.8,403,19116,5.25,2022-12-09,8.1512955594169,8.2104597421396,8.198621878472,8.198621878472,8.198621878472,2.59,341.29655956326,0.86458424974011,,,,,,,,,1.3018401851555,,
3,2021-12-27,Moscow Exchange T+,97.69,97.7,1.0000000000005116,97.695,97.35,97.35,98.33,97.7,97.77,97.77,97.77,97.7,97.7,97.77,Avg,16927793.3,314,17314,5.25,2022-12-09,7.8724727983552,7.9664361643107,7.954682041038599,7.954682041038599,7.954682041038599,2.45,342.30245362892,0.869373730963,,,,,,,,,-24.097524215415,,
4,2021-12-24,Moscow Exchange T+,97.34,97.35,0.9999999999990904,97.345,97.08,97.08,98.52,97.35,97.22,97.22,97.22,97.35,97.35,97.22,Avg,85128575.6,312,87567,5.25,2022-12-09,8.4963952657916,8.3553033926093,8.3435619069677,8.3435619069677,8.3435619069677,2.01,345.28927554326,0.8719165395952,,,,,,,,,41.479270879887,,
5,2021-12-23,Moscow Exchange T+,97.49,97.5,1.0000000000005116,97.495,97.22,97.05,98.34,97.49,97.36,97.36,97.36,97.5,97.5,97.36,Avg,23006981.7,215,23630,5.25,2022-12-09,8.323174194512301,8.171223032056501,8.1595517429283,8.171223032056501,8.1595517429283,1.87,346.29293019149,0.87584929171819,,,,,,,,,29.539756944921,,
6,2021-12-22,Moscow Exchange T+,97.24,97.25,1.0000000000005116,97.245,97.47,97.1,97.48,97.25,97.3,97.3,97.3,97.25,97.25,97.3,Avg,17764438.3,214,18257,5.25,2022-12-09,8.3846525426182,8.4548155846452,8.443115568911299,8.443115568911299,8.443115568911299,1.73,347.29163275817,0.87787699000161,,,,,,,,,36.529917883714,,
7,2021-12-21,Moscow Exchange T+,97.19,97.2,1.0000000000005116,97.195,97.12,96.77,97.36,97.2,97.19,97.18,97.18,97.2,97.2,97.19,Avg,18135297.0,198,18662,5.25,2022-12-09,8.5054188755892,8.5054188755892,8.4937391790225,8.4937391790225,8.4937391790225,1.58,348.28908524585,0.87941844913803,,,,,,,,,35.866453940465,,
8,2021-12-20,Moscow Exchange T+,97.02,97.05,3.0000000000001137,97.035,96.55,96.55,97.05,97.05,97.04,97.04,97.04,97.05,97.05,97.04,Avg,32844385.0,292,33846,5.25,2022-12-09,8.671368304821101,8.6947434470415,8.6596844347042,8.6596844347042,8.6596844347042,1.44,349.28558705315,0.88058780226271,,,,,,,,,47.106590284044,,
9,2021-12-17,Moscow Exchange T+,96.82,96.97,15.000000000000568,96.895,97.09,96.58,97.24,96.74,96.98,96.98,96.98,96.91,96.91,96.98,Avg,19074603.6,318,19669,5.25,2022-12-09,8.713814856619399,8.8997670350677,8.72541852428,8.992978487563601,8.795091843611399,1.01,352.2846927376,0.8878021096213,,,,,,,,,40.780478341811,,
