,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,96.48,97.1,61.999999999999034,96.79,97.0,96.2,97.1,97.1,97.01,96.91,96.55,97.06,97.06,97.01,Avg,112527.6,9.0,116.0,6.1,2030-11-25,,,,,,4.01,,,2023-03-10,9.0858141726957,9.6076242886301,8.9977389165928,8.9977389165928,9.036864445341,417.31278056684,1.04809474555,86.08070684979,,
1,2021-12-29,Moscow Exchange T+,96.57,96.89,32.00000000000074,96.73,94.57,93.85,96.89,96.89,96.48,96.48,96.48,96.89,96.89,96.48,Avg,701418.7,14.0,727.0,6.1,2030-11-25,,,,,,3.84,,,2023-03-10,9.6003700087781,9.5115828764148,9.1971549396229,9.1971549396229,9.1971549396229,418.26659146359,1.0455583926694,131.27066665178,,
2,2021-12-28,Moscow Exchange T+,96.26,96.3,3.999999999999204,96.28,96.4,96.25,96.4,96.3,96.29,96.29,96.29,96.3,96.3,96.29,Avg,7941259.4,33.0,8247.0,6.1,2030-11-25,,,,,,3.68,,,2023-03-10,9.7796899540611,9.8093623207507,9.7698030349305,9.7698030349305,9.7698030349305,419.25050684409,1.0463060390141,154.90466961943,,
3,2021-12-27,Moscow Exchange T+,96.24,96.44,20.000000000000284,96.34,96.49,94.57,96.49,96.44,96.19,96.45,,96.44,96.44,96.19,Avg,329919.9,33.0,343.0,6.1,2030-11-25,,,,,,3.51,,,2023-03-10,9.8708379155913,9.8214385542928,9.6243231642672,9.6243231642672,9.6243231642672,420.24233344247,1.0479112388594,165.23176712502,,
4,2021-12-24,Moscow Exchange T+,95.71,96.49,78.00000000000011,96.1,94.55,94.53,96.49,96.49,96.43,96.43,96.43,96.49,96.49,96.43,Avg,4072320.2,28.0,4223.0,6.1,2030-11-25,,,,,,3.01,,,2023-03-10,9.6115459328583,10.320073556831,9.5529498862429,9.5529498862429,9.5529498862429,423.26558882404,1.0579467156801,142.64009249982,,
5,2021-12-23,Moscow Exchange T+,96.04,96.39,34.99999999999943,96.215,96.33,96.01,96.4,96.01,96.28,94.29,,96.01,96.01,96.28,Avg,61621.7,5.0,64.0,6.1,2030-11-25,,,,,,2.84,,,2023-03-10,9.7508700757223,9.9860974482666,9.6434245319784,10.015578377455,10.015578377455,424.25309150613,1.0590688130319,160.79513006464,,
6,2021-12-22,Moscow Exchange T+,95.52,96.31,79.00000000000063,95.915,96.34,96.32,96.35,96.33,96.34,94.24,,96.33,96.33,96.34,Avg,66474.2,11.0,69.0,6.1,2030-11-25,,,,,,2.67,,,2023-03-10,9.6849393121301,10.490443784356,9.7141825644368,9.6946851676131,9.6946851676131,425.25900500086,1.062217996101,154.86391951555,,
7,2021-12-21,Moscow Exchange T+,95.08,96.2,112.00000000000044,95.64,,,,,,94.18,,95.76,95.76,94.18,Market,,,,6.1,2030-11-25,,,,,,2.51,,,2023-03-10,11.821882335532,10.916977207814,9.8130151269886,,10.243832724971,426.06776102059,1.0439002723996,356.06327284416,,
8,2021-12-20,Moscow Exchange T+,94.56,95.92,135.99999999999994,95.24,93.94,93.94,96.0,96.0,95.26,94.18,,95.76,95.76,95.26,Avg,65728.8,11.0,69.0,6.1,2030-11-25,,,,,,2.34,,,2023-03-10,10.728319176885,11.426666753659,10.078608690199,10.0004234746,10.235345427764,427.16551969236,1.0569260881115,240.09764328798,,
9,2021-12-17,Moscow Exchange T+,95.03,95.55,51.9999999999996,95.29,,,,,,94.15,94.15,94.15,94.15,94.15,Market,,,,6.1,2030-11-25,,,,,,1.84,,,2023-03-10,11.803208513374,10.925691459863,10.414244870887,,11.803208513374,430.06942845707,1.0538806733715,336.58846383692,,
