,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,91.05,91.26,21.000000000000796,91.155,91.29,90.91,91.3,91.26,91.02,91.02,91.02,91.26,91.26,91.02,Avg,3564245.9,106,3916,6.75,2030-11-25,,,,,,4.44,,,2025-06-05,10.148552413018,10.136835520642,10.054966706311,10.054966706311,10.054966706311,1125.2037564174,2.7987204098905,174.78045359842,,
1,2021-12-29,Moscow Exchange T+,91.21,91.3,9.000000000000341,91.255,89.31,88.86,91.3,91.3,90.49,90.49,90.49,91.28,91.28,90.49,Avg,3206946.3,132,3544,6.75,2030-11-25,,,,,,4.25,,,2025-06-05,10.354253520892,10.072450443022,10.037441668917,10.037441668917,10.045217265801,1125.7673597697,2.7949028133939,188.38200722368,,
2,2021-12-28,Moscow Exchange T+,91.12,91.2,7.999999999999829,91.16,91.29,89.13,91.5,91.2,91.24,91.24,91.24,91.2,91.2,91.24,Avg,1067499.1,71,1170,6.75,2030-11-25,,,,,,4.07,,,2025-06-05,10.058414867967,10.10511291833,10.073971431577,10.073971431577,10.073971431577,1127.3947758101,2.8064667423605,162.48656093287,,
3,2021-12-27,Moscow Exchange T+,91.0,91.15,15.000000000000568,91.075,91.3,90.12,91.3,91.15,90.8,90.8,90.8,91.15,91.15,90.8,Avg,1534507.5,118,1690,6.75,2030-11-25,,,,,,3.88,,,2025-06-05,10.227971643367,10.14986416052,10.091439360796,10.091439360796,10.091439360796,1128.035346099,2.803741873733,176.2007673182,,
4,2021-12-24,Moscow Exchange T+,90.91,90.99,7.999999999999829,90.95,90.8,90.19,91.3,90.91,90.45,90.45,90.45,90.9,90.9,90.45,Avg,1695981.7,92,1875,6.75,2030-11-25,,,,,,3.33,,,2025-06-05,10.357933136736,10.178065095992,10.146912286992,10.178065095992,10.181961865317,1130.7595474502,2.8072031387529,195.11073605723,,
5,2021-12-23,Moscow Exchange T+,90.76,90.8,3.999999999999204,90.78,90.3,89.75,90.8,90.71,90.22,90.22,90.22,90.71,90.71,90.22,Avg,2153582.0,82,2387,6.75,2030-11-25,,,,,,3.14,,,2025-06-05,10.44611889813,10.234502922295,10.218897020484,10.254023693278,10.254023693278,1131.5722535376,2.8069777243662,196.83847244341,,
6,2021-12-22,Moscow Exchange T+,90.09,90.29,20.000000000000284,90.19,90.3,89.22,90.3,90.29,90.26,90.02,90.02,90.09,90.09,90.26,Avg,970460.9,97,1078,6.75,2030-11-25,,,,,,2.96,,,2025-06-05,10.427783189238,10.494677436796,10.415996428264,10.415996428264,10.494677436796,1132.6112059355,2.8100214549319,188.67711114029,,
7,2021-12-21,Moscow Exchange T+,90.01,90.22,20.999999999999375,90.115,89.63,89.56,90.46,90.21,89.97,89.97,89.97,90.21,90.21,89.97,Avg,847531.7,65,942,6.75,2030-11-25,,,,,,2.77,,,2025-06-05,10.539721048308,10.523947412375,10.441294757406,10.445224556559,10.445224556559,1133.3733235674,2.8090647994111,190.02432597041,,
8,2021-12-20,Moscow Exchange T+,89.27,89.49,21.999999999999886,89.38,88.82,88.82,89.72,89.3,89.39,89.35,,89.34,89.34,89.39,Avg,450532.7,80,504,6.75,2030-11-25,,,,,,2.59,,,2025-06-05,10.766702289034,10.814473995639,10.72696032444,10.802522734847,10.786596367192,1133.8903613567,2.8045873633736,209.09372802129,,
9,2021-12-17,Moscow Exchange T+,89.14,89.46,31.99999999999932,89.3,88.99,88.5,89.48,89.46,88.88,88.88,88.88,89.46,89.46,88.88,Avg,502155.8,79,565,6.75,2030-11-25,,,,,,2.03,,,2025-06-05,10.962253681803,10.858450955859,10.731267804726,10.731267804726,10.731267804726,1136.4736336955,2.806023030692,224.99099371239,,
