,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,82.36,82.97,60.99999999999994,82.665,81.45,81.22,84.5,82.35,82.87,82.87,82.87,83.03,83.03,82.87,Avg,7424595.5,391,8959,6.75,2023-12-12,18.247256204677,18.642326178371,18.1702389837,18.650111039714,18.124098580265,2.96,673.19210037132,1.5597502876795,,,,,,,,,990.62913685307,,
1,2021-12-29,Moscow Exchange T+,81.01,81.39,37.999999999999545,81.2,80.0,78.8,81.45,81.39,80.17,80.17,80.17,81.39,81.39,80.17,Avg,1670771.6,208,2084,6.75,2023-12-12,20.365730117988,19.690099848101,19.388060594263003,19.388060594263003,19.388060594263003,2.77,673.44068758164,1.5328640285463,,,,,,,,,1194.3129642554,,
2,2021-12-28,Moscow Exchange T+,78.8,79.04,24.00000000000091,78.92,79.8,78.55,82.89,79.48,80.33,80.33,80.33,79.48,79.48,80.33,Avg,2664571.7,372,3317,6.75,2023-12-12,20.217864413672,21.471737922598997,21.272533140574,20.909781015154,20.909781015154,2.59,674.49317573182,1.5371480086317,,,,,,,,,1184.3418831919,,
3,2021-12-27,Moscow Exchange T+,78.91,79.0,9.000000000000341,78.955,75.0,73.53,80.69,79.0,78.75,78.75,78.75,79.0,79.0,78.75,Avg,4157041.6,397,5279,6.75,2023-12-12,21.494087022498,21.361233163393003,21.286688619793,21.286688619793,21.286688619793,2.4,675.03995473896,1.5222341916845,,,,,,,,,1310.1814304145,,
4,2021-12-24,Moscow Exchange T+,73.19,73.48,29.000000000000625,73.335,72.97,72.02,75.99,73.48,73.48,73.48,73.48,73.36,73.36,73.48,Avg,2815817.0,246,3832,6.75,2023-12-12,26.042444320206997,26.311027349285,26.042444320206997,26.042444320206997,26.153379742039,1.85,676.4212019976,1.4703053265836,,,,,,,,,1769.6130390189,,
5,2021-12-23,Moscow Exchange T+,71.85,71.86,1.0000000000005116,71.855,71.5,70.1,72.5,71.86,71.64,71.64,71.64,71.86,71.86,71.64,Avg,3935448.0,269,5493,6.75,2023-12-12,27.747398417836997,27.546380149705,27.536830889264003,27.536830889264003,27.536830889264003,1.66,676.81306993708,1.4515226191333,,,,,,,,,1938.8893288411,,
6,2021-12-22,Moscow Exchange T+,70.83,71.5,67.00000000000017,71.165,69.75,69.75,71.9,71.5,70.89,70.89,70.89,71.5,71.5,70.89,Avg,1206536.5,174,1702,6.75,2023-12-12,28.442980567905003,28.501459840160997,27.852825242509,27.852825242509,27.852825242509,1.48,677.56476583816,1.4452652967149,,,,,,,,,2006.1137191448,,
7,2021-12-21,Moscow Exchange T+,69.99,70.0,1.0000000000005116,69.995,71.84,69.06,71.84,70.0,69.98,69.98,69.98,70.0,70.0,69.98,Avg,2918143.7,183,4170,6.75,2023-12-12,29.308174598105,29.298250231204,29.28832809295,29.28832809295,29.28832809295,1.29,678.25575670197,1.4370591462171,,,,,,,,,2080.7728193826,,
8,2021-12-20,Moscow Exchange T+,69.82,70.1,28.000000000000114,69.96,70.66,69.5,70.66,70.1,70.05,70.05,70.05,69.92,69.92,70.05,Avg,1362399.5,174,1945,6.75,2023-12-12,29.207769014003997,29.435949956476,29.158320186581,29.158320186581,29.336595926724,1.11,679.29162604685,1.4403723261191,,,,,,,,,2063.0860660425,,
9,2021-12-17,Moscow Exchange T+,69.4,69.88,47.99999999999898,69.64,72.39,69.0,72.39,69.98,69.78,69.78,69.78,69.98,69.98,69.78,Avg,2220339.1,225,3182,6.75,2023-12-12,29.384233225807,29.762515635558,29.285222343723,29.186433655693,29.186433655693,0.55,682.22858362885,1.4446268765532,,,,,,,,,2071.0946944181,,
10,2021-12-16,Moscow Exchange T+,70.25,70.27,1.999999999999602,70.26,72.0,69.0,72.0,69.88,70.23,70.23,70.23,69.88,69.88,70.23,Avg,2539491.8,293,3616,6.75,2023-12-12,28.910113366837997,28.890520962268003,28.870937308823,29.254403872684,29.254403872684,0.37,683.39794820973,1.4524253348936,,,,,,,,,2018.5532542823,,
11,2021-12-15,Moscow Exchange T+,69.73,70.85,111.99999999999903,70.29,71.99,69.75,71.99,70.69,70.38,70.38,70.38,70.69,70.69,70.38,Avg,2411868.7,257,3427,6.75,2023-12-12,28.734357340222,29.372843710662,28.278416262891,28.433096341617,28.433096341617,0.18,684.46071835497,1.4566700634954,,,,,,,,,1998.0342654451,,
12,2021-12-14,Moscow Exchange T+,70.0,70.45,45.00000000000029,70.225,70.82,66.51,71.87,70.0,69.86,69.86,69.86,70.14,70.14,69.86,Avg,2927228.5,297,4190,6.75,2023-12-12,29.213756914479,29.076053377809004,28.636344753926004,29.076053377809004,28.938781116946,,685.2894869674,1.4530228735544,,,,,,,,,2043.3918319092,,
13,2021-12-13,Moscow Exchange T+,70.18,71.15,96.99999999999989,70.665,69.88,69.88,72.0,70.0,71.12,71.12,71.12,70.0,70.0,71.12,Avg,2996182.2,293,4213,6.75,2023-12-12,27.959777025902,28.868245590395,27.931093405872996,29.044386162234,29.044386162234,33.47,655.76203042514,1.4040414451261,,,,,,,,,1924.4615585283,,
14,2021-12-10,Moscow Exchange T+,69.31,69.99,67.99999999999926,69.65,70.5,69.0,70.5,69.5,69.97,69.97,69.97,69.5,69.5,69.97,Avg,7830857.0,153,11191,6.75,2023-12-12,28.977380504191004,29.626739785210997,28.957852724878,29.438813585983,29.438813585983,32.92,657.97231992228,1.3976589407779,,,,,,,,,2024.0092505269,,
15,2021-12-09,Moscow Exchange T+,68.82,68.99,17.00000000000017,68.905,69.9,67.81,70.0,68.99,68.98,68.98,68.98,68.99,68.99,68.98,Avg,4215130.0,192,6111,6.75,2023-12-12,29.922283426353,30.082109457603,29.912313570084,29.912313570084,29.912313570084,32.73,658.23724232319,1.3880526553532,,,,,,,,,2119.5580788581,,
16,2021-12-08,Moscow Exchange T+,67.58,68.86,128.0000000000001,68.22,69.99,67.5,70.97,68.87,68.32,68.32,68.32,67.63,67.63,68.32,Avg,1962095.5,216,2872,6.75,2023-12-12,30.550636263553,31.304900497214,30.008249674641004,29.99826828048,31.253529984459,32.55,658.74748119573,1.3824426072278,,,,,,,,,2178.3586113916,,
17,2021-12-07,Moscow Exchange T+,67.9,67.98,7.999999999999829,67.94,74.91,66.58,74.91,67.98,68.3,68.3,68.3,67.98,67.98,68.3,Avg,2061285.6,200,3018,6.75,2023-12-12,30.537249605804,30.942919872236,30.861487112268,30.861487112268,30.861487112268,32.36,659.75792301768,1.3847051005989,,,,,,,,,2177.0450286375,,
18,2021-12-06,Moscow Exchange T+,68.16,68.3,14.000000000000057,68.23,68.05,66.39,70.89,68.16,69.09,69.09,69.09,68.23,68.23,69.09,Avg,2344904.0,209,3394,6.75,2023-12-12,29.713607655326,30.644093479851,30.502754525205,30.644093479851,30.573367311773,32.18,661.39972626029,1.3969652662531,,,,,,,,,2097.2956029992,,
19,2021-12-03,Moscow Exchange T+,68.05,69.07,101.9999999999996,68.56,70.49,66.2,72.0,68.05,69.7,69.7,69.7,68.56,68.56,69.7,Avg,7023242.9,316,10076,6.75,2023-12-12,29.019485237341,30.653528838836003,29.636196931502003,30.653528838836003,30.141908518109,31.62,664.93960140462,1.41199783061,,,,,,,,,2028.6497184622,,
20,2021-12-02,Moscow Exchange T+,69.77,69.79,2.000000000001023,69.78,73.0,69.3,73.0,69.76,70.0,70.0,70.0,69.76,69.76,70.0,Avg,4269450.4,350,6099,6.75,2023-12-12,28.697421461309,28.91971592463,28.900340609277,28.929406832061,28.929406832061,31.44,666.18978205312,1.4181927379375,,,,,,,,,1997.4645929361,,
21,2021-12-01,Moscow Exchange T+,69.8,70.79,99.00000000000092,70.295,70.0,63.0,75.0,70.5,70.46,70.46,70.46,69.91,69.91,70.46,Avg,22812423.4,1141,32378,6.75,2023-12-12,28.226527129977004,28.859993410493,27.913251875772,28.188432644964003,28.753768405773,31.25,667.55521369653,1.4263182779919,,,,,,,,,1954.376037246,,
22,2021-11-30,Moscow Exchange T+,69.8,69.98,18.000000000000682,69.89,69.49,65.0,70.88,70.0,67.84,67.84,67.84,70.0,70.0,67.84,Avg,11860544.3,588,17482,6.75,2023-12-12,30.763069062354997,28.8284701478,28.655048825847,28.63582270681,28.63582270681,31.07,666.58173487385,1.3966109403188,,,,,,,,,2206.8723258216,,
23,2021-11-29,Moscow Exchange T+,66.6,66.98,38.000000000000966,66.79,69.86,64.52,69.86,66.61,66.38,66.38,66.38,67.07,67.07,66.38,Avg,7681039.4,527,11572,6.75,2023-12-12,32.226069679653,31.997316569746996,31.604961353801,31.986946715013,31.512543322931,30.88,666.43797294888,1.3808604192482,,,,,,,,,2354.2826044246,,
24,2021-11-26,Moscow Exchange T+,65.86,65.9,4.000000000000625,65.88,73.89,65.03,73.89,65.9,67.85,67.85,67.85,65.9,65.9,67.85,Avg,11927832.2,967,17580,6.75,2023-12-12,30.618187510992,32.660586451453,32.618588822536,32.618588822536,32.618588822536,30.33,670.69478492309,1.4067872121857,,,,,,,,,2183.4518822392,,
25,2021-11-25,Moscow Exchange T+,71.41,71.99,57.99999999999983,71.7,79.81,70.76,79.81,71.0,73.17,73.17,73.17,71.0,71.0,73.17,Avg,9714341.0,623,13276,6.75,2023-12-12,25.5628450746,27.159872340371,26.626879914546,27.540720307675,27.540720307675,30.14,675.61411804516,1.4741602761435,,,,,,,,,1677.0412136137,,
26,2021-11-24,Moscow Exchange T+,74.4,74.7,29.999999999999716,74.55,79.99,74.02,79.99,74.4,76.42,76.42,76.42,74.4,74.4,76.42,Avg,9606536.4,837,12570,6.75,2023-12-12,22.743050306632,24.457094458466,24.197991708710003,24.457094458466,24.457094458466,29.96,678.77805004596,1.5150885413807,,,,,,,,,1386.2547413722,,
27,2021-11-23,Moscow Exchange T+,75.95,76.0,4.999999999999716,75.975,79.14,74.12,82.0,75.99,77.47,77.47,77.47,75.99,75.99,77.47,Avg,46098517.9,2578,59507,6.75,2023-12-12,21.859585428367,23.113749733677,23.071876525199,23.080247748523,23.080247748523,29.77,680.45261989537,1.5298375967591,,,,,,,,,1288.1845445851,,
28,2021-11-22,Moscow Exchange T+,74.2,75.97,176.9999999999996,75.085,90.97,62.08,90.97,75.0,78.72,78.72,78.72,75.0,75.0,78.72,Avg,39196087.2,1901,49789,6.75,2023-12-12,20.837129772605,24.582055671312,23.074463732928,23.893826475559,23.893826475559,29.59,682.23124261571,1.5468148702433,,,,,,,,,1192.1852589311,,
29,2021-11-19,Moscow Exchange T+,94.96,95.0,4.000000000000625,94.98,95.0,94.71,95.0,95.0,94.98,94.99,,95.0,95.0,94.98,Avg,482522.5,80,508,6.75,2023-12-12,9.7071704811213,9.7189693521935,9.6953754364191,9.6953754364191,9.6953754364191,29.03,693.55448941171,1.7320192269351,,,,,,,,,107.09552749406,,
30,2021-11-18,Moscow Exchange T+,94.98,95.0,1.999999999999602,94.99,96.07,94.5,96.07,95.0,94.95,94.95,94.95,95.0,95.0,94.95,Avg,4959139.1,104,5223,6.75,2023-12-12,9.7208167864695,9.7031400037004,9.6913602570934,9.6913602570934,9.6913602570934,28.85,694.54446441422,1.7342757756202,,,,,,,,,112.17385065171,,
31,2021-11-17,Moscow Exchange T+,94.97,95.09,12.000000000000457,95.03,94.38,94.36,96.2,94.98,95.11,95.11,95.11,95.0,95.0,95.11,Avg,1243072.2,83,1307,6.75,2023-12-12,9.6233091700418,9.7055953249,9.6350529182665,9.6997115522219,9.6879468666993,28.66,695.61608629955,1.7384965945107,,,,,,,,,112.34202549782,,
32,2021-11-16,Moscow Exchange T+,95.27,95.3,3.0000000000001137,95.285,96.26,94.49,96.26,95.3,95.2,95.2,95.2,95.3,95.3,95.2,Avg,26842867.5,163,28195,6.75,2023-12-12,9.5666723142736,9.5257117753812,9.5081714289952,9.5081714289952,9.5081714289952,28.48,696.65767668878,1.7419997602334,,,,,,,,,106.80309559445,,
33,2021-11-15,Moscow Exchange T+,95.15,95.29,14.000000000000057,95.22,94.5,94.5,96.27,95.29,95.28,95.28,95.28,95.29,95.29,95.28,Avg,8082015.5,165,8482,6.75,2023-12-12,9.5166844395068,9.592681768836,9.5108450958473,9.5108450958473,9.5108450958473,28.29,697.6943778699,1.7453883451656,,,,,,,,,107.99062134653,,
34,2021-11-12,Moscow Exchange T+,95.47,95.5,3.0000000000001137,95.485,95.38,95.36,96.27,95.5,95.51,95.51,95.51,95.5,95.5,95.51,Avg,6077589.9,95,6363,6.75,2023-12-12,9.372496338408,9.3956875607725,9.3782927453302,9.3782927453302,9.3782927453302,27.74,700.80020614065,1.7554692715692,,,,,,,,,99.283891570901,,
35,2021-11-11,Moscow Exchange T+,95.35,95.39,4.000000000000625,95.37,95.5,95.01,95.5,95.39,95.35,95.35,95.35,95.39,95.39,95.35,Avg,1739127.5,177,1824,6.75,2023-12-12,9.4622692432362,9.4622692432362,9.4390625313916,9.4390625313916,9.4390625313916,27.55,701.73432250487,1.7563675602344,,,,,,,,,118.69599715426,,
36,2021-11-10,Moscow Exchange T+,95.2,95.3,9.999999999999432,95.25,95.79,94.5,95.8,95.3,94.89,94.89,94.89,95.3,95.3,94.89,Avg,6893582.9,171,7265,6.75,2023-12-12,9.7262323678694,9.5456661378975,9.487611350728,9.487611350728,9.487611350728,27.37,702.54048577908,1.7541552395021,,,,,,,,,134.90435603272,,
37,2021-11-09,Moscow Exchange T+,95.45,95.49,3.999999999999204,95.47,95.78,95.35,96.11,95.47,95.71,95.71,95.71,95.47,95.47,95.71,Avg,6786048.5,87,7090,6.75,2023-12-12,9.2477634097737,9.3977181868404,9.3746074584472,9.3861609658268,9.3861609658268,27.18,703.89171326022,1.7652264788752,,,,,,,,,81.839020646114,,
38,2021-11-08,Moscow Exchange T+,95.76,95.79,3.0000000000001137,95.775,96.1,95.41,96.1,95.79,95.78,95.78,95.78,95.79,95.79,95.78,Avg,1404099.7,69,1466,6.75,2023-12-12,9.2041868340818,9.2156721130938,9.1984455735264,9.1984455735264,9.1984455735264,27.0,704.92367294095,1.7685198618063,,,,,,,,,68.897622236233,,
39,2021-11-05,Moscow Exchange T+,96.01,96.12,10.999999999999943,96.065,95.9,95.9,96.17,96.12,96.08,95.86,,96.12,96.12,96.08,Avg,141231.4,37,147,6.75,2023-12-12,9.0237036012733,9.0635748159431,9.000940018456099,9.000940018456099,9.000940018456099,26.45,708.05599134985,1.7793189593433,,,,,,,,,49.257349950761,,
40,2021-11-03,Moscow Exchange T+,95.7,95.8,9.999999999999432,95.75,96.27,95.34,96.27,95.8,95.73,95.73,95.73,95.74,95.74,95.73,Avg,762996.5,78,797,6.75,2023-12-12,9.2174833880782,9.2346183594951,9.1775337289623,9.1775337289623,9.211773557104,26.08,709.91392153123,1.7808226189572,,,,,,,,,67.530543576495,,
41,2021-11-02,Moscow Exchange T+,95.79,95.8,0.9999999999990904,95.795,95.9,95.79,95.9,95.8,95.87,95.87,95.87,95.8,95.8,95.87,Avg,1710254.5,83,1784,6.75,2023-12-12,9.135017496176,9.1805702790205,9.1748729987394,9.1748729987394,9.1748729987394,25.89,710.97439294516,1.7848304731642,,,,,,,,,64.876800695528,,
42,2021-11-01,Moscow Exchange T+,95.88,95.9,2.000000000001023,95.89,96.0,95.51,96.0,95.9,95.8,95.8,95.8,95.9,95.9,95.8,Avg,788449.8,122,823,6.75,2023-12-12,9.1716529297965,9.1261645507284,9.1148015240699,9.1148015240699,9.1148015240699,25.71,711.94753063936,1.7866736716794,,,,,,,,,72.563641589297,,
43,2021-10-29,Moscow Exchange T+,95.66,95.69,3.0000000000001137,95.675,95.5,95.5,96.0,95.69,95.71,95.71,95.71,95.69,95.69,95.71,Avg,671892.8,87,702,6.75,2023-12-12,9.2142458006196,9.2426405644814,9.2256009863413,9.2256009863413,9.2256009863413,25.15,714.91629591563,1.7934242634484,,,,,,,,,82.030503992796,,
44,2021-10-28,Moscow Exchange T+,95.78,95.9,12.000000000000457,95.84,96.25,95.76,96.25,95.9,95.9,95.94,,95.9,95.9,95.9,Avg,284818.4,76,297,6.75,2023-12-12,9.1034448681945,9.1713393273647,9.1034448681945,9.1034448681945,9.1034448681945,24.97,715.99754031057,1.7979607326892,,,,,,,,,68.784469323877,,
45,2021-10-27,Moscow Exchange T+,95.94,96.0,6.000000000000227,95.97,96.93,94.1,96.95,96.0,95.83,95.83,95.83,96.0,96.0,95.83,Avg,789602.2,78,824,6.75,2023-12-12,9.1404536046888,9.0783379674864,9.0445025101149,9.0445025101149,9.0445025101149,24.78,716.97040719302,1.7997932211049,,,,,,,,,91.483951574156,,
46,2021-10-26,Moscow Exchange T+,96.59,96.89,29.999999999999716,96.74,96.99,94.03,96.99,96.89,96.7,96.5,,96.61,96.61,96.7,Avg,318150.1,32,329,6.75,2023-12-12,8.6495954075277,8.710891131099501,8.543971129356,8.543971129356,8.6997385350685,24.6,718.33000272076,1.8113527227899,,,,,,,,,48.417926707429,,
47,2021-10-25,Moscow Exchange T+,96.22,96.29,7.000000000000739,96.255,97.18,95.49,97.2,96.29,96.31,96.34,,96.29,96.29,96.31,Avg,475784.1,66,494,6.75,2023-12-12,8.865166990626399,8.9155587558831,8.876358952453401,8.876358952453401,8.876358952453401,24.41,719.1721525857,1.8098853095848,,,,,,,,,80.01514295618,,
48,2021-10-22,Moscow Exchange T+,96.32,96.69,37.000000000000455,96.505,96.15,96.15,97.16,96.69,96.58,96.64,,96.69,96.69,96.58,Avg,385343.2,56,399,6.75,2023-12-12,8.707216474123399,8.8518336695074,8.6462106845315,8.6462106845315,8.6462106845315,23.86,722.28782169341,1.8203674130839,,,,,,,,,91.305021855614,,
49,2021-10-21,Moscow Exchange T+,96.81,97.01,20.000000000000284,96.91,97.28,96.01,97.28,96.81,96.9,96.9,96.9,96.84,96.84,96.9,Avg,607561.5,75,627,6.75,2023-12-12,8.5282376800102,8.577918719559301,8.4676117457555,8.577918719559301,8.5613505611878,23.67,723.41881424978,1.8262245812493,,,,,,,,,98.100577674924,,
50,2021-10-20,Moscow Exchange T+,97.01,97.27,25.99999999999909,97.14,96.52,96.52,97.29,97.07,97.14,96.94,,97.08,97.08,97.14,Avg,274916.7,61,283,6.75,2023-12-12,8.3939148531805,8.4653414623885,8.3226335908526,8.4323572426587,8.4268628896844,23.49,724.51707058888,1.8312635707222,,,,,,,,,93.570993467732,,
51,2021-10-19,Moscow Exchange T+,97.04,97.2,15.99999999999966,97.12,96.47,96.47,97.29,97.2,96.91,96.91,96.91,97.2,97.2,96.91,Avg,2652350.1,64,2737,6.75,2023-12-12,8.5186050340352,8.4471524949465,8.359410597370399,8.359410597370399,8.359410597370399,23.3,725.42586197866,1.8314537994537,,,,,,,,,107.54965745808,,
52,2021-10-18,Moscow Exchange T+,96.95,97.08,12.999999999999543,97.015,97.1,96.8,97.1,96.95,96.95,96.95,96.95,96.95,96.95,96.95,Avg,646662.3,57,667,6.75,2023-12-12,8.4943091402326,8.4943091402326,8.4229884374509,8.4943091402326,8.4943091402326,23.12,726.44363705607,1.8344340414272,,,,,,,,,102.55901762896,,
53,2021-10-15,Moscow Exchange T+,96.96,97.0,4.000000000000625,96.98,96.47,96.47,97.27,96.95,97.08,97.08,97.08,96.98,96.98,97.08,Avg,1483397.9,46,1528,6.75,2023-12-12,8.4175040156957,8.4830958429291,8.4612182015881,8.488567396153,8.4721553083969,22.56,729.49981853276,1.8434566059798,,,,,,,,,105.16388188713,,
54,2021-10-14,Moscow Exchange T+,97.09,97.26,17.00000000000017,97.175,97.37,97.0,97.37,97.09,97.11,97.18,,97.09,97.09,97.11,Avg,190330.9,64,196,6.75,2023-12-12,8.3989672686366,8.40987234316,8.317287803466499,8.40987234316,8.40987234316,22.38,730.51337557767,1.8463335572857,,,,,,,,,105.31685321968,,
55,2021-10-13,Moscow Exchange T+,97.06,97.34,28.000000000000114,97.2,97.28,96.7,97.39,97.26,97.23,97.25,,97.25,97.25,97.23,Avg,281958.8,63,290,6.75,2023-12-12,8.3320804988915,8.4245980357657,8.2723469792674,8.315779366947899,8.3212122292611,22.19,731.56228671786,1.8501262307094,,,,,,,,,98.262143796376,,
56,2021-10-12,Moscow Exchange T+,97.29,97.3,0.9999999999990904,97.295,97.3,97.11,97.3,97.28,97.28,97.29,,97.28,97.28,97.28,Avg,225691.6,34,232,6.75,2023-12-12,8.302884358270001,8.2974605833694,8.292037654523101,8.302884358270001,8.302884358270001,22.01,732.58363293394,1.8532086733303,,,,,,,,,92.022263424154,,
57,2021-10-11,Moscow Exchange T+,97.17,97.3,12.999999999999543,97.235,97.54,97.06,97.54,97.3,97.28,97.28,97.28,97.3,97.3,97.28,Avg,1188811.9,86,1222,6.75,2023-12-12,8.301401647427301,8.3610481389383,8.2905678241481,8.2905678241481,8.2905678241481,21.82,733.58471692959,1.8557665105903,,,,,,,,,92.477651445229,,
58,2021-10-08,Moscow Exchange T+,97.18,97.39,20.999999999999375,97.285,97.1,97.1,97.4,97.4,97.35,97.35,97.35,97.4,97.4,97.35,Avg,605536.7,69,622,6.75,2023-12-12,8.258141848905801,8.3499356850535,8.2365786001449,8.2311898851853,8.2311898851853,21.27,736.61634140041,1.8641803085421,,,,,,,,,92.067880382129,,
59,2021-10-07,Moscow Exchange T+,97.3,97.39,9.000000000000341,97.345,97.05,97.05,97.4,97.39,97.4,97.4,97.4,97.39,97.39,97.4,Avg,983707.6,41,1010,6.75,2023-12-12,8.229808729037801,8.2836700473887,8.2351910899428,8.2351910899428,8.2351910899428,21.08,737.63705137086,1.8672521481331,,,,,,,,,82.518510589042,,
60,2021-10-06,Moscow Exchange T+,97.3,97.39,9.000000000000341,97.345,97.5,97.05,97.5,97.39,97.11,97.11,97.11,97.39,97.39,97.11,Avg,1348908.6,58,1389,6.75,2023-12-12,8.3841382787031,8.281692788171501,8.2332716665364,8.2332716665364,8.2332716665364,20.9,738.52422026573,1.8668359229119,,,,,,,,,92.22865040025,,
61,2021-10-05,Moscow Exchange T+,97.31,97.5,18.999999999999773,97.405,97.06,97.05,97.7,97.5,97.34,97.34,97.34,97.5,97.5,97.34,Avg,1174934.5,65,1207,6.75,2023-12-12,8.2587568612521,8.2748832759258,8.1728762359352,8.1728762359352,8.1728762359352,20.71,739.61589182732,1.8717607405311,,,,,,,,,81.695440679128,,
62,2021-10-04,Moscow Exchange T+,97.4,97.65,25.0,97.525,97.4,97.37,97.7,97.69,97.41,97.41,97.41,97.69,97.69,97.41,Avg,802697.2,61,824,6.75,2023-12-12,8.2192644373763,8.2246268431847,8.0908161419456,8.069454538735501,8.069454538735501,20.53,740.64475814804,1.8750485244037,,,,,,,,,91.140335085617,,
