,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,100.13,100.38,25.0,100.255,100.95,99.64,100.95,100.38,100.22,100.22,,100.32,100.32,100.22,Avg,336753.5,28,336,12,2023-12-13,12.409060155868,12.466103775154,12.307854632908,12.307854632908,12.345775952641,4.93,643.22253316071,1.5677148381681,,,,,,,,,407.57853585857,,
1,2021-12-29,Moscow Exchange T+,100.02,100.39,37.000000000000455,100.205,100.97,99.64,100.97,100.02,100.22,100.37,,100.02,100.02,100.22,Avg,222494.5,34,222,12,2023-12-13,12.409521243911,12.536243237508,12.302130255732,12.536243237508,12.536243237508,4.6,644.22222493397,1.5701449286041,,,,,,,,,399.51650445927,,
2,2021-12-28,Moscow Exchange T+,99.98,100.64,65.99999999999966,100.31,100.5,99.5,100.89,100.64,100.08,100.08,100.08,100.64,100.64,100.08,Avg,1143905.4,73,1143,12,2023-12-13,12.498541905765,12.561918206945998,12.145526732347,12.145526732347,12.145526732347,4.27,645.16271540099,1.5711928824562,,,,,,,,,413.32220699501,,
3,2021-12-27,Moscow Exchange T+,99.81,99.99,17.99999999999926,99.9,100.0,99.61,100.2,99.99,99.97,99.97,99.97,99.99,99.99,99.97,Avg,1201649.2,49,1202,12,2023-12-13,12.56790731802,12.669415107149002,12.55523739779,12.55523739779,12.55523739779,3.95,646.11634348401,1.5725456794439,,,,,,,,,418.70479349987,,
4,2021-12-24,Moscow Exchange T+,99.74,100.0,26.00000000000051,99.87,99.93,99.67,100.0,100.0,99.88,99.84,,99.95,99.95,99.88,Avg,335590.0,42,336,12,2023-12-13,12.625642225547,12.714254122289,12.54984943971,12.54984943971,12.581411821938,2.96,649.07774558857,1.5789434432987,,,,,,,,,428.87993501173,,
5,2021-12-23,Moscow Exchange T+,99.64,99.88,23.99999999999949,99.76,99.45,99.45,100.1,99.89,99.85,99.33,,99.89,99.89,99.85,Avg,145785.1,22,146,12,2023-12-13,12.644826055434,12.777723868071,12.625877664441,12.619563585683998,12.619563585683998,2.63,650.06492026425,1.5810755308632,,,,,,,,,430.11724005989,,
6,2021-12-22,Moscow Exchange T+,99.13,99.42,29.000000000000625,99.275,99.1,99.0,99.41,99.41,99.15,99.11,,99.41,99.41,99.15,Avg,251853.1,22,254,12,2023-12-13,13.089275655039,13.102042698371,12.917328497384,12.923683399125,12.923683399125,2.3,650.76775183237,1.5765644771874,,,,,,,,,472.60334656452,,
7,2021-12-21,Moscow Exchange T+,99.01,99.1,8.99999999999892,99.055,97.77,97.77,99.46,99.09,99.06,98.83,,99.09,99.09,99.06,Avg,275392.1,44,278,12,2023-12-13,13.146381100546002,13.178315060225,13.120852748770002,13.127233269844,13.127233269844,1.97,651.72956548173,1.5780977137818,,,,,,,,,466.35318454346,,
8,2021-12-20,Moscow Exchange T+,98.85,99.1,25.0,98.975,99.11,98.5,99.49,99.1,98.85,98.85,98.85,99.1,99.1,98.85,Avg,764093.3,63,773,12,2023-12-13,13.280147004842998,13.280147004842998,13.120512451805,13.120512451805,13.120512451805,1.64,652.64011245343,1.5784364249948,,,,,,,,,472.02145092681,,
9,2021-12-17,Moscow Exchange T+,98.9,99.0,9.999999999999432,98.95,99.78,98.82,99.78,99.0,98.98,99.0,,99.0,99.0,98.98,Avg,246457.8,41,249,12,2023-12-13,13.195171462671,13.246099279905,13.182449925307,13.182449925307,13.182449925307,0.66,655.69693862594,1.5870199635067,,,,,,,,,453.59004217632,,
