,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,94.57,94.58,1.0000000000005116,94.575,96.1,94.57,96.1,94.58,94.83,94.83,94.83,94.58,94.58,94.83,Avg,4769075.4,83.0,5029.0,5.95,2023-12-24,9.0426244730458,9.2004738979899,9.1943903130228,9.1943903130228,9.1943903130228,1.3,691.83759335758,1.7382610427927,,,,,,,,,69.730405806458,,
1,2021-12-29,Moscow Exchange T+,94.45,94.5,4.999999999999716,94.475,94.06,94.0,95.9,94.5,94.52,94.52,94.52,94.5,94.5,94.52,Avg,3160830.6,68.0,3344.0,5.95,2023-12-24,9.2267147889183,9.2693067861232,9.2388789350553,9.2388789350553,9.2388789350553,1.14,692.77820053833,1.7376907022208,,,,,,,,,79.928025793723,,
2,2021-12-28,Moscow Exchange T+,94.45,94.5,4.999999999999716,94.475,94.71,94.07,96.0,94.5,94.47,94.56,94.56,94.5,94.5,94.47,Avg,1695371.4,107.0,1793.0,5.95,2023-12-24,9.252914589307,9.2650727435831,9.2346848425533,9.2346848425533,9.2346848425533,0.98,693.76974666818,1.7397604806359,,,,,,,,,87.311035010237,,
3,2021-12-27,Moscow Exchange T+,94.61,94.7,9.000000000000341,94.655,94.7,94.06,95.49,94.7,94.76,94.75,,94.7,94.7,94.76,Avg,411276.3,29.0,434.0,5.95,2023-12-24,9.0730951085286,9.1638264372719,9.10936089839,9.10936089839,9.10936089839,0.82,694.82776355963,1.7452862289169,,,,,,,,,67.380920384207,,
4,2021-12-24,Moscow Exchange T+,94.52,94.7,18.000000000000682,94.61,94.57,94.25,94.9,94.7,94.71,94.71,94.71,94.7,94.7,94.71,Avg,733969.4,45.0,775.0,5.95,2023-12-24,9.0919559427023,9.2065660651964,9.0979791736754,9.0979791736754,9.0979791736754,0.33,697.82167889279,1.7525033808623,,,,,,,,,73.907392826148,,
5,2021-12-23,Moscow Exchange T+,94.21,94.57,35.99999999999994,94.39,94.48,92.75,94.58,94.46,92.97,92.94,92.94,94.52,94.52,92.97,Avg,25115044.8,116.0,27024.0,5.95,2023-12-24,10.150331044152,9.3905812205566,9.17290276825,9.2392793236195,9.2030591018913,0.16,698.48001895525,1.7373019848498,,,,,,,,,178.07858659241,,
6,2021-12-22,Moscow Exchange T+,93.88,94.19,31.000000000000227,94.035,94.0,93.58,94.4,93.58,94.13,94.13,94.13,93.86,93.86,94.13,Avg,16689052.6,102.0,17729.0,5.95,2023-12-24,9.4347246202889,9.5866516319619,9.398355042323,9.7697929264666,9.5988328281398,,699.71107488027,1.7517443847546,,,,,,,,,103.85700911166,,
7,2021-12-21,Moscow Exchange T+,93.92,93.95,3.0000000000001137,93.935,94.0,93.68,94.0,93.93,93.78,93.78,93.78,93.95,93.95,93.78,Avg,7932152.1,128.0,8458.0,5.95,2023-12-24,9.6424726955472,9.5572918964282,9.5390644256669,9.5512150719511,9.5390644256669,29.67,679.07733504494,1.6968660079423,,,,,,,,,114.15045230952,,
8,2021-12-20,Moscow Exchange T+,93.81,93.99,17.99999999999926,93.9,93.8,93.36,93.99,93.99,93.72,93.72,93.72,93.99,93.99,93.72,Avg,6757473.4,97.0,7210.0,5.95,2023-12-24,9.6738810841488,9.6191195902149,9.5098400019609,9.5098400019609,9.5098400019609,29.51,680.05602974512,1.6988249037632,,,,,,,,,109.65126343363,,
9,2021-12-17,Moscow Exchange T+,93.47,93.83,35.99999999999994,93.65,93.84,93.22,93.84,93.83,93.55,93.55,93.55,93.83,93.83,93.55,Avg,4790601.0,56.0,5121.0,5.95,2023-12-24,9.7623576748584,9.8110425267501,9.5924659073693,9.5924659073693,9.5924659073693,29.02,682.99599988817,1.7047938447576,,,,,,,,,108.86962323685,,
10,2021-12-16,Moscow Exchange T+,93.34,93.56,21.999999999999886,93.45,93.42,93.01,93.56,93.56,93.55,93.55,93.55,93.55,93.55,93.55,Avg,5112491.6,37.0,5465.0,5.95,2023-12-24,9.7577346956362,9.8854992919156,9.7516617146438,9.7516617146438,9.7577346956362,28.85,683.99913698466,1.7073696386963,,,,,,,,,103.28933010427,,
11,2021-12-15,Moscow Exchange T+,93.49,93.55,6.000000000000227,93.52,93.83,93.47,93.85,93.55,93.61,93.6,,93.55,93.55,93.61,Avg,240577.5,27.0,257.0,5.95,2023-12-24,9.7161468977036,9.7889305496042,9.75252071125,9.75252071125,9.75252071125,28.69,685.0273555613,1.7105843839561,,,,,,,,,96.191400694244,,
12,2021-12-14,Moscow Exchange T+,93.32,93.5,18.000000000000682,93.41,93.85,93.26,93.85,93.48,93.59,93.62,,93.48,93.48,93.59,Avg,236793.4,34.0,253.0,5.95,2023-12-24,9.723103204089,9.8869029902325,9.7776220433297,9.7897483369899,9.7897483369899,28.53,686.02263579624,1.7129610955121,,,,,,,,,94.301901705929,,
13,2021-12-13,Moscow Exchange T+,93.4,93.61,20.999999999999375,93.505,93.85,92.84,93.85,93.62,93.66,93.66,93.66,93.62,93.62,93.66,Avg,6785461.9,53.0,7245.0,5.95,2023-12-24,9.6762687810065,9.8335979398887,9.7064720466838,9.7004294035765,9.7004294035765,28.36,687.05440996107,1.7162699553236,,,,,,,,,94.855511669404,,
14,2021-12-10,Moscow Exchange T+,93.62,93.7,7.999999999999829,93.66,93.85,93.62,93.85,93.7,93.67,93.67,93.67,93.7,93.7,93.67,Avg,2142342.7,35.0,2287.0,5.95,2023-12-24,9.6550807776511,9.6851581265887,9.6370462342113,9.6370462342113,9.6370462342113,27.88,690.06878283694,1.7241329737072,,,,,,,,,90.811544111523,,
15,2021-12-09,Moscow Exchange T+,93.71,93.85,14.000000000000057,93.78,93.83,93.6,93.9,93.85,93.7,93.7,93.7,93.85,93.85,93.7,Avg,3920585.3,43.0,4184.0,5.95,2023-12-24,9.6326532791503,9.6266516452518,9.542732163577,9.542732163577,9.542732163577,27.71,691.08399529746,1.7270227002653,,,,,,,,,89.495954295159,,
16,2021-12-08,Moscow Exchange T+,93.84,93.85,0.9999999999990904,93.845,93.77,93.77,93.85,93.85,93.82,93.83,,93.85,93.85,93.82,Avg,269270.0,80.0,287.0,5.95,2023-12-24,9.5558166223488,9.5438538769957,9.5378739754244,9.5378739754244,9.5378739754244,27.55,692.13610358825,1.7308650110644,,,,,,,,,77.868266619386,,
17,2021-12-07,Moscow Exchange T+,93.8,93.9,10.000000000000853,93.85,93.93,93.77,93.93,93.9,93.86,93.81,,93.9,93.9,93.86,Avg,116382.3,28.0,124.0,5.95,2023-12-24,9.5270606323404,9.5629012719457,9.5031864441738,9.5031864441738,9.5031864441738,27.39,693.15560118652,1.7338696306127,,,,,,,,,75.163062789477,,
18,2021-12-06,Moscow Exchange T+,93.73,93.89,15.99999999999966,93.81,93.79,93.74,93.95,93.74,93.88,94.21,,93.76,93.76,93.88,Avg,92936.6,20.0,99.0,5.95,2023-12-24,9.5109147784871,9.6004359101587,9.5049545224965,9.594460983361,9.5825140692626,27.22,694.16654773889,1.7366544348896,,,,,,,,,76.141338910903,,
19,2021-12-03,Moscow Exchange T+,93.7,93.72,1.999999999999602,93.71,94.39,93.65,95.0,93.73,94.23,94.23,94.23,93.73,93.73,94.23,Avg,1174148.2,26.0,1246.0,5.95,2023-12-24,9.2899790602987,9.6042196894581,9.5923120284325,9.5863596611265,9.5863596611265,26.73,697.31627126441,1.7480610337172,,,,,,,,,54.86593468924,,
20,2021-12-02,Moscow Exchange T+,93.66,93.89,23.0000000000004,93.775,93.96,93.64,93.96,93.67,93.69,93.85,,93.67,93.67,93.69,Avg,242658.0,20.0,259.0,5.95,2023-12-24,9.6052840431522,9.6231322640544,9.4865196914325,9.6171818821517,9.6171818821517,26.57,698.10255796989,1.7449977567776,,,,,,,,,87.485970151855,,
21,2021-12-01,Moscow Exchange T+,93.84,93.95,10.999999999999943,93.895,94.34,93.85,94.34,93.95,93.98,93.98,93.98,93.95,93.95,93.98,Avg,10132656.6,36.0,10782.0,5.95,2023-12-24,9.4285531047254,9.5114162396897,9.4462935410452,9.4462935410452,9.4462935410452,26.41,699.22237696973,1.7506196424705,,,,,,,,,73.32582315963,,
22,2021-11-30,Moscow Exchange T+,93.6,93.84,24.00000000000091,93.72,94.39,93.82,94.39,93.84,93.93,93.93,93.93,93.84,93.84,93.93,Avg,562620.0,36.0,599.0,5.95,2023-12-24,9.4534524235146,9.6489799558369,9.5066735165537,9.5066735165537,9.5066735165537,26.25,700.20550065698,1.7526822518615,,,,,,,,,74.842439480886,,
23,2021-11-29,Moscow Exchange T+,93.78,93.8,1.999999999999602,93.79,93.95,93.49,94.38,93.78,93.88,93.88,93.88,93.78,93.78,93.88,Avg,2029668.3,64.0,2162.0,5.95,2023-12-24,9.4789042150656,9.53801546597,9.5261854872463,9.53801546597,9.53801546597,26.08,701.18824826561,1.7547341267726,,,,,,,,,78.413372658616,,
24,2021-11-26,Moscow Exchange T+,93.55,93.6,4.999999999999716,93.575,93.97,93.11,93.97,93.6,93.34,93.34,93.34,93.6,93.6,93.34,Avg,2487601.3,81.0,2665.0,5.95,2023-12-24,9.7845972383632,9.6601654753582,9.6306018922721,9.6306018922721,9.6306018922721,25.59,703.9809075368,1.7568173165328,,,,,,,,,98.791117890882,,
25,2021-11-25,Moscow Exchange T+,93.47,93.55,7.999999999999829,93.51,93.78,93.42,93.78,93.55,93.64,93.64,93.64,93.55,93.55,93.64,Avg,3040460.3,24.0,3247.0,5.95,2023-12-24,9.6021468121821,9.7025651111153,9.655274647031,9.655274647031,9.655274647031,25.43,705.10468559692,1.7625509311237,,,,,,,,,79.764958941897,,
26,2021-11-24,Moscow Exchange T+,93.73,93.8,6.999999999999318,93.765,93.49,93.25,94.0,93.64,93.63,93.63,93.63,93.64,93.64,93.63,Avg,4981260.8,53.0,5320.0,5.95,2023-12-24,9.6032322226794,9.544359786209998,9.5032062297042,9.5973406505621,9.5973406505621,25.27,706.10394947809,1.765031312674,,,,,,,,,71.275489143745,,
27,2021-11-23,Moscow Exchange T+,93.28,93.49,20.999999999999375,93.385,94.22,93.19,94.22,93.5,93.41,93.41,93.41,93.5,93.5,93.41,Avg,5105647.1,72.0,5466.0,5.95,2023-12-24,9.7287145975504,9.8055707945842,9.6814997426951,9.6756022306906,9.6756022306906,25.1,707.01882837444,1.7652971631553,,,,,,,,,74.293079726912,,
28,2021-11-22,Moscow Exchange T+,93.74,93.97,23.0000000000004,93.855,93.99,93.61,94.0,93.74,93.87,93.93,,93.77,93.77,93.87,Avg,266589.3,59.0,284.0,5.95,2023-12-24,9.4534687071923,9.5296505852532,9.3949769298063,9.5296505852532,9.512055821516,24.94,708.20548959447,1.772706736027,,,,,,,,,52.786997833258,,
29,2021-11-19,Moscow Exchange T+,93.94,93.95,1.0000000000005116,93.945,93.5,93.41,94.0,93.95,93.98,93.98,93.98,93.95,93.95,93.98,Avg,3407773.2,57.0,3626.0,5.95,2023-12-24,9.3762469966098,9.3995386501016,9.3937143171896,9.3937143171896,9.3937143171896,24.45,711.25782395477,1.7816039825715,,,,,,,,,73.398190240628,,
30,2021-11-18,Moscow Exchange T+,93.71,94.0,29.000000000000625,93.855,94.19,94.0,94.31,94.0,94.03,94.03,94.03,94.0,94.0,94.03,Avg,9300033.6,75.0,9891.0,5.95,2023-12-24,9.3427296290506,9.5290964707267,9.3601603744334,9.3601603744334,9.3601603744334,24.29,712.28053449705,1.7847126423406,,,,,,,,,73.838444361074,,
31,2021-11-17,Moscow Exchange T+,94.14,94.28,14.000000000000057,94.21,94.38,94.1,94.38,94.27,94.34,94.38,,94.27,94.27,94.34,Avg,384901.0,33.0,408.0,5.95,2023-12-24,9.1589275228656,9.274561251726,9.1935783439571,9.1993567517718,9.1993567517718,24.13,713.40502362746,1.790540046208,,,,,,,,,65.470799369902,,
32,2021-11-16,Moscow Exchange T+,94.24,94.38,14.000000000000057,94.31,94.03,94.0,94.39,94.39,94.37,94.37,94.37,94.39,94.39,94.37,Avg,1580747.2,25.0,1675.0,5.95,2023-12-24,9.1380463841109,9.2130345943372,9.1322845855826,9.1265237179884,9.1265237179884,23.96,714.41916099125,1.7934284465294,,,,,,,,,63.535744891633,,
33,2021-11-15,Moscow Exchange T+,94.15,94.29,14.000000000000057,94.22,94.2,94.03,94.3,94.03,94.27,94.27,94.27,94.03,94.03,94.27,Avg,3009015.6,85.0,3192.0,5.95,2023-12-24,9.1915101086912,9.2607480535081,9.1799835130352,9.3301206633242,9.3301206633242,23.8,715.38296169579,1.7949685994484,,,,,,,,,75.398460027519,,
34,2021-11-12,Moscow Exchange T+,93.91,94.15,24.00000000000091,94.03,94.49,94.0,94.5,94.0,94.13,94.13,94.13,94.0,94.0,94.13,Avg,30256179.5,167.0,32144.0,5.95,2023-12-24,9.2600325004919,9.3868767577307,9.2485235900965,9.3349312862609,9.3349312862609,23.31,718.33655584042,1.8012491058503,,,,,,,,,87.723003220925,,
35,2021-11-11,Moscow Exchange T+,94.49,94.5,1.0000000000005116,94.495,94.2,94.05,94.5,94.5,94.48,94.48,,94.5,94.5,94.48,Avg,297602.8,36.0,315.0,5.95,2023-12-24,9.0551620544359,9.0494468032875,9.0437324726871,9.0437324726871,9.0437324726871,23.15,719.47526605871,1.8074936347403,,,,,,,,,77.708758044019,,
36,2021-11-10,Moscow Exchange T+,94.31,94.5,18.999999999999773,94.405,94.51,94.35,94.51,94.49,94.49,94.38,,94.49,94.49,94.49,Avg,251342.9,22.0,266.0,5.95,2023-12-24,9.0460371443033,9.1489242336907,9.0403299392767,9.0460371443033,9.0460371443033,22.98,720.48144171543,1.8101728497592,,,,,,,,,66.714784376878,,
37,2021-11-09,Moscow Exchange T+,94.35,94.49,14.000000000000057,94.42,94.44,94.15,94.49,94.49,94.23,94.23,94.23,94.49,94.49,94.23,Avg,2014626.8,38.0,2138.0,5.95,2023-12-24,9.1905917077195,9.1219652781085,9.0420687047136,9.0420687047136,9.0420687047136,22.82,721.38358357504,1.8100399940574,,,,,,,,,76.083971970074,,
38,2021-11-08,Moscow Exchange T+,94.11,94.2,9.000000000000341,94.155,94.51,94.0,94.51,94.2,94.32,94.4,,94.2,94.2,94.32,Avg,298979.2,49.0,317.0,5.95,2023-12-24,9.1350314293066,9.2551216112439,9.2036045495557,9.2036045495557,9.2036045495557,22.66,722.42120212577,1.8135663171451,,,,,,,,,61.866941213364,,
39,2021-11-05,Moscow Exchange T+,94.5,94.51,1.0000000000005116,94.505,94.49,94.49,94.51,94.51,94.51,94.51,94.51,94.51,94.51,94.51,Avg,1004609.0,49.0,1063.0,5.95,2023-12-24,9.0155459793269,9.0212165897972,9.0155459793269,9.0155459793269,9.0155459793269,22.17,725.50207632116,1.8232967633853,,,,,,,,,48.445056824471,,
40,2021-11-03,Moscow Exchange T+,94.28,94.49,20.999999999999375,94.385,94.5,93.66,94.5,94.49,94.16,94.16,94.16,94.49,94.49,94.16,Avg,1538592.8,31.0,1634.0,5.95,2023-12-24,9.2068604279838,9.1386701113941,9.0196534378659,9.0196534378659,9.0196534378659,21.84,727.37256691225,1.8247952055159,,,,,,,,,66.183394820352,,
41,2021-11-02,Moscow Exchange T+,94.33,94.5,17.00000000000017,94.415,94.69,94.13,94.69,94.5,94.51,94.51,94.51,94.5,94.5,94.51,Avg,720182.7,41.0,762.0,5.95,2023-12-24,9.0044711538601,9.1063009061931,9.0101206421636,9.0101206421636,9.0101206421636,21.68,728.50957051639,1.8310410668701,,,,,,,,,51.693623334471,,
42,2021-11-01,Moscow Exchange T+,94.34,94.5,15.99999999999966,94.42,95.5,94.2,95.5,94.58,94.39,94.48,,94.3,94.3,94.39,Avg,355866.2,57.0,377.0,5.95,2023-12-24,9.0683844171475,9.0966602032567,9.0062575636502,8.9611432332437,9.1192971996917,21.52,729.46631688311,1.8323713743027,,,,,,,,,62.188832934673,,
43,2021-10-29,Moscow Exchange T+,94.61,94.7,9.000000000000341,94.655,94.05,94.05,94.96,94.7,94.72,94.71,,94.7,94.7,94.72,Avg,435730.7,32.0,460.0,5.95,2023-12-24,8.871836660209,8.933515790195699,8.88304297537,8.88304297537,8.88304297537,21.03,732.59929841859,1.843563429351,,,,,,,,,47.137231188891,,
44,2021-10-28,Moscow Exchange T+,94.89,95.05,15.99999999999966,94.97,95.02,94.52,95.36,95.09,94.81,94.84,,95.09,95.09,94.81,Avg,486374.0,30.0,513.0,5.95,2023-12-24,8.8178521435404,8.7731822583268,8.6840133183862,8.6617565845669,8.6617565845669,20.87,733.63580638716,1.8470876550092,,,,,,,,,39.765714019643,,
45,2021-10-27,Moscow Exchange T+,94.9,95.39,48.99999999999949,95.145,95.8,94.99,95.81,95.0,95.11,95.11,95.11,95.0,95.0,95.11,Avg,732361.3,47.0,770.0,5.95,2023-12-24,8.6478058647913,8.7646326889499,8.4926426648732,8.7089521216693,8.7089521216693,20.7,734.75075457118,1.8527900770068,,,,,,,,,41.862354325079,,
46,2021-10-26,Moscow Exchange T+,95.5,95.7,20.000000000000284,95.6,95.2,95.07,96.5,95.7,96.06,96.06,96.06,95.7,95.7,96.06,Avg,564815.8,38.0,588.0,5.95,2023-12-24,8.1214105989419,8.4287662781281,8.318684112636001,8.318684112636001,8.318684112636001,20.54,736.10611952113,1.8652448977559,,,,,,,,,-4.8427017356071,,
