,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,95.12,95.72,59.99999999999943,95.42,94.7,94.25,95.75,95.74,95.12,95.12,95.12,95.73,95.73,95.12,Avg,532644.9,18.0,560.0,6.85,2030-12-09,,,,,,1.88,,,2023-12-21,9.8628531035135,9.8628531035135,9.4943466845881,9.4821253300839,9.4882355085347,681.68846234401,1.6999737127713,151.9865646955,,
1,2021-12-29,Moscow Exchange T+,95.05,95.68,63.000000000000966,95.365,94.97,94.25,95.74,95.74,94.67,95.43,,95.68,95.68,94.67,Avg,106034.2,23.0,112.0,6.85,2030-12-09,,,,,,1.69,,,2023-12-21,10.137837143372,9.9025997925204,9.5158213187284,9.4791927794375,9.5158213187284,682.59057961441,1.6979733990884,171.28914740809,,
2,2021-12-28,Moscow Exchange T+,94.75,94.9,15.000000000000568,94.825,95.47,94.08,95.5,94.9,95.42,95.42,95.42,94.9,94.9,95.42,Avg,4348353.0,40.0,4557.0,6.85,2030-12-09,,,,,,1.5,,,2023-12-21,9.6717857663673,10.084480388404,9.991690792846,9.991690792846,9.991690792846,683.75645945159,1.7081014549642,129.47058471697,,
3,2021-12-27,Moscow Exchange T+,94.53,94.93,40.00000000000057,94.73,95.49,94.54,95.49,94.93,95.07,94.88,94.88,94.93,94.93,95.07,Avg,48487.7,7.0,51.0,6.85,2030-12-09,,,,,,1.31,,,2023-12-21,9.8833645560856,10.217113328998,9.9696073056914,9.9696073056914,9.9696073056914,684.68116199822,1.7071180952397,148.75986400108,,
4,2021-12-24,Moscow Exchange T+,94.69,95.24,54.99999999999971,94.965,94.65,94.65,95.25,95.25,94.88,94.85,94.84,95.24,95.24,94.88,Avg,2474470.2,8.0,2608.0,6.85,2030-12-09,,,,,,0.75,,,2023-12-21,9.9891398453094,10.106142034113,9.7684506143286,9.7623389339671,9.7684506143286,687.64351270331,1.7128553164192,163.92947598669,,
5,2021-12-23,Moscow Exchange T+,94.34,94.65,31.000000000000227,94.495,94.39,94.21,94.65,94.3,94.41,94.24,,94.3,94.3,94.41,Avg,252078.2,15.0,267.0,6.85,2030-12-09,,,,,,0.56,,,2023-12-21,10.275321038605,10.318663608887,10.12709758656,10.343453315788,10.343453315788,688.54163174335,1.7106415213005,191.07346380504,,
6,2021-12-22,Moscow Exchange T+,94.19,94.44,25.0,94.315,94.43,93.9,94.44,94.43,94.27,94.11,,94.43,94.43,94.27,Avg,121603.3,25.0,129.0,6.85,2030-12-09,,,,,,0.38,,,2023-12-21,10.357424770891,10.407013294548,10.252266654148,10.258444255543,10.258444255543,689.51239768335,1.7117788549959,196.77450636377,,
7,2021-12-21,Moscow Exchange T+,93.91,94.19,28.000000000000114,94.05,93.65,93.65,94.2,94.2,93.97,94.18,,94.2,94.2,93.97,Avg,175730.0,21.0,187.0,6.85,2030-12-09,,,,,,0.19,,,2023-12-21,10.539484155169,10.576806589446,10.402952351996,10.396758170191,10.396758170191,690.44756523723,1.7112773589373,203.14342082298,,
8,2021-12-20,Moscow Exchange T+,94.02,94.1,7.999999999999829,94.06,93.52,93.51,94.24,94.02,94.09,93.94,,94.11,94.11,94.09,Avg,143023.2,26.0,152.0,6.85,2030-12-09,,,,,,,,,2023-12-21,10.460824331024,10.504228419047,10.454627853513,10.504228419047,10.448432401782,691.47557781467,1.715045718083,187.67546042298,,
9,2021-12-17,Moscow Exchange T+,94.06,94.31,25.0,94.185,94.52,93.74,94.79,94.31,94.52,93.66,,94.31,94.31,94.52,Avg,150286.2,48.0,159.0,6.85,2030-12-09,,,,,,33.59,,,2023-12-21,10.182355088734,10.465331048896,10.311273376242,10.311273376242,10.311273376242,670.45783994317,1.6671188348493,151.50330014107,,
10,2021-12-16,Moscow Exchange T+,93.61,94.19,57.99999999999983,93.9,94.24,93.61,94.25,94.17,94.07,93.48,,94.17,94.17,94.07,Avg,38568.9,11.0,41.0,6.85,2030-12-09,,,,,,33.41,,,2023-12-21,10.453884960828,10.738587138358,10.379970646224,10.392279526238,10.392279526238,671.25576838915,1.664999742063,173.47331550077,,
11,2021-12-15,Moscow Exchange T+,93.6,94.19,59.00000000000034,93.895,94.19,93.6,94.19,93.6,93.63,93.45,,93.6,93.6,93.63,Avg,132022.0,10.0,141.0,6.85,2030-12-09,,,,,,33.22,,,2023-12-21,10.721160525322,10.739772405708,10.375431835429,10.739772405708,10.739772405708,672.05668551259,1.6629623320865,197.20880980642,,
12,2021-12-14,Moscow Exchange T+,93.41,93.96,54.99999999999971,93.685,93.3,93.29,94.19,94.19,93.4,93.4,93.4,93.42,93.42,93.4,Avg,1115217.0,10.0,1194.0,6.85,2030-12-09,,,,,,33.03,,,2023-12-21,10.858911709562,10.852694406827,10.51232766529,10.370908986655,10.846478138361,672.95401163725,1.6631135850894,208.33421668723,,
13,2021-12-13,Moscow Exchange T+,94.01,94.71,69.99999999999886,94.36,93.76,93.75,94.71,94.71,93.75,93.75,93.76,94.71,94.71,93.75,Avg,2910074.5,6.0,3104.0,6.85,2030-12-09,,,,,,32.84,,,2023-12-21,10.637050705755,10.476884128035,10.049065073499,10.049065073499,10.049065073499,674.11935446194,1.669334394952,191.42845789539,,
14,2021-12-10,Moscow Exchange T+,93.84,94.29,45.00000000000029,94.065,94.29,94.28,94.74,94.29,94.36,93.8,,94.29,94.29,94.36,Avg,35857.8,14.0,38.0,6.85,2030-12-09,,,,,,32.28,,,2023-12-21,10.248737700557,10.566632666028,10.291372815362,10.291372815362,10.291372815362,677.4084549685,1.683387596053,150.53567508505,,
15,2021-12-09,Moscow Exchange T+,94.2,94.28,7.999999999999829,94.24,94.0,93.7,94.26,94.26,93.74,93.77,,94.26,94.26,93.74,Avg,90930.2,10.0,97.0,6.85,2030-12-09,,,,,,32.09,,,2023-12-21,10.623270816478,10.341826373497,10.293096954981,10.305273298158,10.305273298158,678.12961994739,1.6794742697503,188.96731564117,,
16,2021-12-08,Moscow Exchange T+,93.77,94.27,50.0,94.02,93.78,93.77,93.79,93.77,93.77,93.82,,93.77,93.77,93.77,Avg,423841.6,9.0,452.0,6.85,2030-12-09,,,,,,31.9,,,2023-12-21,10.60008268738,10.60008268738,10.294821292532,10.60008268738,10.60008268738,679.14689322404,1.6823463189004,182.66612147499,,
17,2021-12-07,Moscow Exchange T+,93.76,93.79,3.0000000000001137,93.775,94.33,93.81,94.5,93.81,94.11,93.8,93.8,94.11,94.11,94.11,Avg,69643.6,5.0,74.0,6.85,2030-12-09,,,,,,31.72,,,2023-12-21,10.38714599966,10.600841904576,10.58247671576,10.570238311718,10.38714599966,680.3054520324,1.6884670190849,161.48627119329,,
18,2021-12-06,Moscow Exchange T+,94.0,94.67,67.00000000000017,94.335,93.83,93.8,94.69,94.49,93.8,93.8,93.8,93.88,93.88,93.8,Avg,28156950.1,12.0,30018.0,6.85,2030-12-09,,,,,,31.53,,,2023-12-21,10.571647217823,10.449626147428,10.043767523479,10.152366310745,10.52279048577,681.1680735311,1.6877870114468,182.54844097777,,
19,2021-12-03,Moscow Exchange T+,94.23,94.55,31.99999999999932,94.39,93.26,93.26,94.43,94.34,93.94,94.26,94.3,94.34,94.34,93.94,Avg,8454.7,5.0,9.0,6.85,2030-12-09,,,,,,30.97,,,2023-12-21,10.471887744098,10.296192473671,10.10328969461,10.229768021999,10.229768021999,684.24236420804,1.6969354399113,173.36830848495,,
20,2021-12-02,Moscow Exchange T+,94.06,94.74,67.99999999999926,94.4,94.73,94.73,94.74,94.74,94.74,94.28,94.3,94.74,94.74,94.74,Avg,549491.6,2.0,580.0,6.85,2030-12-09,,,,,,30.78,,,2023-12-21,9.9853287898215,10.394647283113,9.9853287898215,9.9853287898215,9.9853287898215,685.6043519928,1.7078351343032,125.76948311679,,
21,2021-12-01,Moscow Exchange T+,93.96,94.73,77.00000000000102,94.345,94.65,93.7,94.74,94.73,93.88,93.88,93.88,94.73,94.73,93.88,Avg,565134.6,12.0,602.0,6.85,2030-12-09,,,,,,30.59,,,2023-12-21,10.499198187648,10.450725962901,9.9874193242972,9.9874193242972,9.9874193242972,686.2220285819,1.7014244294212,180.87910552484,,
22,2021-11-30,Moscow Exchange T+,93.97,94.44,46.999999999999886,94.205,,,,,,94.04,,94.0,94.0,94.04,Market,,,,6.85,2030-12-09,,,,,,30.4,,,2023-12-21,10.397895015848,10.440193709449,10.157117843608,,10.422059740221,687.29745060753,1.7056545450644,169.67150679696,,
23,2021-11-29,Moscow Exchange T+,93.91,94.61,70.00000000000028,94.26,94.0,93.7,94.68,94.68,93.93,94.04,,94.0,94.0,93.93,Avg,415155.1,17.0,442.0,6.85,2030-12-09,,,,,,30.22,,,2023-12-21,10.459288268222,10.471374541374,10.050704704651,10.008901988845,10.417017584062,688.25174523339,1.7070734832536,176.85298532583,,
24,2021-11-26,Moscow Exchange T+,93.89,94.35,45.999999999999375,94.12,93.71,93.67,94.7,94.5,93.76,93.76,93.76,94.5,94.5,93.76,Avg,1329558.6,12.0,1418.0,6.85,2030-12-09,,,,,,29.65,,,2023-12-21,10.548361941936,10.469984479159,10.193987207734,10.104436293583,10.104436293583,691.18541612527,1.7129685515471,175.64647779043,,
25,2021-11-25,Moscow Exchange T+,94.13,94.49,35.99999999999994,94.31,94.28,93.7,94.5,94.5,94.07,94.5,,94.31,94.31,94.07,Avg,396037.7,17.0,421.0,6.85,2030-12-09,,,,,,29.46,,,2023-12-21,10.357415107617,10.321450344501,10.106401470116,10.100445921103,10.213767743938,692.3275815095,1.7187679619869,155.79610279629,,
26,2021-11-24,Moscow Exchange T+,94.28,94.45,17.00000000000017,94.365,94.71,94.27,94.74,94.27,94.74,94.74,94.73,94.27,94.27,94.74,Avg,748407.7,8.0,790.0,6.85,2030-12-09,,,,,,29.28,,,2023-12-21,9.9534181542121,10.226950383067,10.125623306742,10.232919565527,10.232919565527,693.62807218602,1.7283236070353,106.73679574514,,
27,2021-11-23,Moscow Exchange T+,93.92,94.28,35.99999999999994,94.1,94.77,93.76,94.77,94.73,94.72,94.72,94.72,94.73,94.73,94.72,Avg,1016372.1,19.0,1073.0,6.85,2030-12-09,,,,,,29.09,,,2023-12-21,9.9614741311893,10.438049519654,10.222819899922,9.9555561894087,9.9555561894087,694.62208413283,1.7306736001313,97.933925442661,,
28,2021-11-22,Moscow Exchange T+,94.01,94.53,51.9999999999996,94.27,94.26,94.26,94.77,94.77,94.35,94.54,94.53,94.77,94.77,94.35,Avg,5660.7,3.0,6.0,6.85,2030-12-09,,,,,,28.9,,,2023-12-21,10.177053971638,10.379799579541,10.070172826857,9.9281510259006,9.9281510259006,695.46178294811,1.7293752910597,125.63850205229,,
29,2021-11-19,Moscow Exchange T+,94.51,95.48,96.99999999999989,94.995,94.5,94.49,95.49,95.49,94.54,94.54,94.54,95.49,95.49,94.54,Avg,634341.1,12.0,671.0,6.85,2030-12-09,,,,,,28.34,,,2023-12-21,10.051981859866,10.069702298411,9.501084562687,9.4952688073275,9.4952688073275,698.55479823852,1.739040705995,141.40197088748,,
30,2021-11-18,Moscow Exchange T+,94.49,94.5,1.0000000000005116,94.495,94.5,94.47,94.5,94.5,94.5,94.6,,94.5,94.5,94.5,Avg,54808.6,13.0,58.0,6.85,2030-12-09,,,,,,28.15,,,2023-12-21,10.071718017027,10.077620184324,10.071718017027,10.071718017027,10.071718017027,699.54012315064,1.741181401664,147.11166963076,,
31,2021-11-17,Moscow Exchange T+,94.61,95.34,73.0000000000004,94.975,95.76,94.61,95.76,94.61,94.64,94.64,94.64,94.63,94.63,94.64,Avg,992760.5,8.0,1049.0,6.85,2030-12-09,,,,,,27.96,,,2023-12-21,9.9854137072489,10.003060376504,9.5760826907428,10.003060376504,9.9912949753015,700.6042887386,1.7451985132068,148.4269690844,,
32,2021-11-16,Moscow Exchange T+,94.65,95.05,39.99999999999915,94.85,94.65,94.65,95.42,95.42,94.69,94.63,94.64,95.42,95.42,94.69,Avg,19884.2,3.0,21.0,6.85,2030-12-09,,,,,,27.78,,,2023-12-21,9.951710554972,9.9751920612788,9.7410603231082,9.5258315809975,9.5258315809975,701.62934136787,1.748287642301,145.18975544828,,
33,2021-11-15,Moscow Exchange T+,94.75,95.18,43.00000000000068,94.965,95.49,94.63,95.5,94.63,94.64,94.64,94.61,94.63,94.63,94.64,Avg,1282332.1,9.0,1355.0,6.85,2030-12-09,,,,,,27.59,,,2023-12-21,9.977317027104,9.9128507778474,9.6619446160374,9.9831832991265,9.9831832991265,702.61030750314,1.7503243383447,154.03001780166,,
34,2021-11-12,Moscow Exchange T+,94.69,95.41,71.99999999999989,95.05,95.0,94.6,95.49,95.49,94.6,94.6,94.6,95.49,95.49,94.6,Avg,10828152.4,26.0,11446.0,6.85,2030-12-09,,,,,,27.02,,,2023-12-21,9.9895332629226,9.9369449798295,9.5189804038706,9.4728383766145,9.4728383766145,705.60122631063,1.7575800054225,160.89680400456,,
35,2021-11-11,Moscow Exchange T+,94.71,95.0,29.000000000000625,94.855,95.0,95.0,95.0,95.0,95.0,94.65,94.7,95.0,95.0,95.0,Avg,35150.0,6.0,37.0,6.85,2030-12-09,,,,,,26.84,,,2023-12-21,9.7523797279521,9.9210412910444,9.7523797279521,9.7523797279521,9.7523797279521,706.77745274176,1.7643139835819,147.62450789101,,
36,2021-11-10,Moscow Exchange T+,94.54,95.0,45.999999999999375,94.77,95.0,94.52,95.0,95.0,94.69,94.69,94.69,94.9,94.9,94.69,Avg,1127785.9,35.0,1191.0,6.85,2030-12-09,,,,,,26.65,,,2023-12-21,9.9290561376892,10.016524229538,9.7489597375604,9.7489597375604,9.8069568563415,707.64617949978,1.7636435027109,155.13355412163,,
37,2021-11-09,Moscow Exchange T+,94.68,95.0,31.99999999999932,94.84,94.6,94.54,95.0,95.0,94.63,94.92,,94.64,94.64,94.63,Avg,183582.2,10.0,194.0,6.85,2030-12-09,,,,,,26.46,,,2023-12-21,9.9603404854951,9.9312398582035,9.7455516547857,9.7455516547857,9.9545184762173,708.62292668147,1.7655753585955,153.08160286586,,
38,2021-11-08,Moscow Exchange T+,94.94,95.3,35.99999999999994,95.12,95.3,95.0,95.3,95.3,95.01,95.01,95.01,95.0,95.0,95.01,Avg,736289.6,13.0,775.0,6.85,2030-12-09,,,,,,26.27,,,2023-12-21,9.7363753397702,9.7768555383504,9.5691568478777,9.5691568478777,9.742155429353,709.78934039509,1.7720909077127,122.0789133858,,
39,2021-11-05,Moscow Exchange T+,95.41,95.5,9.000000000000341,95.455,95.5,95.41,95.5,95.41,95.5,94.82,94.83,95.41,95.41,95.5,Avg,49658.2,2.0,52.0,6.85,2030-12-09,,,,,,25.71,,,2023-12-21,9.4446699110753,9.4961227462429,9.4446699110753,9.4961227462429,9.4961227462429,713.0059004668,1.7848661106876,91.350893900094,,
