,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,98.5,98.51,1.0000000000005116,98.505,97.58,97.58,98.85,98.51,98.53,98.36,,98.51,98.51,98.53,Avg,312339.4,50,317,9.5,2023-12-22,10.606594203754,10.624815911552,10.618741034825,10.618741034825,10.618741034825,1.56,673.68206781479,1.6687109016149,,,,,,,,,226.55109448989,,
1,2021-12-29,Moscow Exchange T+,98.29,98.39,9.999999999999432,98.34,98.97,97.99,98.97,98.39,98.26,98.16,,98.39,98.39,98.26,Avg,380267.2,55,387,9.5,2023-12-22,10.769944692884,10.751675085018,10.690839948544,10.690839948544,10.690839948544,1.3,674.6075061936,1.6685390140083,,,,,,,,,234.7039191428,,
2,2021-12-28,Moscow Exchange T+,97.73,97.75,1.999999999999602,97.74,96.46,96.2,98.17,97.75,97.73,97.73,97.73,97.75,97.75,97.73,Avg,894210.5,97,915,9.5,2023-12-22,11.092815396212,11.092815396212,11.080545266906,11.080545266906,11.080545266906,1.04,675.46011798674,1.6657923909094,,,,,,,,,271.80895479208,,
3,2021-12-27,Moscow Exchange T+,97.71,97.9,19.000000000001194,97.805,98.2,97.2,99.0,97.9,97.94,97.94,97.94,97.9,97.9,97.94,Avg,1268368.4,118,1295,9.5,2023-12-22,10.962990392353,11.10373076649,10.987429478355,10.987429478355,10.987429478355,0.78,676.51938429718,1.6703567186177,,,,,,,,,257.01719895175,,
4,2021-12-24,Moscow Exchange T+,98.39,98.4,1.0000000000005116,98.395,95.52,95.52,99.02,98.4,98.34,98.34,98.34,98.4,98.4,98.34,Avg,1050319.5,137,1068,9.5,2023-12-22,10.716840731275,10.686620441399,10.68057928946,10.68057928946,10.68057928946,,679.63174607789,1.6817719612271,,,,,,,,,236.94964480892,,
5,2021-12-23,Moscow Exchange T+,98.68,98.69,0.9999999999990904,98.685,96.81,96.6,98.73,98.68,98.04,98.04,98.04,98.68,98.68,98.04,Avg,1235335.7,190,1260,9.5,2023-12-22,10.89677674523,10.510428152969,10.504422806072,10.510428152969,10.510428152969,47.11,649.23006633409,1.6039352654863,,,,,,,,,255.3609636053,,
6,2021-12-22,Moscow Exchange T+,97.14,97.15,1.0000000000005116,97.145,97.59,96.59,98.97,97.15,97.45,97.38,,97.15,97.15,97.45,Avg,357651.0,69,367,9.5,2023-12-22,11.254124409283,11.444251129755,11.438103087665,11.438103087665,11.438103087665,46.85,649.89507981358,1.6004210852377,,,,,,,,,289.15126062105,,
7,2021-12-21,Moscow Exchange T+,97.03,97.39,35.99999999999994,97.21,97.59,96.82,97.59,97.4,97.34,97.1,,97.4,97.4,97.34,Avg,332898.4,41,342,9.5,2023-12-22,11.319046614101,11.509263416346,11.288455844919,11.282340659929,11.282340659929,46.59,650.83418915255,1.6017989928737,,,,,,,,,283.68173149758,,
8,2021-12-20,Moscow Exchange T+,96.5,96.79,29.000000000000625,96.645,95.0,94.98,97.58,96.99,96.54,96.03,,96.98,96.98,96.54,Avg,232671.1,40,241,9.5,2023-12-22,11.808823886185,11.833602401572,11.654323726352,11.531175407301,11.53732332265,46.33,651.37452087524,1.5961063415191,,,,,,,,,324.97437789838,,
9,2021-12-17,Moscow Exchange T+,95.56,95.9,34.00000000000034,95.73,96.76,95.5,96.78,95.88,95.79,95.79,95.79,95.88,95.88,95.79,Avg,554612.5,47,579,9.5,2023-12-22,12.26518342533,12.409079728768,12.196555470071,12.209024065477,12.209024065477,45.55,653.94573407754,1.5958929505062,,,,,,,,,360.69108912208,,
10,2021-12-16,Moscow Exchange T+,95.86,95.89,3.0000000000001137,95.875,96.74,95.3,96.74,95.86,95.53,95.07,,95.86,95.86,95.53,Avg,217816.9,30,228,9.5,2023-12-22,12.424058421275,12.21793575351,12.19925266645,12.21793575351,12.21793575351,45.29,654.79634983151,1.5957105867463,,,,,,,,,371.27867670801,,
11,2021-12-15,Moscow Exchange T+,95.0,95.08,7.999999999999829,95.04,97.26,93.01,97.26,95.01,94.68,94.68,94.68,95.0,95.0,94.68,Avg,1559316.4,49,1647,9.5,2023-12-22,12.955660962056,12.753208201602002,12.702762486292,12.746898834717,12.753208201602002,45.03,655.29610011152,1.5894128420271,,,,,,,,,421.37865498491,,
12,2021-12-14,Moscow Exchange T+,94.28,94.83,54.99999999999971,94.555,94.76,94.0,94.9,94.06,94.63,94.63,94.63,94.06,94.06,94.63,Avg,1891664.1,95,1999,9.5,2023-12-22,12.982852605643,13.205414582908,12.856254423261,13.345976678937,13.345976678937,44.77,656.27049554576,1.5913931328459,,,,,,,,,421.34804070561,,
13,2021-12-13,Moscow Exchange T+,95.11,95.13,1.999999999999602,95.12,95.69,95.11,95.69,95.13,95.44,95.55,,95.13,95.13,95.44,Avg,218550.9,50,229,9.5,2023-12-22,12.46885238633,12.675595222468,12.663033287686002,12.663033287686002,12.663033287686002,44.51,657.75422166865,1.6022803847468,,,,,,,,,375.28315530422,,
14,2021-12-10,Moscow Exchange T+,95.53,95.58,4.999999999999716,95.555,94.76,94.75,95.97,95.58,95.6,95.49,,95.58,95.58,95.6,Avg,199797.6,28,209,9.5,2023-12-22,12.357933351101,12.401409688722,12.370350064414,12.370350064414,12.370350064414,43.73,660.85853154503,1.6114316677966,,,,,,,,,361.96940519968,,
15,2021-12-09,Moscow Exchange T+,95.9,96.09,18.999999999999773,95.995,97.51,94.75,97.52,95.9,95.46,95.46,95.46,95.9,95.9,95.46,Avg,508802.0,88,533,9.5,2023-12-22,12.441160230654,12.168745988522002,12.051717629057,12.168745988522002,12.168745988522002,43.47,661.78026631592,1.6124848021173,,,,,,,,,371.31743301984,,
16,2021-12-08,Moscow Exchange T+,95.35,95.98,63.000000000000966,95.665,97.59,95.69,97.59,95.69,95.93,95.94,,95.94,95.94,95.93,Avg,351091.0,40,366,9.5,2023-12-22,12.146857650848,12.505723505238,12.116080169497,12.294940302215,12.140700143373,43.21,663.05695513803,1.6198353085328,,,,,,,,,337.84049778798,,
17,2021-12-07,Moscow Exchange T+,95.59,95.62,3.0000000000001137,95.605,97.59,95.32,97.59,95.62,95.93,95.93,95.93,95.62,95.62,95.93,Avg,695463.3,44,725,9.5,2023-12-22,12.143486097344,12.353172464963,12.334623744865,12.334623744865,12.334623744865,42.95,664.06012379663,1.6223348035953,,,,,,,,,337.54913506642,,
18,2021-12-06,Moscow Exchange T+,95.62,96.27,64.99999999999915,95.945,97.64,95.25,97.64,96.36,95.92,95.92,95.92,96.36,96.36,95.92,Avg,511248.6,65,533,9.5,2023-12-22,12.146886024433,12.331639245472,11.932481060712,11.877545551564,11.877545551564,42.68,665.05692847181,1.6247207936189,,,,,,,,,340.51743754265,,
19,2021-12-03,Moscow Exchange T+,96.76,97.09,32.99999999999983,96.925,96.68,96.14,97.09,97.08,96.81,96.8,,96.84,96.84,96.81,Avg,295281.2,47,305,9.5,2023-12-22,11.596124627201,11.62629748261,11.427605878527,11.433611315483,11.578032608604,41.9,668.57421053914,1.6413743505697,,,,,,,,,286.20963285393,,
20,2021-12-02,Moscow Exchange T+,96.52,96.67,15.000000000000568,96.595,97.0,96.49,97.0,96.67,96.67,96.9,,96.67,96.67,96.67,Avg,153712.0,21,159,9.5,2023-12-22,11.677939332648,11.76862167276,11.677939332648,11.677939332648,11.677939332648,41.64,669.49741194616,1.642436720936,,,,,,,,,295.42896884645,,
21,2021-12-01,Moscow Exchange T+,96.98,97.0,1.999999999999602,96.99,97.64,96.93,97.64,96.98,97.05,97.07,,96.98,96.98,97.05,Avg,126166.7,31,130,9.5,2023-12-22,11.446761860042,11.488741288952,11.476742336599,11.488741288952,11.488741288952,41.38,670.71437707087,1.6488353767679,,,,,,,,,276.26490777425,,
22,2021-11-30,Moscow Exchange T+,96.85,96.98,13.000000000000966,96.915,97.27,96.8,97.42,96.85,97.15,97.15,97.15,96.89,96.89,97.15,Avg,583869.9,46,601,9.5,2023-12-22,11.384529695014,11.56425899025,11.48626968594,11.56425899025,11.5402448747,41.12,671.77276282428,1.6523599173473,,,,,,,,,268.83929236354,,
23,2021-11-29,Moscow Exchange T+,97.16,97.25,9.000000000000341,97.205,96.05,95.29,97.35,97.25,96.51,96.54,,97.25,97.25,96.51,Avg,476769.9,59,494,9.5,2023-12-22,11.766190797033,11.376228601101,11.322554756492,11.322554756492,11.322554756492,40.86,672.41455444647,1.6482906350125,,,,,,,,,308.0791794044,,
24,2021-11-26,Moscow Exchange T+,96.81,97.07,25.99999999999909,96.94,96.1,96.1,97.46,96.81,97.03,97.25,,96.81,96.81,97.03,Avg,226091.1,32,233,9.5,2023-12-22,11.44669414015,11.578005820472,11.422869160236,11.578005820472,11.578005820472,40.08,675.7144406099,1.6611281781935,,,,,,,,,266.09446296819,,
25,2021-11-25,Moscow Exchange T+,97.5,97.54,4.000000000000625,97.52,97.12,97.1,97.6,97.54,97.43,97.25,,97.54,97.54,97.43,Avg,330274.4,57,339,9.5,2023-12-22,11.207048704811,11.165682934156,11.142066126182,11.142066126182,11.142066126182,39.82,676.93922626077,1.6677252375214,,,,,,,,,241.40411676571,,
26,2021-11-24,Moscow Exchange T+,96.78,96.97,18.999999999999773,96.875,96.68,96.31,97.77,96.79,97.08,97.0,,96.79,96.79,97.08,Avg,322310.7,41,332,9.5,2023-12-22,11.412244580475,11.590831862992,11.477626618213,11.584865060471,11.584865060471,39.56,677.74676200106,1.6666394711196,,,,,,,,,253.21383505091,,
27,2021-11-23,Moscow Exchange T+,97.0,97.01,1.0000000000005116,97.005,97.88,96.06,97.88,97.0,96.92,96.92,96.92,97.0,97.0,96.92,Avg,647422.1,103,668,9.5,2023-12-22,11.5049468902,11.457405716297,11.45146736348,11.457405716297,11.457405716297,39.3,678.65978043515,1.667497197265,,,,,,,,,252.77803061915,,
28,2021-11-22,Moscow Exchange T+,97.3,97.32,1.999999999999602,97.31,98.51,97.23,98.51,97.32,97.95,97.95,97.95,97.32,97.32,97.95,Avg,1391911.1,84,1421,9.5,2023-12-22,10.895808888355,11.277521806992,11.265717642168,11.265717642168,11.265717642168,39.04,680.23097323398,1.6805382644236,,,,,,,,,198.1371587394,,
29,2021-11-19,Moscow Exchange T+,98.11,98.65,54.000000000000625,98.38,99.01,98.5,99.01,98.5,98.67,98.76,,98.55,98.55,98.67,Avg,376932.9,45,382,9.5,2023-12-22,10.474127928156,10.797823595265,10.485639283091,10.572090226527,10.54325051934,38.26,683.62589313457,1.6953721993999,,,,,,,,,184.14720447467,,
30,2021-11-18,Moscow Exchange T+,98.85,99.01,16.00000000000108,98.93,99.14,98.75,99.18,99.01,99.02,99.01,,98.83,98.83,99.02,Avg,304993.5,46,308,9.5,2023-12-22,10.272377973145,10.369683506444,10.278094641613,10.278094641613,10.381148310776,38.0,684.81469562534,1.7014275741889,,,,,,,,,167.63568582601,,
31,2021-11-17,Moscow Exchange T+,98.75,98.88,12.999999999999543,98.815,99.29,98.59,99.33,98.88,99.02,98.78,,98.88,98.88,99.02,Avg,341602.4,71,345,9.5,2023-12-22,10.271497747742,10.425975376369,10.351515479620002,10.351515479620002,10.351515479620002,37.74,685.81551915678,1.703927729471,,,,,,,,,177.41697920091,,
32,2021-11-16,Moscow Exchange T+,98.36,98.38,1.999999999999602,98.37,98.5,98.0,98.5,98.35,98.17,98.24,,98.35,98.35,98.17,Avg,381884.1,71,389,9.5,2023-12-22,10.758577741326,10.648937689738,10.637415762205,10.654700017818,10.654700017818,37.48,686.35953980922,1.6977801030991,,,,,,,,,226.2461731818,,
33,2021-11-15,Moscow Exchange T+,98.43,98.44,0.9999999999990904,98.435,98.02,98.02,99.24,98.44,98.48,98.32,,98.44,98.44,98.48,Avg,143776.4,40,146,9.5,2023-12-22,10.578618292361,10.607349598182,10.60160152494,10.60160152494,10.60160152494,37.22,687.52807185217,1.7034383157506,,,,,,,,,214.241326583,,
