,Trade date,Stock exchange,"Bid (at close), %","Ask (at close), %","Bid-ask spread, bp","Mid price, %","Open, %","Min, %","Max, %","Last, %","Weighted average price, %","Market price, %","Market price 2 (pension savings), %","Accepted quote, %","Close, %","Indicative price, %",Indicative price type,Daily trading volume,Number of trades,Volume in securities,"Current coupon rate, %",Maturity date,"YTM, effective (indicative), %","YTM (bid), %","YTM (ask), %","YTM (last), %","YTM (close), %",ACI,Duration,Modified duration,Put/call date,"Yield to put/call, effective (indicative), %","Yield to put/call (bid), %","Yield to put/call (ask), %","Yield to put/call (last), %","Yield to put/call (close), %",Duration to put/call,Modified duration to put/call,"G-spread, bp","G-spread, bp.1",G-spread benchmark
0,2021-12-30,Moscow Exchange T+,95.36,95.43,7.000000000000739,95.395,95.39,95.1,95.55,95.36,95.54,95.54,95.54,95.36,95.36,95.54,Avg,14431230.0,36,15105,6.4,2025-12-19,,,,,,1.05,,,2023-12-27,9.1852196557506,9.2953383389796,9.2524756699372,9.2953383389796,9.2953383389796,682.10088175659,1.7115590781895,84.213566295485,,
1,2021-12-29,Moscow Exchange T+,95.12,95.19,6.999999999999318,95.155,95.4,95.12,95.4,95.12,95.25,95.25,,95.12,95.12,95.25,Avg,469578.7,31,493,6.4,2025-12-19,,,,,,0.88,,,2023-12-27,9.3588835554485,9.4386556981371,9.3956802265396,9.4386556981371,9.4386556981371,683.02766946193,1.7111629367618,93.382850039512,,
2,2021-12-28,Moscow Exchange T+,95.08,95.24,15.99999999999966,95.16,95.24,95.0,95.25,95.08,95.18,95.18,95.18,95.08,95.08,95.18,Avg,544421.2,38,572,6.4,2025-12-19,,,,,,0.7,,,2023-12-27,9.3984758189548,9.4598144518055,9.3617211346813,9.4598144518055,9.4598144518055,684.0109750777,1.7130061981367,102.13250920649,,
3,2021-12-27,Moscow Exchange T+,95.2,95.25,4.999999999999716,95.225,95.29,94.79,95.3,95.25,95.24,95.24,95.24,95.25,95.25,95.24,Avg,519044.8,45,545,6.4,2025-12-19,,,,,,0.53,,,2023-12-27,9.357828785741,9.3822955396157,9.3517146144149,9.3517146144149,9.3517146144149,685.02811419624,1.7161911266905,96.193989934871,,
4,2021-12-24,Moscow Exchange T+,95.21,95.3,9.000000000000341,95.255,95.1,95.1,95.35,95.3,95.25,95.25,95.25,95.3,95.3,95.25,Avg,779152.8,45,818,6.4,2025-12-19,,,,,,,,,2023-12-27,9.3413594369337,9.3657265797831,9.3109230343331,9.3109230343331,9.3109230343331,688.03505825026,1.7239840135126,99.139466280571,,
5,2021-12-23,Moscow Exchange T+,94.99,95.0,1.0000000000005116,94.995,95.3,94.78,95.34,95.0,95.0,94.32,,95.0,95.0,95.0,Avg,224211.1,38,236,6.4,2025-12-19,,,,,,15.78,,,2023-12-27,9.4902532426164,9.4963605342041,9.4902532426164,9.4902532426164,9.4902532426164,677.60600794512,1.6955434491272,113.13289590259,,
6,2021-12-22,Moscow Exchange T+,94.87,95.06,18.999999999999773,94.965,95.19,93.77,95.19,95.06,95.1,94.13,,95.06,95.06,95.1,Avg,144555.6,16,152,6.4,2025-12-19,,,,,,15.61,,,2023-12-27,9.4250561718152,9.5653588279872,9.4494184706608,9.4494184706608,9.4494184706608,678.64559245657,1.699156535147,104.2492553446,,
7,2021-12-21,Moscow Exchange T+,93.88,94.95,107.00000000000074,94.415,94.94,93.9,94.94,94.94,93.97,93.97,93.97,94.94,94.94,93.97,Avg,1915121.6,42,2038,6.4,2025-12-19,,,,,,15.43,,,2023-12-27,10.115049995178,10.170849540439,9.5128196247487,9.5189156862458,9.5189156862458,679.22626215666,1.6899541606745,161.39873884996,,
8,2021-12-20,Moscow Exchange T+,93.26,94.0,73.99999999999949,93.63,94.25,93.35,94.96,93.35,94.36,94.36,94.36,93.7,93.7,94.36,Avg,11081295.7,32,11744,6.4,2025-12-19,,,,,,15.25,,,2023-12-27,9.8700722367429,10.552484030571,10.092031631545,10.496178215958,10.278015883776,680.37524345254,1.6965873644527,129.25120835928,,
9,2021-12-17,Moscow Exchange T+,93.71,93.99,28.000000000000114,93.85,92.75,92.75,94.25,93.99,93.61,93.61,93.61,93.94,93.94,93.61,Avg,1210321.8,30,1293,6.4,2025-12-19,,,,,,14.73,,,2023-12-27,10.318574432183,10.256631665694,10.083739917833,10.083739917833,10.114554394807,683.10240620426,1.6964626775575,164.48611023067,,
